id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	manaCost	name	text	image	imageGold	flavorText	cropImage	parentId	childIds
62491	1	"62491-aranna-starseeker"	14	[]	3	17	2	null	30	0	"아라나 스타시커"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf380703db9b6db3dc388b57063954c9775d08e7a87a11d25844864fdf0728db.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/540ad3c5196d223e5706f3bf4c56fb5744f21ec1894dacd3cc8f86959f36202e.png"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	56550	[62493,60224]
60238	1	"60238-demonic-illidan"	14	[]	3	17	2	null	30	0	"악마 일리단"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fca7275fad35121cc2a323020544f416da67ebf4e3e0811a1a63467d058ad590.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d83a8e2c8cc6c6935c07d5d13ae606b8a72d624a9af251c87fa9e4dc827d949.png"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6bbaa57326a9e1776c07b5fa85d31c88fd25613cac9d0043385119d6d697eea2.png"	56550	[60224]
60375	1	"60375-dame-hazelbark"	2	[]	3	17	4	null	30	0	"귀부인 고목껍질"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d98e9eca811606c72bdec9cf0e9acea5a31bcae526b8a9001603d81c189e3c0.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	274	[60427]
50484	1	"50484-lunara"	2	[]	3	17	4	null	30	0	"루나라"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1116a87921cbcf37a461c68c6a587bd0b5b6ecd94df251f3f8e95c401859196f.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	274	[50485]
57761	1	"57761-shando-malfurion"	2	[]	3	17	2	null	30	0	"샨도 말퓨리온"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d2dbf5385447ba2c6da6d9d62484a4f87d4db238d996e2c09437b8c63dc4a0a.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	274	[1123]
56358	1	"56358-elise-starseeker"	2	[]	3	17	4	"Arthur Bozonnet"	30	0	"엘리스 스타시커"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c09b5cc4101b3c31453c6d5d764cf318b16695f8c036f557ac8ce9f8e6e1a315.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	274	[56363,1123]
57759	1	"57759-wanderer-rexxar"	3	[]	3	17	2	null	30	0	"방랑자 렉사르"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ff009b9995b2c3e5d7adb76176e0f54997303884a6730413098fcf7890dddd5.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	31	[229]
60335	1	"60335-sylvanas-windrunner"	3	[]	3	17	2	null	30	0	"실바나스 윈드러너"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/292b31dff8bc9de089e12c4b0cd60354a1e840796b09bb9f7435b087353239e9.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	31	[60336]
2826	1	"2826-alleria-windrunner"	3	[]	3	17	4	null	30	0	"알레리아 윈드러너"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3bbd20a4c8464b2cd8dd0316384a3cdf93fa4776fbab5c038924f850a2ec3e8f.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	31	[2833]
2829	1	"2829-medivh"	4	[]	3	17	4	null	30	0	"메디브"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/12c1aedf87007f7405b71cad3e3d71409b6c09e94833e283adffadf05fe84ce7.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	637	[2831]
