id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds
58489	1	"58489-satyr-overseer"	14	[]	15	4	2	2	"Zoltan Boros"	2	4	3	"사티로스 감독관"	"내 영웅이 공격한 후에 2/2 사티로스를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b157029ebd11908455e4aff5f67afe0996e0ba680c65315ba283239bef7fb326.png"	""	"의사소통 능력이 다소 떨어지는 것이 단점이지만, 유연한 인사관리 능력으로 상쇄한다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89daef90865dbc4a801a85cc21423a0dd2e22b284f854681905553417c6cef5c.png"	[58496]
2633	1	"2633-acidmaw"	3	[]	20	4	15	5	"Andrew Hou"	2	4	7	"산성아귀"	"다른 하수인이 피해를 받을 때마다, 그 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ab54982769d5317068ec2d272a075e4fc37bf506ac8795affba95d0ad0d66dc.png"	""	"자신의 졸개인 공포비늘과 함께라면 이 거대한 요르문가르는 그 어떤 기사도 상대할 준비가 되어있습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f32269145ed1c93b486070e709da22264c53cbfb05e313f0996320bac483789f.jpg"	[2634]
56392	1	"56392-imprisoned-sungill"	5	[]	14	4	1414	3	"Sam Nielson"	1	2	1	"사로잡힌 태양비늘"	"2턴 동안 <b>휴면</b> 상태입니다. 깨어나면, 1/1 멀록을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb7c98a0a2fe61a40f6a8498687cb6e58ad17fcb4ea5691cd7d452ab15d0b755.png"	""	"\"나를 따르라옳!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf4858692ac1b1abb623b1d4eb0dbe44423cb8b594a5a1472a79efc7e3177562.png"	[57920]
40381	1	"40381-mana-geode"	6	[]	18	4	25	4	"A. J. Nazzaro"	3	2	2	"마나 정동석"	"이 하수인이 치유될 때마다 2/2 수정을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0460fb5070f55907e35e312e464f64d07902d52e5bf3fd08d70966ea66f13c39.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51bcd4651d63d994d85f180fd33172b95c85da62e3cd812baf9e15264c574d9f.png"	"가젯잔에서는 애완용 돌에게도 애완용 돌이 있습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61b5b7e3023d84e1f40d20f19224710b04f2398451aab3aa79d04f3e0428a885.png"	[42053]
46862	1	"46862-nightscale-matriarch"	6	[]	24	4	1125	3	"Slawomir Maniak"	9	4	7	"밤비늘 어미"	"아군 하수인이 치유될 때마다 3/3 새끼용을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5cf85e15e4f306ed99dfea6608a568ab13cc57a091c450537f92829be51334b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe337c63752584c8cfff40251676130dc76909239520bf633551900f1e5eac45.png"	"아가들아, 다들 모이렴!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d0108b780e27f54b5ffa69004556c136ac6f9686f150bb202efcd5c15df01e92.png"	[48663]
41105	1	"41105-primalfin-totem"	8	[]	21	4	27	3	"Jakub Kasper"	3	0	2	"원시지느러미 토템"	"내 턴이 끝날 때, 1/1 멀록을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3eb70c21fcc14deebe89d1e24f1d8edaf7f7feb30f5003e3f90f2ad2df34987a.png"	""	"멀록들만 들을 수 있는 소리를 냅니다. 참 다행이죠. 꽤 심기가 불편한 소리거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c842b57bf8426bc2315424ba55cf6c20da486e0b55a1e4c35f021d40affcf0c2.jpg"	[41523]
2288	1	"2288-imp-gang-boss"	9	[]	15	4	14	1	"Steve Prescott"	4	2	3	"임프 두목"	"이 하수인은 피해를 받을 때마다 1/1 임프를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/121bbd3dc7678c5cf911dff32896d969f852755248ef62fdd48c29400949a77d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58aaade20e1e894a9244390d3b3e4298c39d23f25a2608e0ddeecd3d37a6eeaf.png"	"불량한 임프들은 종종 스톰윈드에 몰래 숨어들어, 마법사 탑에 \"라그나로스 님이 최고시다!\"라고 낙서를 하곤 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f0fd66f61e8a395a82d07653d195e5751110b17a92301ee4574d8760558db510.jpg"	[2779]
54897	1	"54897-zzeraku-the-warped"	9	[]	24	4	1347	5	"Slawomir Maniak"	12	4	8	"뒤틀린 제라쿠"	"내 영웅이 피해를 받을 때마다 6/6 황천의 비룡을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b62e054336c3bbb4aed8dda89c137f71fc4c480e5167b724357045432e9fd2b8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7abe2f0abfe429eb8a9c7eddf35cd3dabd758a9e7ef67fa8ae809b3e9197b88b.png"	"뒤틀린 곳에서 있다 보니 자신까지 뒤틀려버렸네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8eacf765a13854463b418e28e4f86b1995c25e7c946071fa7ecc154df01b0041.png"	[56228]
50383	1	"50383-sharkfin-fan"	12	[]	23	4	1129	1	"Peter Stapleton"	2	2	2	"상어팀 구경꾼"	"내 영웅이 공격한 후에 1/1 해적을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad02d5bf8b810cd4790a3c78f9c0b45b237861ff7fd47eca3ad79452b89ed7e4.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f56563fc5d74c63671ebaa6add1ac11d4b01f92ed1e8bd47184d845386c3e953.png"	"뚜루루 뚜루!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16341995d425953ffc1fc5b3876416ef26f6fd6e5df800500dc194c0ea0fd6ee.png"	[50833]
2079	1	"2079-mimirons-head"	12	[]	17	4	13	5	"Trent Kaniuga"	5	4	5	"미미론의 머리"	"내 턴이 시작될 때, 내 전장에 기계가 3대 이상 있으면 모두 파괴하고 V-07-TR-0N을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bf20aafd2b5a2547bbc4ca7a8fa6fa3c51e06d0e17cfacbc1bcfad7491046929.png"	""	"빨간색 버튼을 누르지 마십시오!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/594c044f6dae9f366fd7d2724e7c9310cb4c6c88f4c7a78b9082a194b9f5cf41.jpg"	[2232]
