id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage
59710	1	"59710-wrathscale-naga"	14	[]	4	1463	4	"Ware Lee"	1	3	3	"성난비늘 나가"	"아군 하수인이 죽은 후에, 무작위 적에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee06b18de6cc17f230beaad3b9bf035d0e82d2624e35acec0149d87e032ef657.png"	""	"이런 걸 옆구리를 주고 목을 가져가는 전략이라고 하죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd2ce30b235eac9fe09b1ca642d2cc5d434350a25e9b52c9e812ce312d745821.png"
56652	1	"56652-altruis-the-outcast"	14	[]	4	1463	5	"Jerry Mascho"	2	4	4	"추방자 알트루이스"	"내가 내 손에서 가장 오른쪽 또는 왼쪽에 있는 카드를 낸 후에, 모든 적에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9464b2c0a1b2b17143aba7937d6428bd166cc1b8edc3a6d67d68059512bf3f75.png"	""	"이단아 알트루이스는 일리단을 배신하고 자신만의 길을 택했습니다. 충직한 친구 네스란다무스와 함께 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b91e59e624ef40371cdec995146c293e8708e3bc1ce9b66a20f5d20ccdd3c3f3.png"
59720	1	"59720-blood-herald"	14	[14,3]	4	1443	1	"Ivan Fomin"	1	1	5	"피의 전령"	"내 손에 이 카드가 있으면, 아군 하수인이 죽을 때마다 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/357f74109f9549d019c4410564fc6c453ab0f2558d525e982f5a786c570e053b.png"	""	"\"빨간 피가 날개를 펼쳐줘요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/86aca8b2eb83daaddd29ee47489ba97b4ebf0037a056a35c2c635fb12af398dd.png"
52809	1	"52809-keeper-stalladris"	2	[]	4	1130	5	"James Ryman"	3	2	2	"수호자 스탈라드리스"	"내가 <b>선택</b> 주문을 시전한 후에, 두 효과를 복사하여 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/03394396ec81ca694f8befa3b30a7baaa9371d8dfb1ef37d12b4380806ec5c19.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ae9f1e8178efa7b9a578daf67c2cc47c6edc0ac0d0b611d61dd4abef8b1aa17.png"	"보아라! 우리 딸이 요요하는 모습을!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccf8531f5ccc682fb9b9ad2f05e7d5c49610cfa7efb3a8e7f6557340e0340e65.png"
53545	1	"53545-crystal-merchant"	2	[]	4	1158	4	"L. Lullabi & K. Turovec"	4	1	2	"수정 상인"	"내 턴이 끝날 때 마나가 남아 있으면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d4e29495f32a6b1fb59a51e8bac211a2167c299839de6d36fb0c3d154521b10.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d589175686368725769f10cd11258d5113fc874c4a54b29d0bfe0aaac5b27761.png"	"\"왜 딱코가 아니냐고 불편해하지 않을 테니 너도 이거 어디서 났냐고 묻지 마.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7767b86005be73c7b81711c27ef31264fa56c12d48caabcfdc0879f0c4a6eec8.png"
43310	1	"43310-wardruid-loti"	2	[]	4	1129	5	"Zoltan Boros"	2	1	3	"전쟁드루이드 로티"	"<b>선택 - </b>네 가지 공룡 중 하나로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1427a3cb1db4bce5fad6d8e24ce998ae2c403804426f743f1c52ef2a6d577f5a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe18c79c0e6fa43a73e03e65f505b4b64014ca55cefe964e5ebfa6dc10dafbf7.png"	"\"라바사우루스!\" \"무섭겠네.\" \"...블라모닥스!\" \"그런 공룡이 있어?\" \"스맥소돈!\" \"...이제 그냥 막 만들어내네.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dde83db1d4970c5587ebc80f909146627463e8a3149be1f39a4abb9f6fe3e921.png"
51791	1	"51791-lifeweaver"	2	[]	4	1130	3	"Vladimir Kafanov"	5	2	3	"생명길쌈꾼"	"내가 생명력을 회복시킬 때마다 무작위 드루이드 주문을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b155053f1dab3ba329d0b4f06046eead764c8f48ba514e80d6b7909de1c1e22.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1747ab8100fcd886bb80ca718b720db95834b163c19238d659ac0209335e329b.png"	"회드시면 주문이 공짜입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9fe12ba072dfcb54e668fc8756ca63d27b635e2b2163630a6dea79f94818e98a.png"
48286	1	"48286-forest-guide"	2	[]	4	1125	3	"Hideaki Takamura"	6	1	4	"숲 속의 안내자"	"내 턴이 끝날 때, 두 플레이어 모두 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/12f2ba3361365a93c0dbeb1888850fe46628c5f7e1cdff207a494d989937962c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/36ea198be6995880d0d3b8535651f90f4f867225771c0503aae9514e1c5d4876.png"	"\"여기에 서명만 하시면 바로 출발하겠습니다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e1d1d7ce31a28251f445311b0553684a519778f22135f4381468d13e7c174eab.png"
48757	1	"48757-flobbidinous-floop"	2	[]	4	1127	5	"Max Grecke"	4	3	4	"푸르딩딩한 플룹"	"이 하수인은 내 손에 있으면 내가 마지막으로 낸 하수인이 됩니다. 능력치는 3/4가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/821965879bb38c6a8717c9b20a50c1995c3b0f0471230cdc45938c42815da15c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a141a5f9651b7a294a97768d5fb73e710cf2968924c77e6847e4ce515284484f.png"	"모든 과학자들 중에 지식이 가장 큽니다. 부피로 따지면요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/437c89ab6b0501db36be67ffaa758515d5f2ff8d2fc3a616f6bcec92ff031924.png"
45859	1	"45859-ixlid-fungal-lord"	2	[]	4	1004	5	"James Ryman"	4	2	5	"곰팡이 군주 익슬리드"	"내가 하수인을 낸 후에, 그 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3107a5de555f2937d0e0903af77904e7da7ea329a4e01a72103923f17381be8e.png"	""	"익슬리드를 직접 만들어 보십시오. 곰팡이가 나인지 내가 곰팡이인지 모를 곰팡지몽의 경지에 이를 것입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f675cb9fd18e524c7db4c1502c3b1059da3102835b89f2531b90eb6eb85a1834.jpg"
