id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
59753	1	"59753-vilefiend-trainer"	14	[]	4	1443	1	"J. Axer"	4	5	4	"썩은마귀 조련사"	"<b>추방자:</b> 1/1 악마를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d8bf58900dffb25fe74e97f31e1a7438337d25c9d28edab0d6a89fb6745a4e1.png"	""	"소중한 썩은마귀들과 함께 달리세요. 에어 굴단."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0a91f832537cb1c793ee5fa99818c60b8333f0a2f1f377994b35edb2bf26d464.png"	[59754]	[86]
60280	1	"60280-coilfang-warlord"	14	[]	4	1414	3	"Kagi"	5	9	8	"갈퀴송곳니 전쟁군주"	"<b>속공</b>, <b>죽음의 메아리:</b> <b>도발</b> 능력이 있는 5/9 전쟁군주를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/accbd39c6c6686a8c60d476741f3caae45dfceadeb271db32d96b2a40263a9e7.png"	""	"아직 소라고둥 한 발 남았다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c52a03c67c114e96ce71d751d5f9afee4e8e67871ac720901c10a7d6dace76c5.png"	[60281]	[1,12,53]
51790	1	"51790-acornbearer"	2	[]	4	1130	1	"Steven Prescott"	1	2	1	"도토리지기"	"<b>죽음의 메아리:</b> 1/1 다람쥐 2마리를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/97bfd1970b8b83c256f49a3ee2450157479333e39b57bc1bfd85038a84ca0417.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58c0e6eabe55c910833ca3879bdd4dbff04413dfe3c6c5d06d9f0ac1185d04b7.png"	"1/1 다람쥐 2마리를 내 손으로 가져옵니다람쥐썬더!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/986663072c65c7a87d0335fba3037aa9b3d7d7f6aef365f8f84f41b0a34714f9.png"	[54315]	[12]
2783	1	"2783-druid-of-the-saber"	2	[]	4	15	1	"Arthur Gimaldinov"	1	2	2	"칼날이빨의 드루이드"	"<b>선택 - </b>2/1 <b>돌진</b> 하수인 또는 3/2 <b>은신</b> 하수인으로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5bf12dc84b2a8633524556bbac5ab8ec22e3c97af111bcbb6865847bb2b9a2f7.png"	""	"사나워 보이지만 사실은 치과에 가는 걸 매우 무서워합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa1bbc77ff1b9edddc3347011f8fc69ae1acf6d98fb184c2094a926a3e9bdec3.jpg"	[2784,2861,2862]	[4,6]
42651	1	"42651-druid-of-the-swarm"	2	[]	4	1001	3	"Zoltan Boros"	2	1	2	"무리의 드루이드"	"<b>선택 -</b> 1/2 <b>독성</b> 하수인 또는 1/5 <b>도발</b> 하수인으로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c46d257159fa152df48d8c9eb5a707ffbca6e7ebb23d568ce69cf993fd20be73.png"	""	"꿈에서, 드루이드는 거미였다. 아니, 딱정벌레였나? 하지만 잠에서 깨니 인간이 되었다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eec0ecc8025baf84337e3b936f24715e1c62ddbad3092b5ac38d2569ca5bb334.jpg"	[42650,46048,46049]	[1,32]
46859	1	"46859-druid-of-the-scythe"	2	[]	4	1125	1	"Luke Mancini"	2	2	3	"낫의 드루이드"	"<b>선택 -</b> 4/2 <b>속공</b> 하수인 또는 2/4 <b>도발</b> 하수인으로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/075075b652e8fde52178e64f989874512db62c0c36e059001a920ed27b3048a4.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ad35f61aefce2e48b51275e0c482e7b909816d6cb28d3de9190036fda2be66c.png"	"낫을 가리는 편은 아닙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b085a88fc186e2d69ccd834faaafab0451f85ad029b7279f6b245b925918a0cd.png"	[47048,47049,48305]	[1,53]
56689	1	"56689-archspore-msshifn"	2	[]	4	1414	5	"Anton Zemskov"	4	3	3	"포자왕 므쉬픈"	"<b>도발</b>, <b>죽음의 메아리:</b> '므쉬픈 프라임'을 내 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d5b175bb36811330360bdb3d53d22a8d2e3b2a46e7821316d168e61bb7d2098.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6256d9e7e3ef847c0df76cfaaa22d9f7e3ee14d68686e4336b31d97d1296c92f.png"	"스포어가르의 용감한 지도자인 므쉬픈은 무엇이 중요한지 잘 알고 있다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ee0ae3c4a2029ebd52f5035bdae33cf62b48dc29d6eaf2ebd3da1ca13e7ab10.png"	[57782]	[1,12]
601	1	"601-keeper-of-the-grove"	2	[]	4	3	3	"Gabor Szikszai"	2	2	4	"숲의 수호자"	"<b>선택 -</b> 피해를 2 줍니다. 또는 하수인을 <b>침묵</b>시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c27c70354a03d4da4a48b0e01281baf93f138515b3494c66679967afb8341188.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/249b2529c9774924449021ff88a485c51d2eb9aed75abd933a42ac590fd23918.png"	"숲의 수호자라면서 왜 여태까지 나무정령을 일으키며 숲을 파괴했을까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/71ed646923fcffe51088d3249487708e12736de760fb275a324e28a5a0c61a27.png"	[321,987]	[15]
40973	1	"40973-shellshifter"	2	[]	4	27	3	"Matt Dixon"	3	3	4	"껍질술사"	"<b>선택 -</b> 5/3 <b>은신</b> 하수인 또는 3/5 <b>도발</b> 하수인으로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/73e07f12b29bde01f7170180ffaa32895ae43c70df4d54d42f586c681f116938.png"	""	"자, 어느 껍질 안에 공이 있을까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b63dca9d660918dd42559c6c677ced8455010211be5a241ab294be01b4aacb62.jpg"	[40974,40977,40978]	[1,6]
53613	1	"53613-garden-gnome"	2	[]	4	1158	3	"Ivan Fomin"	3	2	4	"정원 노움"	"<b>전투의 함성:</b> 내 손에 비용이 (5) 이상인 주문이 있으면, 2/2 나무정령을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5fa116350bde2085c35e9762344ef3e1ad66efd132d36ab92b5210745156feb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf1be99e632b08de09a5c6fd5766d1cfb2169e5ff438ebd1fb494b6e398d5d09.png"	"\"안녕, 내 작은 나무들아... 오늘은 가지치기를 할 시간이야.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/047525e280a75821b46ce5441c3aa870c59e17f483dc84f6ca8b64e3890f56cf.png"	[54541]	[8]
