id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds
2225	1	"2225-grove-tender"	2	[]	4	13	3	"Chris Rahn"	4	2	3	"숲 뜰지기"	"<b>선택 -</b> 각 플레이어가 마나 수정을 얻습니다. 또는 각 플레이어가 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd7e442746a2067c4e47fe76a423f726ec5f1ddbee2b5bede62a4cf83b050835.png"	""	"\"아, 광활한 자연이여!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a9a5d91c3aa19616b77d1ce15cbf65f570519300cc7b95b4a02a45221f51fb5.jpg"	[2226,2227]
2292	1	"2292-druid-of-the-flame"	2	[]	4	14	1	"Stanley Lau"	2	2	3	"화염의 드루이드"	"<b>선택 -</b> 5/2 또는 2/5 하수인으로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8447969808bac83b5c45e570bee20ccd8ee7fe59c81a3fb6e1c9ea54c771e7ac.png"	""	"노스렌드에서 너무 오랜 시간을 보낸 드루이드들은 라그나로스가 제공하는 핫초코의 유혹을 차마 뿌리치지 못했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e742273c53da018ea547b5cfbf33828547f6a20f7ac49f5b0191afed4cc535fb.jpg"	[2293,2294,2310]
38718	1	"38718-mire-keeper"	2	[]	4	21	3	"Zoltan Boros"	3	3	4	"수렁의 수호자"	"<b>선택 -</b> 2/2 수액괴물을 소환합니다. 또는 빈 마나 수정을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b697c287ed5a4146d64c772999af50173640a0b7b3fc017bd602ee307fc8c52.png"	""	"\"나를 하향시키다니, 비뚤어질테다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f33a50e75d1b0ba462c57eca69aa28f883ba9a8e8b81f9715773533423859d3a.jpg"	[38716,38717,38921]
38318	1	"38318-fandral-staghelm"	2	[]	4	21	5	"Anton Zemskov"	5	3	4	"판드랄 스태그헬름"	"내 <b>선택</b> 효과의 두 능력이 모두 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cbb99ee3f026c42fb0992b54555e29d10ed7a6a61942684a142350fac398b7c8.png"	""	"매번 \"내가 세계수를 만들었을 시절에는 말이야...\"라는 말을 들먹입니다. 어휴, 지겨워서 원."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f9b1101a4ce82616570645b739a4deebe507e310af19562c610db2dff5b30fb8.jpg"	[38319,38320,38321]
48609	1	"48609-tending-tauren"	2	[]	4	1127	3	"Zoltan Boros"	4	3	6	"나무를 가꾸는 타우렌"	"<b>선택 -</b> 내 다른 하수인들에게 +1/+1을 부여합니다. 또는 2/2 나무정령을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b3d3549121c00f8cd521bf73b27012feba394ddc5755b68fb89ed80d8f46fd3f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e475f7839c5933a9982d5e8038f10aa577bd8c18eb31965b8a26a9c9fca1d542.png"	"종족 특성인 약초채집을 마침내 활용할 수 있게 되었군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/abd95a8378a61137dc2c892cd205333fb062217a09ab90b92f7d9d02969281f7.png"	[49618,49619]
920	1	"920-ancient-of-lore"	2	[]	4	3	4	"Patrik Hjelm"	5	5	7	"지식의 고대정령"	"<b>선택 -</b> 카드를 뽑습니다. 또는 생명력을 5 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3433065c8b08fae2ecd1b8c4cb36559db0bb08837c3c93739746ce902b0aa09.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4140dff3c95d6261ff2f9532404fdae37975d54a6f0d008c69ee85873d4a1a4f.png"	"기념으로 이름 새기셔야죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/446f96fece1b45fc1b9ae08f6340759aa279a45b4315c16077438ae680167e87.png"	[209,313]
40416	1	"40416-kun-the-forgotten-king"	2	[]	4	25	5	"Jon Neimeister"	7	7	10	"잊힌 왕 쿤"	"<b>선택 -</b> 방어도를 +10 얻습니다. 또는 내 마나 수정을 모두 회복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2df965777505557ba551fb04f2672c9e780bcb1ca5138003c0a252cd93067348.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5fd25e05bdfc6888105bb7ab19bf7411d924577aa395189229ddc15a4f23e5df.png"	"아이야는 비취 골렘 군단을 만들기 위해 매일마다 쿤의 영혼을 조금씩 흡수하지만, 쿤은 별로 개의치 않는 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19ff4d2acdf5d259e2a0dd5d29340c99df7a84fffdafb9f42443f38c706232ea.png"	[41958,41959]
59457	1	"59457-shando-wildclaw"	3	[3,2]	4	1443	5	"Zoltan Boros"	3	3	3	"샨도 와일드클로"	"<b>선택 -</b> 내 덱에 있는 모든 야수에게 +1/+1을 부여합니다. 또는 아군 야수로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e2e69cd6a4f640cee069c0cf665e678ea364c5d0bc5b23b996fea19f740f0895.png"	""	"학위와 더불어 발톱 긁개도 갖추었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ddb7912441abf24950c9d71ec3aa2ce7e82ecef800bc67a67ab0cd5adabff5b8.png"	[59896,59898]
59623	1	"59623-disciplinarian-gandling"	6	[9,6]	4	1443	5	"Zoltan Boros"	6	3	4	"학생부장 간들링"	"내가 하수인을 낸 후에, 그 하수인을 처치하고 4/4 낙제한 학생을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/71136b131aa2ac61af720835c8b03fc62b11f4623fef779ced9a7b9f681752fb.png"	""	"\"이 교수님 수업에서 낙제하지 않은 학생이 손에 꼽힌다고 소문이 자자해.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6969fe7a3220ac98373dce9f810500545f55c062e0436296c03d0ad62d7acd43.png"	[61092]
1993	1	"1993-trade-prince-gallywix"	7	[]	4	13	5	"Wei Wang"	8	5	6	"무역왕 갤리윅스"	"상대편이 주문을 시전할 때마다 동일한 주문을 내 손으로 가져오고 상대편에게 동전을 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/38eef48f690d00eb079cb21a27780ffa519e31806aee47fd73ce7a398305f871.png"	""	"\"내 사례는 넉넉히 하지!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e5393e77ae7c4febc7a6e628b256a7fd7a6bc5311515f78083b6d9e54dcae9b.jpg"	[2277]
59175	1	"59175-troublemaker"	10	[]	4	1443	3	"Matt Dixon"	8	6	8	"문제아"	"내 턴이 끝날 때, 무작위 적을 공격하는 3/3 불량배를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d9b9bf3214eca69e9d168d349306eeb9ee844e37c5ed084aaaa7ca36c005ae2.png"	""	"\"이 학교의 파괴를 막기 위해!\" \"이 학교의 평화를 지키기 위해!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c25d1c7acd09b2bc793bf27c05a345a1896efa2c35f6ae9166eb033fd32cd54f.png"	[59949]
