id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	manaCost	armor	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
43417	1	"43417-malfurion-the-pestilent"	2	[]	3	1001	5	"Alex Horley Orlandelli"	30	7	5	"역병의 드루이드 말퓨리온"	"<b>선택 -</b> <b>독성</b> 능력이 있는 거미를 2마리 소환합니다. 또는 <b>도발</b> 능력이 있는 딱정벌레를 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f96a16502c8234b534915848c4f68ee6bed5d92fa45476b71e20f4c66be63a6d.png"	""	"\"세나리우스는 내게 생명과 죽음의 조화를 꿈꾸라고 했었지. 하지만 마침내 깨달았다. 조화란 있을 수 없다. 죽음은 언제나 지배한다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/097d2dc0e5d3581fc05ed7b2f7475081e197f64547f56ea8471a5bc47c7e6ade.jpg"	[43182,45300,45303]	[1,32]
43398	1	"43398-deathstalker-rexxar"	3	[]	3	1001	5	"Jomaro Kindred"	30	6	5	"죽음추적자 렉사르"	"<b>전투의 함성:</b> 모든 적 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/361884dd2a038d3a625c09c0e6346231cd23fc0d4031bd7b565d468323d9e38b.png"	""	"\"너는 너무 느리구나, 오랜 친구여. 사냥은 이미 시작되었다... 그리고 절대로 끝나지 않아.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f9b5558a16e391c41bc91a634ae9ae48d444127e709202046845e116269a935.jpg"	[43183,46119]	[8]
49819	1	"49819-zuljin"	3	[]	3	1129	5	"Alex Horley Orlandelli"	30	10	5	"줄진"	"<b>전투의 함성:</b> 이번 게임에서 내가 낸 모든 주문을 시전합니다. <i>(대상은 무작위로 선택)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2c5d9b4e6f4077952447feaaa48ffefa971d20b435e02604fc86891c27567049.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d128941154243925bfbc866e8241d0348049d68c9c6b8f5ad21410fb20a959ea.png"	"도끼를 피할 수 있다면 공도 피할 수 있어."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0959fb88dfaedf1c26beb7925e4edf83edd6fa84545e4273c9d1d04e6cf01fb.png"	[50579]	[8]
43419	1	"43419-frost-lich-jaina"	4	[]	3	1001	5	"Glenn Rane"	30	9	5	"리치 여왕 제이나"	"<b>전투의 함성:</b> 3/6 물의 정령을 소환합니다. 이번 게임에서 내 정령들이 <b>생명력 흡수</b>를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a618e84cf40cbb2243652f057744e3ec70387ac934b17d21e25ba2f755b3c74.png"	""	"\"아서스는 버릇 없는 아이였다. 통제하지도, 이해하지도 못할 장난감들을 가지고 놀았으니. 한기를 받아들여라. 내가 너에게 얼어붙은 왕좌의 진정한 힘을 보여주겠노라.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4854a023420084532547e7f701aa2487b9ff2f1186e1e9afb5f3de8e2411e4b4.jpg"	[42944,46458]	[8,38]
56076	1	"56076-the-amazing-reno"	4	[]	3	1403	5	"Konstantin Turovec"	30	10	5	"위대한 마법사 리노"	"<b>전투의 함성:</b> <b>모든</b> 하수인이 사라집니다. <i>*뿅!*</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2542c3b03e3a18b2359d0f0fbfe7565c56688e68a842a915ca92914c4de8e0e9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/00c898e80d87bd13971148bf23055d1e9ba6baecddc2486c2069c45cc9b1b789.png"	"\"리노!\" \"내 정식 명칭으로 불러 달라고.\" \"하아... <i>위대한 마법사</i> 리노...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e7d2d1b4eda24249d90e47a34427d161b71a27141ea2e62d75b1456a3b34d403.png"	[56075]	[8]
43406	1	"43406-uther-of-the-ebon-blade"	5	[]	3	1001	5	"James Ryman"	30	9	5	"칠흑의 기사단장 우서"	"<b>전투의 함성:</b> 5/3 <b>생명력 흡수</b> 무기를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0634e4177f8e9ad9bb86fb28bdd404b904132a5538c883c2cb298078da9488e1.png"	""	"\"앞으로 나와라. 그리고 속죄하라! 한때 나는 빛의 종복이었지만, 이제 심판을 내리는 자는 오직 나뿐이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de37186287a73f6a463b6de0254f8f61aa65b22015b9b821546fb240274f6b80.jpg"	[43013,43405]	[8,38]
57416	1	"57416-galakrond-the-unspeakable"	6	[]	3	1347	5	"Konstantin Turovec"	30	7	5	"형언할 수 없는 갈라크론드"	"<b>전투의 함성:</b> 무작위 적 하수인을 처치합니다. <i>( )</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/35b3c98378fb94e715990d47d6b89cf4a989b69d97f49b793167edfd6a32578d.png"	""	"라줄이 갈라크론드의 이름을 읊었습니다. 깊은 곳에서부터 그녀의 목소리가 울려 퍼집니다. 갈라크론드가 두 눈을 떴습니다... 새로운 눈과 함께."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ab226d1e142f9ce6f763ad5bc5bc83f014314b15e964cee7296bebf1bab86f52.png"	[55810]	[8]
43408	1	"43408-shadowreaper-anduin"	6	[]	3	1001	5	"Wayne Reynolds"	30	8	5	"암흑사신 안두인"	"<b>전투의 함성:</b> 공격력이 5 이상인 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/747c745ca317714242bb9c50de58806b2ef09b44855a06dbfc1a0666fcd99640.png"	""	"\"벨렌이 내게 절대 가르쳐주지 않은 걸 너에게 알려주마. 빛을 마주한 자들은 반드시 그림자를 드리우는 법이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb8650152a8c6b95e500d70b24535131afcf5d015b440a6c4eaa03bcd9a74d3e.jpg"	[45397]	[8]
57419	1	"57419-galakrond-the-nightmare"	7	[]	3	1347	5	"Konstantin Turovec"	30	7	5	"악몽의 갈라크론드"	"<b>전투의 함성:</b> 카드를 1장 뽑습니다. 그 카드의 비용이 (1)이 됩니다. <i>( )</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bbd18815720f4ad6ab706b1200fbd00815a270bf234e44b4e61c751a76974dfe.png"	""	"거대한 용은 맹독이 흥건한 발톱을 드러냈다. 토그왜글은 아주 만족스러워했지만 머리에 양초를 얹자는 제안을 거절한 건 마음이 상한 듯했다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/91c7b72ba245ae6877e468204ad6c1f2bc1e52d733af5078be0a7296dd0eaa86.png"	[55806]	[8]
43392	1	"43392-valeera-the-hollow"	7	[]	3	1001	5	"James Ryman"	30	9	5	"환영자객 발리라"	"<b>전투의 함성:</b> 내 다음 턴까지 <b>은신</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8aea514ef51584a44dc27f4e353d032082f441a515b85dd4a82f2e45952de513.png"	""	"\"그래, 도망쳐라. 너의 요새와 성곽과 병사들 뒤에 숨어 보아라. 밤은 언제나 찾아오고, 그림자는 언제나 드리운다. 그리고 어느 날, 나는 너의 뒤에 있을 것이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af676162aff844e251360f0a0311681d283e5f7bcb62086e50c7c942facd3be3.jpg"	[43188,45724]	[6,8]
