id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
56806	1	"56806-shadowhoof-slayer"	14	[]	15	4	2	2	"A.J. Nazzaro"	1	2	1	"그림자발굽 학살자"	"<b>전투의 함성:</b> 이번 턴에 내 영웅에게 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/03547b5059b4733bfe0d1e1d05de0969ed4e2cd504cf0e335810e11b0b4307dd.png"	""	"살게라스의 영향을 받기 전까지는 평범한 엘프 궁수였다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e552e5d3943fdaf87be9d5d12f73ae374f0f0b31b3000c8d37d22031e8c87247.png"	[8]
56973	1	"56973-sightless-watcher"	14	[]	15	4	2	2	"Jaemin Kim"	2	3	2	"눈먼 감시자"	"<b>전투의 함성:</b> 내 덱에 있는 카드 3장을 봅니다. 1장을 선택하여 내 덱 맨 위에 놓습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/84dfe83fe46efb807901339737ffaaf85472dac5478fc3f1cb37cbcfd890c87d.png"	""	"눈은 멀었지만, 그 대신 빛보다 빠른 손기술을 가졌습니다. 아니, 촉수기술이라 해야 하나요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/29aca497f6e4c09bcd7af8f29e439aa57b48f7dbdee66345e4e16cbfb06585f7.png"	[8]
58495	1	"58495-furious-felfin"	14	[]	14	4	1414	3	"Matt Dixon"	2	3	2	"분노하는 지옥지느러미"	"<b>전투의 함성:</b> 이번 턴에 내 영웅이 공격했다면, 공격력 +1과 <b>속공</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1ac25a6e67bda5c717f451ac19f8c06ddea19c9cdfb806b53ebb88c21510fc8e.png"	""	"혼돈의 가오리, 비릿해지기, 해물의 오라 등의 기술을 사용한다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8010443b56b7418c25de81c971e76e43f1e6d2db92e9fa149c1c1de11a270e64.png"	[8,53]
59865	1	"59865-wrathspike-brute"	14	[]	15	4	1463	4	"Vladimir Kafanov"	6	2	5	"분노가시 투사"	"<b>도발</b>, 이 하수인이 공격받은 후에, 모든 적에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1edf36d3f0ba254c44a745d78773a8bb68b33b6a26cb9f6c151a38a43cf443ff.png"	""	"등 뒤를 조심하세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/099b74a62190aa1574e6dd9496d192f9fc78426a2f8dfb27c29c7304a1ce9261.png"	[1]
58244	1	"58244-hulking-overfiend"	14	[]	15	4	1463	3	"Bayard Wu"	10	5	8	"압도하는 거대마귀"	"<b>속공</b>, 이 하수인은 공격하여 다른 하수인을 처치한 후에 다시 공격할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df8a74f4a0dbafc3ec86ac7d8c486aee0cac2c82cc904c14b997c280874cd653.png"	""	"가질 수 없다면 압도해버리겠어."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b6e519cf37e644230daf2e380575513b6197b68462406a1aa8eb1269012f960.png"	[53]
58243	1	"58243-pit-commander"	14	[]	15	4	1414	4	"Ludo Lullabi"	9	7	9	"지옥의 사령관"	"<b>도발</b>, 내 턴이 끝날 때, 무작위 악마를 내 덱에서 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db662e37b59cbebbe477726e19d4274160ba83f5cee58265f447700ae338975b.png"	""	"부하들에게 지옥을 맛보게 해 준다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1ea31a85adcda88054bfda0f28c688d280d99f663d262d332804b9992470ba27.png"	[1]
58172	1	"58172-nethrandamus"	14	[]	24	4	1463	5	"Rafael Zanchetin"	8	8	9	"네스란다무스"	"<b>전투의 함성:</b> 비용이 인 무작위 하수인을 둘 소환합니다. <i>(아군 하수인이 죽을 때마다 강화됩니다!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/40bc0866d95fcd09b2e80d3307ea5e565498aa5fae5c3e7ea9cf81a07ffdd677.png"	""	"아쉽게도 다른 용들과 함께 강림하진 못했다고 하네요. 그래도 황천길로 가는 것보단 느린 게 낫죠!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/480886d26217e3005e0779554835a20ba67d65b41a9c3c63b8d5cc7fc3dc8d44.png"	[8]
56262	1	"56262-steel-beetle"	2	[]	20	4	1403	3	"Anton Zemskov"	3	2	2	"강철 딱정벌레"	"<b>전투의 함성:</b> 내 손에 비용이 (5) 이상인 주문이 있으면, 방어도를 +5 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/55778dd50e15c2defc9c41ba1f88d1bcc3784a6112ca038938c5925a9666d28f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/daf7cb613fde67b769a683b30c264d7cce31d69e52097962a44e721410d6aeda.png"	"딱정벌레의 갑피로 만들어진 믿을 수 있는 강철입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ccf6e4d2b011c5974c35b3af096acacf9e2595ec1e5fa1f2f8bd95843a95e8a.png"	[8]
2922	1	"2922-mounted-raptor"	2	[]	20	4	20	1	"Ben Zhang"	2	3	3	"랩터 탈것"	"<b>죽음의 메아리:</b> 비용이 1인 무작위 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5b921eb1754be7ec1de8c391bb627c89b08b8b892573d10bd1059e1bc5796358.png"	""	"영특한 녀석 같으니!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6c7d05600564d87331a024e10fd8c89f0b0758d9ccc506ee772c73baebb2717e.jpg"	[12]
41086	1	"41086-elder-longneck"	2	[]	20	4	27	1	"Trent Kaniuga"	1	5	3	"덩치 큰 긴목공룡"	"<b>전투의 함성:</b> 내 손에 공격력이 5 이상인 하수인이 있으면, <b>적응</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d4e63b4f3b1912c5b8a01ed3a4ea4f494664f35902b7a9a29a3a3f1a2c16995.png"	""	"목이 길어 슬픈 공룡입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6edcfd970bc8b20c3b2a13c7922dd332da21b1b22485b2b48e87aafd4ab21a90.jpg"	[8,34]
