id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
50230	1	"50230-splitting-image"	4	[]	1	5	1129	4	"L. Lullabi & K. Turovec"	3	"갈라지는 환영"	"<b>비밀:</b> 내 하수인이 공격받으면, 그 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/006ebfb492bcdcb1c95831665e0a9d5281883d38942cb53acc0e053c8b9f63e2.png"	""	"육체와 영혼을 분리해 주마!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5864eb04822434f40f3ff55608018a01ee95529d26aca92a6f4c903e63d2d18a.png"	[5]
100995	1	"100995-void-scripture"	4	[]	6	5	1858	3	"Melvin Chan"	2	"공허 경전"	"주문을 <b>발견</b>합니다. 그 주문을 낼 마나가 있다면, 무작위 적에게 그 주문을 복사하여 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b0b2fb44162ba2c03d4aafe0663bee1eb17cb2f357564c5a2b006029260db0d.png"	""	"고대 신들은 \"부록\"이라고 여깁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3caaefc5aff8496cc4ed6d229caaafad6b504244396902a438a71f83b364b269.png"	[21]
48748	1	"48748-necrium-vial"	7	[]	6	5	1127	4	"Vlad Botos"	5	"네크리움 약병"	"아군 하수인의 <b>죽음의 메아리</b> 능력을 2번 발동시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a4ea3a6a0cd0f623f214683c17da8be2687d73561a22ed79b58ecbf8828bf8e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/92950e21a347d954e631898fc764431f3c4c7e091d791b65333ca357698e25e2.png"	"죽을 뻔한 경험을 두 번 연속으로 체험하게 해드립니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1831c9b7a78ae9edd1ec87eada97785d65885dead4064f54a2adaaf09e1655b.png"	[12]
98434	1	"98434-grace-of-the-highfather"	6	[]	5	5	1858	1	"Mooncolony "	3	"대부의 은총"	"생명력을 8 회복시킵니다. <b>초과 치유</b>한 생명력과 같은 비용의 카드를 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/835b3b5cd264c422acad740f671fe7956da2f1caffb08c311c2f29a703d2c764.png"	""	"이~~~만한 월척을 낚았습니다. 믿겨지십니까?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/184378ea7096328688dfc46dfac9369aaf068793003e7baabe47275033f8083a.png"	[21,256]
49853	1	"49853-big-bad-voodoo"	8	[]	6	5	1129	4	"L. Lullabi & K. Turovec"	2	"대재앙의 부두술"	"아군 하수인에게 \"<b>죽음의 메아리:</b> 비용이 (1) 높은 무작위 하수인을 소환함\" 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d323f41e7606f4fdd0d47f4d94ee06f03263083634984b6e37f105254b8bce2.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2581be465798fc88a79a4885608388a4e1b370a49711db738cf417e7be52ef22.png"	"멀록들은 작은 행복의 부두술을 연습합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/080e00a7bf1c3efb51ab5a924ea900ec01166387f1b1b70dc01ea4962bf2ac4d.png"	[12]
90689	1	"90689-boogie-down"	5	[]	5	5	1809	1	"Angelica Alieva"	3	"덩실덩실"	"내 덱에서 비용이 1인 하수인을 둘 소환합니다. <b>피날레:</b> 그 하수인들에게 <b>도발</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cca46abf45b43a6b76e31803bfa15445786ba3d9cddd6abef4df2a38d8b5dd9b.png"	""	"뭘 해도 상관은 없는데, 딱 하나. 너무 과시하진 마세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/198a20048e47656e48cdef3adfb80533dd4025f062d372ac756583d1cfe4af79.png"	[1,255]
90592	1	"90592-rewind"	4	[]	1	5	1809	3	"Konstantin Porubov"	2	"되감기"	"이번 게임에서 내가 시전한 다른 주문을 <b>발견</b>해서 복사해옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6adc3f3b0658d91d66cfd8bfa36f4548a9b8cc16a5f42d6251d1a52755c7cfc0.png"	""	"이 주문이 아닌가요? 그럼 한 번 더 내보세요. 이번에는 다를지도 모르잖아요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b610f0791e932f67908dd6d0e8f29d2ab232ab2042cacce4004f2f4e753484aa.png"	[21]
56109	1	"56109-twisted-knowledge"	9	[]	6	5	1403	1	"Rafael Zanchetin"	2	"뒤틀린 지식"	"흑마법사 카드를 2장 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/939c1d8ebe07f8b02d20faf20a69d6a9a9e4c80650dd0df00baa6488a4803fc1.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/acef8ca26c9af8f44ea0784fb151f32b9b58a5066d022e1e70e9d4f043a22b6a.png"	"사람은 일년에 8마리의 거미를 수면 중에 먹는다. 켄타우로스는 흉곽이 두 겹으로 이루어져 있다. 드워프는 티탄의 모조품일 뿐이다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0f406d67f228b75fe913b8b6dc6bb906cbee9c6dbfb08bdf12ed3b1006266540.png"	[21]
54873	1	"54873-grave-rune"	6	[]	6	5	1347	1	"Eva Widermann"	4	"룬 새기기"	"하수인에게 \"<b>죽음의 메아리:</b> 이 하수인을 둘 복사하여 소환함\"능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ea2a94d366a8669f19eb59182491758163c3589231569e07e83767123e55df8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/28a069734abd1781613a3f9d87fa52a2ab361417810d635a8765021c5d186eab.png"	"토그왜글의 미궁에서 발견한 이상한 상자로부터 비롯된 룬입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/35d46aaf0d4e0a2e2f9ebc87243d4af0798e88178dc29b06e36e6f9777a28e87.png"	[12]
56460	1	"56460-font-of-power"	4	[]	1	5	1414	3	"Jason Kang"	1	"마력의 샘"	"마법사 하수인을 <b>발견</b>합니다. 내 덱에 하수인이 없으면, 카드 3장을 모두 가집니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/627990c1061b86e5163982d2b9b6511feaa73c30be170234bf8dcd90de7131f5.png"	""	"오늘의 하수인은 뭘까아아아~요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b6daec5e3d19de07a00c425bcaeb10546d7df5dd5001434770f6bf241e9e0624.png"	[21]
