id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
55097	1	"55097-praise-galakrond"	7	[]	5	1347	1	"Andrew Hou"	1	"갈라크론드 만세!"	"하수인에게 공격력을 +1 부여합니다. 갈라크론드의 강림을 <b>기원</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/497e5758c23ac052793d68f0c68f42fa87c42462dda8dfd677af98c7c34fac1f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6fd9d2d3ca2b5d662e141569550342946c7c5e1589a42fa04074caf1ee69597.png"	"\"갈라크론드, 3장 12절, '으르렁! 크아아! 크아아앙!' 이 지혜로운 말을 함께 되뇝시다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c5989c20cf4884176467ae6a07ba3f476493a979d711c9540f3fc88c3502158.png"	[55806,57419,57421,57420,55819]	[79]
55033	1	"55033-secure-the-deck"	2	[]	5	1347	4	"Anton Zemskov"	1	"갑판 사수"	"<b>부가 퀘스트:</b> 내 영웅으로 2회 공격해야 합니다. <b>보상:</b> '할퀴기' 주문 셋을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a60cebc292ddc0033d3827fb4436db2fab171e8a02ee14e8a0cba84a3e0617aa.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/92bb571b0ca18bae39ddf8cf93f82f25b2cdbb951588616dddb429eb778cad7d.png"	"\"여긴! 네놈들의! 놀이터가! 아니란 말이다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f6b91b71902f447eee1e6820068474ac65b9f2ed0fa02c4874fa260fc11f970.png"	[1050]	[89]
2483	1	"2483-ball-of-spiders"	3	[]	5	15	3	"Skan Srisuwan"	3	"거미떼"	"\"<b>죽음의 메아리:</b> 무작위 야수를 얻음\" 능력이 있는 1/1 그물거미를 셋 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87c5bfb33bddb4104bea40cd1af3cfe0da6bf7dea49baf79d8664cd2bd65d4c8.png"	""	"이젠 개들에 이어서 거미까지 푸는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/41720f23d81af6ce05831070bd2e789616bb6dcd5c4f667865e2191865165087.png"	[1860]	[12]
90612	1	"90612-security"	14	[]	5	1809	1	"Maria Trepalina"	2	"경호팀!"	"<b>속공</b> 능력이 있는 1/1 일리다리를 둘 소환합니다. <b>추방자:</b> 하나 더 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/28eff0f35eda762d03500379765d4b61e7a2d5e72f0f20460ccd5235818ee975.png"	""	"'복수'의 경호원들이 일사불란하게 움직여 혼란스러운 현장 질서를 정리했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/371d97f3ca5de8eada59340c1c8b398bcba0e7eb60120667e3fc17c48ceed7a1.png"	[56927]	[53,86]
97638	1	"97638-from-the-scrapheap"	7	[]	5	1858	1	"Adam Byrne"	2	"고철 더미에서"	"무작위 <b>추가 효과</b>와 <b>합체</b> 능력이 있는 1/1 전기로봇을 셋 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d0f01fde6650154e1105965d34f924c3408162b8b1341052ab4d78362926027b.png"	""	"음, 완전 쓰레기밖에 없네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb9bf0cbbf10a85c5a3b857c4ca10aad29236e5bfc3cd4533a691ca723f1f857.png"	[97630,97631,97632,97633,97634,97635,97636,97637]	[66]
2641	1	"2641-bear-trap"	3	[]	5	15	1	"Richard Wright"	2	"곰 덫"	"<b>비밀:</b> 내 영웅이 공격받은 후에, <b>도발</b> 능력이 있는 3/3 곰을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a425634d9a36aaff6dd228395755b121a533415104fe50efd1fb283fca3355e.png"	""	"저 곰 냄새가 나는 곰 모양의 상자에 도대체 무엇이 들어있을까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/384b84825bdf4ce81eef8db90508661027b5079942e40986f60e19b3a6ab3aac.jpg"	[1182]	[1,5]
56086	1	"56086-air-raid"	5	[]	5	1403	3	"Ivan Fomin"	2	"공중 강습"	"<b>이중 주문</b> <b>도발</b> 능력이 있는 1/1 은빛 성기사단 신병을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec2e873484d47107ce72ebbf483c81fcac715b83cbbaf56889587b8c0d6f646d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f9c8c4673c033acff19cdbad99a263c7737a80e56ad18ca5163720c4c5bfd82.png"	"공중 강습은 모집하기가 어렵습니다. 공격대원 25명이 필요한데, 모두 성기사만 하고 싶어 하거든요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6e7ba8ba86036ad1b98ab203d712192f60fc2cd59508c117db2e464a20abeb53.png"	[1652]	[1,76]
102659	1	"102659-blast-from-the-past"	10	[]	5	1898	1	"Matt Dixon"	4	"과거에서 온 폭발"	"<b>예비 부품</b>을 둘 얻습니다. 1/1 폭탄로봇을 둘 소환합니다. 상대편의 덱에 폭탄을 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5b97494c735440fa39880bcf62493100d54b811f68e51adf7961edf5cb9ed83d.png"	""	"어릴 때 추억도, 옛날 감성도 폭발하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e1784c7d11461a0b298ca6c2af67d17c8ee483b2accb1402c076420d010b9333.png"	[2235,48752,2150,2151,2152,2153,2154,2155,2156]	[19]
51705	1	"51705-desperate-measures"	5	[]	5	1130	3	"James Ryman"	1	"궁여지책"	"<b>이중 주문</b> 무작위 성기사 <b>비밀</b>을 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e6f97eaa78cf6ed0d0572c52d9a2a0587536f812e91c594b9fab84039e15fce1.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/56f89efec23d5723fd5ab1064b59fe040842e495b89922a91fcfa7ed01678a77.png"	"절박한 순간에는 절박한 비밀을 쓸 수밖에요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ea8c60375da8bb10ecf49475eb05e4773f0dcf401eb2c9805e490c718e9d72a.png"	[54129]	[5,76]
52810	1	"52810-dreamway-guardians"	2	[]	5	1130	3	"L. Lullabi & K. Turovec"	2	"꿈길 수호대"	"<b>생명력 흡수</b> 능력이 있는 1/2 드리아드를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b414589019e02d2a83071ef8cd8829f5a683d100a0e15620f0fd01dd8f1c6c55.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5a510c2be9bda51023e4612cf7832c5542d032e34d2b26bf56cac5e0d33708d.png"	"아주 악몽 같은 상대입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d860c19391f7d3468711872d347993fdbcb8c29b9dd5b8123f40136beacf6282.png"	[52839]	[38]
50547	1	"50547-rain-of-toads"	8	[]	5	1129	1	"Cicily He"	6	"두꺼비 소나기"	"<b>도발</b> 능력이 있는 2/4 두꺼비를 셋 소환합니다. <b>과부하:</b> (3)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ddad5e6ac9229a38411be511a830260cee96bbf16c559e724b715093dcfaaef4.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2436bfbe6c84a9bb614ea31f5fb1a56791a3e7ef50df9956a4aa9ac44e611790.png"	"\"아, 종양을 저렇게 전염시키는 거였군요!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d4c1ed90e180a4e8d048a3e92a1967334457a7616b36bed6c80c1c75b5cd9e9.png"	[50906]	[1,14]
56524	1	"56524-ambush"	7	[]	5	1414	3	"Vladimir Kafanov"	2	"매복"	"<b>비밀:</b> 상대편이 하수인을 낸 후에, <b>독성</b> 능력이 있는 2/3 매복자를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/55695306671ef5d3013140b73ce0d2c691421fd7cb3fd48006ad82c09967fca0.png"	""	"다그닥다그닥, 다그닥다그닥, 따그닥따그닥, 꼴까닥!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/471db33165a00cf1c3d0501ced202d68f22090a36ff8001394a52ecb39a12048.png"	[57218]	[5,32]
55301	1	"55301-toxic-reinforcements"	3	[]	5	1347	4	"Matt Dixon"	1	"메스꺼운 지원군"	"<b>부가 퀘스트:</b> 내 영웅 능력을 3회 사용해야 합니다. <b>보상:</b> 2/1 오염된 노움을 셋 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/388283f556f76bfc200acd711d6b81749dc9fc8bf2f3e94d22e3101042d53fc8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/49e97cf52515a6260e46677b05d197f3c2b948dd2d4803d08a0407a6705e8798.png"	"기내에서 예기치 않은 사고가 발생하면, 원활한 탈출을 위해 거대 새총이 준비될 것입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3c212fe783a3027d52e86f95dd7cec52a05c93cb281221955c0c8ddbc036f53b.png"	[658]	[89]
50466	1	"50466-baited-arrow"	3	[]	5	1129	1	"Anton Zemskov"	5	"미끼용 화살"	"피해를 3 줍니다. <b>압살:</b> 5/5 데빌사우루스를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b89e3f179da5a78c614288bf54e412721d84a2a4b516c07b88022ed47d9e3fb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ded311b220e67b23446524f551ba4319d8d798a73790f8ce2355958f44c5ac3b.png"	"일반 카드지만 스테이크는 레어입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e8f0fb391651e2571d34459d4c121af0e3be18f05c6b69832844fd26453239c.png"	[50467]	[61]
100875	1	"100875-sanitize"	10	[]	5	1858	1	"Grafit "	5	"방역"	"<b>모든</b> 하수인에게 내 방어도만큼 피해를 줍니다. <b>제련:</b> 먼저 방어도를 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a951fa5d08a015849e04ff842c163a6c2b10de7bfa7c8f1fa6f093c52ee4d48e.png"	""	"한 점의 촉수도 묻지 않게 깨끗이 관리합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d675a8197414ae60f2d8fe2167d39244cf3b05eca230fb099bc7bf0954041737.png"	[100876]	[266]
56101	1	"56101-boom-squad"	10	[]	5	1403	1	"Peter Stapleton"	1	"붐의 분대"	"<b>졸개</b>, 기계, 용족을 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bcfe0f56691e1ae2aa7b427676622ebe028ed91c75a830c5640d94b006ff0bb3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/585d4dd81165d013df9a8cd7441139ee93056549b4d92a9d26eecc2ab160a210.png"	"단 하나의 목표를 이루기 위해 만들어진 분대입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6976353bd95e1415eeaa2769c2e2ba54a871184eb387ffe81389768632df5ced.png"	[53160,53161,53162,52897,52900,53163,55378,60588]	[21,71]
40372	1	"40372-jade-idol"	2	[]	5	25	3	"Matthew O'Connor"	1	"비취 우상"	"<b>선택 -</b> <b>비취 골렘</b>을 소환합니다. 또는 이 카드를 3장 복사하여 내 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fc92556dc5c64997999e8b0639c905fe5ab91c6bb21f8c8dc8dea841df74f2c3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc68c4eb784ddf801c2b8698439ab908b48dd4ae39631347fc9246e32b163ec9.png"	"못 먹어도 섞어 넣기!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4cf45f9815785be2634cea3e2fd582358c9870d170ec2cd2418abbefcd358780.png"	[42098]	[26]
102617	1	"102617-jade-telegram"	7	[]	5	1898	3	"Kleston Marques"	4	"비취 전보"	"상대편의 손에 있는 카드 3장을 봅니다. 그중 한 장을 상대편의 덱에 섞어 넣습니다. <b>비취 골렘</b>을 소환합니다. 상대편의 손에 있는 카드 3장을 봅니다. 그중 한 장을 상대편의 덱에 섞어 넣습니다. <b>비취 골렘</b>을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d882ef38d69c34de28a3b6e603539b74fe2bb66a4db6bf6f16c7ba092c7fe1f.png"	""	"(광고) 한초 님께만 드리는 특별 혜택!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a50da8f27665d297d2028f915c75f34f3d7feb10f995da7f5b374ea2b27b4ba0.png"	[42098]	[26]
53124	1	"53124-improve-morale"	10	[]	5	1130	1	"Matt Dixon"	1	"사기 증진"	"하수인에게 피해를 1 줍니다. 그 하수인이 생존하면, 무작위 <b>졸개</b>를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bff9ae1066207a3687dc639fd74e868aa86507939567c51c9b937c8620ce886d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd1c96a4cd9a5384d2c4fd0cfdb0d0fd4118770dc249c64e517c93a400ec6fa2.png"	"내 사기가 증진될 때까지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffbc50c1e2105431f2382338704f382df162c15e7009acec5759afab6bb6b889.png"	[53160,53161,53162,52897,52900,53163,55378,60588]	[71]
