id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
58170	1	"58170-crimson-sigil-runner"	14	[]	4	1414	1	"Arthur Bozonnet"	1	1	1	"붉은 인장대 전령"	"<b>추방자:</b> 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9453fb00b52dd7dde6b431bd377229bee27f3cf17c812cdac97afb87a3bf3a7a.png"	""	"가장 빠르지는 않지만, 어쨌든 임무는 완수해낼 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/982a0faced5f333bb1b35d673aff4c6b2595a1dd553820e37db057379aceed4e.png"	[86]
56985	1	"56985-netherwalker"	14	[]	4	1414	1	"Arthur Bozonnet"	2	2	2	"황천방랑자"	"<b>전투의 함성:</b> 악마를 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/46ccff8979fcd49172b355c58e5e10530199de59ed0fcf7598e77908a69b2756.png"	""	"황천걸음을 익히기에 앞서 먼저 황천기어가기부터 배워야겠죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58b4687f90f0711da3449483f782e22fc8016489cc7c211e2709fa9bf3e83f31.png"	[8,21]
59230	1	"59230-magehunter"	14	[]	4	1443	3	"Dave Allsop"	3	2	3	"마법사 사냥꾼"	"<b>속공</b>, 이 하수인이 하수인을 공격할 때마다 그 하수인을 <b>침묵</b>시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae3614846bda54a3acdda8b5ba076fbb46bece51e7f1dcb3f93a650dc3a5201b.png"	""	"이름만 보면 이중 전공자 같군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2db5b294cbc5dd76155a111febc1f4c5f8d4dbe9b9ee906c16b33632605ad8e3.png"	[15,53]
60003	1	"60003-ace-hunter-kreen"	14	[14,3]	4	1443	5	"James Ryman"	4	2	3	"명사냥꾼 크린"	"내 다른 캐릭터들이 공격할 때, <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa87129b86f6c389daa1a83ba88f1f971a4060bef4815df234eb74b54bc693c3.png"	""	"대회에서 우승한 후 아이스크림 한 입 먹는 것을 좋아합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e3d10913c2c95ac813aa30f68d18317503d306f941ef3cdcd76a7ee0cbdb094.png"	[17]
60151	1	"60151-shardshatter-mystic"	14	[]	4	1443	3	"Vladimir Kafanov"	2	3	3	"영혼파편 비술사"	"<b>전투의 함성:</b> 내 덱에 있는 영혼 파편을 파괴하고 다른 <b>모든</b> 하수인에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/672b92d52a88d0143b566cefa6df031d35dd09356fe1978e5c1052590e578092.png"	""	"영혼까지 깨트리는 패배를 안기는 걸 즐깁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f1d675e721a18db95f55292c3347f4f938ebdb6f1ecd4cf6ab3f8f52b4578ec.png"	[8]
56860	1	"56860-ashtongue-battlelord"	14	[]	4	1414	1	"Ivan Fomin"	5	3	4	"잿빛혓바닥 전투군주"	"<b>도발</b> <b>생명력 흡수</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7bef2b1552870550fced21515b014c664c656da7377205e6acaa53e7602b6b7.png"	""	"자신들의 터전이 악마들의 공격으로 파괴된 이후부터 복수의 칼날을 갈아왔다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94d995550b4bf931e56502c47588f1830f88fe5107fc1b485d043a9282177a0a.png"	[1,38]
58202	1	"58202-kayn-sunfury"	14	[]	4	1414	5	"Wayne Reynolds"	4	3	4	"카인 선퓨리"	"<b>돌진</b>, 내 캐릭터들의 공격이 <b>도발</b>을 무시합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/812450b3e73c4d5e0dcbf171fc490f4e6a90145ee26ac4413fd2f4a8e72134c0.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf6111aeea1d11c4639cda2fa7bf0a73456b2e1d48b91bcf9af042be8076ca2e.png"	"일리단 스톰레이지가 가장 신뢰하는 부관입니다. 가장 싫어하는 벌레는 \"대충\"이라고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/374e357d4edbc2296a3496435a05f1a099dd10027a5ec24d9ffb7c484c1607fd.png"	[1,4]
59395	1	"59395-star-student-stelina"	14	[]	4	1443	5	"Anton Zemskov"	3	4	4	"장학생 스텔리나"	"<b>추방자:</b> 상대편의 손에 있는 카드 3장을 봅니다. 그중 한 장을 상대편의 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/62a1c8073a7661b9bf67c00d0c10967049bdee3924aae41990ba8330197d6192.png"	""	"잘 속이는 것도 실력입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f39f775432b1d267778ef363db236da672e68db06be853afaee088bea1dd4085.png"	[86]
58524	1	"58524-illidari-felblade"	14	[]	4	1463	3	"Angelica Alieva"	3	5	4	"일리다리 지옥칼날"	"<b>속공</b>, <b>추방자:</b> 이번 턴에 <b>면역</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6bac8c670abc8b5c05fb91787f77f14811af898ae639d6e5601a6f5f3e6a20df.png"	""	"현란한 춤사위로 악마를 초토화시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0585df4cc1e2c41c29fdff66c249ec1ef1ef550451c65060a71e659d6f801c64.png"	[17,53,86]
56765	1	"56765-raging-felscreamer"	14	[]	4	1463	3	"Slawomir Maniak"	4	4	4	"지옥 마력의 일리다리"	"<b>전투의 함성:</b> 다음에 내가 내는 악마의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c9daf31e680ddb17753b3f297c6126986c16cced611f0031c4cb2991c43c9b2a.png"	""	"함께 노래방에 갈 일이 있다면 단단히 각오해야 할 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bdcf5634ebe9d5ee1027fc32831b38f276d60a33e811f91fcea206c2dd270716.png"	[8]
