id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
59606	1	"59606-double-jump"	14	[]	5	1443	1	"A.J. Nazzaro"	1	"이중 도약"	"내 덱에서 <b>추방자</b> 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c25efbe1a4e710f332307fdc7f5516f071540f50c62e70be678b38a5427642e.png"	""	"타임 어택에 없어서는 안될 기술."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/209beae7a003bbf59683600f08d847f6bd88a8181bc58ae3fb964f03d7fbcee9.png"	[86]
58452	1	"58452-consume-magic"	14	[]	5	1463	1	"Ludo Lullabi"	1	"마법 삼키기"	"적 하수인을 <b>침묵</b>시킵니다. <b>추방자:</b> 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c9fe63f8cc1f3ffe73f5db73ef2b85e54e246d124dee729a15cdce14dcd2ee87.png"	""	"주문을 삼키기 전에 꼭꼭 씹어먹으세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a75cc1d65fca59eadd684f9b526df2502105990712d7afa004b92bc25d1cf60f.png"	[15,86]
58453	1	"58453-spectral-sight"	14	[]	5	1414	1	"Jakub Kasper"	2	"영혼 시야"	"카드를 뽑습니다. <b>추방자:</b> 카드를 추가로 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/28122d32a0d7099d409c911f3a7cd609a06df8b278d1d8e0b9986ee19ff29db5.png"	""	"영혼의 시야로도 오른쪽에서 어떤 카드가 뽑힐지는 알 수 없는 모양입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/99719966258409c48575004d3200b5b33202f80167bf34ba92dae56687c796b6.png"	[86]
57732	1	"57732-soul-cleave"	14	[]	5	2	2	"Zoltan Boros"	3	"영혼 베어내기"	"<b>생명력 흡수</b> 무작위 적 하수인 둘에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f4dcfec3382281167a77bc00176fc3075c4c4cf4471ed546d3a3229598c7cfbb.png"	""	"베어낸 영혼은 어디로 갈까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3cdc02de33187e9406948e9c94fdcb8766c68a864b9044586f19d5a03849bd1f.png"	[38]
58183	1	"58183-eye-beam"	14	[]	5	1463	4	"Arthur Gimaldinov"	3	"안광"	"<b>생명력 흡수</b> 하수인에게 피해를 3 줍니다. <b>추방자:</b> 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aacedf0faad03cdc4c95a92326dc4a3c9ab51eca6096318823e2c20be6c618e0.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/25129f6b40ba3b0403ed88a1ba7d1dfa3e63b6cb5f85bf667ac8b24478068a7e.png"	"\"눈에서 빔!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69454a91cb3b5055131a93fe7a9d79d5d66ca0fdbf1e6fff1be11355ec5b9dd6.png"	[38,86]
60153	1	"60153-glide"	14	[]	5	1443	3	"Slawomir Maniak"	4	"활공"	"내 손에 있는 모든 카드를 내 덱에 섞어 넣습니다. 카드를 4장 뽑습니다. <b>추방자:</b> 상대편에게도 적용됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/156d66409feb600675bbcf797a0104f6c7f9317dea3f1b54f42408a8545b2d03.png"	""	"\"날 믿으면 같은 패를 다시 뽑는 놀라운 일을 보여줄게.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a44cbd957e7c899fc88a0da86a534c5c4a953a2163f9bb2b495887d7844099ce.png"	[86]
56841	1	"56841-command-the-illidari"	14	[]	5	1463	1	"L. Lullabi & K. Turovec"	5	"일리다리 지휘"	"<b>속공</b> 능력이 있는 1/1 일리다리를 여섯 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/81c8ccf718690470bbd4e4c82f9abf4d73e4995938c735aca51bbd0280f29a75.png"	""	"\"살아단 님이 일리계신다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c101ad276c141e8e73d5d1c5d3831e4e01d7a5a4ecb9190633ccd5c8934ff3e1.png"	[53]
58201	1	"58201-skull-of-guldan"	14	[]	5	1414	3	"Slawomir Maniak"	6	"굴단의 해골"	"카드를 3장 뽑습니다. <b>추방자:</b> 그 카드들의 비용을 (3) 감소시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f1f1661e350cd57a1d1a8e94976c9aaa755d0692d1b3b1fbf07e37ffb06b9ec.png"	""	"\"끝없는 사악함과 기막힌 교활함을 가진 친구였어. 천 번도 넘게 자신의 동족을 배신했지만, 지금은 이렇게 되어버렸다니. 상상하는 것만으로도 소름 끼치게 싫은 녀석이야.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e39e94a33c753aab1248ce3370653ea915a8cfab15ea541f32c3c3db53dd7a8f.png"	[86]
60016	1	"60016-lightning-bloom"	2	[2,8]	5	1443	1	"Vlad Botos"	0	"번개 개화"	"이번 턴에만 마나 수정을 2개 얻습니다. <b>과부하:</b> (2)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f3615cc4fe4a1527c8d49a67254b5858cceee9177b2e0bb6ab338d1a7b0a299.png"	""	"신기하게도, 이 꽃은 같은 곳에서 두 번 피지 않는다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d5fbe7082e5f8bbd1e9fe0636f03398be96f42190b3d5bca141ab95cb7b21a3f.png"	[14]
53596	1	"53596-worthy-expedition"	2	[]	5	1158	1	"Paul Mafayon"	1	"뜻깊은 원정"	"<b>선택</b> 카드를 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae1161f0296bde6d6dc8eee47cdc8acfc568bba9420d02401cf67d847030f7e2.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80c7896857287ccad716a3f7f9937d7979d7b6c9f97ecae1a949484bd164cb8c.png"	"내가 탈것을 어디에 주차해뒀더라...?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/090adddbc4af7c1205cd3e32d5f12e59b2462cf40b8d343e996dd2214b342c73.png"	[21]
