id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage
2729	1	"2729-bash"	10	[]	5	15	1	"Dany Orizio"	2	"강타"	"피해를 3 줍니다. 방어도를 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d6b9f63ddcb158de06e9cc4fef39c594eb49f5910060c80bae1db4b95c98a8b.png"	""	"적을 강타하는 게 쉽다고 생각하세요? 네, 쉬운 거 맞습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d242be7ef1caaf213c05957daafda45f95be6006fd6cc7fa15dd9a980dc84af6.jpg"
2638	1	"2638-powershot"	3	[]	5	15	3	"Jonboy Meyers"	3	"강화 사격"	"선택한 하수인과 그 양옆의 하수인들에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/011cd1df62c0b632300e611046dcc2f8f35e02973919df01db7e4426b266951d.png"	""	"펑 <b>펑</b> 펑"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a62b1a5c52c16967a3c740552ac86773f3a593c31fb84ba8a1a3a3e79127b95.jpg"
46940	1	"46940-wing-blast"	3	[]	5	1125	3	"Zoltan Boros"	4	"거친 날갯짓"	"하수인에게 피해를 4 줍니다. 이번 턴에 하수인이 죽었으면, 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d50d5a4d94d83a8b6b3d71976d5587ebf7e345f978fb1a8a65814a38f8414f3a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23fecf0fe8314ace301efa6a01138d10e5224041c96fd288fcab742a4ff2a633.png"	"에메리스가 거친 날갯짓을 사용했다. 효과가 굉장했다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c4c9dc33b003150cd625b72d5dd1884d7237c4465cef448b2301b57eb5df2f5d.png"
57718	1	"57718-sword-and-board"	10	[]	5	1414	1	"Arthur Bozonnet"	1	"검과 방패"	"하수인에게 피해를 2 줍니다. 방어도를 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c74d1818dece12c08a4b8a25fabbb956d5c88c528a0ab73ff13a11519fba27a.png"	""	"검과 방패. 공격과 방어. 급습과 방비. 공습과 방공. 이쯤이면 연상이 되실 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e638529558628843845ed966e420f911271e8352c4513e49fce4da88b5b0183.png"
52742	1	"52742-duel"	5	[]	5	1130	4	"Konstantin Turovec"	5	"결투!"	"각 플레이어의 덱에서 하수인을 소환합니다. 그 하수인들이 서로 싸웁니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/54e27dbff3a73ccc29c0f510378eb958862dacc609b55635c010a28b6e6afcde.png"	""	"대충 알아들었지? 지금부터 서로 죽여라."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/47a365c561303b674f6ddb0bdaccd9cb8eabb5f58f61cfc91e841614dd3792e8.png"
2654	1	"2654-enter-the-coliseum"	5	[]	5	15	4	"Mauricio Herrera"	3	"경기장 입장"	"각 플레이어의 전장에서 공격력이 가장 높은 하수인을 제외한 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/88ca519b304db9a9bfec4aca57ceaa221489f2a8744285b7541d260679dfb2b5.png"	""	"가는 길에 있는 행상인들을 조심하세요. 마구 사다보면 헤어나올 수 없을 겁니다..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a8c00366300d0db4c5dbb295326345ce12ac02cd3438924156ed8eb795518ee6.png"
56697	1	"56697-scrap-shot"	3	[]	5	1414	3	"Paul Mafayon"	4	"고철 사격"	"피해를 3 줍니다. 내 손에 있는 무작위 야수에게 +3/+3을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e00d2b60e01496747d17a0a52d270ae69097f7f8be88399c721550caf958549c.png"	""	"그야말로 일철이조군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/60c8b62770c3e70c4fc7504b28ba2c1cb401173d7cb9345f1a2243e12f9fa307.png"
48201	1	"48201-dire-frenzy"	3	[]	5	1125	1	"Efrem Palacios"	4	"광포한 격노"	"야수에게 +3/+3을 부여합니다. 그 야수를 셋 복사하여 +3/+3인 상태로 내 덱에 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e7af65306c4f57733cde5f0d9c6f780239056a74800f5339e46744afc5a29b1b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/41a010dd3278bca8446ceaef07febe31a4530a05e3d7bb80248cdb295e0f1478.png"	"당연히 킁킁이죠. 그것도 세 번 더."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ed4e48f119c0d42d17c63413cfb893add304cd3995ccb630e1586b8976d654b.png"
2563	1	"2563-convert"	6	[]	5	15	3	"Dan Dos Santos"	3	"교화"	"적 하수인을 복사하여 내 손으로 가져옵니다. 그 하수인의 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/247f96383d543a7c5602bc99d387aebc0da866f768eced252a21a3b0eec8d62a.png"	""	"\"좋은 말씀 전하러 왔습니다...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a725f904f3dbe81718c3aab59804485a0e2b4c3a017502402f3499d5313672a.png"
101566	1	"101566-forbidden-fruit"	2	[]	5	1858	3	"BOSi Studio"	0	"금단의 과일"	"마나를 모두 소모합니다. <b>선택</b> - 소모한 마나만큼 이번 턴에 공격력을 얻습니다. 또는 2배만큼 방어도를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e7dba93b4abc0480ebfad5e67a303e7dbbda49c42b64146654be99da77c6d58.png"	""	"좋은 치과 원장님을 아신다면 금지하진 않겠습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd0e7cde932d51ebf81fc3a70a9c59c396ae0fb7668dca2352d85f7ccc5dd658.png"
