id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	copyOfCardId
69954	1	"69954-upgrade"	10	[]	5	1646	3	"Matt Cavotta"	1	"강화!"	"내가 무기를 장착하고 있으면, +1/+1을 부여합니다. 무기가 없다면 1/3 무기를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1003b922b88b4661c37c360833bc9ee0150a80b16d7f535d5ed248d7b5f5a28.png"	""	"상대편의 스트레스 지수도 높아집니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d54f8b3d141795722b73403bb688ab5fbabe6daf963dfb6fb82021cf4ddb22b.png"	[1661]	511
68316	1	"68316-wild-growth"	2	[]	5	1646	2	"James Ryman"	2	"급속 성장"	"빈 마나 수정을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d63d5f6f720af3506dc1918aa728c289f96685241e0215ee7b04df04bbcf23e.png"	""	"마나 수정 재배기로 자신만의 마나 수정을 키우세요! 믿을 수 없는 가격! 39,900 골드!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0e79705c6fcc0b6c6da07262a983ed71abf978002f6651e98945116b1b29e6f.png"	[1725]	1124
69952	1	"69952-brawl"	10	[]	5	1646	4	"Wayne Reynolds"	5	"난투"	"무작위 하수인 하나를 제외한 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d71c1b335b9fa88bb989b715c9c2a4b74b3fa336ae323fbf89038ec31e241aa0.png"	""	"싸움꾼 조합의 첫 번째 규칙이 뭐죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb029c305f4101f2254c9fe424e59d8f16fc1824ed57c7b062fd07077c824a5b.png"	[69950]	75
102628	1	"102628-call-in-the-finishers"	8	[]	5	1898	1	"Mike Sass"	3	"멀록단 출동"	"1/1 멀록을 4마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf853f587a62eaabd235ef32cd9518a8bc70f936b8d7dfae6cb2565ddf35194a.png"	""	"일을 끝내야 하지만 어떻게 끝내든 상관없을 때 출동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6726f92231fe5b5b8ab52f3723242673cd0c8c2eb43a94f5d1dfaa31672ae89.png"	[42223]	40419
68319	1	"68319-polymorph"	4	[]	5	1646	2	"Vance Kovacs"	4	"변이"	"하수인을 1/1 양으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dbe3947dae05e71b200aca2b28c65987b3b8e5a35e9a867a0e68721a4fa9ca6a.png"	""	"이 카드로 '말'장난을 만들어 보려고 했는데... '양'장난이 되었네요. 길어져서 죄송합니다. 재미가 없으면 '양'으로라도 승부해야죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2bea12f20d38593270f860f11482f606c4bb0105d70ec49e3f7ea1e23ce5c243.png"	[68419]	77
69931	1	"69931-mindgames"	6	[]	5	1646	4	"Zoltan & Gabor"	4	"심리 조작"	"상대편의 덱에서 무작위 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd717384a643e2faa994020aa173ef52773dba65ce168f8fc546eb0f3a70dcf3.png"	""	"인생은 한 방입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eec92aa97e842d6112ba420a109397543ae3d30caa05fe67e2d28d008abe9f57.png"	[70461]	145
69922	1	"69922-sense-demons"	9	[]	5	1646	1	"Raven Mimura"	3	"악마 감지"	"내 덱에서 악마를 둘 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7945ac26879c4ed308ced380c09a1b2301bb375d8ee92f7433416e4eb7dc56da.png"	""	"일반적으로 악마들은 굉장히 눈에 띄는 존재여서, 굳이 주문까지 사용하지 않아도 감지할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a860ffde1136f556e8fcca76f264c28895d29a1796a8755ecffb29ca9c61cd4.png"	[1723]	860
68529	1	"68529-animal-companion"	3	[]	5	1646	2	"Wei Wang"	3	"야생의 벗"	"무작위 동료 야수를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d3b127688c460b52d05ee5e232bcfe390ce1afbfedfa54b017325abd05072aa.png"	""	"미샤나 레오크, 혹은 킁킁이를 소환할 수 있습니다! 근데 킁킁이는 좀 말썽꾸러기라는 거."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e9b98a386920e7d04c19d57db1f826a43eb58f45b8167945280415f43d99934b.png"	[68533,68531,68530]	437
69868	1	"69868-power-of-the-wild"	2	[]	5	1646	1	"Steve Tappin"	2	"야생의 힘"	"<b>선택 -</b> 내 하수인들에게 +1/+1을 부여합니다. 또는 3/2 표범을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52988880825f4fa8b16dd03e37a312633a882a84d3ab55d7327799cc53342485.png"	""	"표범을 만났을 땐 표범과 눈을 마주치지 마십시오. 아니, '계속 표범의 눈을 보십시오'였던가? 뭐 둘 중 하나였던 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68d5d7edc591357caffdda80c03d8f00f56d0dcc273cbb99ecc72008b1c473de.png"	[812]	503
70062	1	"70062-shadowform"	6	[]	5	1646	4	"Alex Horley Orlandelli"	3	"어둠의 형상"	"내 영웅 능력이 '피해를 2 줍니다.'로 바뀝니다. (이미 어둠의 형상이었다면 3)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c81eeef5cc5dc5bb6602e607d4fa3d6d48a7fdec0fa5f37b668608b5f1ce081f.png"	""	"빛을 어둠으로 돌리는 건 쉽지만, 어둠을 빛으로 돌리는 건 어렵다는 걸 보여주는 좋은 예라고 할 수 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/79cb36c9dc01ea8a56385cd20c29c9b721619f8c209a4321b19ddead7ee83d19.png"	[1623,1622]	1368
69924	1	"69924-bane-of-doom"	9	[]	5	1646	4	"Raymond Swanland"	5	"운명의 파멸"	"캐릭터에게 피해를 2 줍니다. 이 피해로 대상이 죽으면, 무작위 악마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1bd0da6540ab98a3e664001bd15126a222b35a14b7a11ebe3333aeea76bc836d.png"	""	"임프도 악마입니다. 현명하게 선택하세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/874905e803203de4b822474462ceaebf303aca9e81dde80d3406c30c7ec335bf.png"	[69751,68347,69923,68346,69913,68460]	23
