id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	copyOfCardId
69967	1	"69967-unleash-the-hounds"	3	[]	5	1646	1	"Linggar Bramanty"	3	"개들을 풀어라"	"적 하수인 하나당 <b>돌진</b> 능력이 있는 1/1 사냥개를 1마리씩 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/382f4e0ef30deb2d04c11195fd3adc4330284fbaf88bc87a81ade8fadbda82b1.png"	""	"이 카드를 낼 때마다 \"물어!\"라고 크게 외쳐야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e33ff64c85bf746e7fe96952f53e4329ee9c2db6cd50f846570660430f05e73.png"	[1715]	[4]	1243
102544	1	"102544-ball-of-spiders"	3	[]	5	1898	3	"Skan Srisuwan"	3	"거미떼"	"\"<b>죽음의 메아리:</b> 무작위 야수를 얻음\" 능력이 있는 1/1 그물거미를 셋 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c11a571c01ffcf56cc1c1cf132825c87c3960cd6463f69f5e377c083b8283ba0.png"	""	"이젠 개들에 이어서 거미까지 푸는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af717eb31e487f70d7e12c89c616596086ef7367b35bf987349f8d599dceb767.png"	[1860]	[12]	2483
69856	1	"69856-noble-sacrifice"	5	[]	5	1646	1	"Zoltan & Gabor"	1	"고귀한 희생"	"<b>비밀:</b> 적이 공격할 때, 대신 맞아주는 2/1 수호자를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/250015475d5450fa2633b5b8bf84ebbfa5640f0d8baa81e68c479b6247c0e5e3.png"	""	"아아, 못다핀 꽃 한 송이, 그대의 이름은 \"수호자\"!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9fbb0c4ebf6003d27d22ff105a9c9c615a8810820ce6f0498935eb3e7e098b2e.png"	[102,71411]	[5]	584
69971	1	"69971-snake-trap"	3	[]	5	1646	4	"Bernie Kang"	2	"뱀 덫"	"<b>비밀:</b> 내 하수인이 공격받으면, 1/1 뱀을 3마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b17481c301ebeb478bfde44b9d2ed3d620547f0f9fa02fa5f3d37d72d80d5cc.png"	""	"왜 하필 뱀이야?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d5c3f04ab9ec69d60ee5e965f319def6568792e44c916ac6f691cba465d86d4a.png"	[71306,204]	[5]	455
68455	1	"68455-hex"	8	[]	5	1646	2	"Steve Hui"	3	"사술"	"하수인을 <b>도발</b> 능력이 있는 0/1 개구리로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/84dc5fcc5c6c714c162d939760d29b0c18640ffbb7247df35dc945875e33e8d8.png"	""	"멀록에게 사술을 써보셨나요? 네, 외관 상 큰 변화는 없을 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1990def880d90b18d1fd926860d20520280ee80bdce04874bb5324b40c0ccc9b.png"	[548]	[1]	766
69867	1	"69867-soul-of-the-forest"	2	[]	5	1646	1	"Markus Erdt"	4	"숲의 영혼"	"내 하수인들에게 \"<b>죽음의 메아리:</b> 2/2 나무정령을 소환함\" 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8392cdcc38fc58dd37607435ae3c8c81c3f171a2c516454b2c45843c6254c677.png"	""	"식목일에 쓰면 더 좋습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aac8b4fde34bb9aa97715dfe73031a23827912776a6490a811cc88cf71a10ccc.png"	[678,41432]	[12]	381
69897	1	"69897-feral-spirit"	8	[]	5	1646	3	"Clint Langley"	3	"야수 정령"	"<b>도발</b> 능력이 있는 2/3 늑대 정령을 둘 소환합니다. <b>과부하:</b> (2)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e14c7f5ef6b4f279cfee185b096c1e7d8b6f858f9779543da5ab84715354ef36.png"	""	"늑대 정령들은 일반 늑대와 유사하지만 발바닥이 더 보들보들하다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68e424b263854c84516646b2ed8db8c933dcf99c3844ee30918301942b72ff80.png"	[70065]	[1,14]	238
70981	1	"70981-force-of-nature"	2	[]	5	1646	4	"Trevor Jacobs"	6	"자연의 군대"	"<b>돌진</b> 능력이 있는 2/2 나무정령을 셋 소환합니다. 이들은 내 턴이 끝날 때 모두 죽습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89a513bce1bd1cba868ba982c5c78abda26164965504561eeca324020d1274fa.png"	""	"\"이 나무들 밑에서 한숨 자야겠어. 잠깐... 으아아아아악!\" - 운 나쁜 노움, 블링크피즈"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e7a3cf08650a0dd86f24844c1a49e4c7317f861a1731b948dd39199d085f67ad.png"	[71310]	[4]	493
70102	1	"70102-spellbender"	4	[]	5	1646	4	"Gonzalo Ordonez"	3	"주문왜곡사"	"<b>비밀:</b> 적이 하수인에게 주문을 시전하면, 그 효과를 대신 받는 1/3 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6eee6e64660b79cd400229515a472a8d10a6d7b7be6b70f9aac74162aa750224.png"	""	"적의 번개 화살을 훔치는 건 즐거운 일이지만, 주문왜곡사들은 오히려 야생의 징표를 훔치는 걸 훨씬 좋아합니다. 그게 더 재미있거든요. 블러드 엘프들이 원래 좀... 야비하잖아요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a3f2d0cb05ab95da658bebfcd45c16ecd51312cb4a1b3b7317afb57d6f09f76.png"	[71307,1086]	[5]	366
68325	1	"68325-mirror-image"	4	[]	5	1646	2	"Jim Nelson"	1	"환영 복제"	"0/2 <b>도발</b> 하수인을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e495bbe8831d3da7440dd60af959bd6a44c43cafa2e29d80dfe3b4621a9eacc.png"	""	"와 환영 복제다! !다제복 영환 와"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf933568cab43b474fad0d9ea18d097126669de4d2791eef7062c0fcfc131da0.png"	[68418]	[1]	1084
