id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	attack	manaCost	durability	name	text	image	imageGold	flavorText	cropImage
59233	1	"59233-trueaim-crescent"	14	[14,3]	7	1443	4	"Kagi"	1	1	4	"정조준 초승달궁"	"내 영웅이 하수인을 공격한 후에, 아군 하수인들도 그 하수인을 공격합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8e96b5d803ea21b8f4861212ebdb176da2de79a31a0993fed1a5b8c249384c90.png"	""	"좋게 손으로 가리켰으면 어디 덧나나요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ace343d40c7b678e2856bdc6ea7c29aae505f18853ca8a1aed7ff97eee3225db.png"
56900	1	"56900-warglaives-of-azzinoth"	14	[]	7	1414	4	"SARIYA"	3	6	4	"아지노스의 쌍날검"	"내 영웅이 하수인을 공격한 후에, 다시 공격할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aca1de7b3d8c4d5e0aff04c7166abb742f266d86f6dcb0f3c7ed16887609c5bf.png"	""	"보이지 않는 깊은 곳에서부터 초록빛으로 메아리치는 칼날, 그 지옥불꽃의 희미한 빛에서 소용돌이치는 어두운 꿈을 보았네."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e66d0b21c9e605bf1299d2bf89a5e73c27632ce346f7336186d22e294ec8915a.png"
56905	1	"56905-flamereaper"	14	[]	7	1463	4	"Akkapoj T."	4	7	3	"불꽃수확자"	"내 영웅이 공격하는 대상 양옆의 하수인들에게도 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6c864ba4c52e15a043c69b6724ad801123c1ee47b692c3b7b6642fdd5a31a54.png"	""	"불꽃수확자보다는 불꽃뿌리개가 더 정확한 이름일지도 모르겠네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e09854365b871c5b88f91379961c8dac91ab220264f81f72ec156081ebc137ea.png"
54923	1	"54923-stormhammer"	3	[]	7	1347	4	"Jason Kang"	3	3	2	"폭풍망치"	"내 전장에 용족이 있으면, 내구도를 잃지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/75ea5a7d91794e3f95dd82b2dbe0eb37201ee887e7af0fffa28cc19ee7f3d912.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9beaaac6cc2e85926af9ddbaee1d6c087117cacdf037a383f589cb63d19548fa.png"	"고요함 뒤에는 언제나 폭풍망치가 몰아치는 법이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9dbe257bd8235293d80f54efc485fce363a739fc519753820af0641ce9687407.png"
43426	1	"43426-aluneth"	4	[]	7	1004	5	"Izzy Hoover"	0	6	3	"알루네스"	"내 턴이 끝날 때, 카드를 3장 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d18cd1384469ca5d477b542d881b0a700d4390da0f0e7122885034ff68250c65.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06f5b1efef564e72035a2221453a649183e6754d9b4e8d5f2434a7feb6b50003.png"	"눈부신 비전 마력을 담기엔... 작은 그릇이긴 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba9121f71edc578d0cebb1e95efdae44284cc052b53ca804300748a1749d17cc.jpg"
383	1	"383-lights-justice"	5	[]	7	2	2	"Glenn Rane"	1	1	4	"빛의 정의"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b8313f4386b409b0349e2e86dc702d1b97b3eb60dda4b5b4ab0beb61c29b86be.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/45c2a1c38ff57cf2faead5a3a5a11b674defea72cc97eb342e7c326b3ca08fcc.png"	"공작 말체자르는 희귀한 무기를 모으는 수집가였습니다. 무기를 살아 움직이게 하고는 자신 앞에서 춤추게 했죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9360b20b8e47a5ac5970575225deafc20fce09b2cf68aa6889332cdb37ba02ce.png"
643	1	"643-sword-of-justice"	5	[]	7	3	4	"Efrem Palacios"	1	3	5	"정의의 칼날"	"내 하수인이 소환된 후에, 그 하수인에게 +1/+1을 부여하고 내구도를 1 잃습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/11435144159eff2c5de6fcbc853c563d2b7b7714090596569c7f06305839f1ae.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/be8565f7eb8021d2873bb1f69a03b2a5505128c2aaceb6f7753ed5db6bf822c6.png"	"소 엉치살 잘라내기에 딱 좋습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a68a62edd703da32f3a382a0e0fddcb296de6bc5fc3c9707b99fa2ebb1ebf831.png"
45782	1	"45782-unidentified-maul"	5	[]	7	1004	3	"Dan Scott"	2	3	2	"정체불명의 망치"	"내 손에서 추가 효과를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/98c066ec7a70f65df96b26b352b9e5ba606c50f16c2b66a1c132c53628867436.png"	""	"정체불명의 망치를 줬으면 정체불명의 못도 줘야 하는 거 아닌가요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d1bd21f13aec645b2c34a6186c5fc5e619b478fce7f9c16d1ae81422e283a25.jpg"
56443	1	"56443-underlight-angling-rod"	5	[]	7	1414	4	"Jason Kang"	3	3	2	"미명 낚싯대"	"내 영웅이 공격한 후에, 무작위 멀록을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/88125f38041c8e2b69b9fcff08d854f75270e005cd7c793957eb7579fc361bdc.png"	""	"\"멀척이다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cf0f2bb01915166c093694ce692a10ce45ec0ce22a65789949190206fa22cf4.png"
847	1	"847-truesilver-champion"	5	[]	7	2	2	"Ryan Sook"	4	4	2	"용사의 진은검"	"내 영웅이 공격할 때마다 생명력을 2 회복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d06b41a06dc3d2e270ed8578a4931ddf6bbc03b765b93715ccc76510ac05383c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c7f0f2ac7f0f8bbe1cf0d683abc31b862eed1b19639e6d4836090c4de84a5e5.png"	"베고 찌르는 것 이외에 통조림을 따는 용도로도 쓸 수 있지만... 권하지는 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/86b46adc4ad19703827a6662741524a15d8294336b9a95fc59b72e3b5ab0cdd0.png"
