id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId
69945	1	"69945-slam"	10	[]	5	1646	1	"E. M. Gist"	2	"격돌"	"하수인에게 피해를 2 줍니다. 그 하수인이 생존하면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4cb61e0cefacc5e0395a0312b55b7b73f8db945ef2c93aaf3d02bf0a3b179e18.png"	""	"난 딱 죽지 않을 만큼만 패지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/36cb9e0596acd2f12b91efb9a3b0c3306b12e7dd3903373c99a84774f18e4428.png"	1074
68462	1	"68462-humility"	5	[]	5	1646	2	"Daren Bader"	1	"겸손"	"하수인의 공격력을 1로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9e1801632cd0833c975f4f6e9b8e4f8e215d263a4bca11d909da3249ff019dde.png"	""	"이래서 겸손이 힘든 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30254b38fbf1766ba5f71de2ae62a62f1b47b76901562e85d037e9b4cf48b596.png"	854
102576	1	"102576-enter-the-coliseum"	5	[]	5	1898	4	"Mauricio Herrera"	3	"경기장 입장"	"각 플레이어의 전장에서 공격력이 가장 높은 하수인을 제외한 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3ac5c174cdaef5318c73f1b9e0e84829f6dbee7f1ee3260ec047851c1ce9b45.png"	""	"가는 길에 있는 행상인들을 조심하세요. 마구 사다 보면 헤어 나올 수 없을 겁니다..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a9eaa94190156afdc593e8df4fccacccb1713e260d730d684077a2381def9fc9.png"	2654
69753	1	"69753-rampage"	10	[]	5	1646	1	"Jonboy Meyers"	2	"광란"	"피해를 받은 하수인에게 +3/+3을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b65cdc0312379caf781acb3f95c0d98427c3553ba82f7424fb989394399e6a78.png"	""	"하수인 화났다. 하수인 부순다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c31fdb13b3790059179baee35e246fc82b729cb0f2748767610db0d21664e2fb.png"	1108
105566	1	"105566-convert"	6	[]	5	1898	3	"Dan Dos Santos"	3	"교화"	"적 하수인을 복사하여 내 손으로 가져옵니다. 그 카드의 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3fcf92fb850b886b118a207571b42f1c3ce4ea4d0def50bcfd8331fcb1c730aa.png"	""	"\"좋은 말씀 전하러 왔습니다...\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce9c356c1dc2f8673a1bd0aa1abfa09640de1a7086e66e42def1e0bfbd2f60f6.png"	2563
69863	1	"69863-shadowstep"	7	[]	5	1646	1	"Graven Tung"	0	"그림자 밟기"	"아군 하수인을 내 손으로 다시 가져옵니다. 그 하수인의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/027e1f74d09e847171477d8522b95dcfa864b12692a73393155b2b1af58accc6.png"	""	"도적 무용단은 가끔 공연의 마지막을 그림자 밟기로 장식하곤 합니다. 관객들의 호응이 엄청나거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/823e4025544feee145ca766f78d0dcbcbf7adae1c8a27d03c5da8736d4e07cc6.png"	365
68348	1	"68348-backstab"	7	[]	5	1646	2	"Michael Sutfin"	0	"기습"	"피해를 받지 않은 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/607d2cdf3580402fdb2f4ad238716d4817bdbfbc4356fc7c5169e4cb42f5e801.png"	""	"사실 이 기술은 \"저게 뭐지?!\" 라는 말을 듣고 등을 보인 적에게 사용하는 기술입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/42b9307705362b24fa4d4944836df09857cebc9289ad8c468cc4fd7314aa5e03.png"	180
103228	1	"103228-bouncing-blade"	10	[]	5	1898	4	"Andrew Hou"	2	"날뛰는 톱날"	"무작위 하수인에게 피해를 1 줍니다. 하수인이 죽을 때까지 반복됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/752f393607628bfa6abf2fb53764bcc8f34d9f5dadef3978951d2621fa92313a.png"	""	"고블린들만큼은 이게 꽤 괜찮은 무기라고 생각하고 있었는데 이제는 좀 생각이 바뀌고 있답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a851fc62cbbb1d433f8069faa32e4b04e4b203f9efa371276304e4b47aaa877.png"	2018
70047	1	"70047-inner-rage"	10	[]	5	1646	1	"Slawomir Maniak"	0	"내면의 분노"	"하수인에게 피해를 1 주고 공격력을 +2 증가시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7d7c8a892435177906ab217a3830788855047e6c5590dce56ca3bb30d189121.png"	""	"이것으로 우리는 빛샘도, 소환의 문도 모두 감정이 있다는 걸 알 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b9708bebd3c456597425547cdb5e4cf848125f1b076c91f6aa5948f8bf36ffc.png"	22
69746	1	"69746-inner-fire"	6	[]	5	1646	1	"Steve Prescott"	1	"내면의 열정"	"하수인의 공격력을 생명력과 같은 수치로 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd67a0d51d41b679c84ae86e6fe3cadba1160d7afb898ba4aebde5fa9b5b9180.png"	""	"추천: 하수인 강화하기. 비추: 불모의 땅에서 대화 상대 찾기"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f2d7477002c28ea0b60538efe3d400be9f3a12be49078bc16452b83cf723d14.png"	376
