id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	duels
38655	1	"38655-wisps-of-the-old-gods"	2	[]	4	5	21	4	"Skan Srisuwan"	7	"고대 신의 위습"	"<b>선택 -</b> 1/1 위습을 7마리 소환합니다. 또는 내 하수인들에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5ce24c08e13d3e702ef00a54e292547af9be2eecbe3ba12ed6730cf76361773.png"	""	"사실 보통 위습이랑 다를 바가 없습니다. \"고대 신의\"라는 호칭이 몸값을 올려줘서 선택했다고 하는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca205afcbe967303f4644495739d895c2b6719b781834bc28aa8d261e9264956.png"	[38653]	{"relevant":true,"constructed":true}
71292	1	"71292-curse-of-agony"	9	[]	6	5	1626	3	"Slawomir Maniak"	1	"고통의 저주"	"고통 셋을 상대편의 덱에 섞어 넣습니다. 뽑으면 탈진 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0c0c5f77709f1319a6814387c7eeece296d40c6dc834e1ab06bbebac83a1010.png"	""	"이제 내 고통을 알게 되리라, 이 어리석은 놈들아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6fc9ecec296d8e3770289b9626e2584a95c0f4b3f7d6e7d398fa49d24d7637a5.png"	[71291]	{"relevant":true,"constructed":true}
62878	1	"62878-condemn-rank-1"	6	[]	5	5	1525	4	"James Ryman"	2	"규탄 (1 레벨)"	"모든 적 하수인에게 피해를 1 줍니다. <i>(보유한 마나가 5일때 강화됩니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3d9ce72ce66626494868d1a592bd92d60c2998a6a3616896fe38272c2bd64a9.png"	""	"“당신들을 해치지 않으려 했으나, 당신들의 잔혹함은 빛의 이름으로 용서치 않겠어요!” 자이렐라는 처음과 다른 결론에 도달했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/220348f1e5bd90caf7eca16ee637eac02485c2579a602ff4705b3882bd1e3031.png"	[62883,62884]	{"relevant":true,"constructed":true}
38454	1	"38454-forbidden-ritual"	9	[]	6	5	21	3	"Evgeniy Zaqumyennyy"	0	"금단의 의식"	"마나를 모두 소모합니다. 소모한만큼 1/1 촉수를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f88e1d516afe6beec32eeadb5e8ba52c0a93be3a4d4a22619edc6116ac48ed42.png"	""	"금단이라고는 하지만 크툰은 이 의식을 매우 지지합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5413eac33b63d6b5fa34d4d158bc8532ef530b2ed2ac843a60ccef8d30c6c8bc.png"	[38453]	{"relevant":true,"constructed":true}
1124	1	"1124-wild-growth"	2	[]	4	5	1635	2	"James Ryman"	3	"급속 성장"	"빈 마나 수정을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b1d876e7a4885a94fc175331c78fd711a37edfbb08a9844602bccacb464b471.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1ee5f3eeb90fccf79b4783df6a0144bffabdc98fabbb9965a750ed410572a44.png"	"마나 수정 재배기로 자신만의 마나 수정을 키우세요! 믿을 수 없는 가격! 39,900 골드!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0e79705c6fcc0b6c6da07262a983ed71abf978002f6651e98945116b1b29e6f.png"	[1725]	{"relevant":true,"constructed":true}
1933	1	"1933-light-of-the-naaru"	6	[]	5	5	13	3	"Jesper Ejsing"	1	"나루의 빛"	"생명력을 3 회복시킵니다. 그래도 대상이 피해를 받은 상태라면, 빛의 감시자를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee3d49c3bbeaf626e13aac3e76766c82cdda1eee95bcf0db7cb094c9f992f79f.png"	""	"주의: 대상의 눈과 입에서 하루 종일 빛이 발사될 수 있음"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/920f6ad24ef2d7acaab829c74c2dbaa04021c3f086c8234cdba540c4b8743857.png"	[1655]	{"relevant":true,"constructed":true}
65684	1	"65684-arcane-overflow"	4	[]	1	5	1578	3	"Arthur Gimaldinov"	5	"넘쳐나는 비전"	"적 하수인에게 피해를 8 줍니다. 초과한 피해량과 능력치가 같은 비전 잔여물을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4def338fc670baa623d83a7522adce9b773671deee5502defa00e83e5964e930.png"	""	"이 배에서는 머리를 쓸 줄 모른다면 물에 뜰 줄은 알아야 할 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f8997097cc7b7ecfdac0c6b7b3fe28aed30110e725a4245e56a5c866d7c300a.png"	[69499]	{"relevant":true,"constructed":true}
67224	1	"67224-mass-polymorph"	4	[]	1	5	1626	4	"Matt Dixon"	7	"대규모 변이"	"<b>모든</b> 하수인을 1/1 양으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0da2399744aa56444cec2962d7df80118fd3fe9789311e20b5f8d67b06298c0.png"	""	"서리늑대의 탈을 쓴 양입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/177471e4ae9c291416da0145ae746daa5173fd761ee637948f274d2768112ae6.png"	[72677]	{"relevant":true,"constructed":true}
1802	1	"1802-poison-seeds"	2	[]	4	5	12	1	"Brian Despain"	4	"독성 씨앗"	"<b>모든</b> 하수인을 처치하고 2/2 나무정령으로 교체합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b4352e4bfb6716452f2258748314432b282ac601f441225c8a792063035c0c02.png"	""	"우리 아제로스 푸르게 푸르게"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57e68a0a5de662901e1e6e24a3f8e24276a8021a3a25b867ea86e59475021750.png"	[1803]	{"relevant":true,"constructed":true}
64894	1	"64894-dark-alley-pact"	9	[]	6	5	1578	3	"Mauricio Herrera"	4	"뒷골목의 서약"	"마귀를 소환합니다. 능력치는 내 손에 있는 카드 수와 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd75538b2c4e2b03105882c7ae6305b3e3ec13c6bbfe20c18d3d12ad6fb3789e.png"	""	"\"덕분에 이 골목에도 빛이 들어오겠어요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/850ad3de7025748fe3bafacebb3467ed0f419acb3e997bc820b6a1ac3f1c6f76.png"	[67810]	{"relevant":true,"constructed":true}
