id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage
58487	1	"58487-battlefiend"	14	[]	15	4	1463	1	"Andrew Hou"	2	1	1	"더러운 마귀"	"내 영웅이 공격한 후에, 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cabc94b48cf243dd8eb4bbeeb2522a1c71898cabc8dc16f5b7b66d8a10be50fd.png"	""	"머리에 달린 도끼는 우스꽝스럽게 보일지 몰라도 최고의 효율성을 자랑하는 무기랍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/465fca2734fdbc0e5039098359bf8e1cdcf35935754bc4949c4d4b9ff773db6f.png"
56649	1	"56649-imprisoned-antaen"	14	[]	15	4	1414	3	"Rafael Zanchetin"	6	10	6	"사로잡힌 안타엔"	"2턴 동안 <b>휴면</b> 상태입니다. 깨어나면, 모든 적에게 10의 피해를 무작위로 나누어 입힙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a33042f78694f43b4d895b9f7f821c072f54b1de95d0c3fac861502fa1be4b7.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9edf2215252c35c25d5ea65b19ea8d44b4b25eaa5f494f6651aff8a14e274e86.png"	"빅사이즈 수갑 파는 곳 아시는 분?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bfd9a4ef217e52bbb7f5967b27a6999bcf4b552a438c021dd00cd84a280cef1f.png"
58455	1	"58455-priestess-of-fury"	14	[]	15	4	1414	3	"Bayard Wu"	5	6	7	"분노의 여사제"	"내 턴이 끝날 때, 모든 적에게 6의 피해를 무작위로 나누어 입힙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3dc1b7af237d76f675c8e310ca07097b275e100c7adc166197c01c579fdc826d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f527fd67672974c66d3dad594001a9c74e64a4cd33f2254f42b8afb73232bc1b.png"	"눈먼 감시자가 여덟 개의 쌍날검을 가지고 있는 걸 본 뒤, 자신의 쌍날검이 여섯 개뿐이라는 사실에 분노하고 있습니다. 남의 칼이 더 커 보이는 법이라더니."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/182bf62101d1d9224a2e1be08602c5c879498a715b158476d51a84eae7a1deb8.png"
60143	1	"60143-ancient-void-hound"	14	[]	15	4	1443	4	"Jaemin Kim"	10	10	9	"고대의 공허 사냥개"	"내 턴이 끝날 때, 모든 적 하수인으로부터 공격력과 생명력을 1씩 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/70d4ed02e6fb63d67dff50640514db4c89a7dd4866545d953cef22ac04abfbfd.png"	""	"내 1/1 공허 깜찍이는 어떻게 된 거야?!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bf9596241b12fc2350f54033f66ecf75594075c6c9be5eaf1c642d02d6545258.png"
39350	1	"39350-enchanted-raven"	2	[]	20	4	23	1	"Daria Tuzova"	2	2	1	"마력 깃든 까마귀"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b5511ec2a37ab53bd7a7339f9eb633283607c73c015ee6614503b42471cc7f4.png"	""	"곡물을 가져와라! 내겐 곡물이 필요하다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/573b17580501e62cc6ae71461e607a6fce630f170fc264946df82a99d93135f8.jpg"
38916	1	"38916-addled-grizzly"	2	[]	20	4	21	3	"Andrew Hou"	2	2	3	"혼란스러운 드루이드"	"내 하수인이 소환된 후에, 그 하수인에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/32e5de54c16a32f1bf064078a8b473759a8a6868959ef68c09686174180aa4e9.png"	""	"곰으로 변신한 채로 너무 오래 있으면 고대 신의 속삭임에 더 쉽게 홀린다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b0d5a7c06963f47ace4bdaf785fb0d14d4088639aa3ae2cfb425ab798f761e7.jpg"
56676	1	"56676-imprisoned-satyr"	2	[]	15	4	1414	1	"Mike Sass"	3	3	3	"사로잡힌 사티로스"	"2턴 동안 <b>휴면</b> 상태입니다. 깨어나면, 내 손에 있는 무작위 하수인의 비용이 (5) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/38aeaa1ef908c1bad95b8a80281fa6a9fd39bbe9caf0e668a96bdbd09ead6440.png"	""	"\"일후프의 할인 가판대에 오신 것을 환영합니다! 동면에서 깬 순간 고정관념을 깬 가격으로 모십니다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/18e6808da1ea20a25f3da5917cf13084ca8cd283c52bb8242466bf4766ae19cd.png"
49985	1	"49985-gonk-the-raptor"	2	[]	20	4	1129	5	"Christopher Hayes"	9	4	7	"랩터 공크"	"내 영웅이 공격하여 하수인을 처치한 후에, 내 영웅이 다시 공격할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a24a1d2e241d26a55aa9a7ee49953d29c401c3b98f6b0a15005fe0cf569af324.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8841e48016b977496b06ce9746f00fb1583136b0201aeed57c3fd4e10a22dbaf.png"	"공크에게 복종하지 않는 잔달라 드루이드들을 지칭하는 말이 있습니다. \"저녁 식사\"."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7cff0153d6ee75d2ea4825529f0f16ec48711678c791fe50533adc7767812dd7.png"
41954	1	"41954-tyrantus"	2	[]	20	4	27	5	"Chris Rahn"	12	12	10	"티란투스"	"주문이나 영웅 능력의 대상으로 지정되지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/35dfdc0612579924df0caab77f197bbc1c818ea90bbf96842a0e75b265a9f746.png"	""	"수만 년에 걸쳐 진화한 결과, 이들은 오늘날의 요정용이 되었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba2cdff72e6af8f24f0c47fb7f98a7cfaba58f84a53fba17fa4ba62aba8a061a.jpg"
606	1	"606-timber-wolf"	3	[]	20	4	2	2	"Malcolm Davis"	1	1	1	"회갈색 늑대"	"내 다른 야수들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/317b38845b777cdf970161fc4223b185e0a8b8f82cb02d1cabee75297035f66f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/12ab70f82e120bdc06412ce151b78d268306305080b7b87caa4284e617e7ec39.png"	"다른 야수들의 사랑을 독차지한답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8304b6807f2367c5ccf0aae766e59b8ced9b236431318aaf8c4fb8a451035f9f.png"
