id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	attack	manaCost	durability	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
59089	1	"59089-marrowslicer"	14	[]	7	1443	1	"Akkapoj T."	4	4	2	"골수절단기"	"<b>전투의 함성:</b> 영혼 파편을 내 덱에 둘 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9bd84305fa113c73bf194148b8f8f73d6df97487f1fa735f912bd453271883b.png"	""	"얼음왕관 성채의 첫 우두머리를 처치하기 딱 좋은 무기입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5df0c40bc39bfde99875e4712c98f2d44fd1fe40cf241c7b534150b6ebe500eb.png"	[59723]	[8]	{"relevant":true,"constructed":true}
56587	1	"56587-umberwing"	14	[]	7	1463	1	"Kagi"	1	2	2	"그늘날개"	"<b>전투의 함성:</b> 1/1 지옥날개를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/41b4c159c42a5d96c7e532db232647621ba5285162e112529ceb9d801a4be723.png"	""	"악마사냥꾼이 부르는 애칭은 \"파닥파닥 박쥐무기\"라고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d4e0779c31c98f3162e2d352f7f21f34308e1f5af3fcb15a8d659f75e3e110f8.png"	[56592]	[8]	{"relevant":true,"constructed":true}
61189	1	"61189-hammer-of-the-naaru"	5	[]	7	1466	4	"SARIYA"	3	6	3	"나루의 망치"	"<b>전투의 함성:</b> <b>도발</b> 능력이 있는 6/6 신성 정령을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba15c76c47d1a260d889f7c5f7a36c51f0ef45abc550f95a440a329fe6793335.png"	""	"나루가 휘둘렀을 리가 없습니다. 그들은 팔이 없으니까요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ad47b2a8d051da6ca9cc40c2d8b276b65b505ed584bcc3a635c904228a9ea49.png"	[62190]	[1,8]	{"relevant":true,"constructed":true}
46263	1	"46263-valanyr"	5	[]	7	1004	5	"James Ryman"	4	6	2	"발아니르"	"<b>죽음의 메아리:</b> 내 손에 있는 하수인에게 +4/+2를 부여합니다. 그 하수인이 죽으면, 이 무기를 다시 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/67e47dad559bc71ebe3da671b46abbc06c94318ab5bd1cbab25bbc2c102a2e60.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2580157bbe197ce41fc868f70ff0b0e2a0379491ee9843be1c5cecbf738c4989.png"	"가장 깊은 코볼트 동굴에서 발굴된 무기입니다. 특대형 양초와 교환할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4dc46792ee69bf0f36a5c414c2d9e57431f5b5324f29a9df7533099fa7264786.png"	[48373]	[12]	{"relevant":true,"constructed":true}
53860	1	"53860-desert-spear"	3	[]	7	1158	1	"Jason Kang"	1	3	3	"사막의 창"	"내 영웅이 공격한 후에, <b>속공</b> 능력이 있는 1/1 메뚜기를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2208938c6424714438595d902a8de030a94a6ee3119511818e9a4985f9175c98.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9778f6baeba7b8b27fb03de0783ccf6d36a98d94c8743d657ca35d6c1bde45b0.png"	"정통 식사 예절에 따르면 사막의 숟가락 오른쪽에 있어야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/147074e8e279010cff0e79d06c3b739096f686da749804779da853b1501b5897.png"	[53921]	[53]	{"relevant":true,"constructed":true}
61949	1	"61949-libram-of-judgment"	5	[]	7	1466	1	"Jason Kang"	5	7	3	"심판의 성서"	"<b>타락:</b> <b>생명력 흡수</b>를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d648932d1504588f5945dc62d941c98b00596eab4c8d033b94a140492a5a3bed.png"	""	"겉표지만 보고 책을 판단해선 안 돼요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d76d9f2a4224fbcf5867e353355d4fb20921f0d20ff1420ff4d99f2ef165929.png"	[61981]	[38,91]	{"relevant":true,"constructed":true}
72113	1	"72113-azsharan-trident"	10	[]	7	1658	1	"Tanamaes Leejiarasaes"	3	3	2	"아즈샤라 삼지창"	"<b>죽음의 메아리:</b> '가라앉은 삼지창'을 내 덱 맨 아래에 놓습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9cd12540367fc9ea626a1a8aaf9eb401fbf8c142709d8446e8eb0add14655bed.png"	""	"잘 만든 무기는 영원히 그 위상을 떨칩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3a2929d383dd7c6f857fad5b32b541b99ee4daffea42eb3e13f9180f3fdf27de.png"	[72114]	[12]	{"relevant":true,"constructed":true}
59408	1	"59408-ceremonial-maul"	5	[5,10]	7	1443	4	"MAR Studio"	2	3	2	"의식용 망치"	"<b>주문폭주</b>: <b>도발</b> 능력이 있는 학생을 소환합니다. 능력치는 주문의 비용과 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad5b1b6fb8a82030686fa6d47119d6555589b1e4c6768a8af707221c772622c1.png"	""	"가장 통찰력이 높은 선도부원에게 주어지는 망치입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de0cdca7dbcb7cb128dc9e740f09a16621971f3b76e03c8403d97aa75ed4c5c0.png"	[59954]	[1,88]	{"relevant":true,"constructed":true}
54389	1	"54389-livewire-lance"	10	[]	7	1158	4	"Jason Kang"	2	3	2	"전류가 흐르는 창"	"내 영웅이 공격한 후에, 무작위 <b>졸개</b>를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5f6cd92de0a92e07d7e4e84b715e5f50dd4d2ad61eda73aa01a9ba907082077.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df13239d0eda7e55c8b1044fde859e66cb737879790086335784e358ff646982.png"	"창도 무겁지만 배터리 팩이 무게가 더 나갑니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/031e02b8d4dbbbcdbc28d460e420d666796e3ec853ef4e0352fb582f3813e48c.png"	[53160,53161,53162,52897,52900,53163,55378,60588]	[71]	{"relevant":true,"constructed":true}
77311	1	"77311-imbued-axe"	10	[]	7	1691	1	"Tanamaes Leejierasaes"	2	3	3	"주입형 도끼"	"내 영웅이 공격한 후에, 피해를 받은 내 하수인들에게 +1/+2를 부여합니다. <b>주입 ( ):</b> 대신 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f70f1e37eb3e66a8c4aabf0aa9d5ba0adae85643d4ee649a8e4ea58af5360fa.png"	""	"예절 주입용 무기입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0a180c85d7acc221ec0567f9d4fd0e02e56a3eb218623a59c5c81c115808a687.png"	[79542,79552,79593,83537,79545,537,850,764,62320,79554,79595]	[238]	{"relevant":true,"constructed":true}
