id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	manaCost	armor	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
67760	1	"67760-dreadlich-tamsin"	9	[]	3	1626	5	"Arthur Gimaldinov"	30	6	5	"공포리치 탬신"	"<b>전투의 함성:</b> <b>모든</b> 하수인에게 피해를 3 줍니다. 내 덱에 균열을 셋 섞어 넣습니다. 카드를 3장 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3dadc09c332ec84832756b7352d542daa95051ecf36f79168e931589187743a5.png"	""	"죽음을 조롱하다 죽음 그 자체가 되어 버렸습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9a1762e4ae71fd7a8db8bdaa404776987f444b260a178ed77f8817eb010503d.png"	[67837,69987,67773]	[8]	{"relevant":true,"constructed":true}
777	1	"777-lord-jaraxxus"	9	[]	3	3	5	"Alex Horley Orlandelli"	30	8	5	"군주 자락서스"	"<b>전투의 함성:</b> 3/8 피의 격노를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d13e108fafb564786ff262345ec6e8f4257b7182392358fa91637cec731f454d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d276b34254d12ce2676cc84092f7b7939770dbb478e955cb59db8c691d42c27.png"	"\"벼에서 쌀을!!!!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0aaa94aa7a154ff92e29c53f8b32f54cdefbfe63ad141447c3f9137f24065734.png"	[1178,1660,1143]	[8]	{"relevant":true,"constructed":true}
67048	1	"67048-xyrella-the-devout"	6	[]	3	1626	5	"James Ryman"	30	8	5	"기원의 자이렐라"	"<b>전투의 함성:</b> 이번 게임에서 죽은 모든 아군 하수인의 <b>죽음의 메아리</b> 능력을 발동시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e782231a8f817898ffc0429b1c78c27f04b6336be6848c153ec7c7dc8ee8cff6.png"	""	"자이렐라는 자신의 행동이 그저 딸을 구하기 위함이라고 생각했습니다. 허나 어쩌면 세계를 구해낸 행동이었을지도 모릅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7dc7ff2a057b6e7955dd3a790b237a788a6b0ea748f70332cd776b588d6e9f34.png"	[67049,67050]	[8,12]	{"relevant":true,"constructed":true}
43419	1	"43419-frost-lich-jaina"	4	[]	3	1001	5	"Glenn Rane"	30	9	5	"리치 여왕 제이나"	"<b>전투의 함성:</b> 3/6 물의 정령을 소환합니다. 이번 게임에서 내 정령들이 <b>생명력 흡수</b>를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e26faa48e796cf2a21c2152ddf2e865b0afbdf4936488874dff7d2d5dbbdc96b.png"	""	"\"아서스는 버릇 없는 아이였다. 통제하지도, 이해하지도 못할 장난감들을 가지고 놀았으니. 한기를 받아들여라. 내가 너에게 얼어붙은 왕좌의 진정한 힘을 보여주겠노라.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee5fdd394985e5e6fd26e6414cd3efb45fc39a461fe119d6ff61c89ba6552373.png"	[42944,46458]	[8,38]	{"relevant":true,"constructed":true}
42987	1	"42987-thrall-deathseer"	8	[]	3	1001	5	"Jerry Mascho"	30	5	5	"사령술사 스랄"	"<b>전투의 함성:</b> 내 하수인들을 비용이 (2) 높은 무작위 하수인으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b2e7c573c8eb7edbe04c413ebb2a359838ae21a812aac243ef174f939c91913b.png"	""	"\"두려워 말고 다가오라. 망자들은 잠들 것이다... 당분간은.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d053cbd1541dbe142207dcd5df37a97ba4544764300ad62547e5a2e906ea88a5.png"	[42982]	[8]	{"relevant":true,"constructed":true}
67040	1	"67040-lightforged-cariel"	5	[]	3	1626	5	"Ursula Dorada"	30	8	5	"성전사 카리엘"	"<b>전투의 함성:</b> 모든 적에게 피해를 2 줍니다. 2/5 불굴의 방패를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b0c503bb5213c8ec89b4001a935d789aced4d9b7b4cc3d1241010f5fcab001f.png"	""	"흔들리지 않는 신념, 움직이지 않는 방패, 그리고 구원받지 못할 적들."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/56a1c1fe71237ad34df51a3a0d137e42c63aa2a9acfcac82495ed25f55617f9c.png"	[67041,70495]	[8]	{"relevant":true,"constructed":true}
43423	1	"43423-scourgelord-garrosh"	10	[]	3	1001	5	"Greg Staples"	30	8	5	"스컬지군주 가로쉬"	"<b>전투의 함성</b>: 공격 시 양옆의 하수인에게도 피해를 주는 4/3 어둠한을 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b5eb12ea0d6fef2463e9cf776041b573530d94ec8922f0976de5bad8bc35eaa.png"	""	"\"감히 내게 도전하느냐? 그래! 와서 최후의 비명을 질러라. 그러면, 넌 내것이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e39726c5b12cee54db2b380f7713210d19f0b07a4a9ad3b14be392e3699820b2.png"	[45585,45297]	[8]	{"relevant":true,"constructed":true}
66951	1	"66951-kurtrus-demon-render"	14	[]	3	1626	5	"Zoltan Boros"	30	6	5	"악마분쇄자 쿨트러스"	"<b>전투의 함성:</b> <b>속공</b> 능력이 있는 /4 악마를 둘 소환합니다. <i>(이번 게임에서 내 영웅이 공격할수록 강화됩니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/11979d7be60e4d8780f0165093c3ceaa17d4aef16d83e182595167afadcb1e29.png"	""	"\"난 악마들을 격파하는 데에 내 삶을 바쳤지만, 내 안의 악마들을 마주할 생각은 하지 못했지. 어쩌면, 나중에 내가 네 안의 악마들을 몰아내는 데에 도움이 될지도 모른다.\" - 쿨트러스가 카리엘에게"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f026947872fc7fc896ee2dc4f5a28d87431581d562d2d2a084af962e9c1e6da5.png"	[66952,67880]	[8,53]	{"relevant":true,"constructed":true}
43408	1	"43408-shadowreaper-anduin"	6	[]	3	1001	5	"Wayne Reynolds"	30	8	5	"암흑사신 안두인"	"<b>전투의 함성:</b> 공격력이 5 이상인 <b>모든</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/edbdea4cc801f439a0922b2f6bbb8a8f2415f80be7d438bf6becac2357c325d3.png"	""	"\"벨렌이 내게 절대 가르쳐주지 않은 걸 너에게 알려주마. 빛을 마주한 자들은 반드시 그림자를 드리우는 법이다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b135386def528e8ef031ff852eeac157e2efc5ba7108d2221cb5719feb7044ef.png"	[45397]	[8]	{"relevant":true,"constructed":true}
67803	1	"67803-beaststalker-tavish"	3	[]	3	1626	5	"Jim Nelson"	30	6	5	"야수추적자 타비쉬"	"<b>전투의 함성:</b> 개선된 <b>비밀</b>을 둘 <b>발견</b>하여 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/09eed4d59082b40983f96ae48b48263fb62afa22a14d6b2541627910104f5e32.png"	""	"타비쉬는 자신만의 길을 일구고자 고향을 떠났지만, 끝내 알터랙으로 돌아와 서리늑대 부족을 혼내주는 길을 택했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a6cacb82f98535039f7295bb073b11a27e6d042f6cd37edb12c187b90f9c003.png"	[67807,100,226,959,67804,67805,67808,70207,70208,71468,75069]	[5,8,21]	{"relevant":true,"constructed":true}
