id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	duels
45307	1	"45307-necrotic-geist"	12	[]	11	4	1001	1	"Ian Ameling"	3	5	6	"괴저 외눈깨비"	"내 다른 하수인이 죽을 때마다 2/2 구울을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/86f68dd78f0f37e54cd1e4e436786893c04ffb1d2a428c9af60ad2d54ce8f804.png"	""	"눈에는 눈, 구울에는 구울."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/225c4d720fcf95e18f14030289bfac2be89fc41daacf9b3725302f00731bc87f.png"	[45305]	{"relevant":true,"constructed":true}
2084	1	"2084-mekgineer-thermaplugg"	12	[]	17	4	13	5	"Trent Kaniuga"	7	9	9	"기계박사 텔마플러그"	"적 하수인이 죽을 때마다 오염된 노움을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2101b65c6695b4a25660c36b1da79baffc052d1319ac0f48bc7ebb1333e07d25.png"	""	"진심으로 상대편을 안아주고 싶어 하는 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2fb98cce83195335f05285e0c45dfa51c2219b1764a834976010d3c2dc8b5830.jpg"	[658]	{"relevant":true,"constructed":true}
66866	1	"66866-onyxia-the-broodmother"	12	[]	24	4	1637	5	"Zoltan Boros"	8	8	9	"무리어미 오닉시아"	"각 턴이 끝날 때, 내 전장을 1/1 새끼용으로 가득 채웁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/05b37a5f33baeb0190d5eea6be02fbe8c38b1f446d11eb051fd207a3556b64e7.png"	""	"도트 더 넣어요! 도트! 도트 계속 넣으라고요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/398e0752190e255bf20770cce753d833f22f2c82d065ff13b3607385595a1186.png"	[54]	{"relevant":true,"constructed":true}
86120	1	"86120-potionmaster-putricide"	7	[]	11	4	1776	5	"Ivan Fomin"	4	1	2	"물약의 달인 퓨트리사이드"	"하수인이 죽은 후에, 혼합물을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d121a5090563b67f01a0f9a0126a76826fa0634a8aaee2dc64cc63fedd5584c.png"	""	"\"좋은 소식이에요, 여러분! 전 이제 도적 카드예요!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2ee5404e489ed863e87154e6404e06d0ee35c0cc8a03f145c4ce481cb6794ac8.png"	[86156,86162,86115,86117,86157]	{"relevant":true,"constructed":true}
2079	1	"2079-mimirons-head"	12	[]	17	4	13	5	"Trent Kaniuga"	5	4	5	"미미론의 머리"	"내 턴이 시작될 때, 내 전장에 기계가 3대 이상 있으면 모두 파괴하고 V-07-TR-0N을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3efdcadce6b3d58ea4fa37f8587b7ac2751cead213dd2cc8c8cd6733fbde07b.png"	""	"빨간색 버튼을 누르지 마십시오!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2515c5b0b7e05db005c8b989a4f2cd72af0351c541488066c4b66328ef728d84.png"	[2232]	{"relevant":true,"constructed":true}
42671	1	"42671-valkyr-soulclaimer"	10	[]	11	4	1001	3	"Hideaki Takamura"	4	1	3	"발키르 영혼강탈자"	"이 하수인은 피해를 받고 생존한 후에, 2/2 구울을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/146edcf8b0e62c179f934d564e47e258547b91804db67c6d1c759f70742e7657.png"	""	"내 구울 친구가 왔으니 묫자리나 알아보시길."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d2712ae1f1913af6ab0f5fb3607cbaf2a6e48df7bd420c1c500171fda6c36d1.png"	[45305]	{"relevant":true,"constructed":true}
86119	1	"86119-vile-apothecary"	7	[]	11	4	1776	4	"Mooncolony "	4	2	3	"사악한 약제사"	"내 턴이 끝날 때, 무작위 혼합물을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9455557df2e11a559b08538f1cafb54a11a1dec5fb632ed33a76a78227d2266b.png"	""	"사악함의 정수를 보여줄 때는 민초맛을 씁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/54544da31e01102d1fe7e094aba5b864549b8d83397ad619bda143746b807f3e.png"	[86156,86162,86115,86117,86157]	{"relevant":true,"constructed":true}
58489	1	"58489-satyr-overseer"	14	[]	15	4	1635	2	"Zoltan Boros"	2	4	3	"사티로스 감독관"	"내 영웅이 공격한 후에 2/2 사티로스를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e117ff9f0d3855a1fd066cc5fa29e2f55d16a958e70144ebf1207f0b075d65b.png"	""	"의사소통 능력이 다소 떨어지는 것이 단점이지만, 유연한 인사관리 능력으로 상쇄한다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89daef90865dbc4a801a85cc21423a0dd2e22b284f854681905553417c6cef5c.png"	[58496]	{"relevant":true,"constructed":true}
65693	1	"65693-remote-controlled-golem"	10	[]	17	4	1578	4	"Konstantin Turovec"	6	3	4	"원격조종 골렘"	"이 하수인이 피해를 받은 후에, 골렘 부품 둘을 내 덱에 섞어 넣습니다. 골렘 부품을 뽑으면, 2/1 기계를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ad0af7c45fbb39ec01bd9690e2e06de69dae1e186fc1c40e997a5e729d0d258.png"	""	"통조림에 손잡이가 없다고요? 그럴 때 이 골렘에게 맡겨주세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f69f956a35f353ba82fbaa8ee026e2483d6469e10abd51100334eb1eb26971a3.png"	[65694,471]	{"relevant":true,"constructed":true}
41105	1	"41105-primalfin-totem"	8	[]	21	4	27	3	"Jakub Kasper"	3	0	2	"원시지느러미 토템"	"내 턴이 끝날 때, 1/1 멀록을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f51521efcdd02fb6a0596353e3da06cee381472f637d1f2c45e0db29126859f.png"	""	"멀록들만 들을 수 있는 소리를 냅니다. 참 다행이죠. 꽤 심기가 불편한 소리거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c842b57bf8426bc2315424ba55cf6c20da486e0b55a1e4c35f021d40affcf0c2.jpg"	[41523]	{"relevant":true,"constructed":true}
