id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds
56928	1	"56928-twin-slice"	14	[]	5	1463	1	"Maria Trepalina"	1	"쌍날 베기"	"이번 턴에 내 영웅이 공격력을 +2 얻습니다. '후속 베기'를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c2cd0f949f4bb383c20d66302fc86737f02fb67eeac099fbceca2115072f10cd.png"	""	"보셨나요? 저의 2연속 베기!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d883be7f211a09d91245130d5ca9a211c122b866f7642ea73542a96501f97331.png"	[56935]
56899	1	"56899-metamorphosis"	14	[]	5	1414	5	"Alex Horley Orlandelli"	5	"탈태"	"내 영웅 능력이 '피해를 4 줍니다.'로 바뀝니다. 2회 사용한 후에, 원래 영웅 능력으로 돌아옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f063e1d20f278cde83b3187891e821604ec21effcfa14716cfc87b430e62cb92.png"	""	"자그마한 애벌레가 아름다운 나비로 탈태하듯, 악마사냥꾼 또한 파멸과 혼돈을 불러오는 끔찍한 괴물로 탈태한답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3fb220937709a4b5c2c159fd7d411c3868eabd82e23e613c2702870519eaf50.png"	[56877]
59092	1	"59092-cycle-of-hatred"	14	[]	5	1443	3	"Anton Zemskov"	7	"증오의 순환"	"<b>모든</b> 하수인에게 피해를 3 줍니다. 처치한 하수인 하나당 3/3 영혼을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe7943175bf14003c2217a6d49c431e7c8b717d43eb174c2e338dcaf8c7f05cc.png"	""	"증오의 순환을 두 번 사용한다면 증오의 재수운환이 되나요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/007d4841f096b73dcb6db22bce0abfd04617aa2ecab858accb4bf2c2863be960.png"	[60279]
2792	1	"2792-living-roots"	2	[]	5	15	1	"Dan Brereton"	1	"살아있는 뿌리"	"<b>선택 -</b> 피해를 2 줍니다. 또는 1/1 묘목을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/03823550c22e672cfaf753ab7d1d2bdadbdc74899b3d7bac4361c1d8dd243952.png"	""	"당연히 묘목을 소환해야죠. 얼마나 귀엽습니까."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4cdcdf647dde37b0a3737507c6afd25d84e6f6cb6d689213c07720d6e33d7776.jpg"	[2789,2790,2791]
51769	1	"51769-crystal-power"	2	[]	5	1130	1	"Arthur Bozonnet"	1	"수정의 힘"	"<b>선택 -</b> 하수인에게 피해를 2 줍니다. 또는 생명력을 5 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccbd2da2a16ff330cb8c6e5af5bb7a9b0ee42eaba851962459c1d01dc29996f6.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d2e54a3667ac835c30e7858a87c084a770c4f526179056052ffb20cc7e1b9f80.png"	"치유의 수정이지만 그냥 던져도 쓸만합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d93e046a30e11aedd13c1efbef4f1449296337229d9e0d7e20c89d747c11e9b.png"	[51773,51775]
503	1	"503-power-of-the-wild"	2	[]	5	3	1	"Steve Tappin"	2	"야생의 힘"	"<b>선택 -</b> 내 하수인들에게 +1/+1을 부여합니다. 또는 3/2 표범을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2c31b6f409c474210787f450cbe5319d990981df38cd8c0921ef9d90fd0c908a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f782dfb66d0779b4450354f869beb1bbb88611b0611c6b6d03a2c3e5e1a30b82.png"	"표범을 만났을 땐 표범과 눈을 마주치지 마십시오. 아니, '계속 표범의 눈을 보십시오'였던가? 뭐 둘 중 하나였던 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68d5d7edc591357caffdda80c03d8f00f56d0dcc273cbb99ecc72008b1c473de.png"	[60,812,835]
836	1	"836-wrath"	2	[]	5	3	1	"Raymond Swanland"	2	"천벌"	"<b>선택 -</b> 하수인에게 피해를 3 줍니다. 또는 피해를 1 주고 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d2d2d976d2fa77f3d94f356d796ee142a8417e5319da4f2988970ffdabaa5cf.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/79806e1d184b72c94a702267f7c2a13c5bfff6c9e41d981914f38a0aa9a4826c.png"	"톱니항 여관에서 들리는 말에 의하면 이 카드가 너무 좋고, 전설급이 아닌 게 이상하다는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9aa80f1187f511b4d12fd0dacb36da89b17b42c26f0b35d81149a8739c64a5ff.png"	[137,253]
47553	1	"47553-witchwood-apple"	2	[]	5	1125	1	"Vlad Botos"	2	"마녀숲 사과"	"2/2 나무정령 셋을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/36c662149d54dac48232fe886e63a28c278636fd54e63bb4a5ad7667c56b587b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/214ab6a4be9b40a7a2b2a201471df2bea14c761d31744ad390de5e0a0d49b11c.png"	"하루에 사과 하나면 늑대인간도 물리칠 수 있답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9afa4f1981d872943aecccaf2a6c94c54d710216b4eb56e6cbb9ebe393ebdea1.png"	[48911]
1124	1	"1124-wild-growth"	2	[]	5	2	2	"James Ryman"	3	"급속 성장"	"빈 마나 수정을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/20005d2b5abb43f8de9dd6f089b2b09924c50b5a3e3065be6f0c48dfb3bad9ae.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1ee5f3eeb90fccf79b4783df6a0144bffabdc98fabbb9965a750ed410572a44.png"	"마나 수정 재배기로 자신만의 마나 수정을 키우세요! 믿을 수 없는 가격! 39,900 골드!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0e79705c6fcc0b6c6da07262a983ed71abf978002f6651e98945116b1b29e6f.png"	[1725]
38334	1	"38334-feral-rage"	2	[]	5	21	1	"Alex Alexandrov"	3	"야생의 분노"	"<b>선택 -</b> 이번 턴에 내 영웅에게 공격력을 +4 부여합니다. 또는 방어도를 +8 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/59be1038a10fcbce48def42030f030197aa17e9594dd22e6e36f3dff350b47b6.png"	""	"솔직히 말해, 분노하는 선택은 하나뿐입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f09f20a26e98c1f69c42051a599e4aedbd1db6f6a0ab016ce65ed3b56725e4b0.jpg"	[38332,38333]
