id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	manaCost	name	text	image	imageGold	flavorText	cropImage	parentId
60375	1	"60375-dame-hazelbark"	2	[]	3	17	4	"Will Murai"	30	0	"귀부인 고목껍질"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec9f3157d57abacda186f224e278b51d6790888b9be8cb9deb745f5cffb1b2cc.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	274
47817	1	"47817-nemsy-necrofizzle"	9	[]	3	17	4	"Tooth"	30	0	"넴지 네크로피즐"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b18ad67319cd0d47ef98e8b155a299de19cd44bfb8fc90873fdd65e7dd687161.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	893
50484	1	"50484-lunara"	2	[]	3	17	4	"Luke Mancini"	30	0	"루나라"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ff539433bd4506e944eabc0a71c1d90cc7f9e4b4a023f815980a3758430ea9f9.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	274
2828	1	"2828-magni-bronzebeard"	10	[]	3	17	4	"Glenn Rane"	30	0	"마그니 브론즈비어드"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/548e74e513aa0ef13d517f4e1d9317260cdc5da492e68e3b2ce7aa80627ab2a2.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f4cffcf6b96598f145ddc002bb604d5091bf6ce7c1ae45f2d20c835cad24a31f.png"	7
2829	1	"2829-medivh"	4	[]	3	17	4	"Raymond Swanland"	30	0	"메디브"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3612b2e571ae2c5f2723bf49ce82df084275d94bbfd5956d4b497ce1d542d90d.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	637
51834	1	"51834-mecha-jaraxxus"	9	[]	3	17	4	"James Ryman"	30	0	"메카 자락서스"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d968eb3f0fc2cd9ba05eabbd684d23aea0f891fd5b887809b6f70d39b3ac8a5f.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	893
54816	1	"54816-madame-lazul"	6	[]	3	17	4	"Evgeniy Zagumennyy"	30	0	"부인 라줄"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24574a13e7f3d65e3518ea218763cb2628e676cd8cfa49d423d6c0073dd23e16.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	813
53187	1	"53187-sir-annoy-o"	5	[]	3	17	4	"Matt Dixon"	30	0	"안녕로봇 경"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f0725a134ef973712a8f41434a3291e7c1e5cb0ebf84b2b6b6037eac7e323035.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/256e6307b3f6b5eb31fd6c6c97603cbfa5b48c7fcaea089f5391992ee9507ca6.png"	671
2826	1	"2826-alleria-windrunner"	3	[]	3	17	4	"J. Kindred & J. Kang"	30	0	"알레리아 윈드러너"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad21c7ee4fbc790519d1438df0e7e8e3c4cb483cea87b75badbdd3fc77c89c72.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	31
56358	1	"56358-elise-starseeker"	2	[]	3	17	4	"Luke Mancini"	30	0	"엘리스 스타시커"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b6af21a8446f4c58ea792e58f7f6d577e360c22d2f4548bd106f7a7b77fbb1dd.png"	""	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a60b28b4a9bb70748ce68815582bbde7a0c2ebfdf70988adb51da88c5d655fc.png"	274
