id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	attack	manaCost	durability	name	text	image	imageGold	flavorText	cropImage	keywordIds
90356	1	"90356-record-scratcher"	7	[]	7	1809	4	"Studio Hive "	3	3	2	"긁어내는 전축"	"<b>죽음의 메아리:</b> 마나 수정을 개 회복합니다. <i>(장착하고 있을 때 <b>연계</b> 카드를 내면 강화됩니다!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7ad35b101561879a4d7b13f9e16ba5ce37bd92b149717cd184614ba8f9aa97b.png"	""	"도적이 제일 좋아하는 오디오 샘플은 바로 찌를 듯한 관현악이랍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f6ec2e2af55db464bf327afd363c0dafeba3e2808a9c2b141de632dbfc5b918.png"	[12,13]
47511	1	"47511-woodcutters-axe"	10	[]	7	1125	1	"Izzy Hoover"	2	2	2	"나무꾼의 도끼"	"<b>죽음의 메아리:</b> 무작위 아군 하수인에게 +2/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/406c5b95698ac1b8f69cd3084cca12fb703f3cfc4410231ac7562927f4ff119a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/67c130f462052911e975465bc3c590879b411984aed56e154783ca93f70bb09e.png"	"잠깐... 저거 혹시 한자인가요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39161ba7477d9d56f593ebb4529011f7601183e8233e262f2301f66cb3ef010f.png"	[12]
48478	1	"48478-necrium-blade"	7	[]	7	1127	3	"Vlad Botos"	3	3	2	"네크리움 단검"	"<b>죽음의 메아리:</b> 무작위 아군 하수인의 <b>죽음의 메아리</b> 능력을 발동시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/275fb2759615c8e034029275bf32a88aa2e48a1fc98c9c448f200a3222266940.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9779e153e18890cbf32a68950e0e1270a9ad14ff941e4772581a44292576c46.png"	"죽음의 힘을 손에 거머쥐어 보세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0c92ddb3119b8ddfa042046af30afdf07c2a6a55baa517254a0e6d34a7050f9.png"	[12]
90688	1	"90688-disco-maul"	5	[]	7	1809	1	"Mooncolony "	3	3	2	"디스코 망치"	"<b>죽음의 메아리:</b> 무작위 아군 하수인에게 + /+ |1(을,를) 부여합니다. <i>(장착하고 있을 때 하수인을 내면 강화됩니다!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/01f8c551b8fc02a5f862e81b2c9beb26834800686456ae8eb5d3755a12bceeca.png"	""	"네 멋대로 디.스.코."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a9af619853ab0b46a9f7400e83814eab270e886af79d056517bebbd2caa1444a.png"	[12]
91495	1	"91495-jungle-jammer"	3	[]	7	1809	4	"Cynthia  Garcia"	4	4	2	"밀림의 악기"	"<b>죽음의 메아리:</b> 비용이 인 무작위 야수를 소환합니다. <i>(장착하고 있을 때 주문을 시전하면 강화됩니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1652dda8dbd364853816e4b6009c056707e7d054a96f32969f7a4195ceda2c9b.png"	""	"밀림에서 구할 수 있는 재료로만 만든 밀림의 왕이 다루는 악기입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3628d0f75b1a3642611b26350dc9a655669be887a8ac06a7a69f323f016babee.png"	[12]
95350	1	"95350-horn-of-the-windlord"	8	[5,8]	7	1809	3	"Studio Hive "	3	6	4	"바람의 군주의 관악기"	"<b>질풍</b>, 내 영웅이 하수인을 공격할 때마다 그 하수인의 능력치를 3/3으로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a1d4643bf49174cef120dbc0dc4c7a41f85620cb0e6918a73ac1355bd3ad2e47.png"	""	"목관악기여! 내 명을 따르라!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c732ba773fa3595d8a9087916d4070a8b0f7c652b169dee20e65c7ba0b285431.png"	[11]
97404	1	"97404-starstrung-bow"	3	[]	7	1858	4	"Cynthia  Garcia"	5	6	2	"별시위 활"	"이번 게임에서 내 <b>비밀</b>이 발동할 때마다 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b58903d44e6d69ef845f58c98e143176ad4ce4969582809c5072bdf28328faa.png"	""	"별을 향해 쏘되, 빗나가면 적 영웅이 맞도록 조준하세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/715256ff754866434f8a7c620c925905621eda4909f8bd6c019c35c5d925b04c.png"	[5]
40529	1	"40529-jade-claws"	8	[]	7	25	3	"A. J. Nazzaro"	2	2	2	"비취 발톱"	"<b>전투의 함성:</b> <b>비취 골렘</b>을 소환합니다. <b>과부하:</b> (1)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fcee5b35c7a3da917f414bc8cd39b6faa8b5504146b5b19b92859477ac57e41e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9340d4cf9636a41498717d29ea1bd8820a8d975009967752c3a25d182be8ea86.png"	"손톱을 손질하기 귀찮을 때 유용합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/048bf25b55bc5c8436875685cb28ee443602f96c89c46a79c5bba7481c2d20fa.png"	[8,14,26]
52496	1	"52496-mysterious-blade"	5	[]	7	1130	3	"Vlad Botos"	2	2	2	"수수께끼의 검"	"<b>전투의 함성:</b> 내 전장에 <b>비밀</b>이 있으면, 공격력 +1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e848b62674f5a80aa8244dcc436cb62cfdb769f48d853c0d1f7f94fb8edcd3a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8cca6a9c9647ec85c21dbdf4dc8e127418f6870aa7e56b4454edbba224c0e442.png"	"\"이 검의 공격력이 얼마냐고? 알 필요 없다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/511a73c8285d7ec236cb611ad4ca0f58773cb01ce68f07cdd3764b54e5fccae9.png"	[5,8]
50056	1	"50056-sulthraze"	10	[]	7	1129	4	"Jason Kang"	4	6	4	"술트라제"	"<b>압살:</b> 다시 공격할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6196adb1e2c178253d46c280fbb107bb72b26be9620b49c259caec210f31ef80.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/837f5c250b0a004b80a82853fd22502a7ced12fd558142656b38e522f5864b4f.png"	"\"그립타가 자신 있게 추천하는 무기, 술트라제입니다! 한 번 휘두르면 4의 피해를, 두 번 휘두르면 8의 피해를 주는 무기입니다! 여러분이 싸우는 방식을 술트라제로 바꿔보세요!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f6c318c455e25235771bbe625788f21f071089568f34345ff43143e2e41a4ea.png"	[61]
