id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
56739	1	"56739-urzul-horror"	14	[]	15	4	1463	1	"James Ryman"	1	2	1	"우르줄 흉물"	"<b>죽음의&nbsp;메아리:</b> 2/1 길 잃은 혼령을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f9971eb3909ea0535d6da64367e96ea66860c44a58fd13d40d0291a00946ff7.png"	""	"영혼이 다섯 개!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/614417f5ed6420bed781d90e98d6c607b6868c12a6d06fc5de754db2912623a9.png"	[59518]	[12]
2096	1	"2096-anodized-robo-cub"	2	[]	17	4	13	1	"Eva Widermann"	2	2	2	"양극 처리 로봇 새끼곰"	"<b>도발</b>, <b>선택 -</b> 공격력 +1 또는 생명력 +1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e1fb4ecf1ec2fee5fbe7698026bfc69dcaed6aebfae900deb41e91a632aeef27.png"	""	"어머, 정말 귀엽다! 그런데 이거 내 얼굴 깨물고 있는 거 맞지?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2241de7fb8c5838f599a731b4de67c1defc56ce76107da58f22b9ebcbd42bd67.jpg"	[2195,2197]	[1]
54489	1	"54489-oasis-surger"	2	[]	18	4	1158	1	"MAR Studio"	3	3	5	"오아시스 정령"	"<b>속공</b>, <b>선택 -</b> +2/+2를 얻습니다. 또는 이 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da656bd5d3fb6da5d1e922afcdd1705f2be5951dc8a0a1966d6deb857070b11c.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1827c256e2121030963f8f669a91dd34fbd9f4b737faee97d1d78e056ee32da.png"	"지친 영혼의 빛 같은 존재입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/938f3a251b8c8163bb0097420f5700ee180d8a5e966623115812a651be4c369c.png"	[54581,54582]	[53]
2002	1	"2002-mech-bear-cat"	2	[]	17	4	13	3	"Trent Kaniuga"	6	7	6	"기계표범곰"	"이 하수인이 피해를 받을 때마다 <b>예비 부품</b>을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0617b86f802c85efba360ce718eaeb7fd32a120c0e636646112cd986b8e1fac4.png"	""	"딜도 되고 탱도 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d3e7e5bec16f611bdabd7ef553122fd2b7f0abf90af7436b782c7c587eb22b6.jpg"	[2150,2151,2152,2153,2154,2155,2156]	[19]
49973	1	"49973-ironhide-direhorn"	2	[]	20	4	1129	1	"Luca Zontini"	7	7	7	"무쇠가죽 공포뿔"	"<b>압살:</b> 5/5 새끼 무쇠가죽 공포뿔을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/888206ac4af47731e4b0457f15fcb8a627490d4172451101f1cf266f830fcc3b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d5acef39e77ecd46d6ae6c55452aaa3f9e71b7a11aa4c8cb8936ad60e97eba7b.png"	"\"아들아! 내 가면과 공성추를 가져오너라.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e5fbd418c61338cfa4cf7533531542f0a54c1b4a0a303ec7b91c9edf9a0c530.png"	[50359]	[61]
55030	1	"55030-ysera-unleashed"	2	[]	24	4	1347	5	"Ludo Lullabi"	12	4	9	"해방된 이세라"	"<b>전투의 함성:</b> 내 덱에 꿈 차원문을 일곱 섞어 넣습니다. 꿈 차원문을 뽑으면, 무작위 용족을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3afc2b1c68146ccf372ee6a8cfeb38d559256c95dd478b57f93195405ede4f95.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e234325b534b17ff7a8130fe3311247ba19fa0b460e992c63d99ad582718579d.png"	"용족들을 풀어라!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eeeda4d844b976c5b4e138c9f2e70f03e4343a4e08785a9b8f8bf6173275b4c9.png"	[55778]	[8]
40426	1	"40426-alleycat"	3	[]	20	4	25	1	"Anton Zemskov"	1	1	1	"길고양이"	"<b>전투의&nbsp;함성:</b> 1/1 고양이를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d33fcc745de67322e9a06c6962dae7cef2a4b11257677841a01512df229d223.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e8d0d48dfef6fd9334126bb8116702e7004860345a9e256714f486b75234568.png"	"가젯잔에서 이름을 날리려면 고양이라도 멋을 부릴 줄 알아야 한답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3044140bd15f8c0aa94cd5efd1ae944434d414081b4c1c86058f0ed340e5f639.png"	[40425]	[8]
49824	1	"49824-springpaw"	3	[]	20	4	1129	1	"Vladimir Kafanov"	1	1	1	"갈기발 스라소니"	"<b>속공</b>, <b>전투의 함성:</b> <b>속공</b> 능력이 있는 1/1 스라소니를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c266bf21afc2a1d58ac92a972cbfee4727992e52c45d4926227b2cb3c604e54.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea3b5d84389439d9d812c4666dcdf9a220a3253b2dc956c42fe1aedf93e50f7f.png"	"스라소니가 끔찍한 이유는 스라소니가 끔찍하기 때문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e12d51d894dae1c16166654a1ea300c7f26950e6b64d200a6a70bce3771ae295.png"	[50213]	[8,53]
39481	1	"39481-kindly-grandmother"	3	[]	20	4	23	1	"Matt Dixon"	1	1	2	"인자한 할머니"	"<b>죽음의&nbsp;메아리:</b> 3/2 커다란 나쁜 늑대를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c7223e9b366cdf84c6003048332886d0ed64358ef0d73360f6ca3f118411638d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b0e33e39922e2e450d03f923c7b5b327ec0e760ad7b820df81a6381988a928fc.png"	"\"우와... 할머니는 침을 정말 많이 흘리시는군요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/081e4d016c9b58d48be73a0ef77fc10e2b26b39621719cbedd9f416fc644f801.jpg"	[39161]	[12]
40428	1	"40428-rat-pack"	3	[]	20	4	25	4	"Ozhill Studio"	2	2	3	"쥐 떼"	"<b>죽음의&nbsp;메아리:</b> 이 하수인의 공격력만큼 1/1 쥐를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d6538ef147dc011d82ab32c13005eac9199e769356fb0a9c90b1371147ab97b3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/acb0915a6e4300aab8830bcd3ff95dc87c7c48341935dbceed23672655b23d1f.png"	"죽으면 몸 속에서 쥐가 나오는 걸까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a9b56b1378a498948aa7bbf2b56857ab32888d10b8b8372c50db58d0bb3eac51.png"	[41839]	[12]
