id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	copyOfCardId	duels
102200	1	"102200-shard-of-the-naaru"	6	[]	5	5	1637	1	"Vlad Botos"	1	"나루의 파편"	"<b>교환성</b> 모든 적 하수인을 <b>침묵</b>시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/193e58b36789d0d0dd774b587eacf9170075c4d51770001d519bb64d6cbc9909.png"	""	"이게 하늘에서 떨어졌다고? 10골드에 사지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/137632c068524f1de6c96b738a8012599ba3585833315f0e59f217bc52e3f6cf.png"	[15,97]	64391	{"relevant":true,"constructed":true}
76273	1	"76273-blizzard"	4	[]	3	5	1637	3	"Chris Seaman"	6	"눈보라"	"모든 적 하수인에게 피해를 2 주고 <b>빙결</b> 상태로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/298a829082c9c15089932158e4f37ee3f6e9cd87a8c4ba87d3f441f851c3b117.png"	""	"왠지 모르게 정이 가는 이름의 주문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f75759db2424039acca6b90ba5821eb63d7126488a85c47a13321002f7501a6.png"	[10]	457	{"relevant":true,"constructed":true}
69607	1	"69607-counterspell"	4	[]	1	5	1637	3	"Jason Chan"	3	"마법 차단"	"<b>비밀:</b> 상대편이 주문을 시전하면, <b>차단</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4cd0c48f3cc58b58ddab2294e4ef3a30c882deaef2d7d4894d1ae91f4c054f06.png"	""	"마법 차단을 쓰는 마법사와 안 쓰는 마법사의 차이요? 안 쓰는 마법사는 얼굴에 불덩이 작렬을 맞는다는 거?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/935769c84b06af8c03be1b50255c606d2d13f4435435c8900f3099251b4de42e.png"	[5,16]	113	{"relevant":true,"constructed":true}
69629	1	"69629-lightning-storm"	8	[]	4	5	1637	3	"Christopher Moeller"	3	"번개 폭풍"	"모든 적 하수인에게 피해를 3 줍니다. <b>과부하:</b> (1)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23e6f2a84c70889baaeba7ab5dff29a81a116b3e76fbc0a2f6ce7a37096dade6.png"	""	"안타깝지만 우산을 써도 소용이 없을 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c99d822346e866494c6edb4535d23b1d73627782d7c5a758faf4bdaafc3f4de.png"	[14]	629	{"relevant":true,"constructed":true}
69625	1	"69625-lightning-bolt"	8	[]	4	5	1637	1	"Daarken"	1	"번개 화살"	"피해를 3 줍니다. <b>과부하:</b> (1)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b342a9ee741eb5a78c63e7a470a064a5070f6e8f86b35350f630fccef699bb27.png"	""	"번개 화살! 번개 화살! 번개 화살!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e4e48716a7aac2b283346854dc842b05786281467f2cf227c572bad79b576eeb.png"	[14]	505	{"relevant":true,"constructed":true}
102193	1	"102193-fire-sale"	4	[]	2	5	1637	1	"L. Lullabi & A. Bozonnet"	4	"불꽃 세일"	"<b>교환성</b> <b>모든</b> 하수인에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ff79628f60aed4a4f8712003f0838b50052faaa6b1dc34669fd28d134cda00a.png"	""	"불탄 물류 창고 재고는 불꽃 세일, 50% 값에 드립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9215e9732d0cbfd3030c06b2dde1c262f2cd3ec614a993970b5dcacae49f1308.png"	[97]	64423	{"relevant":true,"constructed":true}
69604	1	"69604-freezing-trap"	3	[]	3	5	1637	1	"Matt Gaser"	2	"빙결의 덫"	"<b>비밀:</b> 적 하수인이 공격하면, 그 하수인을 주인의 손으로 돌려보내고 비용을 (2) 증가시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee2626bd1b80c6bbb028d51f37423472977fb869a06276e384b5549a889b7c32.png"	""	"\"우와, 시원하겠다.\" - 빙결의 덫에 대한 적절한 반응. 또는 도발."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b31edcd17855dc0fcbd444e543c272658e945162e5fcf56068e03ccbc6429b1f.png"	[5]	519	{"relevant":true,"constructed":true}
69699	1	"69699-snap-freeze"	4	[]	3	5	1637	1	"Gonzalo Ordonez"	1	"순간 빙결"	"하수인을 <b>빙결</b> 상태로 만듭니다. 이미 <b>빙결</b> 상태라면, 그 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8db824ef04c202cf857e271811b3a67b5b1dcfd18918d579d667edba68df1e66.png"	""	"얼음에 혀를 가져다 대지 마세요. 분명 후회할 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/661eb0a580b13de169b85c164fd10a927708f66949af90b918da9316cc4fa96b.png"	[10]	47821	{"relevant":true,"constructed":true}
69740	1	"69740-eye-beam"	14	[]	7	5	1637	4	"Arthur Gimaldinov"	3	"안광"	"<b>생명력 흡수</b> 하수인에게 피해를 3 줍니다. <b>추방자:</b> 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bdfabfbcd234ea7c39b2403eb88f4cdf1d9e326edcb0fb9fab412cfdaf5527f3.png"	""	"\"눈에서 빔!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a178b6f281a3ab667588c750fa984f2c2921b1aa231c517ee8c3d0a915f7686.png"	[38,86]	58183	{"relevant":true,"constructed":true}
69511	1	"69511-mark-of-the-wild"	2	[]	4	5	1637	3	"Brad Vancata"	2	"야생의 징표"	"하수인에게 <b>도발</b>과 +2/+3을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf7b6da86992c21d1d55d9a41339f8d8759fb2b213e4659ed48738f3c3c1323f.png"	""	"드루이드가 아닌 사람들은 그냥 다 '발바닥'이라고 부르더군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/590c6d19f681503543ba31141feaef67ba94562c4237521af3f93a6fbdcda1c1.png"	[1]	213	{"relevant":true,"constructed":true}
