id	collectible	slug	classId	multiClassIds	minionTypeId	multiTypeIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
97318	1	"97318-sp-y-dr"	7	[]	17	[20]	4	1858	1	"Jim Nelson"	4	3	3	"7ㅓ-ㅁI"	"<b>합체</b> 1턴 동안 <b>은신</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ab287241e0ec04803afbcf67ebb650a75d241cce3c5b1b32ab20e0348c76852.png"	""	"작고 작은 거미가 배수관에 척 달라붙네."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c793959dee6da44536457e769e648f05e3d7904b42a1f77aec0a02665a381ec.png"	[6,66]
90600	1	"90600-disc-jockey"	7	[]	17	[20]	4	1809	1	"Mooncolony "	1	4	2	"DJ 문어로봇"	"<b>연계:</b> 무작위 <b>연계</b> 카드를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/703902b077febb0c7e4db71179e9618b959c4866f27b17c18e0f13d96aa3defc.png"	""	"흥행 지표가 성에 안 찬다네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3189fdccf5eb2d62fde9909206ade1644856f5cafe9a133c14c1e5e4582cf777.png"	[13]
48890	1	"48890-steel-rager"	12	[]	17	[18]	4	1127	1	"Jim Nelson"	1	5	4	"강철 광전사"	"<b>속공</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f644039cfe61368e9c7bd117f955e0059e308506cc573d085a43622d863a8487.png"	""	"드디어 다섯이 모였는데 왜 합체하지 않죠? 대체 왜 때문에?! 기계가 아니라서?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a560f5752e4f5630f469b2016e918f3fa8575164460ccb17398c588886c2925c.png"	[53]
49804	1	"49804-spirit-of-the-frog"	8	[]	11	[20]	4	1129	3	"Konstantin Turovec"	3	0	5	"개구리의 혼"	"1턴 동안 <b>은신</b>을 얻습니다. 내가 주문을 시전할 때마다 내 덱에서 그 주문보다 비용이 (1) 높은 주문을 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad38572ed52369aa7e45a1d7220ee2e5ff39ea03e1d7665e5651b3a597351406.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ab2f0eaacc164c4e65f67e5b882149cd9f455ed71a684997ee8e5c5cbfecb6eb.png"	"6시는 슬픈 개구리고, 12시는 아무튼 생성됨입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/802fbf4133c81890748e11d9bc33ddd11d14a83f1d0e9a3b924afb6232065fbe.png"	[6]
48185	1	"48185-spider-bomb"	3	[]	17	[20]	4	1127	3	"Nicola Saviori"	2	2	3	"거미 폭탄"	"<b>합체</b>, <b>죽음의 메아리:</b> 무작위 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/050d4ed174f8a7ac061e65719d2c00e5e03b02f8dcbcb3934a32857c9e6b2399.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6417c1e37045dd8d57cd3825843ec0567fad36dba77b0df2320e9d5275f0a9d.png"	"과학은 폭발이다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7956bcec6067766b8bb560cf84d8d6d7973f12ad7caaae5931b0d1b8d622635b.png"	[12,66]
94735	1	"94735-hollow-hound"	3	[1,3]	11	[20]	4	1809	1	"Slawomir Maniak"	4	3	6	"공허한 사냥개"	"<b>생명력 흡수</b>, <b>속공</b> 공격하는 대상 양옆의 하수인들에게도 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2ee1dba47ed1b4a996441363fbc37b4e05ca367b004b126ef5ed575a08ac6272.png"	""	"이런... 공허한 사냥개가 우리에서 풀려났군요! 그래도 걱정하지 마세요. 아주 순하답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec0e2176785a465dbc8067a9204b826eb3e70bdb15ff58b770fba3930050d0f6.png"	[38,53]
49233	1	"49233-coppertail-imposter"	12	[]	17	[20]	4	1127	1	"Steve Prescott"	4	4	4	"구리꼬리 다람쥐로봇"	"<b>전투의 함성:</b> 내 다음 턴까지 <b>은신</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccf9e982a80219b307c0f761f4990f0987871d727de839e8f00084e2b955f4eb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e589d412cdf057c2c46c4ab74b5e4cce50a986635f062a835109afbe02dfedc6.png"	"도토리 대신 너트와 볼트를 모아오기 전까지는 들키지 않았습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80132f7ed52f51f84879561021a9197f85296ef4e554a1c013d688b1d610fabe.png"	[6,8]
97109	1	"97109-coppertail-snoop"	7	[]	17	[20]	4	1858	1	"Kleston Marques"	2	3	3	"구리꼬리 염탐다람쥐"	"<b>합체</b>, 이 하수인이 공격할 때마다 동전을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/18106385adb3ec1cbbf7e1287e4b21b5e4824267d172440f1ac55a974d4918ee.png"	""	"겨울나기를 위해 너트와 볼트를 저장합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d5326e4c20c4d5e748a3ceb377670798ba92301f073a8ac2d74719314d53062.png"	[66]
52790	1	"52790-ursatron"	3	[]	17	[20]	4	1130	1	"Zoltan Boros"	3	3	3	"기계 곰"	"<b>죽음의 메아리:</b> 내 덱에서 기계를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/beb779088c07d4e97d3920c81d15854cfb5a880746d16822b4acb9d013bdb143.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6489a8d72bb10814cc79287698279a63bb016c3e9ab1197a6df817c6c8593a0c.png"	"사냥꾼에게 기계 카드라니, 정말 곰란하군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f32d7d25e42572b68d9d64cea12c92f0ab2ae002d666801b3292aee4048aba5.png"	[12]
40889	1	"40889-naga-corsair"	12	[]	23	[92]	4	25	1	"Rafael Zanchetin"	4	5	4	"나가 바다약탈자"	"<b>전투의 함성:</b> 내 무기에 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/415a4ae394d6c3c2cc1b4fdc54557cc96eba439c4bada07c1fbcdf06eaaad41e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fde1892f887ac54bd56edc4d9dce0a1bd23dc45d60ab3490654dc78b7c19e4f5.png"	"꼬리에 갈고리를 단 건 꽤 근사한 생각이긴 했습니다. 여기저기서 걸리적거리는 거만 빼면요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10865d1fc6472d17f85671dd3699424aacd74740d221463f52362aa057102325.png"	[8]
56685	1	"56685-marsh-hydra"	2	[]	20	[17]	4	1414	4	"Mike Sass"	7	7	7	"늪지 히드라"	"<b>속공</b>, 이 하수인이 공격한 후에, 비용이 8인 무작위 하수인을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4bb7c8dae5920d294d02b66ec9a5b04f0827c97a5deb6f540571fb2c479ee8a1.png"	""	"하지만 히르이크가 출동하면 어떨까?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3da2119e215cfc0936c732c106eba22e03d955286595fb7a666c9103c55c799.png"	[53]
48929	1	"48929-dead-ringer"	6	[]	17	[11]	4	1127	1	"Dave Allsop"	1	2	2	"듀금의 인도자"	"<b>죽음의 메아리:</b> 내 덱에서 <b>죽음의 메아리</b> 하수인을 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/130de99fd053df8a5db9a11d7b77ffae48d660b008cb70c909bbc9cb86ac3e96.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89e0f883a7010599bc1d659236cf8835cce1f3ac7060f083d7ce6ac58f66bc1c.png"	"듀거! 듀거! 듀거!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/59c022b2b85380004bb8890438411ec838263823c3fba291fc214567528e43c9.png"	[12]
49944	1	"49944-spirit-of-the-raptor"	2	[]	11	[20]	4	1129	3	"Christopher Hayes"	3	0	1	"랩터의 혼"	"1턴 동안 <b>은신</b>을 얻습니다. 내 영웅이 공격하여 하수인을 처치한 후에, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a4e5697aab829852edf9075365508ecda2aac21718ef2bd9a938af663ca67a9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c28c89b6c71d0be175d40375d0b808e683c819e289e4a34fc10ac49476f246a1.png"	"\"로티! 로티! 그거 물면 안 돼! 로티, 앉아! 앉아!!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b52299c6604d3311fd504556216a66f41118165f3427494cf8edd2159a822e0.png"	[6]
98182	1	"98182-mecha-leaper"	12	[]	17	[20]	4	1858	4	"Matt Dixon"	2	2	3	"메카 폴짝이"	"<b>합체</b>, <b>죽음의 메아리:</b> 아군 기계에게 +2/+2와 이 <b>죽음의 메아리</b> 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/429a571bfc302fa01467d00ebc0524b157425155a9db055409a7c273496facba.png"	""	"이제 메카 앵무와 메카 리븐만 나오면 메카 개구리 덱 완성!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3de2f0df7b4defdf254cd087e04201515996562762ac69e6cea7ce078717d31.png"	[12,66]
50025	1	"50025-spirit-of-the-bat"	9	[]	11	[20]	4	1129	3	"Slawomir Maniak"	3	0	2	"박쥐의 혼"	"1턴 동안 <b>은신</b>을 얻습니다. 아군 하수인이 죽은 후에, 내 손에 있는 하수인에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/260aec465df5b899d1a2c7e511f19ca43915fb0e7772f8bb26dc28db52422f01.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/babf1d1475afa99580403bdafbfe8cf53026fcc3f1a992378fd44a41c9a81ecf.png"	"난난난난난난난나, 난난난난난난나, 난난난난난난나!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad326eb3551befd6c653a27748989166bb006b0cbb2f8b02a4e14792a31b1d0a.png"	[6]
58495	1	"58495-furious-felfin"	14	[]	14	[15]	4	1414	3	"Matt Dixon"	2	3	2	"분노하는 지옥지느러미"	"<b>전투의 함성:</b> 이번 턴에 내 영웅이 공격했다면, 공격력 +1과 <b>속공</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ab3c1dde52e830d17f5c7f8d4cf8f7d5ecdb223f7a932ad5fcabc85ab7bb560.png"	""	"혼돈의 가오리, 비릿해지기, 해물의 오라 등의 기술을 사용한다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ad67258ca2701784c83cd4c9f2c7e615a51b9d7f9b6653b7067b4af55b2c7fa.png"	[8,53]
55405	1	"55405-fire-hawk"	12	[]	18	[20]	4	1347	1	"Servando Lupini"	3	1	3	"불꽃매"	"<b>전투의 함성:</b> 상대편의 손에 있는 카드 1장당 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a0274feddfed326e1579692a4fca80f433ace14a7e418f83a7b878004af915e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7178851c854b815b1de16e6561502a0a47a0331e5ead0539054944b9b1df0b0e.png"	"카드 뒷면에 그려진 음식이 너무 사실적이었나 봐요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d6ccb14ac4cc9b79f128074018eb59c6abe4471b11606ddc997ad7f6756a8e8.png"	[8]
50121	1	"50121-arcanosaur"	4	[]	18	[20]	4	1129	1	"Ware Lee"	3	3	6	"비전공룡"	"<b>전투의 함성:</b> 내가 이전 턴에 정령을 냈다면, 다른 <b>모든</b> 하수인에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/380bf3afc199dbdf1e5f56c224d2c93f7da313d7152ddb7b45b1df79e1d0581f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/644f303f07e1362f3e1f365ef2f986cba3153e158000561ab1ab70868257f446.png"	"비전력은... 길을 찾기 마련이지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/124412f1397b3cc86ef296177de8e2fa9d1ebf1ca2bb7fe6da1479b78f9ac35f.png"	[8]
49163	1	"49163-bull-dozer"	12	[]	17	[20]	4	1127	1	"Steve Prescott"	7	9	9	"뿔도저"	"<b>천상의 보호막</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/edf433252c1835c64393894e21133c446ebb9fb3a1971a9884c2ffef1ab29e94.png"	""	"2분 동안 내버려 두면 대기 상태에 돌입합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2cff8d918d5d4633fba8fb6bbbf4e1f510a7adc22bf996b9dd40a4d04ebcc924.png"	[3]
49972	1	"49972-spirit-of-the-shark"	7	[]	11	[20]	4	1129	3	"Ivan Fomin"	3	0	4	"상어의 혼"	"1턴 동안 <b>은신</b>을 얻습니다. 내 하수인들의 <b>전투의 함성</b>과 <b>연계</b> 능력이 2번 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f3d9afbb528a94b8411ed36f24649c88dd599a57a1e786de77a143594ff48a5f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06d111408e8eed7a3b0990e7718573bb5b2db70eece2aefb011d8165e4c05bc1.png"	"은신 중이긴 하지만 불길한 음악 소리 때문에 누구든 알아챕니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0882db6bf0a0ad83f90db98c24182ffeaf3577f068dba53d30188c785d28e971.png"	[6]
2682	1	"2682-chillmaw"	12	[]	24	[11]	4	15	5	"Raymond Swanland"	6	6	7	"서리아귀"	"<b>도발</b>, <b>죽음의 메아리:</b> 내 손에 용족이 있으면, <b>모든</b> 하수인에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/568921844a2a170b4f36638ca1a96c23c3dcc1320d0a0af7697d12fc9def5b43.png"	""	"서리아귀는 언제든 대 마상시합을 망칠 수 있었습니다. 하지만 해맑은 아이들의 표정이 매번 떠올라서 아직까지 망설이고 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f8bd18aeb8935eb693246f3ea667b90e6846fab76c248b5a977d94312977cbae.png"	[1,12]
49019	1	"49019-damaged-stegotron"	12	[]	17	[20]	4	1127	1	"Daria Tuzova"	12	5	6	"손상된 스테고트론"	"<b>도발</b>, <b>전투의 함성:</b> 자신에게 피해를 6 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce1ef3c6466fea7be892845627dfff4fce287f9e8584727c3abac43bb5bdbbe7.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a74d75d8663adfdbd6512b73765632f71d7209413ff27e9b5fab47f21fb47017.png"	"화염구나 각종 천재지붐으로 파손된 경우는 책임지지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a83261ec3499aed48f83fb6c6366e71f11a68f64864fdf06672c50cb04ae6f1.png"	[1,8]
50660	1	"50660-spirit-of-the-lynx"	3	[]	11	[20]	4	1129	3	"Arthur Bozonnet"	3	0	3	"스라소니의 혼"	"1턴 동안 <b>은신</b>을 얻습니다. 내가 야수를 소환할 때마다 그 야수에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d343f108764f967a6efa0eeb26dc07bd9221d0b26dad4e7fb3e0e000cbf3364.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0523c3dbd954b8bbec4f188d26c32fd2867a39c7a1d21960aefeced69c1394e4.png"	"이 제단의 힘의 비밀은 캔 따는 소리입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6e600583d7776908b7f599830fceef482bac114f2f89820bcf7c7a78d2dc7572.png"	[6]
98469	1	"98469-mythical-terror"	14	[]	15	[20]	4	1858	4	"Konstantin Turovec"	10	4	7	"신화의 공포"	"<b>생명력 흡수</b>, 내 턴이 끝날 때, 모든 적 하수인이 이 하수인을 공격하게 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4d8442cbbc454112b85cf07ba8e57c01e3b6d644e67f1080f1f599e086be1779.png"	""	"하스스톤에서는 공포를 쓰다듬을 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f327755a60b2b16373cb31d89f2fb531f173a561c72caa47bf3245f474ff5de3.png"	[38]
49447	1	"49447-subject-"	12	[]	20	[17]	4	1127	5	"Dany Orizio"	4	4	5	"실험체 9호"	"<b>전투의 함성:</b> 내 덱에서 서로 다른 <b>비밀</b>을 다섯 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bdd990b6049f87c8c636233b2b3a29e02e38e521050f97237120d2fe2ebb341d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/640470a06569a53d76ebc1aa5b50ff0aff44ed5eb08dda7266f3f1667de78daf.png"	"바로 그 영리한 녀석입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6cfe3a3c0a94fa6350e6a8aea0a405b8bd85517e7641ae32b853401b25241267.png"	[5,8]
