id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
64349	1	"64349-seek-guidance"	6	[]	5	1578	5	"Anton Zemskov"	1	"가르침 구하기"	"<b>퀘스트 전개:</b> 비용이 2, 3, 4인 카드를 내야합니다. <b>보상:</b> 내 덱에서 카드를 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/27c74b43be454fd1276a6bdafee28f1a5d5ceab4a6462ac876b737a8306e7b12.png"	""	"자이렐라는 영적인 가르침을 원했지만, 대신 1티어 덱 짜는 법을 배웠습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/49c962204d1497ed7fc839020cf409cdf48d2edc407d24f5f64c56c36650999f.png"	[64350,64352,65723,70897]	[21,96]	{"relevant":true,"constructed":true}
1243	1	"1243-unleash-the-hounds"	3	[]	5	3	1	"Linggar Bramanty"	3	"개들을 풀어라"	"적 하수인 하나당 <b>돌진</b> 능력이 있는 1/1 사냥개를 1마리씩 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9bbe30de568b7e2898fae682a0a5c2dc97fc8541322f53c53987b1d4199ebaa3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89d5d2972166b9f9afd8733fda2f9697de6ba8036161275a85d9d4e10996845a.png"	"이 카드를 낼 때마다 \"물어!\"라고 크게 외쳐야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e33ff64c85bf746e7fe96952f53e4329ee9c2db6cd50f846570660430f05e73.png"	[1715]	[4]	{"relevant":true,"constructed":true}
61943	1	"61943-barricade"	12	[5,10]	5	1466	1	"Ivan Fomin"	4	"경비 방벽"	"<b>도발</b> 능력이 있는 2/4 경비병을 소환합니다. 내 전장에 다른 하수인이 없다면, 하나 더 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e0845ffaabf49dac0608886a3993062df89ff88100de9178edcea2b0eaacb92.png"	""	"얼라이언스와 호드는 화재 안전 기준을 준수하기 위해 힘을 합쳤습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0bde7c5589655e3b1374d3612f8b6d2dcf22456b9a6cb375c6904ebf7fe0a2d8.png"	[62031]	[1]	{"relevant":true,"constructed":true}
64525	1	"64525-noble-mount"	5	[]	5	1578	3	"Ursula Dorada"	2	"고귀한 탈것"	"하수인에게 +1/+1과 <b>천상의 보호막</b>을 부여합니다. 그 하수인이 죽으면, 전투마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b31536f660743ea1b754ac020189efb84bf4b0804104f7200c37c74c0f7253e3.png"	""	"호드는 카리엘이 애완동물을 일터에 데려올 수 있게 허락한 것을 뼈저리게 후회했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b57dee12a403ccb950bbd85905010e02dc5b1c4e62027556549f6dcfd2a7a572.png"	[64370]	[3]	{"relevant":true,"constructed":true}
584	1	"584-noble-sacrifice"	5	[]	5	3	1	"Zoltan & Gabor"	1	"고귀한 희생"	"<b>비밀:</b> 적이 공격할 때, 대신 맞아주는 2/1 수호자를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/27293f4a5eeb284e2450b9e5af7bd6051332123bfd420b2d26eff731c2674e13.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/383cf6db028ef504682566ae1fcfd18b5c575def12cfbac42bc2c3addcedd43e.png"	"아아, 못다핀 꽃 한 송이, 그대의 이름은 \"수호자\"!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9fbb0c4ebf6003d27d22ff105a9c9c615a8810820ce6f0498935eb3e7e098b2e.png"	[102]	[5]	{"relevant":true,"constructed":true}
41168	1	"41168-open-the-waygate"	4	[]	5	27	5	"Rafael Zanchetin"	1	"고대 차원문 개방"	"<b>퀘스트:</b> 게임이 시작됐을 때 내 덱에 없던 주문을 8회 시전해야 합니다. <b>보상:</b> 시간 왜곡"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/86a6025be6ef6c1347d951423cd42ede286513e1542bc8a1e7444ffc5ffb8619.png"	""	"내가... 시간을 왜곡했다...!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58b6a53ef2992b91e157de284c0a8de1d8d37bad64b04b473ed020ad0554e976.jpg"	[41167]	[31]	{"relevant":true,"constructed":true}
61291	1	"61291-ring-toss"	4	[]	5	1466	3	"Matt Dixon"	4	"고리 던지기"	"<b>비밀</b>을 <b>발견</b>하여 시전합니다. <b>타락:</b> 대신 <b>비밀</b>을 둘 <b>발견</b>하여 시전합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19d7f2f712fef1e8a133ab8f902bc98620ead8034289fd6a1b5b5307ff897e3b.png"	""	"제가 마음에 들었다면 반지를 끼워주세요. 그게 약속이니까요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/71609dac4dcad7cff36759ef7ac9d12115170ca3e3d104fc5a1a3889278ede65.png"	[61292]	[5,21,91]	{"relevant":true,"constructed":true}
39160	1	"39160-cat-trick"	3	[]	5	23	3	"Mike Sass"	2	"고양이 마술"	"<b>비밀:</b> 상대편이 주문을 시전한 후에, <b>은신</b> 능력이 있는 4/2 표범을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f8e565fca415d0ed8d4ffb8162c8d8ee459a97b92c98c636ce0b7cbc0ab78d8b.png"	""	"대신귀 여운고 양이를 드리겠 습니다"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc103d45bf96a407b8dd4731a937c392807077f874bd9b09046c93c311aa9bb5.png"	[39173]	[5,6]	{"relevant":true,"constructed":true}
64291	1	"64291-lost-in-the-park"	2	[]	5	1578	5	"Anton Zemskov"	1	"공원 방황"	"<b>퀘스트 전개:</b> 내 영웅이 공격력을 +4 얻어야 합니다. <b>보상:</b> 방어도를 +5 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d6a5727db46acac6cc57de898858b428dfea9e001793e2ee144a72380eccd61.png"	""	"안내 방송 드립니다. 타우렌 드루이드의 보호자께서는 즉시 미아보호소로 와 주시기 바랍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/92d843ec4e7c3ae30e03f7c413f71a1c45615dc7303239288ddf9653dbf7f952.png"	[64333,64335,67884]	[96]	{"relevant":true,"constructed":true}
78264	1	"78264-frenzied-fangs"	3	[]	5	1691	1	"Ivan Fomin"	2	"광포한 송곳니"	"2/1 박쥐를 둘 소환합니다. <b>주입 ( ):</b> +1/+2도 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/940640788fc12ab53af9139b135339beaec8718767fd6d0056fe661987f46180.png"	""	"블링블링한 박쥐군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f4d50b87aaac85af9ccbe2fae81a9d78ab58fc655ad955fa63ba04ebf91dcbe.png"	[79832,78265]	[238]	{"relevant":true,"constructed":true}
78222	1	"78222-burden-of-pride"	10	[]	5	1691	4	"Vlad Botos"	4	"교만의 무게"	"<b>도발</b> 능력이 있는 1/3 간수를 셋 소환합니다. 내 생명력이 20 이하면, 그 간수들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e6c8700663732859a8dd6e2205c5b79ed91c7edb4b1b46a7c3e60098294c9fc.png"	""	"교만한 만큼 고통이 돌아옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b7ba201eb1ec2fbc1606b469bb180a5e3b5507d88c4e227e6fac8753c208880.png"	[78241]	[1]	{"relevant":true,"constructed":true}
76975	1	"76975-convincing-disguise"	8	[]	5	1691	3	"Caroline Gariba"	1	"그럴듯한 변장"	"아군 하수인을 비용이 (2) 높은 하수인으로 변신시킵니다. <b>주입 ( ):</b> 대신 모든 아군 하수인을 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c67e38b9d771a4010ab45dc1e69c33d989a5567d3cb23cfd04ebe2383bbeca99.png"	""	"가면을 써도 누군지 다 아시겠죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d1aee434542eb1609e2bf276f6466cc94e46556a7af072f28257ce42e3921b1f.png"	[79542,79552,79593,79460,79545,537,850,764,62320,79554,79595]	[238]	{"relevant":true,"constructed":true}
53924	1	"53924-unseal-the-vault"	3	[]	5	1158	5	"Zoltan Boros"	1	"금고 돌파"	"<b>퀘스트:</b> 하수인을 20회 소환해야 합니다. <b>보상:</b> 파라오의 전투가면"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eda39c5b36fc693fa4fd807d04fc86ca6362b69491351fe29aafc4b631e8a2dd.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da3c8d99ebf02c7ce2a013f4915b922943d0a2a2fb4fde96f66e0dd3cd25cde5.png"	"\"괜찮은 카드 뒷면이로군요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e75e6fed03bae930db8e5c37e06d977e58aabcfb879786b28bb479823ba2cac4.png"	[53925]	[31]	{"relevant":true,"constructed":true}
72340	1	"72340-emergency-maneuvers"	3	[]	5	1658	4	"James Ryman"	2	"긴급 기동"	"<b>비밀:</b> 아군 하수인이 죽으면, 그 하수인을 복사하여 소환합니다. 그 하수인은 1턴 동안 <b>휴면</b> 상태입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b2cff8ce393e82628ab30506f0d728d3a6e9ebd1a1c75bec73cc644a14a266f2.png"	""	"있는 힘껏 밟아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/272a1d4c4366cb5d1c971e1af46c44dcad8d3aba450c43c31cf4c89944ee15c0.png"	[77245]	[5]	{"relevant":true,"constructed":true}
41494	1	"41494-awaken-the-makers"	6	[]	5	27	5	"Konstantin Turovec"	1	"깨어난 창조주"	"<b>퀘스트:</b> <b>죽음의 메아리</b> 하수인을 7회 소환해야 합니다.<b> 보상:</b> 희망의 감시자 아마라"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a943cd960a3c0cb772fd8b954e2d3016b67ef2e5c883e69b9ba84c9e8b458ce.png"	""	"계속 '5분 더'를 누를 거면 왜 알람을 켜 두는 걸까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e99629cbe2d7fdcaac3858ccb9155ae7759524e334b47fe3f8c7596211f6fad5.jpg"	[41950]	[12,31]	{"relevant":true,"constructed":true}
77150	1	"77150-sticky-situation"	7	[]	5	1691	1	"L. Lullabi & K. Turovec"	2	"끈끈한 위기"	"<b>비밀:</b> 상대편이 주문을 시전한 후에, <b>은신</b> 능력이 있는 3/4 거미를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2762c3b24417bf04c4bfbc6e11c02a16ca3f8057a1806e5c144b2e9717d8992.png"	""	"누가 요정의 단검으로 구해줘요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a90104c4b5f61c050294a45b2d8e8a5d8106fde671fbf48dff12b88f99f80e5.png"	[77153]	[5,6]	{"relevant":true,"constructed":true}
77151	1	"77151-kidnap"	7	[]	5	1691	4	"Alex Stone"	2	"납치"	"<b>비밀:</b> 상대편이 하수인을 낸 후에, 그 하수인을 0/4 자루 안에 집어넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23418cac6794994ccf09e9e4d9971a305854dd8548a9c0700089ca4012851be7.png"	""	"지금이라도 놔 준다면 여기서 끝내겠다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/27e382dd7d0f0957800fbe5d46fb5e733cd23b8f31ffe63a68847ebc62ec4f39.png"	[79617]	[5,12]	{"relevant":true,"constructed":true}
41368	1	"41368-the-marsh-queen"	3	[]	5	27	5	"A. J. Nazzaro"	1	"늪지의 여왕"	"<b>퀘스트:</b> 비용이 1인 하수인을 7회 내야 합니다. <b>보상:</b> 여왕 칼나사"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bd8e5ba1955d65f9e497ecce720370e7f2e5f62cfe117f5429adde89bda72fe8.png"	""	"질문: 거대하고 화난 공룡 하나가 무서울까요, 아니면 작지만 사나운 공룡 15마리가 무서울까요? 정답: 으아아아아아! 놈들이 날 찾았어어어어어!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c2ac8762fe1f3e6890c41151bd9ce3626e0b05e67ec85a5ebea675d9492f10af.jpg"	[41367,42013]	[31]	{"relevant":true,"constructed":true}
61700	1	"61700-petting-zoo"	3	[]	5	1466	3	"E. Li & A. Zemskov"	3	"다크문 동물원"	"3/3 타조를 소환합니다. 내 <b>비밀</b>의 수만큼 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5559ddd6076fb349c0622fe1fcb23f4637e93162e2e25c0fcabedef2e6ac078.png"	""	"동물원에 오신 걸 환영합니다! 만질 수도, 쳐다볼 수도 없는 점 유의해주시길 바랍니다. 그럼 즐거운 관람 되세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc265ed2080e25cea16a66c7a46d1afc26e648eb5011e4f175a5341faca1dad3.png"	[61701]	[5]	{"relevant":true,"constructed":true}
61130	1	"61130-expendable-performers"	14	[]	5	1466	4	"Hideaki Takamura"	7	"단체 공연"	"<b>속공</b> 능력이 있는 1/1 일리다리를 일곱 소환합니다. 이번 턴에 그 일리다리들이 모두 죽으면, 일곱을 더 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a1d4a2d8ffedd01657d8bd9c48848162b3cdff1e3af12a69c649a46747c429b.png"	""	"아픔도 예술로 승화시켜야만 비로소 행위예술이 완성됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c7857baf091c7190ae32e56521376eb6b84d7b1e3e9d3a8a7550a2d9e555594.png"	[56927]	[53]	{"relevant":true,"constructed":true}
63323	1	"63323-galloping-savior"	5	[]	5	1525	1	"Jakub Kasper"	1	"달려오는 구원마"	"<b>비밀:</b> 상대편이 한 턴에 카드를 3장 낸 후에, <b>도발</b> 능력이 있는 3/4 군마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ed86758184e9f903cb745a8ceaa4b0af2cdb5882cf7b25803866cf2bb7acaf4.png"	""	"“세 번째 카드가 보이면 나를 기다리게.”"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/810dada6f1033138a00fd85cf3b53220274e259a7eef6afeee769748131c71a9.png"	[63324]	[1,5]	{"relevant":true,"constructed":true}
