id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage
46658	1	"46658-cauldron-elemental"	12	[]	18	4	1125	1	"Luca Zontini"	7	7	8	"가마솥 정령"	"내 다른 정령들이 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5d3984c1a43815a72bf1530c0e8d4c4472df65d0463c0f2ad3e546b3865fcc5.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8da23280defae825ce525b3575fb4fcf487e2b85d04d1661bb612dd2efe02e95.png"	"생활의 팁: 버려진 가마솥에 정령을 넣으면 훌륭한 장식품이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6e91a9a11a7801ab0fe46f0e0f031cf6be18eb124b92d4b3a1a50bb63895c8bb.png"
91888	1	"91888-razorfen-rockstar"	10	[]	43	4	1809	1	"Ursula Dorada"	3	1	1	"가시덩굴 록 스타"	"내가 방어도를 얻은 후에, 방어도를 +2 더 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/660783e704fb3a40458954a3bdfb35fc2c1c7f2879ce9a4434d94f8f1ba343d5.png"	""	"가시멧돼지는 기본적으로 로커의 피가 흐릅니다. 물론 혈석도 느끼고요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2d211f2f16c41dba2ebfbf4e30ad4d1731309fb0e3e3846fcb7f2847c12d4f87.png"
52480	1	"52480-jumbo-imp"	9	[]	15	4	1130	4	"James Ryman"	8	8	10	"거대한 임프"	"내 손에 이 카드가 있으면, 아군 악마가 죽을 때마다 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/798f17d6112cc2b76252e817ecb7aa6bc110bf8602286782917f1729cc3e7cd5.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1509dc024716e24b304f34f12819440eac6f14a625334a8bdb46530ab57fd9b5.png"	"\"몸집도 크고 엄청 사악하다고!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8f81d6ea76102ef0aa1598095d9ef4d57514f4fc4e98bd33ca7f5ba1fe912f41.png"
2623	1	"2623-wrathguard"	9	[]	15	4	15	1	"Sojin Hwang"	3	4	2	"격노수호병"	"이 하수인은 피해를 받을 때마다 내 영웅에게도 그만큼의 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f462c1d3dfe7e8158ed8b0defd83974703311184fe170862b874b07ac5e9568.png"	""	"한 게임에서 안녕로봇을 5번 만나면 누구나 격노수호병이 될 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dda3329be80585f7407be55731e98cbcf6cd8c3f44baa23517f8213ff76b3289.png"
97570	1	"97570-ancient-totem"	12	[]	21	4	1858	1	"Melvin Chan"	3	0	0	"고대의 토템"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd3e23457d577a9d805480f6a88d3c361ad7beefa55a3b7a045c3c3c4952aa74.png"	""	"아기 멀록보다 훨씬 더 귀엽네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/47be7f6db628302feb80a4c18bdb1aa23a7fc15be2739de1782ea3436f157186.png"
47516	1	"47516-festeroot-hulk"	10	[]	11	4	1125	3	"Evgeniy Dlinnov"	7	2	5	"고름뿌리 거목"	"아군 하수인이 공격한 후에, 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a4700b8535cf36d8f5e4ad4a4769be83eb54f25426a92922bdf8cc2adc12b405.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61df97206bf6806e747043dafe6def6bbb91d4311c29505b3320ac36926b2476.png"	"나무 관련 말장난이 점점 시들시들해지는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/41f76880d034890c4f64b30cb1f3dcfca46739c0a658d2058452bd4e74eb06eb.png"
55401	1	"55401-parachute-brigand"	12	[]	23	4	1347	1	"Adam Byrne"	2	2	2	"공수 부대원"	"내가 해적을 낸 후에, 이 하수인을 내 손에서 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c369ca809b7be13e2d1e10c6c2f8e1e47be234d138d5a8204cfc7d4a756cefdb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d58a3654a95a1928568cbe39d304857b1b03066f61d8c00bdfea90025032155d.png"	"\"이젠 내가 해적이다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5576287c6ff70f686633bb22c00a77e126a8474d04b129aacc95cdfa29f9c127.png"
55446	1	"55446-dread-raven"	12	[]	20	4	1347	4	"Patrik Bjorkstrom"	4	3	3	"공포의 까마귀"	"내 다른 공포의 까마귀 하나당 공격력을 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57481e0ecdad814e54060b1c7785de29ef654334c405002dbf75915ba774cf52.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/98372ef220be086f1d370fd5d8e0ba3fe0b1c1aed2d387f512771b540eaa8f09.png"	"'공포의 까마귀 네 마리'를 두 글자로 줄이면 뭘까요? 킬각."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ac366368b3374c25e5d28d4085e4fbf60b992772ddbe0a95a9fd3c5d13901319.png"
56122	1	"56122-frenzied-felwing"	12	[]	15	4	1403	3	"Nicola Saviori"	3	3	4	"광포한 지옥날개"	"이번 턴에 적 영웅에게 준 피해 1당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/864260f20bf02c6b199dcbc99cd6a97d2ca1fbab7a8f863cc5d525c876ee87ca.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/297f229b289dd28d8013568b5dea1c7b1545460a1b83251c933ceeb0cb1e6e14.png"	"어느 정도 명치를 달린 분들에게 열려 있는 기회라는 뜻입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76a23ac6eefadfba84d414d1fa9821fcb855a9ff6b8205338ed6a050b6e2bd99.png"
55423	1	"55423-evasive-feywing"	12	[]	24	4	1347	1	"Concept Art House"	4	5	4	"교묘한 요정날개"	"주문이나 영웅 능력의 대상으로 지정되지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa27dd9856c33ac2a063e814cdc8cb857d530ca6d9c4c0b8c53088625b4bd7e8.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b28360f39e1e4b9964cbc9b0dfd0df474260842462ecbe0a7ce25bd58fd8e00.png"	"\"빛나래라는 요정용은 들어본 적이 없어요. 그래도 왠지 만나보면 친구가 될 수 있을 것 같네요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd54275f15f0ed1faafd4f9d29d36cecace90a0d314ff20e83a28692f6bfc0c1.png"
