id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	attack	manaCost	durability	name	text	image	imageGold	flavorText	cropImage	duels
61951	1	"61951-spiked-wheel"	10	[]	7	1466	1	"Gabe Gonzalez"	0	1	2	"가시 바퀴"	"내 영웅에게 방어도가 있다면 공격력을 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e271e2988f88e39f6b59049bbc80b7af3ecf6bf451f9765967ce341ab74d16ad.png"	""	"바퀴를 교체할 때 손 조심하세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b37aa53592d5a7dfee1e8f12365ab34a301ee0171a13b4d12d45b8530c89856b.png"	{"relevant":true,"constructed":true}
64964	1	"64964-leatherworking-kit"	3	[]	7	1578	3	"Kagi "	0	1	3	"가죽세공 도구"	"아군 야수 셋이 죽은 후에, 야수를 뽑고 그 야수에게 +1/+1을 부여하고 내구도를 1 잃습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2a392ea220efeaa291c03a69dada567f67e578e870d312b327944b2905095be.png"	""	"이것만 있으면 박제와 재봉 준비는 다 됐습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ebc893e0349aaab37e3f713c11ff3abf224d66cf242582c9aad124f277ddf68e.png"	{"relevant":true,"constructed":true}
41420	1	"41420-molten-blade"	10	[]	7	27	3	"James Ryman"	1	1	1	"녹아내린 칼날"	"이 무기는 내 손에 있으면 내 턴이 시작될 때마다 무작위 무기로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0eff0514cab9c08bb7322e4220d57036e457144b604112cbefc911327ffe2c4.png"	""	"손에 들 수만 있다면 온갖 용도로 사용할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61e74d72aa13c21f422e92f1d63ab29432d45e556373ba48b94473c900251e26.jpg"	{"relevant":true,"constructed":true}
61227	1	"61227-whack-a-gnoll-hammer"	8	[]	7	1466	3	"Jason Kang"	3	3	2	"놀 때려잡기 망치"	"내 영웅이 공격한 후에, 무작위 아군 하수인에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6487ae66cd3400b70bdaa78ea7241165b3c62be692fce697ad517f7db0301bf0.png"	""	"이건 놀의 입장도 들어봐야 한다고 생각합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5d509c67dc130fc0155471e3e9ab53b1f152c63882ffd1305cb21a195d19e8c.png"	{"relevant":true,"constructed":true}
63677	1	"63677-runed-mithril-rod"	9	[]	7	1578	3	"Akkapoj T."	0	5	2	"룬새김 미스릴 마법막대"	"내가 카드를 4장 뽑은 후에, 내 손에 있는 카드들의 비용이 (1) 감소하고 내구도를 1 잃습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d196340427db90b60d74b1455d30856915b536f7bd1cda6bca1c1b1f638d8874.png"	""	"녹템 팔아요 아니면 갈아요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3a4e48e9108bdc0ffcbcf40884dc668f886b38598f8a800bb69ac59ec6b687b.png"	{"relevant":true,"constructed":true}
46299	1	"46299-skull-of-the-manari"	9	[]	7	1004	5	"Matthew O'Connor"	0	5	3	"만아리의 해골"	"내 턴이 시작될 때, 내 손에 있는 악마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bfa0a50da286ce4988e20d39488afc3b6ac08f86adf3f741db2837da3241379f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0bfddb3b2d1c7edcbab147721c8b76c79cc650cbec5497f5a81978284c575d5e.png"	"세상에 착한 해골은 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1931e04f53828fa765477b90487720200eba928bda3fb2b56e4d3b89e992b6f2.jpg"	{"relevant":true,"constructed":true}
62893	1	"62893-swinetusk-shank"	7	[]	7	1525	4	"Kagi "	2	3	2	"멧돼지엄니 단도"	"내가 독을 낸 후에, 내구도를 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a5d2bf85da5b335502373c9697fcd82527233caf929c2242a953af377457cde.png"	""	"멧돼지 갈비도 함께 드립니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34e7a880a83bffe26b7bea4d57f1e5c6a51e5ab5170484888fc80a6f5471b4e1.png"	{"relevant":true,"constructed":true}
39417	1	"39417-fools-bane"	10	[]	7	23	1	"Anton Zemskov"	3	5	4	"바보의 파멸"	"한 턴에 여러번 공격할 수 있습니다. 영웅을 공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fbd42e4478b52255520218d44c46d1b29e052b16342de8647939581a97dde62e.png"	""	"일시적으로 얼음울음이 된 기분을 느낄 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76d29ae24efa3a62d44b0b28715c30857c2d1b7206250ece71f3e4c5d64124af.jpg"	{"relevant":true,"constructed":true}
56905	1	"56905-flamereaper"	14	[]	7	1463	4	"Akkapoj T."	5	7	3	"불꽃수확자"	"내 영웅이 공격하는 대상 양옆의 하수인들에게도 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5a410d90a11cb2c030dba22ee8ed69092bd6401731a2dd377bea091ac85f8c0f.png"	""	"불꽃수확자보다는 불꽃뿌리개가 더 정확한 이름일지도 모르겠네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5fed24703c1dfcf27cb78999aae5d02172013e2eff71c6c21938beb62b5df226.png"	{"relevant":true,"constructed":true}
383	1	"383-lights-justice"	5	[]	7	1635	2	"Glenn Rane"	1	1	4	"빛의 정의"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d97f888296c2697d86174f369bf9875fa624bbaeee1933045a01da29f1558f0.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/45c2a1c38ff57cf2faead5a3a5a11b674defea72cc97eb342e7c326b3ca08fcc.png"	"공작 말체자르는 희귀한 무기를 모으는 수집가였습니다. 무기를 살아 움직이게 하고는 자신 앞에서 춤추게 했죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9360b20b8e47a5ac5970575225deafc20fce09b2cf68aa6889332cdb37ba02ce.png"	{"relevant":true,"constructed":true}
64688	1	"64688-lions-frenzy"	14	[]	7	1578	4	"Jason Kang"	0	3	2	"사자의 광폭"	"이 무기의 공격력은 내가 이번 턴에 뽑은 카드의 수와 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0c757c8587b6d99821ffe8f6edea40eeca9d956c34e43c024a6099c745bf5ef5.png"	""	"뽑은 만큼 강해집니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a18376dd694c768e02cd314288e4de7b9a9139bded52622929ce4d880c43595e.png"	{"relevant":true,"constructed":true}
61246	1	"61246-ringmasters-baton"	10	[]	7	1466	4	"Evgeniy Dlinnov"	1	2	3	"서커스 단장의 지휘봉"	"내 영웅이 공격한 후에, 내 손에 있는 기계, 용족, 해적에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/45e32e4fd095d959928ade274d82a5fe05451256d820193cb42ed7f5fef60a91.png"	""	"용과 기계, 해적의 이름으로 너를 용서하지 않겠다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/45663c03b0bf69f45c6a78377ffd2977f6cb40ce120ea6125aca3acafaf6639d.png"	{"relevant":true,"constructed":true}
63374	1	"63374-whetstone-hatchet"	10	[]	7	1525	3	"Luca Zontini"	1	1	4	"숫돌 손도끼"	"내 영웅이 공격한 후에, 내 손에 있는 하수인에게 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e018c33acd526287ab3cdfc576ca369b4f0e8871aec4f82d5aaaf14652eeecbb.png"	""	"안 좋은 손도끼라도 좋은 창을 더 날카롭게 다듬을 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a416d77346ef1181de8af841a6dbb9c1bc7c2a16947504c0be6685d91881b785.png"	{"relevant":true,"constructed":true}
304	1	"304-arcanite-reaper"	10	[]	7	1635	2	"Stefan Kopinski"	5	5	2	"아케이나이트 도끼"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa4623ca707aa4f8fcf45d81ff286ac5eb5e67fe333ace22bde4de34424bc051.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2844ea3fda344acac193ca9b1b1e82f44d9b1c56ea6b4ca23d9be7404717b58.png"	"세월이 지나도 명품은 명품입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a33906b009940ce8b08cd4b65ef584ce844df5fa4c6aaf1ec0b18df4699877cf.png"	{"relevant":true,"constructed":true}
43426	1	"43426-aluneth"	4	[]	7	1004	5	"Izzy Hoover"	0	6	3	"알루네스"	"내 턴이 끝날 때, 카드를 3장 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d62e59b8b8d27202e3bbf1b9e738513aa2ca528567ff8fb40854d111b2ff378.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06f5b1efef564e72035a2221453a649183e6754d9b4e8d5f2434a7feb6b50003.png"	"눈부신 비전 마력을 담기엔... 작은 그릇이긴 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba9121f71edc578d0cebb1e95efdae44284cc052b53ca804300748a1749d17cc.jpg"	{"relevant":true,"constructed":true}
