id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	copyOfCardId	duels
69658	1	"69658-stranglethorn-tiger"	12	[]	20	4	1637	1	"Alex Horley Orlandelli"	5	5	5	"가시덤불 호랑이"	"<b>은신</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d44665097ef3b9efc8f55370d2cec626ac566455908f654da3ede4dd2ca7b097.png"	""	"호랑이에 대한 멋진 사실은 호랑이가 멋지다는 사실입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a4d78180af920f1a4b5d838581ac61350a6b4676071add9544c26cd5d09c290.png"	[6]	68	{"relevant":true,"constructed":true}
76310	1	"76310-zola-the-gorgon"	12	[]	92	4	1637	5	"Sean McNally"	2	2	3	"고르곤 졸라"	"<b>전투의 함성:</b> 아군 하수인을 선택합니다. 그 하수인을 황금 카드로 복사하여 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4dd21e17b05b64a287cf8e0627a090ebc1e047abb7f904022ed6a321a9cc8184.png"	""	"이름에서 맛있는 냄새가 납니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f90817362b43bda91e75346d52a0056154851e7ae571eab9e9f173e7593fbc57.png"	[8]	46403	{"relevant":true,"constructed":true}
102230	1	"102230-dread-corsair"	12	[]	23	4	1637	1	"Trent Kaniuga"	3	3	4	"공포의 해적"	"<b>도발</b> 내 무기의 공격력만큼 비용이 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b78895287d4b68b2c5f3f2e6ab9331012cd632baedb1fa026121a391dad10ac.png"	""	"\"야아아르\"는 해적 말로 \"안녕하십니까\"라는 뜻입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/266e33ba0f82f86ec9fef83f549394d9d532ae6a83e616dd054e80c994ffca0f.png"	[1]	878	{"relevant":true,"constructed":true}
76281	1	"76281-voidwalker"	9	[]	15	4	1637	1	"Alex Horley Orlandelli"	3	1	1	"공허방랑자"	"<b>도발</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b2f1a2b2e727cd45b47b3ec831a1492bf6970dbc015d2521d26ef3904a0e87d.png"	""	"내 이름은 보이드. 별명은... 몸빵."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30821f0305ddb5a9039aa6f53c19db9ce4c1c29389e75019f119e5246095cac2.png"	[1]	48	{"relevant":true,"constructed":true}
102211	1	"102211-voidcaller"	9	[]	15	4	1637	1	"Robb Shoberg"	4	3	4	"공허소환사"	"<b>죽음의 메아리:</b> 내 손의 무작위 악마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/21a46fdb0a893cd24b01c93350117494775af5e011fa3aa3ccecf3b87c9a2fc9.png"	""	"\"산 자와 죽은 자들의 세계를 이어줍니다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c38c865cb6437b5855309f980e0ffae6053aee34b6457e97c070054f54fdf480.png"	[12]	1806	{"relevant":true,"constructed":true}
69661	1	"69661-crazed-alchemist"	12	[]	11	4	1637	3	"Tom Fleming"	2	2	2	"광기의 연금술사"	"<b>전투의 함성:</b> 하수인의 공격력과 생명력을 바꿉니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b853284bb4b43f22b4f87e33cbb3b10230f136c3f16ea6f294aafe6f246a1ea.png"	""	"\"새 물약이 마음에 들 겁니다.\"라는군요. 당신이 가진 팔다리의 개수가 마음에 안 든다면 뭐... 맞는 말이겠네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ef34d0625f33202b330fadac100ffbf49f7d8b2dc0daf54acd8faf117098ac47.png"	[8]	801	{"relevant":true,"constructed":true}
102198	1	"102198-lothraxion-the-redeemed"	5	[]	15	4	1637	5	"James Ryman"	5	5	5	"구원받은 로스락시온"	"<b>전투의 함성:</b> 이번 게임 동안 내가 은빛 성기사단 신병을 소환한 후에, 그 하수인에게 <b>천상의 보호막</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d2f58dac23e07ab6d191a37ff935e6f718198acd144c2637ed0b9c5157802c07.png"	""	"로스락시온... 그저 빛..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a4ccf7a93140e4d25195128d672b394303c23dd6119599f91926302fcab80dd3.png"	[3,8]	61191	{"relevant":true,"constructed":true}
76283	1	"76283-abyssal-enforcer"	9	[]	15	4	1637	1	"Luke Mancini"	6	6	7	"난폭한 심연불악마"	"<b>전투의 함성:</b> 다른 <b>모든</b> 캐릭터에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3f85438d1cbafca264f17ed2eae8666baa9c6c1188e81c4292f0c40de0236303.png"	""	"비밀결사는 불법 마나 수정에 이 문구를 꼭 써놓습니다. '심연불악마 가까이에 두지 말것. 불타는 악마가 사용할 것을 감안하여 제작되지 않았음.'"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cc8a36f554190360e32456cfb298923ac3d7684473fc9cd55610d829bec1352.png"	[8]	40541	{"relevant":true,"constructed":true}
102221	1	"102221-rustrot-viper"	12	[]	20	4	1637	1	"Zhefei Hou"	4	3	3	"녹부식 독사"	"<b>교환성</b> <b>전투의 함성:</b> 상대편의 무기를 파괴합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6de3eb306913a9685ece90601071300912145532368d355172f206e3add6a3f2.png"	""	"무기가 살살 녹습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da4abc8912e66289a2ec09529324d1fb246e748ba623976f1d660e917e15daec.png"	[8,97]	64720	{"relevant":true,"constructed":true}
76323	1	"76323-plated-beetle"	12	[]	20	4	1637	1	"Ian Ameling"	3	2	2	"단단한 딱정벌레"	"<b>죽음의 메아리:</b> 방어도를 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fce94a6e5bd4ee2c759453cf5b066e25a24a2835dc0ebbfe56ea784eb2b8a7ba.png"	""	"\"딱정벌레를 머리에 둔 건 나 보라는 친절인가?\" \"뭐라고? 이건 그냥 최신 유행 모자야. 이거 완전히 도끼병이네.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/573299ecb91e1d7af091e22229e3732fc9ae291f50ff4b664ba41b7e77304996.png"	[12]	45930	{"relevant":true,"constructed":true}
