id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
257	1	"257-razorfen-hunter"	12	[]	4	1635	2	"Clint Langley"	3	2	3	"가시덩굴 사냥꾼"	"<b>전투의 함성:</b> 1/1 멧돼지를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2ff993ee97a49d79e0a70fd310cbc5725cf6787d69b94b3236a9961d6f97047.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2dba5eb6e712c639943b94446e877062fbabbaaf6f6750700e8e865573c55f6f.png"	"뿔엄니에게 정말 까분 사람이 한 명 있었습니다. 딱 한 명요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c8702fbb92ead4d419cfda878af0e5cc83e3f422e434d663f317a3c1e1cafb07.png"	[298]	[8]	{"relevant":true,"constructed":true}
53788	1	"53788-infested-goblin"	12	[]	4	1158	3	"Ludo Lullabi"	3	2	3	"감염된 고블린"	"<b>도발</b>, <b>죽음의 메아리:</b> <b>도발</b> 능력이 있는 1/1 딱정벌레 2마리를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c97d2b41017dd9cd1021aed2bc266b5171211f8a5e641e59a4b9b8aa731440f4.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69ad3f2165f3ae9d9c2fca1fed991b491733e43d28f20b973792f6413e2913e2.png"	"분명히 말씀드리겠습니다. 딱정벌레 퇴치제를 아끼지 마세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ba605754bd1c344e73f165b262d371c1651915aa75b9ee26632940a415231c0.png"	[54494]	[1,12]	{"relevant":true,"constructed":true}
78607	1	"78607-infected-peasant"	12	[]	4	1776	1	"Arthur Bozonnet"	1	2	2	"감염된 농부"	"<b>죽음의 메아리:</b> 2/2 언데드 농부를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a357ade883d5c106f0941d4f1bc4d9c4ff432ef0e37066ec180545ceb4308bd4.png"	""	"농민 봉기입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e53c031920316ff97abf07c9cf1774aafb2ad802688b0469cf659f2f6ba001e9.png"	[78608]	[12]	{"relevant":true,"constructed":true}
38784	1	"38784-infested-tauren"	12	[]	4	21	1	"Paul Mafayon"	3	2	4	"감염된 타우렌"	"<b>도발</b>, <b>죽음의 메아리:</b> 2/2 수액괴물을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c27cbb23ebaff6e2748c67293dcb40525a96a6beedc64286adee0ec5d7d51844.png"	""	"고대 신 중에 초월체가 있는 줄 알고 등장했다는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4cd203bd5335fe0a02448169b0088171194a4cdc31bb8b8c93130afcf3d4d953.jpg"	[38783]	[1,12]	{"relevant":true,"constructed":true}
77558	1	"77558-necrolord-draka"	7	[]	4	1691	5	"Trent Kaniuga"	4	3	5	"강령군주 드라카"	"<b>전투의 함성:</b> /3 단검을 장착합니다. <i>(이번 턴에 앞서 낸 카드의 수만큼 공격력을 +1 얻습니다!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9bbb77a5a150979e28d92059c6ff439e85789e03d5e4c329da12eb1d9a8a2338.png"	""	"원래 \"보름달\"이란 전설 하수인이었습니다. 누가 초상화에 난입하기 전까지 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3aa0c71c063cda82490d18cb63ca28bbdb2ab099a392b39f50d54399f6984a7f.png"	[79769]	[8]	{"relevant":true,"constructed":true}
72007	1	"72007-blademaster-okani"	12	[]	4	1658	5	"Hideaki Takamura"	6	2	4	"검귀 오카니"	"<b>전투의 함성:</b> 이 하수인이 살아있으면, 상대편이 내는 다음 하수인 또는 주문을 선택해 <b>차단</b>합니다. (비밀)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e7049df644e765590026a73be8cc25782dfee8334ac158634c077dc55040c3bd.png"	""	"검으로 다 막아내는 검사가 여기 또 있군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec522e09a9fce2aff9e92513c6721c5f917d6f3eee8c62b6264ec2a2898f7ab4.png"	[72001,72003]	[8,16]	{"relevant":true,"constructed":true}
858	1	"858-gelbin-mekkatorque"	12	[]	4	1635	5	"Ludo Lullabi"	6	6	6	"겔빈 멕카토크"	"<b>전투의 함성:</b> 끝내주는 발명품을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f1730edfe63aed0c6c292e43fdffad2d51714842852ab0238739c9332375f32f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87a1376f5a6c12920c626cea7432a259c1650b7332c9c6adee326377d5d17de8.png"	"노움의 지도자이자 엄청난 발명가입니다. 게다가 실력도 조금씩 나아지고 있죠. 뭐든 닭으로 만들어버리는 빈도가 <b>많이</b> 줄었으니까요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1048ebde5d791088af9c549ce7e48afbb5cd12f4ac765a4bb031d87e60d118b.png"	[52,227,329,146,262]	[8]	{"relevant":true,"constructed":true}
54411	1	"54411-bug-collector"	12	[]	4	1158	1	"Rafael Zanchetin"	1	2	2	"곤충 수집가"	"<b>전투의 함성:</b> <b>속공</b> 능력이 있는 1/1 메뚜기를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3401f910c3e1cab0ad84d91d0023087ef6b910568e81ceb364a998ddbd10f721.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4729c1152e616d41ee3fb133f7da2b34fedde4af4c1da5ae6cc1db298be5ac73.png"	"좋아하는 곤충이 뭐냐고요? 벌떼!!!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dffa8077ea716ffaf85f80656c045dc664e956fb6eab820c25aeccf44263582a.png"	[53921]	[8,53]	{"relevant":true,"constructed":true}
62588	1	"62588-kazakus-golem-shaper"	12	[]	4	1525	5	"Anton Zemskov"	3	3	4	"골렘술사 카자쿠스"	"<b>전투의 함성:</b> 내 덱에 비용이 4인 카드가 없으면, 원하는 골렘을 직접 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51481fceaac461641c874c40b1d54563bf8f841118fb72377102afe53003004d.png"	""	"사랑과 애정을 담아 적을 박살내주지!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d2587a2a670e7bffa5813973dfe43804f06433b8b327acd1116cae902fa5ac3.png"	[63666,63667,63668,63644,63650,68234]	[8]	{"relevant":true,"constructed":true}
53926	1	"53926-dinotamer-brann"	3	[]	4	1158	5	"L. Lullabi & K. Turovec"	4	2	7	"공룡조련사 브란"	"<b>전투의 함성:</b> 내 덱에 똑같은 카드가 없으면, 왕 크루쉬를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c2d46dc31f20818f8cae9adb3c804f5901a0107a963046eb10152c2594800720.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee660ff70c446051b1e5146f577b955d1ff9092cc76d48246edeb561800b1000.png"	"브란의 새로운 취미인 공룡 길들이기가 순조롭게 흘러가고 있습니다. 벌써부터 브란을 앉고, 서고, 구르게 하고 있다니까요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d2563429e184a3ff20c332eb520e26cdde814921e73a0fff7c8ce33d82623c69.png"	[57918]	[8]	{"relevant":true,"constructed":true}
