id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId
69844	1	"69844-gadgetzan-auctioneer"	12	[]	4	1646	3	"Matt Dixon"	4	4	5	"가젯잔 경매인"	"내가 주문을 시전할 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1b0cdceb7a80882543578dbaf805789bd433587f1c87d210272726a07bb010c2.png"	""	"암시장 경매장을 운영하던 때도 있었지만, 너무 폭력이 난무하는 바람에 옮길 수 밖에 없었답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dadf1acf5199a1184678ce5c1a1a7b456fcf2014fa72f3fcd20bff91e7ec5051.png"	932
70046	1	"70046-frothing-berserker"	10	[]	4	1646	3	"Simon Bisley"	4	2	3	"거품 무는 광전사"	"하수인이 피해를 받을 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94a0be538d3cc07d4012bff5c326be9d2efe7d8b2929307f974e9beae5a83a02.png"	""	"거품 물기 전까지는 회계사였답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/598fd3fa71666bc04f921b9ba7f048cb45d6a9f15dab594eeb5b6fde51aabf8d.png"	654
70095	1	"70095-master-swordsmith"	12	[]	4	1646	3	"E. M. Gist"	3	1	2	"검 제작의 대가"	"내 턴이 끝날 때, 다른 무작위 아군 하수인에게 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c7a53c4f89997dcf6ff14f3beb01ebfe655095ab62fec3014003a0eacc27bd1c.png"	""	"현재는 다른 모든 대장장이들의 만류에도 불구하고, \"도리깨 도끼\"라는 무기를 제작하고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c593b13b45a5a5d1a6ef4ea2b2feb1e60e726ec89df68bb15550db8a4c94f50.png"	351
69826	1	"69826-ancient-watcher"	12	[]	4	1646	3	"Richard Wright"	5	4	2	"고대의 감시자"	"공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/970b3fe284dd531aa317e35d83d48fef6244065284c7d9904956687955e9e940.png"	""	"왜 지날 때마다 눈이 날 따라 움직이는 것 같을까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e80cb2d535e98acf3645023a661f1a7bba360c825eae7c7b1b3300305348a9ef.png"	605
69809	1	"69809-acolyte-of-pain"	12	[]	4	1646	1	"Dave Kendall"	3	1	3	"고통의 수행사제"	"이 하수인이 피해를 받을 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5937e33f8b281b58c05f80e2bb1f54a3c2c5c2e1464cb54845b0a252c6fda141.png"	""	"사실은 기쁨의 수행사제가 되고 싶었던 사람입니다. 이것으로 우리는 고통과 기쁨이 종이 한 장 차이라는 걸 알 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83ceae1ae6bf463ad0baf1d9a2d4e05db364470500c607e943e217d24ea9096c.png"	1659
68383	1	"68383-raid-leader"	12	[]	4	1646	2	"Phill Gonzales"	2	2	3	"공격대장"	"내 다른 하수인들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb5d534868ee069e9fa84f6b1487eecb31130794a8d910b267e7b371448b0d2e.png"	""	"\"바닥! 바닥! 바닥 좀 피하라고!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19fb4f770de1a09e1c67f200be664c1db429c563e0da87a2adcc3c9bdab3fb04.png"	1401
70084	1	"70084-wild-pyromancer"	12	[]	4	1646	3	"Alex Horley Orlandelli"	2	3	2	"광기의 화염술사"	"내가 주문을 시전한 후에, <b>모든</b> 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f8da7e95bf9e34408a2ef3abe8af0b6cf9e28644a50742acfc3d79828e60187b.png"	""	"한여름엔 왕따, 한겨울엔 인기 폭발인 친구입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9ae786510c4d3381d60f90164b8b0a366647171bb186f05002a894cfff35ad2.png"	1014
68465	1	"68465-gurubashi-berserker"	12	[]	4	1646	2	"Alex Horley Orlandelli"	7	2	5	"구루바시 광전사"	"이 하수인은 피해를 받을 때마다 공격력을 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd39c444dddc5ac70617d817b1d4ac6f4c00c3aa9668b3607ecaa3ef7c798540.png"	""	"아픈 만큼 성숙하는 법입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1798fc5d3d3845bee1d10542caf946d709a08539898356ca95a9b6d1e45b9a83.png"	768
70101	1	"70101-flesheating-ghoul"	12	[]	4	1646	1	"Alex Horley Orlandelli"	3	2	3	"굶주린 식인 구울"	"하수인이 죽을 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c883b162dbc33854d0136b028fd10001024a2d1743cc71c8e051f8c83ece8172.png"	""	"먹을 게 없어서 시체를 먹습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f44cd6fb7585c66d753f29ce6e9923fcaa3ebfdbed06c239f2a28904cda00e0.png"	397
70096	1	"70096-gruul"	12	[]	4	1646	5	"Kev Walker"	7	7	8	"그룰"	"각 턴이 끝날 때, +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3ea55e715996088f79ca1feb57c805c2fd23826b1f9398ab712e780a196352e6.png"	""	"그룰은 \"용 학살자\"입니다만, 사실 용들을 꼭 안아주고 싶었을 뿐입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a591f634dfb8848dfeabcb8b70407766054577998a471818378a23f93d9740e.png"	526
69898	1	"69898-baron-geddon"	12	[]	4	1646	5	"Ian Ameling"	5	7	7	"남작 게돈"	"내 턴이 끝날 때, 다른 <b>모든</b> 캐릭터에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ec2d12ee92f1ba11b81a9031dde596459693de1031f79e7a3ba3f08af2594ce.png"	""	"한때 라그나로스의 충직한 부관이었지만, 지금은 실직자입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b6f99d4a77a2e83cacb03a8628912c771017f3d8b8f7dcbaafb5305b598ee08.png"	336
69973	1	"69973-nat-pagle"	12	[]	4	1646	5	"Steve Prescott"	4	0	2	"내트 페이글"	"내 턴이 시작될 때, 50%의 확률로 카드를 1장 더 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e2fc661b84f9bedd8167c8b0204e3b0da7579519ab748da79a79881d5a8328b8.png"	""	"아제로스 최고의 낚시꾼, 내트 페이글입니다! 그는 강태공 도우미 3000, 낚싯대 연장기 3000, 그리고 물고기 떼 생성기 2099(아직 시험 중)를 발명했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aec38a3ff1aa6ed41d7b02416111c83beba272036fd4a7d1fc0b068688471872.png"	1147
