id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
2017	1	"2017-gahzrilla"	3	[]	20	4	13	5	"Raymond Swanland"	9	6	7	"가즈릴라"	"이 하수인은 피해를 받을 때마다 공격력이 2배가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d97653a6dc0e2c573e8bc5fce9676e953bc77320fb4c0bbec32c2a8276b0458e.png"	""	"가즈릴라 사냥의 마무리는 항상 무두질이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/21cc61e9fa3d4895602beaa212c7a74ae0cb975b5a0624970ca895e783d869a8.png"	{"relevant":true,"constructed":true}
64384	1	"64384-wickerclaw"	2	[]	20	4	1578	1	"Konstantin Porubov"	4	1	2	"갈고리발톱"	"내 영웅이 공격력을 얻은 후에, 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2062b309cb55e321a1f16c33643951fbfec613f3a89d85838ead74af40d1cbbf.png"	""	"애완동물도 주인을 닮는다는 말이 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/abbadc31638cdd0b65b95753b14dbefabf87010104e3d009248ee2c129b0db6d.png"	{"relevant":true,"constructed":true}
1992	1	"1992-iron-sensei"	7	[]	17	4	13	3	"Brian Despain"	2	2	3	"강철 사부"	"내 턴이 끝날 때, 다른 아군 기계에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/168483ca1c71ed9658a6621fc79840097ddb3b1fd15eeea7c3fe0d189348f386.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7e8261b6fa79da2c5586b99ea6c4cf63919fcb17bd0a52e6d28eb7935cbbfee1.png"	"사부님께선 수많은 기계 제자들이 모인 자리에서 침묵을 깨고 말씀하셨습니다. 01000111101001001"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a7d3e86868cd93f477cfdcb542dc187691246c25bd5eb75e503551adcaf95937.jpg"	{"relevant":true,"constructed":true}
38909	1	"38909-giant-sand-worm"	3	[]	20	4	21	4	"Slawomir Maniak"	8	8	8	"거대한 모래 벌레"	"이 하수인은 공격하여 다른 하수인을 처치할 때마다 다시 공격할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd7e8a7c7c1da61b3f6ed33366d0c88fab9e2cd855673193a09ce972c9beb470.png"	""	"아제로스의 모든 뷔페에서 금지된 하수인입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1644b6a58d0740c13a466c929a4a8d0b9e9f950b7e75ad113097741ed2169856.png"	{"relevant":true,"constructed":true}
61663	1	"61663-grand-totem-eysor"	8	[]	21	4	1466	5	"Jakub Kasper"	4	0	3	"거대한 토템 아이스오르"	"내 턴이 끝날 때, 내 손, 덱, 전장에 있는 다른 모든 토템에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae292052022d667511bb5ceb8791d8fa49524440214515280bc470c2419f15da.png"	""	"이 토템은 플레이버 텍스트를 읽으러 찾아오는 자들의 영혼을 꿰뚫어보는 힘을 가졌습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5411e59325e89fc91a7ec0fdc58de31a8faccfaa66168afd7147f920baa3522d.png"	{"relevant":true,"constructed":true}
2012	1	"2012-spider-tank"	12	[]	17	4	13	1	"Dany Orizio"	4	3	3	"거미 전차"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/63b91bfae8d4ed1e30f3fe821e5e1450bd41831d880e01d24acfb6b7bf8b1494.png"	""	"\"여기 총을 달아보면 어떨까?\" - 피즈블리츠, 거미 자동차를 바라보며."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19bb105e75a2410c9277b64421cca4216d74c6d1d673c056c41e0b6653179ad1.png"	{"relevant":true,"constructed":true}
41263	1	"41263-bittertide-hydra"	12	[]	20	4	27	4	"Mark Gibbons"	8	8	5	"거센물결 히드라"	"이 하수인은 피해를 받을 때마다 내 영웅에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1be842cd9a6bd731199904529499d40cf71346f23b6e2fe1c6422b63f6dda294.png"	""	"중간 머리만 거셉니다. 나머지는 온화하고 다혈질입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/000ffe1b78228cd96966c41ed77089f5615c5fcd1bbc65ac7e1503b3a16c858b.png"	{"relevant":true,"constructed":true}
78525	1	"78525-gigantotem"	8	[]	21	4	1691	4	"Luca Zontini"	8	8	10	"거인토템"	"이번 게임에서 내가 소환한 토템 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b211625f2a4d7b42f7108f2886391b5851969aae2002921803ace5022f20f1a7.png"	""	"일찍 돌아가신 토템 골렘의 삼촌입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c030d0f160bf77b1a193989d7153579456fdf106d32338b33aa9227a7edb0cb.png"	{"relevant":true,"constructed":true}
42825	1	"42825-blackguard"	5	[]	11	4	1001	4	"James Ryman"	9	3	6	"검은경비병"	"내 영웅이 치유될 때마다 무작위 적 하수인에게 그만큼 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ff879c496117aec9a7351e715b5ce901466d034f79cc4143212a6205e08f30c.png"	""	"\"혹시... 저번에 내가 크툰과 17:1로 싸워서 이겼던 얘기를 했던가?\" - 리노 잭슨"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7081bdf04c5ff57fd0d2d4feaefc86f5003f325457dc5dfeeb36c1cc2a74a7a6.png"	{"relevant":true,"constructed":true}
38960	1	"38960-blackwater-pirate"	12	[]	23	4	21	3	"Max Grecke"	5	2	4	"검은바다 해적"	"내 무기의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3c6801b8cc4c8796c8d2a427558f2937ea6f06c052cf84a1f2e7535ec3baa20.png"	""	"\"말했잖아, 배 뒤에서 떨어진 거라고. 살 거야, 말 거야? 나 이래 봬도 바쁜 사람이야! 10분 뒤에 이샤라즈 님 만나러 가야 돼.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/060464189c62af2aa8400b70db6dc25b7c1c0d3836357e3c8dde2bdacd684e2e.jpg"	{"relevant":true,"constructed":true}
