id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	attack	manaCost	durability	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels
53661	1	"53661-splitting-axe"	8	[]	7	1158	4	"Malcolm Davis"	3	4	2	"갈라지는 도끼"	"<b>전투의 함성:</b> 내 토템들을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f44732ef59cc92fcd54534e1f084e350444feefb8506040063af9fd67d6f380.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c8577b9bc9e92b40003784ee7ba64d258630f0ca6c7ff6dba778504bd542b1c.png"	"이 도끼에는 고대 주술사들이 외던 단 한 마디의 주문이 깃들어 있습니다. \"복붙.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/045cd4c85a1b268e32c51217aaad2bef2c5558df01dfd03a8b55b58c8fa447c6.png"	[8]	{"relevant":true,"constructed":true}
2004	1	"2004-powermace"	8	[]	7	13	3	"Zoltan & Gabor"	3	3	2	"강화 철퇴"	"<b>죽음의 메아리:</b> 무작위 아군 기계에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16c13bf509a73a6adfc53526b7020bdcbe7bd2cf754ef9a9cbed4058c4163317.png"	""	"과연 주술사들이 정령을 부리는 걸까요? 사실 주술사들은 정령에게 손이 발이 되도록 빌고 정령들은 \"뭐, 까짓것 도와줄까?\"하는 입장이랍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/798370ea307a87127f1e0b2b55aeca43625f03a2a2dae14ba9112d5b087b89fb.jpg"	[12]	{"relevant":true,"constructed":true}
65597	1	"65597-blackwater-cutlass"	7	[]	7	1578	1	"Jason Kang"	2	1	2	"검은바다 해적단 커틀라스"	"<b>교환성</b>, 내가 이 무기를 <b>교환</b>한 후에, 내 손에 있는 주문의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b340f980e76254b7b87ca214613c09eb8cf0b087597ce15e8f05efcc6a6e704.png"	""	"스톰윈드의 할인마라 부르기도 하죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f56d1324ffa3f6e542ee261fbcc33875ec2862a5e1f3bb6037b89e88cc5cea41.png"	[97]	{"relevant":true,"constructed":true}
311	1	"311-gladiators-longbow"	3	[]	7	3	4	"Peter C. Lee"	5	7	2	"검투사의 장궁"	"내 영웅이 공격할 때, <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c611c9e1455104dc259ff8d881c0245322548be111b427d3fd458d24d70cf36f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/763bf6c405de98f7d6881845bdb78d325961b4b9a39a2912168683c64c17819c.png"	"멀리서 쏠 수 있기 때문에 냄새가 지독한 적을 상대할 때 유용합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f3e37c72c8e42b18729ec8f3bae80abcf522ae7913d8f93b2bf19611c3374c8c.png"	[17]	{"relevant":true,"constructed":true}
64214	1	"64214-auctionhouse-gavel"	8	[]	7	1578	3	"SARIYA "	2	2	2	"경매 망치"	"내 영웅이 공격한 후에, 내 손에 있는 <b>전투의 함성</b> 하수인의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b29a6c99c4de1fece255cabb5fb95c51980784ec745da68b9f298375ab1169a.png"	""	"\"난 판사가 될래요! 아니면 경매사요! 그럼 저런 망치를 가질 수 있겠죠?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e442ebc2d285200930e1d95089471585535c57f15c7ef5274ee9b08d683b374.png"	[8]	{"relevant":true,"constructed":true}
54015	1	"54015-hooked-scimitar"	7	[]	7	1158	1	"Grace Liu"	2	3	2	"곡도"	"<b>연계:</b> 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc8d7c707383a9cc5ca1c293d002352ff218b566c678af44472318ddc1e3fd11.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7be7ffe12fce981e4eae73b032f82e6e8421cb5c155d3bfc156222f463569e18.png"	"오, 곡선미!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7adb957afdfd2365f723d143c28fe69a821cc4215da88daddc0fd367dade2f01.png"	[13]	{"relevant":true,"constructed":true}
67204	1	"67204-dreadprison-glaive"	14	[]	7	1626	1	"Studio Hive "	1	1	3	"공포감옥 전투검"	"<b>명예로운 일격:</b> 적 영웅에게 내 영웅의 공격력만큼 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea5432dcfc1c7f61392b07aecce8e4b08cb45e62acf04b80312ce1b97f75a82d.png"	""	"친구는 가까이에 두십시오. 악마는 아예 무기 안에 넣어 버리시고요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3825008cb41ad711ebda66b222f50a77c6ecf162b4a01d343fe0555c1608b3fd.png"	[100]	{"relevant":true,"constructed":true}
61133	1	"61133-dreadlords-bite"	14	[]	7	1466	1	"Brandon Blackwell"	3	3	2	"공포의 군주의 이빨"	"<b>추방자:</b> 모든 적에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b41d9081fa18cff64f64af2770ea34ea866062d2f41dc1bd248ae4e067f51c22.png"	""	"가끔 씹고 뜯고 맛보고 즐기기 힘들땐 살살 물기도 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/43f6df4d28d106a23898043a2bcf5bbf8b5eaaa1b237bdec33a3962c386c3108.png"	[86]	{"relevant":true,"constructed":true}
63099	1	"63099-seedcloud-buckler"	5	[]	7	1525	1	"Konstantin Turovec"	2	3	3	"괴물씨앗 버클러"	"<b>죽음의 메아리:</b> 내 하수인들에게 <b>천상의 보호막</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ed193885f872072ee0417b1bd7578800cee8d561da25bbb272a838c5389d06e7.png"	""	"방패로 쓰이기도 하지만, 개와 놀아줄 때 원반 대신 던지기도 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/367bbed7a34bc91146228d59cc635fe27b391b5ba890eb1657084d45726f58dd.png"	[3,12]	{"relevant":true,"constructed":true}
45338	1	"45338-shadowblade"	7	[]	7	1001	3	"Matthew O'Connor"	3	3	2	"그림자칼날"	"<b>전투의 함성:</b> 이번 턴에 내 영웅이 <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6d8abd8dd7e06b91eac1dc7260f54cc409696475d39c9f6199e622ae8adfdcf.png"	""	"이제서야 마침내 등 뒤를 노리나 보네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bcb9d705ad7de1d988090141464b3db059379b923a3bb4d4bb39c1743d20d393.png"	[8,17]	{"relevant":true,"constructed":true}
