id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
90603	1	"90603-mc-blingtron"	7	[]	17	4	1809	5	"Mooncolony "	5	5	5	"MC 블링트론"	"<b>전투의 함성:</b> 두 플레이어 모두 1/2 마이크를 장착합니다. 상대편의 마이크는 상대편이 받는 모든 피해를 1 증가시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57d9e200bdc1ea0aff7f5b0a52b2aeb03133e5a0896f19c673919496bac41aeb.png"	""	"로봇 반란의 결과가 이런 거라면, 오히려 좋아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ee59a1e35817e2e19f5a567a75fcadaf6963aeb870f9650cef3c2642d72f58c.png"	[94858,96957]	[8]
97642	1	"97642-v-0-tr-0n-prime"	7	[]	17	4	1858	5	"Matt Dixon"	5	3	6	"V-07-TR-0N 프라임"	"<b>T1T4N</b> 이 하수인의 능력을 다른 무작위 아군 하수인에게 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94aaceb0de332725f7e951e212b2b400c108d66b4108ef8ea8e3a6aa2fc43c06.png"	""	"티탄이 떠난 지 한참 후에, 미미론은 티탄의 힘에 근접한 무언가를 만들기를 꿈꿨습니다. 정말 성공했을 지도 모른다고요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fd48df9e6365d34c7cb0fc936f4e44c2c970a6853b4cf81721d355b149c342c6.png"	[97643,97645,97646]	[270]
97462	1	"97462-xb--disposalbot"	12	[]	17	4	1858	1	"Brian Despain"	2	3	5	"XB-488 고철폐기로봇"	"<b>전투의 함성:</b> 모든 적 하수인에게 5의 피해를 무작위로 나누어 입힙니다. <b>제련:</b> <b>생명력 흡수</b>를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1054d1471798a08b47fdfe7ad5c4399e201ef261694e491bf268506ad21f0e92.png"	""	"XB가 무엇의 약자인지 알고 나면 깜짝 놀라실 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/677415580c9b1e06e915cb070038659098855d8c4e752094620f54b7ec7b47b4.png"	[97464]	[8,38,266]
49824	1	"49824-springpaw"	3	[]	20	4	1129	1	"Vladimir Kafanov"	1	1	1	"갈기발 스라소니"	"<b>속공</b>, <b>전투의 함성:</b> <b>속공</b> 능력이 있는 1/1 스라소니를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/010c12dcfc0094baadf6260824a6096b6a9ae87ccc6400162f42194e5685a198.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea3b5d84389439d9d812c4666dcdf9a220a3253b2dc956c42fe1aedf93e50f7f.png"	"스라소니가 끔찍한 이유는 스라소니가 끔찍하기 때문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e12d51d894dae1c16166654a1ea300c7f26950e6b64d200a6a70bce3771ae295.png"	[50213]	[8,53]
47292	1	"47292-splitting-festeroot"	12	[]	11	4	1125	4	"Jim Nelson"	4	4	8	"갈라지는 고름뿌리"	"<b>죽음의 메아리:</b> 2/2 갈라지는 묘목을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7b54a77f7c69fe5601cee0530da767fc70aa58bc987be8f12ba56a4046e793b.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf6a646d01543007769d1bea2e7c4116af3201391e8f62c21b8de7b63b0d4be6.png"	"고름뿌리 깨뜨려 묘목, 묘목 깨뜨려 나뭇조각."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fff234eaec65e4bcc081f683907c9daa87158cf4be4ed09f7db5fc237dde7b11.png"	[47291,47290]	[12]
60280	1	"60280-coilfang-warlord"	14	[]	92	4	1414	3	"Kagi"	5	9	8	"갈퀴송곳니 전쟁군주"	"<b>속공</b>, <b>죽음의 메아리:</b> <b>도발</b> 능력이 있는 5/9 전쟁군주를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/35b2066770b743bb315dab7311ba1388379e68078b0a9ad5ccfd94eae8845782.png"	""	"아직 소라고둥 한 발 남았다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/771fa0a395a15e3fc63c10bf03d25276097a8e233dd259ee4f146aa1b0548f6f.png"	[60281]	[1,12,53]
56516	1	"56516-enhanced-dreadlord"	9	[]	15	4	1414	3	"Anton Zemskov"	7	5	8	"개조된 공포의 군주"	"<b>도발</b>, <b>죽음의 메아리:</b> <b>생명력 흡수</b> 능력이 있는 5/5 공포의 군주를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/93b50288175bd4913d0981859883cd1b16a0ba81b998980c230eabf0d36f5309.png"	""	"문 손잡이에 비친 모습을 첨단 기술력으로 확대한 사진입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f6a8477130d6bf1dfc8e77041b0e95a9478a47eeae9f016c9f7730b25d02bfa.png"	[57702]	[1,12,38]
87648	1	"87648-keyboard-soloist"	4	[]	92	4	1809	1	"James Ryman"	4	2	4	"건반 솔로"	"<b>전투의 함성:</b> 내 전장에 다른 하수인이 없으면, <b>주문 공격력 +1</b>이 있는 1/2 증폭기를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b141a625792c3550ee6a8e7506ac259d8b68907510b335272ce7832f887aceed.png"	""	"4키가 주력입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87daeb795b8f43741f77188e4df6758c70fd009e95f8dd3e74a8dd89241f9c90.png"	[87653]	[2,8]
56819	1	"56819-scrapyard-colossus"	12	[]	18	4	1414	3	"Steven Prescott"	7	7	10	"고철장 거수"	"<b>도발</b>, <b>죽음의 메아리:</b> <b>도발</b> 능력이 있는 7/7 지옥빛 거수를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/807acd6923dcd32434e534e677f2392fb0b1a46cd41d59e6e73c9757601ecf3e.png"	""	"고철장의 외로운 주먹으로 불린다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/599d900865fe9b8af266aa07c5cf9230adea65f1f9d65fc6bafbba20edb141bc.png"	[59820]	[1,12]
46904	1	"46904-duskbat"	9	[]	20	4	1125	1	"Jiajun Tian"	4	2	3	"그늘박쥐"	"<b>전투의 함성:</b> 이번 턴에 내 영웅이 피해를 받았으면, 1/1 박쥐를 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ac4e7805d5a532c125d0e0c576ee61873d855c188c4e43c24d51eb7f834c0d76.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3a6d81a12e4fe0a0d2fd7d6a02144053d6f079b916748f6b91dc5048b770ce4a.png"	"새끼 둘과 함께 행복한 결혼 생활을 보내고 있습니다. 한 입에 반했다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/59acef27cf3211aade8ae62a639cfd36a91af4d9aa98c2acf85b15971f9d7bc4.png"	[48805]	[8]
