id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	duels
43294	1	"43294-branching-paths"	2	[]	5	1004	4	"Matt Dixon"	4	"갈림길"	"<b>두 번 선택 -</b> 카드를 뽑습니다. 또는 내 하수인들에게 공격력을 +1 부여합니다. 또는 방어도를 +6 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/47b571715accbd2b2051d312c168d78ee0f7088566cb1e725ed265ef04c5da0c.png"	""	"세 갈래 길이 어두운 동굴 속으로 나 있었다. 그래서 나는- 사람이 덜 밟은 길을 택했고, 그리고 나는 수액괴물에게 잡아먹혔다. -가지 말아야 했던 길-"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0e85fef51d661a669302a2dfd205b1a49e6d7b0dd7a26eca62530dd9c6f06e9.jpg"	[43299,43297,43298]	{"relevant":true,"constructed":true}
511	1	"511-upgrade"	10	[]	5	3	3	"Matt Cavotta"	1	"강화!"	"내가 무기를 장착하고 있으면, +1/+1을 부여합니다. 무기가 없다면 1/3 무기를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/777fd36908dcb28e6e4ba526b1ed915cfc54777e16c6b047fd9eb0603ac29a00.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c303854771ce0d87c39cdfe69d5fac54d72c90f05c53fed473c5a7a1af0fbc66.png"	"상대편의 스트레스 지수도 높아집니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d54f8b3d141795722b73403bb688ab5fbabe6daf963dfb6fb82021cf4ddb22b.png"	[1661]	{"relevant":true,"constructed":true}
64627	1	"64627-rats-of-extraordinary-size"	3	[]	5	1578	4	"Dave Allsop"	6	"거대 쥐 떼"	"1/1 쥐를 일곱 소환합니다. 전장에 소환하지 못한 쥐들에게 +4/+4를 부여하고 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9fce110f3181f999199ba4b364181b37bfa309c581a94848e950657480bbbc18.png"	""	"덩치가 사람만 한 쥐가 있다?!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1c0619ed200f6f025adadcb0c9e0f83f4c9be465939e3fd603ed9ba2b5453bd.png"	[64961]	{"relevant":true,"constructed":true}
41363	1	"41363-dinomancy"	3	[]	5	27	4	"Arthur Bozonnet"	2	"공룡술"	"내 영웅 능력이 '야수에게 +2/+2를 부여합니다.'로 바뀝니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ad94cf4bcfd925834558583537629f13d84dcd5b8e92a04831d668e0b178c55.png"	""	"\"내가 개판을 보여주지. 매 턴마다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c7385cce64e5ce3839189d2e26a1527dbcb398730bcdf44f4a781c89f45b386b.jpg"	[41362]	{"relevant":true,"constructed":true}
64896	1	"64896-dreaded-mount"	9	[]	5	1578	4	"Arthur Gimaldinov"	3	"공포마 탈것"	"하수인에게 +1/+1을 부여합니다. 그 하수인이 죽으면, 끝없는 공포마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f72955e29ddcb6fd4aa86a0962977cbfc4609cf5190912a4a043f8647b14a36c.png"	""	"공포마가 참 편리하다니까. 하나를 놓쳐도 다음 공포마가 바로바로 온다니까."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5df06df356ac1f13ebfef2fa6b7af3b85a719d7296aef29e6d969fc94d18e6b8.png"	[71221]	{"relevant":true,"constructed":true}
72416	1	"72416-schooling"	8	[]	5	1658	1	"Matt Dixon"	1	"군영"	"1/1 우두머리 피라냐 셋을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c331f042ba773f67b381d39e4948959d0a6bce4fb38e55e33ce198ede49f47e3.png"	""	"셋 중 가장 아름다운 피라냐는? 피라미."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d4fc0c5ab707bb39ceea182b340f8c65bf6ef57bf0bb4495f21dc9834d4383b4.png"	[72509,80171,80170,80169,80172]	{"relevant":true,"constructed":true}
42759	1	"42759-ultimate-infestation"	2	[]	5	1001	4	"Slawomir Maniak"	10	"궁극의 역병"	"피해를 5 주고, 카드를 5장 뽑고, 방어도를 +5 얻고, 5/5 구울을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8859313e02011b3cce73a4651292a29dfd57612ca339785a72e769cfc41b51e3.png"	""	"정작 비용은 10이라니 밸런스 담당자가 잘못했네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/090f2bd911296d3ee040543b41806641c31a271cf2235471e4a5e9401f1d8fe2.png"	[46389]	{"relevant":true,"constructed":true}
41912	1	"41912-lost-in-the-jungle"	5	[]	5	27	1	"Zoltan Boros"	1	"길 잃은 신병들"	"1/1 은빛 성기사단 신병을 2명 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/13126429b7192caa8ed057805cc8aeade29aa579877820286150123f24561845.png"	""	"그 후, 조지와 칼을 본 사람은 아무도 없었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1be59b97e014dac0dcef9e1fda7857a3b03a2bdd9bc8ba4605fcd766422de9ce.jpg"	[1652]	{"relevant":true,"constructed":true}
59705	1	"59705-adorable-infestation"	3	[2,3]	5	1443	1	"Ivan Fomin"	1	"깜찍한 침략"	"하수인에게 +1/+1을 부여합니다. 1/1 새끼 야수를 소환합니다. 새끼 야수를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5deb0cc7347cc69a9a394291fbee279fd718261ea5d68a4d01ee3b6bfcd6dab.png"	""	"강력한 성능을 뽐내는 카드도 있지만, 애정을 담아 쓰는 카드들도 있답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb54d513c99e58788d3b551fa231d691746f1625d638fe4d8e3da1f15b27c834.png"	[59706]	{"relevant":true,"constructed":true}
72928	1	"72928-nagas-pride"	3	[]	5	1658	3	"Ivan Fomin"	3	"나가의 무리"	"2/2 쏠배감펭을 둘 소환합니다. 내 손에 있을 때 나가를 냈으면, 그 하수인들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/adcbc4241ce3e4700e45390829f35d55d1424ec844ed6511cc76b6f58f0e49ac.png"	""	"쏠배감펭 두 마리와 창든 나가가 나타났다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b0bca1d577b109b34ece7ca24d1d3c386746d8b714e9bc49118687384c95f0f.png"	[86800]	{"relevant":true,"constructed":true}
72440	1	"72440-desecrated-graveyard"	9	[]	5	1626	3	"J. Paick & K. Turovec"	3	"더럽혀진 묘지"	"내 턴이 끝날 때, 공격력이 가장 낮은 아군 하수인을 처치하고 4/4 망령을 소환합니다. 3턴 동안 지속됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0b376bb43cb35d18235967fa204c3f409b7ada5b6f5c2d2726fd7dc14e16ccf.png"	""	"목이 빠져라 기다려야 겨우 들어갈 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/866223c9978042719eea09ac782c8021817957d1e246de5d27248c14745ec925.png"	[72441]	{"relevant":true,"constructed":true}
78469	1	"78469-relic-of-extinction"	14	[]	5	1691	1	"Slawomir Maniak"	1	"멸종의 유물"	"무작위 적 하수인에게 피해를 씩 2번 줍니다. 미래의 내 유물들을 개선합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1989cdae60c1e359fa8e1bef0ffb37405ac44a31365c4cd4eee97fa1e3d27449.png"	""	"운석 충돌보다 쉽고 빠르게 멸종시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b95b419317fc0162d5a4f2de4480ff5f63aab4598ee1516310a1cba5a254dbb9.png"	[77616,78122,83743]	{"relevant":true,"constructed":true}
64014	1	"64014-garrote"	7	[]	5	1578	4	"Konstantin Porubov"	2	"목조르기"	"적 영웅에게 피해를 2 줍니다. 내 덱에 피해를 2 주는 출혈을 셋 섞어 넣습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d26aded26af0e1c769222c6ad77ea587be05c6a32f24a0215940df89b97afda5.png"	""	"\"비록 동전 한 푼 없지만, 난 기술자야.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/beea908500757c8d3a874168431d31f9026baabf921e8b8209441f7b1d34259e.png"	[64015]	{"relevant":true,"constructed":true}
61649	1	"61649-guess-the-weight"	2	[]	5	1466	4	"Anton Zemskov"	2	"무게 알아맞히기"	"카드를 뽑습니다. 다음 카드가 그 카드보다 비용이 높을지 낮을지 예상하고, 맞히면 그 카드도 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/20f266be092d77ec5524d8d4840236f1499b8c959ce7ba348d68545c864680d7.png"	""	"\"제가 마지막 순간에 고양이로 변신할게요!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4680ff7dd813c7d3c09082a08f4f60783d8404927d70ab0caf86b8b26daf94af.png"	[61651,61650]	{"relevant":true,"constructed":true}
78145	1	"78145-jury-duty"	5	[]	5	1691	1	"Konstantin Turovec"	3	"배심원 임무"	"은빛 성기사단 신병을 둘 소환합니다. 내 은빛 성기사단 신병들에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f703135d3b5bdde2e3e4576f8148bad9893de38c18dd6929ab91e3cd65a3af5c.png"	""	"성기사들을 이해할 수 없는 가장 큰 이유는 배심원 일을 진심으로 <i>좋아하기</i> 때문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bfb8074f370c5943cdfa85283e66ecc63c03532f22a1d36e484d53abc3212900.png"	[1652]	{"relevant":true,"constructed":true}
53551	1	"53551-beeees"	2	[]	5	1158	1	"Rafael Zanchetin"	3	"벌떼!!!"	"하수인을 선택합니다. 그 하수인을 공격하는 1/1 벌을 4마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/95d9ad437928c5da1e2be65a57984081e0835d2af2ce22b33f1d42be2ab84745.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19640878659620296ffc84e4e6703a6d0992c050195ad56320808d3242eefa93.png"	"모기떼였으면 더욱 악랄했을 텐데 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db9c73212b20b73bacc8f4c2d4ea3ab861f6e5b88416d74d02efbfe0f594474f.png"	[55329]	{"relevant":true,"constructed":true}
