id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	keywordIds	duels
85810	1	"85810-coilfang-constrictor"	12	[]	20	4	1658	3	"Patrik Bjorkstrom"	4	5	4	"갈퀴송곳니 뱀"	"<b>전투의 함성:</b> 상대편의 손에 있는 카드 3장을 봅니다. 1장을 선택해서 다음 턴에 낼 수 없게 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f00776ab0d2e45485874baa3487eb3f23210f4bfbaed9c2fed290ff7898a400.png"	""	"내게 반한 사람을 어떻게 알 수 있을까요? 함께 있을 때 숨을 잘 쉴 수 있는지 보면 되죠."	[8]	{"relevant":true,"constructed":true}
76224	1	"76224-ancient-krakenbane"	3	[]	92	4	1658	3	"Zoltan Boros"	3	3	3	"고대의 크라켄파멸자"	"<b>전투의 함성:</b> 내 손에 있을 때 주문을 셋 시전했으면, 피해를 5 줍니다. <i>( 남음!)</i> <i>(달성!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/45d5c639c42af071c5c5be68d9016f68bc1fa06700309f051db5ed466d5f798c.png"	""	"\"피시마엘이라고 불러주세요.\""	[8]	{"relevant":true,"constructed":true}
74988	1	"74988-disarming-elemental"	6	[]	18	4	1658	3	"Todd Harris"	4	4	4	"무장 해제 정령"	"<b>전투의 함성:</b> 상대편에게 <b>인양</b>해 줍니다. 그 카드의 비용이 (6)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/95392ff80633b4b04e711d76865fc13a599e19c34960e62b4c86efdd20349f65.png"	""	"\"사이좋게 놀 줄 알게 되면 돌려드리죠.\""	[8,232]	{"relevant":true,"constructed":true}
76583	1	"76583-herald-of-light"	6	[]	92	4	1658	1	"Arthur Gimaldinov"	4	3	3	"빛의 전령"	"<b>전투의 함성:</b> 내 손에 있을 때 신성 주문을 시전했으면, 모든 아군 캐릭터의 생명력을 6 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/659b7e7ce5cc72c107027575462ce4d4acfddbe278034f2d7dae379660e82591.png"	""	"기상! 누가 물고기와 늦잠 자라고 했습니까!"	[8]	{"relevant":true,"constructed":true}
73445	1	"73445-herald-of-shadows"	9	[]	92	4	1658	1	"Alex Stone"	2	4	3	"암흑의 전령"	"<b>전투의 함성:</b> 내 손에 있을 때 암흑 주문을 시전했으면, 하수인의 생명력을 2 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0febf75b4dedcab4719ef68482425371153ca3989a89595fd3c416142288b96.png"	""	"\"사춘기 아니라고요, 엄마!\""	[8]	{"relevant":true,"constructed":true}
75560	1	"75560-herald-of-nature"	2	[]	92	4	1658	1	"Vladimir Kafanov"	3	3	3	"자연의 전령"	"<b>전투의 함성:</b> 내 손에 있을 때 자연 주문을 시전했으면, 내 다른 하수인들에게 +1/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/527193f7b8f01d0a8f0538c4f57d19064c5aead31641920d406897e6efab0e70.png"	""	"진주의 어머니 안에 식물의 어머니가 있습니다."	[8]	{"relevant":true,"constructed":true}
76259	1	"76259-shattershambler"	7	[]	18	4	1658	3	"Mauricio Herrera"	3	1	1	"조각 비틀괴물"	"<b>전투의 함성:</b> 내 다음 <b>죽음의 메아리</b> 하수인의 비용이 (1) 감소하지만, 내면 바로 죽습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5db68c8ff545ca3b10d1f44f77e5f1c26eb30750d88e64f7805a43015002e1cc.png"	""	"가슴이 검게 타들어간다는 게 뭔지 잘 보여주고 있습니다."	[8,12]	{"relevant":true,"constructed":true}
75579	1	"75579-snapdragon"	12	[]	20	4	1658	3	"Luca Zontini"	3	3	3	"치악룡"	"<b>전투의 함성:</b> 내 덱에 있는 모든 <b>전투의 함성</b> 하수인에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d1d54f86cfa05929bc10bff3229cf41dcbe4348dd0d5c144cb546e1a8da7fc34.png"	""	"파지직용과의 상성은 좋지만, 펑펑용과는 별로입니다."	[8]	{"relevant":true,"constructed":true}
75586	1	"75586-tidelost-burrower"	8	[]	14	4	1658	1	"Adam Byrne"	4	4	4	"파도실로 잠복꾼"	"<b>전투의 함성:</b> <b>인양</b>, 그 카드가 멀록이면, 그 멀록을 복사하여 2/2 하수인으로 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6e5b5eb8ea9d81c4d130886dafc2c9c6ae9841571b538174d11da1a25519123c.png"	""	"굴 파기는 누구에게나 맞는 일은 아니지만, 이 친구 적성에는 꼭 맞습니다."	[8,232]	{"relevant":true,"constructed":true}
75552	1	"75552-herald-of-chaos"	14	[]	92	4	1658	1	"L. Lullabi & K. Turovec"	4	3	3	"혼돈의 전령"	"<b>생명력 흡수</b>, <b>전투의 함성:</b> 내 손에 있을 때 지옥 주문을 시전했으면, <b>속공</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccee6f9501b2dc6b162b719cffc1c95f1f7cb96b15aa18e2fb41176915a03727.png"	""	"말도 안되는 세계의 분리가 일어나기 전, 질서의 전령으로 불렸습니다."	[8,38,53]	{"relevant":true,"constructed":true}
