id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
38734	1	"38734-infested-wolf"	3	[]	20	4	21	3	"E. Guiton & A. Bozonnet"	3	3	4	"감염된 늑대"	"<b>죽음의 메아리:</b> 1/1 거미를 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/54128a04b76bd0f77840382b8e2a01c0a3c3e7145d3cdd63567f770921eddf3e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0081c7ca7e6057f7fa16ab8429ec699072f809b2041721088ea9f116744e5e5.png"	"수의사에게 데리고 간다고 해결될 문제가 아닌 것 같군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/416a193af2626737ab8394a5db2203810848fc33bf83578ca3c6461610d39ef3.jpg"	[38735]	[12]	{"relevant":true,"constructed":true}
2024	1	"2024-iron-juggernaut"	10	[]	17	4	13	5	"Raymond Swanland"	5	6	6	"강철의 거대괴수"	"<b>전투의 함성과 죽음의 메아리:</b> 상대편의 덱에 지뢰를 섞어 넣습니다. 지뢰를 뽑으면, 폭발하며 피해를 10 줍니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a54a0ddcc0a7ca297a3c85d9d0c170db5221354652c76fc2d3c6f8eb7a3a77aa.png"	""	"강철의 거대괴수는 오그리마를 지킵니다. \"이달의 직원\" 상도 받았다네요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8663777462216b84d405c440af9f335ef86cfab1e32c5b5ea594aabc33a9e26b.png"	[2221]	[8,12]	{"relevant":true,"constructed":true}
74894	1	"74894-nellie-the-great-thresher"	10	[]	20	4	1658	5	"L. Lullabi & K. Turovec"	5	5	7	"거대 트레샤돈 넬리"	"<b>거수 +1</b>, <b>전투의 함성:</b> 넬리의 배에 태울 해적 셋을 <b>발견</b>합니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b393528e6bf487adf3392933c3e48020f8b184a7282f900fa741a282719e5305.png"	""	"넬리를 민물에 사는 사촌 네시와 헷갈리지 마세요. 이 거대한 생물은 후크터스크가 아끼는 함선을 끌고 다니기 위해 길들였습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e73a2d9a509357a75a9400c27618a40c0a4b398f0531c35e93e82579ccb8763.png"	[74895]	[8,21,231]	{"relevant":true,"constructed":true}
71984	1	"71984-the-leviathan"	5	[]	17	4	1658	5	"Paul Mafayon"	5	4	7	"거대괴수호"	"<b>거수 +1</b>, <b>속공</b>, <b>천상의 보호막</b>, 이 하수인이 공격한 후에, <b>인양</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd7a5efe3e86dfcb2d57e3bbff889030d6850a950706feef0436fcd07ecc4e00.png"	""	"이니 스톰코일이 건조한 이 거대한 배는 거의 모든 위험을 헤쳐나갈 수 있습니다. 물론 이니는 위험에 빠지지 않는 걸 바라지만요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fefb1cc16645c51d5b49778fa1c54a4c5b05bd7b4e168d815fb26ad4c6e5c0fd.png"	[71982]	[3,53,231,232]	{"relevant":true,"constructed":true}
74741	1	"74741-gigafin"	9	[]	14	4	1658	5	"Slawomir Maniak"	4	7	8	"거대지느러미"	"<b>거수 +1</b>, <b>전투의 함성:</b> 모든 적 하수인을 집어삼킵니다. <b>죽음의 메아리:</b> 그 하수인들을 도로 뱉어냅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/932dc928d206cf3edbc4c82ea721f7540bb169092315beeb806f5f11a3dbcf4a.png"	""	"거대지느러미의 한 입 크기는 어마무시하게 큽니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc3d4ac33eac189b616579d13064ffecf7113b99bd5b4a4d5c4d3ceaa4ec5471.png"	[74742]	[8,12,231]	{"relevant":true,"constructed":true}
63375	1	"63375-kresh-lord-of-turtling"	10	[]	20	4	1525	5	"Daren Bader"	9	3	6	"거북 군주 크레쉬"	"<b>광폭:</b> 방어도를 +8 얻습니다. <b>죽음의 메아리:</b> 2/5 거북 가시를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2ab6899baea9bfb8e286a13d99b96f99e9b368ea9cd4a5f8f44b614456ce939c.png"	""	"변기에 거북을 넣고 물을 내리지 말았어야 했어요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5c0abda5b32e4faed30395333154242ee958137e81013001f58ec2e726ded3d.png"	[63376]	[12,99]	{"relevant":true,"constructed":true}
61237	1	"61237-sword-eater"	10	[]	23	4	1466	1	"Mike Sass"	5	2	4	"검놀이꾼"	"<b>도발</b>, <b>전투의 함성:</b> 3/2 검을 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3d77752fe35395a9360299167a07f18aa488467cdb30983343aea37228746cb.png"	""	"얼마나 강력하냐고요? 칼도 씹어먹을 정도로 강하답니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57601908a57cf4b0198bd64ddc3f30e54bb96d7da48f4725505031152f179378.png"	[62240]	[1,8]	{"relevant":true,"constructed":true}
72488	1	"72488-blackwater-behemoth"	6	[]	20	4	1658	5	"Zoltan Boros"	10	8	7	"검은바다 거수"	"<b>거수 +1</b>, <b>생명력 흡수</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec6bd20c3f7fd397183834efdf2a61f652e21f9f8e4c8e48f0480c2802cb9f1d.png"	""	"식사로 바닷물에 배를 말아먹습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b37d19777d1c218d7ab4e1b09f9f2736247172a7c6b5ae28ba965151d8214f4.png"	[72489]	[38,231]	{"relevant":true,"constructed":true}
72120	1	"72120-blackscale-brute"	10	[]	92	4	1658	3	"Konstantin Turovec"	6	5	7	"검은비늘 투사"	"<b>도발</b>, <b>전투의 함성:</b> 내 영웅이 무기를 장착하고 있으면, <b>속공</b> 능력이 있는 5/6 나가를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/42711d194e2ece05329136396cdaa261276d6e932dfdf3da64fe7936e3dac12f.png"	""	"화난 나가의 검은 비늘과 과거의 아즈샤라의 붉은 불꽃입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a599c6dcc4dae5365e8993b01694dcf16d54cfddb163afc26b3cb8557b452f4c.png"	[87697]	[1,8,53]	{"relevant":true,"constructed":true}
9081	1	"9081-ancient-shade"	12	[]	11	4	20	3	"Slawomir Maniak"	4	7	4	"고대의 망령"	"<b>전투의 함성:</b> '고대의 저주'를 내 덱에 섞어 넣습니다. 그 카드를 뽑으면, 피해를 7 입습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/985c84ef91d183c266a9d0396a1ebc7dc3503d83220356acd3f93919f384c687.png"	""	"주의: 햇빛에 노출시키지 마시오."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d5866bfe1916a076f34b9dce21d8e9d8a9c4e08430b958947e5569f806a682cc.png"	[9082]	[8]	{"relevant":true,"constructed":true}
