id	collectible	slug	classId	multiClassIds	minionTypeId	multiTypeIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels
41286	1	"41286-charged-devilsaur"	12	[]	20	[18]	4	27	4	"Luke Mancini"	7	7	8	"감전된 데빌사우루스"	"<b>돌진</b>, <b>전투의 함성:</b> 이번 턴에 영웅을 공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e3f866cb825c57ad9ea6ba0d3e79a592d5289ff29a367de1d365027678aea5d.png"	""	"공룡 정도의 크기면 정전기도 매우 치명적이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9f877fd1d11316d8657bff3db5d07e5951b7ab90a8741ca6d8a767ccc387287a.png"	[4,8]	{"relevant":true,"constructed":true}
2016	1	"2016-metaltooth-leaper"	3	[]	17	[20]	4	13	3	"Hideaki Takamura"	3	3	3	"강철니 표범로봇"	"<b>전투의 함성:</b> 내 다른 기계들에게 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d320d1a8f642a6e89215762b3f9458ff7a311389ec4f8691463c814d83bd2894.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/86c5e432ac57a5cb2521ee4c3a7036050fd343dc9fc92dd4e8233e535cf91786.png"	"비를 맞히지 마세요. 녹슨니 표범로봇이 될 수도 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e350c98e6b58014c646dddf86b423bde1d404ece1752a0ac6e4b7efe1ff676c.png"	[8]	{"relevant":true,"constructed":true}
2911	1	"2911-gorillabot-a-"	12	[]	17	[20]	4	20	1	"Skan Srisuwan"	4	3	3	"고릴라로봇 A-3"	"<b>전투의 함성:</b> 내 전장에 다른 기계가 있으면, 기계를 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f90e2e90f0b0beec143da1d42ab7d79c4c313344892576209177927b4f4aec5b.png"	""	"A-1과 A-2는 오류가 나서 폐기되었습니다. 무슨 37 이라고 하던데..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b34e251529c69dd99f63cecc48bec9714ca5b1e51b4c2a013b358a79b692e6e2.png"	[8,21]	{"relevant":true,"constructed":true}
65601	1	"65601-defias-blastfisher"	3	[]	23	[11]	4	1578	1	"Dave Allsop"	2	3	5	"데피아즈단 폭발낚시꾼"	"<b>전투의 함성:</b> 무작위 적에게 피해를 2 줍니다. 내 야수의 수만큼 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5b1d95055431e84cb243db81629b5d6c075c3cf44bed535e0da0eb7c2dbabfe.png"	""	"폭발낚시 강사라고 하더군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6764630be2ad93e6e1efff5bef12e4e852a2a54f0642b6d1de186646a2d469de.png"	[8]	{"relevant":true,"constructed":true}
64629	1	"64629-metamorfin"	14	[]	14	[15]	4	1578	1	"Nicola Saviori"	2	1	1	"돌연비늘"	"<b>도발</b>, <b>전투의 함성:</b> 이번 턴에 지옥 주문을 시전했으면 +2/+2를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19b9c7cc59d9b1a514c39c5921395a4e64d76d6687ad9026d9dde91fd32351a6.png"	""	"변신 영웅이 되고 싶었던 꿈을 이뤘습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/54205c30adf4fa304160a727e0c9af1c37264bcc01d253e54987d1cbcce33324.png"	[1,8]	{"relevant":true,"constructed":true}
72417	1	"72417-click-clocker"	12	[]	17	[20]	4	1658	1	"Melvin Chan"	1	1	1	"딸깍가재"	"<b>천상의 보호막</b>, <b>전투의 함성:</b> 내 손에 있는 무작위 기계에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec751b409fce577ac8172a856d1bfd1af01ec20a5225afe3ff97aa8a572f7578.png"	""	"설명을 시작해볼까? 푸른색 가재는 애완용으로 인기가 많다는 사실이다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ce935c30e2c8beb2a8057e2de10bfacc72ffca5779eb2abad0ea98cd2fbb0af.png"	[3,8]	{"relevant":true,"constructed":true}
86132	1	"86132-rotgill"	8	[]	11	[14]	4	1776	5	"Alex Horley Orlandelli"	6	3	5	"로트길"	"<b>전투의 함성:</b> 내 다른 하수인들에게 \"<b>죽음의 메아리:</b> 내 하수인들에게 +1/+1을 부여함\" 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f0a23b4f5f9efeb82e6d0af003792685c88c2b29ad69cd26b450afbd28d518a7.png"	""	"여름엔 안 덥길, 상대는 봇이길, 월요일 아니길."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e00d5b72b2f927cb908bbd385bc1ed4e1e97669983eaffaee9d1dd34e801fbe.png"	[8,12]	{"relevant":true,"constructed":true}
65609	1	"65609-crows-nest-lookout"	14	[]	15	[23]	4	1578	1	"Matt Dixon"	2	2	3	"망루의 망꾼"	"<b>전투의 함성:</b> 가장 왼쪽과 오른쪽에 있는 적 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e8e6a79e6d9ec02361f35e922a0d91d1a297795476fa3b41a69b2ad549bf3f6.png"	""	"보는 눈이 더 많아서 더 안전하죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f657348eb7507b01a993d2515da4ac257c5164c7673fd00852cd48657bb4af72.png"	[8]	{"relevant":true,"constructed":true}
64716	1	"64716-moarg-forgefiend"	12	[]	15	[17]	4	1578	1	"Nicola Saviori"	8	8	8	"모아그 괴철로마귀"	"<b>도발</b>, <b>죽음의 메아리:</b> 방어도를 +8 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/595df4358004a506e1a3acba2a50beae452029292ff407b0970b3cea70ce5933.png"	""	"지옥 마력 때문이 아니라, 가려운 곳이 안 닿아서 격노했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7462dc28f7514d956dbb33e8fef2b847f4426ac48c176092c7bd9cd5f890d022.png"	[1,12]	{"relevant":true,"constructed":true}
54730	1	"54730-murmy"	12	[]	14	[11]	4	1158	1	"Matt Dixon"	1	1	1	"미랋"	"<b>환생</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e40a097406f68aa1d000e858c0c75fbef6d902c721342644685553e0daaeddf.png"	""	"다른 미라와는 다르게 밥위에 얹어서 간장과 곁들인다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3340418ce215ca533a440f3156c3e9cb154b3a2fb17cfe78bc399a7ecdeff671.png"	[78]	{"relevant":true,"constructed":true}
72480	1	"72480-bootstrap-sunkeneer"	7	[]	23	[11]	4	1658	4	"Dave Allsop"	4	4	5	"발묶인 침몰꾼"	"<b>연계:</b> 적 하수인을 상대편의 덱 맨 아래에 놓습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f45560808d876950af364f71804c135f4efd4f5f96c8668adff9e913f8f3e15.png"	""	"내 덱에 들어와 동료가 되었습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0effeaf43a1aad726591d6eb2a2d367b8ef72a55e015a8ef25fa2005853004c9.png"	[13]	{"relevant":true,"constructed":true}
84383	1	"84383-rotten-rodent"	7	[]	11	[20]	4	1776	1	"BOSi Studio"	1	2	2	"부패한 쥐"	"<b>전투의 함성:</b> 내 덱에 있는 모든 <b>죽음의 메아리</b> 카드의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6803aacf6857690c5a1f1b68a06b7060a9608c423d4947bdc13a7a8c92487d22.png"	""	"부패하긴 했어도 돈이 많진 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/819820c63da8a65b743c931c01033e937a38160924dc47a49247a36c45dcf1a0.png"	[8,12]	{"relevant":true,"constructed":true}
41260	1	"41260-fire-plume-phoenix"	12	[]	18	[20]	4	27	1	"Dan Scott"	3	3	4	"불길의 불사조"	"<b>전투의 함성:</b> 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a963764cf4b2380db19cedaac459d9b116b0a338c0182340fe99e3ca81cca9dd.png"	""	"화산을 조류용 욕조로 쓰면 이렇게 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e0aa19a6dd641920994e4af1f17ce24d6c6a09dd44824b03fe8204a73f46dc6.png"	[8]	{"relevant":true,"constructed":true}
76258	1	"76258-lightray"	5	[]	18	[20]	4	1658	1	"Tanamaes Leejiarasaes"	5	5	10	"빛가오리"	"<b>도발</b>, 이번 게임에서 내가 낸 성기사 카드 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a6f2481ef7e981e4932efb849ded24052433b09d64bc38bb5b7a51bc011fc6a.png"	""	"빛가오리는 빛줄기와 마찬가지로 수면에서 가까운 곳에 많이 출몰합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c2c6873c1bb5604b99504d524cd2542772b49e291bec6193e4b211a5dae6df5.png"	[1]	{"relevant":true,"constructed":true}
61959	1	"61959-imprisoned-phoenix"	12	[4,8]	18	[20]	4	1466	1	"Konstantin Turovec"	3	2	2	"사로잡힌 불사조"	"2턴 동안 <b>휴면</b> 상태입니다. <b>주문 공격력 +2</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/183dcb53e1ea25533580ed4e8b4186b50783f924331528ebdad87c8f3cdef2f6.png"	""	"불꽃이 되어 날아오르면 사슬에서 쉽게 벗어날 수 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e2f7d0338c251af07538ae972a6d9d33960cd04596955ff43b8af389a4f18fe3.png"	[2]	{"relevant":true,"constructed":true}
42822	1	"42822-corpse-widow"	3	[]	20	[11]	4	1001	3	"Dave Allsop"	6	4	5	"시체 과부거미"	"내 <b>죽음의 메아리</b> 카드의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3ae06a87fce261dee49a1a01288ff74bd0e9015cfb8362ac8e9154feb68a7f46.png"	""	"죽은 뒤에도 결혼 생활은 계속됐지만 예전보단 좀 서먹서먹합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/070c7347f9f986dfd251598185973b3bba5b9ac5e56e64089dd34418630af9fd.png"	[12]	{"relevant":true,"constructed":true}
63042	1	"63042-plaguemaw-the-rotting"	2	[]	43	[11]	4	1525	5	"Alex Horley Orlandelli"	4	3	4	"썩어가는 역병아귀"	"<b>도발</b> 능력이 있는 아군 하수인이 죽은 후에, 그 하수인을 <b>도발</b> 능력이 없는 상태로 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa159c1045ec890396102d769557f0955fa33ccbb0ca4eef5bda8d2ead033fe9.png"	""	"하루에 세 번 양치 안하면 이렇게 된다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2146fafda782a16a6e37ecb08923ff5899e8e09c4e803ad879fb300121a0c03c.png"	[1]	{"relevant":true,"constructed":true}
72423	1	"72423-radiance-of-azshara"	8	[]	18	[92]	4	1658	5	"Konstantin Turovec"	4	3	3	"아즈샤라의 광채"	"<b>화염 주문 공격력 +2</b>, 내 자연 주문들의 비용이 (1) 감소합니다. 내가 냉기 주문을 시전한 후에, 방어도를 +3 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b679db75e80b3d4f3c70eb074eec33a04b6e1b4b435cd9139d1bceb391f6a915.png"	""	"비전, 화염, 냉기 마법으로 아즈샤라 여왕의 적들을 격퇴합니다. 게다가 피부 관리의 비결이랍니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d1a841d1bf9a0ee27b703c898938ce66b81480a15ffbf89ab3a3cd8b58dcc9d.png"	[102]	{"relevant":true,"constructed":true}
2044	1	"2044-explosive-sheep"	12	[]	17	[20]	4	13	1	"Ralph Horsley"	1	1	2	"양 폭탄"	"<b>죽음의 메아리:</b> <b>모든</b> 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cbebf424ea18ed010b0e4d1234940340027d75011e9e24c5e44bbc1380605322.png"	""	"무슨 생각으로 만들었을까요? 적들이 \"우와, 귀엽다!\" 하고 만질 때 폭발시키려고?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/991d7e3aa1f1580b9a66101887759bd6a3dbba04245d02dcc9f42dbf0a656059.png"	[12]	{"relevant":true,"constructed":true}
2096	1	"2096-anodized-robo-cub"	2	[]	17	[20]	4	13	1	"Eva Widermann"	2	2	2	"양극 처리 로봇 새끼곰"	"<b>도발</b>, <b>선택 -</b> 공격력 +1 또는 생명력 +1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/651c794d294bbbcd8497ecc1c3415bd9f411a2bf865ac8e7c67bc73f95273df2.png"	""	"어머, 정말 귀엽다! 그런데 이거 내 얼굴 깨물고 있는 거 맞지?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2241de7fb8c5838f599a731b4de67c1defc56ce76107da58f22b9ebcbd42bd67.jpg"	[1]	{"relevant":true,"constructed":true}
42678	1	"42678-brrrloc"	8	[]	14	[11]	4	1001	1	"Jaemin Kim"	2	2	2	"얼록"	"<b>전투의 함성:</b> 적을 <b>빙결</b> 상태로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/364b1d04b0ec397d23980ef2c83aa9063fc7e7d71e54b0951fe1e9bb49c4f513.png"	""	"얼어버린 멀록의 얼얼한 주먹!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/13c5f342e54a4618d4658a88922ed9e511e097cda8280a112ae92f2ebf748a26.png"	[8,10]	{"relevant":true,"constructed":true}
