id	collectible	slug	classId	multiClassIds	spellSchoolId	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
41407	1	"41407-sudden-genesis"	10	[]	4	5	27	4	"Zoltan Boros"	5	"갑작스러운 기원"	"피해를 받은 아군 하수인들을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ef24c586a267919bf10b0f27a54f12598c8fbe2af7bc72708cd19bb2d9ffcc1b.png"	""	"아픈만큼 소환하는 법입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ed89661f9e015db5c994f2196bf23c7e1e04c86f2f8ce96e20b3604880dbe7ad.png"	{"relevant":true,"constructed":true}
42391	1	"42391-unwilling-sacrifice"	9	[]	6	5	1001	3	"Tyler Walpole"	3	"강제된 희생"	"아군 하수인을 선택합니다. 그 하수인과 무작위 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6da5632b5228faa85dadbc10d8a9c0c45d0ba1bcd1f3e80a254fb8ac1bbd801b.png"	""	"거기... 거기 서 봐."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dffb7c2faed47d8363edb5f8b2b5d7cc61101a27fc926ccefa53a5457fd1af45.png"	{"relevant":true,"constructed":true}
2093	1	"2093-darkbomb"	9	[]	6	5	13	1	"Jeff Haynie"	2	"검은폭탄"	"캐릭터에게 피해를 3 줍니다. 그 캐릭터가 죽으면, 암흑 주문을 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76a32a8978bee97dd477d3aa23805b445ba36f3b44582de893673a03c36bd826.png"	""	"\"이모티콘\" 덱에는 필수로 들어가는 카드입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5a3bd7972390a464fc7587b87f6da83e27a0722949383bb915a35613de2bf14.png"	{"relevant":true,"constructed":true}
41170	1	"41170-binding-heal"	6	[]	5	5	27	1	"Tyler Walpole"	1	"결속의 치유"	"하수인과 내 영웅의 생명력을 5 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87ecbb20d065ee3aad4072f695b6da6969875d3687dbef056fa9853803af6795.png"	""	"이 치유를 수락함으로써 다음 약관에 동의하고..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/54ae5135a72c42b8e9a138861648da9dedeb0503183b5e92a01672bca625a798.png"	{"relevant":true,"constructed":true}
52263	1	"52263-call-of-the-void"	9	[]	6	5	1635	1	"Arthur Gimaldinov"	1	"공허의 부름"	"무작위 악마를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/42e7816baa52b55b5e44a3d76f1cf8ff98fb9e2cf354f7c48bf5b9b425667c92.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/93a162a70cb78e11bdc74c4adfe304b242d46f4c480c5758241b5de685f37a88.png"	"\"누가가미 나를 부르느냐?!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4eead7e33447e5ab86ea58ba1fe2d45423253f3dbf2da45a272b6369193092ed.png"	{"relevant":true,"constructed":true}
61944	1	"61944-hysteria"	12	[6,9]	6	5	1466	3	"Sean McNally"	4	"광분"	"적 하수인을 선택합니다. 그 하수인이 죽을 때까지 무작위 하수인을 공격합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a23094ad73e2b2217f9d7271550dc5df0b93bab6fb21da8e99602b053b72bf91.png"	""	"\"저는 제 탈것과 여러 특별한 감정을 공유합니다. 서로 악감정만 쌓고 있지만요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f39c27f354a8d02260ec80c4f3ca23632bbee3ace35642e7e4859e18dd07cfdc.png"	{"relevant":true,"constructed":true}
54865	1	"54865-radiance"	6	[]	5	5	1635	2	"James Ryman"	1	"광휘"	"내 영웅의 생명력을 5 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6aaa57fc53a4aa2f8fa90c6906916d854e672dc554789e52bef7376180a178c9.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/63df27efd094771d54c0fae597e6c51deb692f6a734f523893355c144869bd72.png"	"전문 용어로 자힐이라고 하죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/420a0d7100cad451541c909fc72590a04c566c630791f850218dba8235063d3a.png"	{"relevant":true,"constructed":true}
62873	1	"62873-desperate-prayer"	6	[]	5	5	1525	1	"Maria Trepalina"	0	"구원의 기도"	"각 영웅의 생명력을 5씩 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/63154fa183cbbb52a361ce8d34ec54b4eb07110a501bceb07b1aee9007acaabc.png"	""	"우와, 벌써 절반이나 왔네요. 아..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/42dbca042497526833dfc4a3407e9049c12cc5840f91538b73ee7590bfe54970.png"	{"relevant":true,"constructed":true}
59583	1	"59583-blessing-of-authority"	5	[]	5	5	1443	3	"Jim Nelson"	5	"권위의 축복"	"하수인에게 +8/+8을 부여합니다. 그 하수인은 이번 턴에 영웅을 공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ed1688da524280e460bc5bbb42560338852d9eea96fccc4c7782750d8368610.png"	""	"성기사는 명예롭게 싸운다네! 그러니 이번 턴에 명치는 때리지 않을 것이네... 다음 턴에 두고 보세!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e0ba67baf5dbce332da125270ccdc5245adeb4da2bf312285d2723f4e35d798.png"	{"relevant":true,"constructed":true}
365	1	"365-shadowstep"	7	[]	6	5	3	1	"Graven Tung"	0	"그림자 밟기"	"아군 하수인을 내 손으로 다시 가져옵니다. 그 하수인의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87a15da2e7c07843e72811ea031cd21ff3733e2e14246f6904e4acded22cc24f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c78dc2961c79dddc6a19214d27dd7fde4aa470d71f19e45c30f92b22ad61ecbb.png"	"도적 무용단은 가끔 공연의 마지막을 그림자 밟기로 장식하곤 합니다. 관객들의 호응이 엄청나거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/823e4025544feee145ca766f78d0dcbcbf7adae1c8a27d03c5da8736d4e07cc6.png"	{"relevant":true,"constructed":true}
38578	1	"38578-shadow-strike"	7	[]	6	5	21	1	"Dave Allsop"	3	"그림자 일격"	"피해를 받지 않은 캐릭터에게 피해를 5 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ab87c1ad7e5902455ac95db87a12e2e9ba39511e92395ef40eb39d0a6a7b5f46.png"	""	"기습과 유사합니다. 대신 앞에서 찌르고, 두 번 더 찌른다는 게 차이점입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6df5f8f6ffbd5045244fd8be36b7c502d0e1d6d5f4caa4bb4fd7205608de60cd.png"	{"relevant":true,"constructed":true}
38413	1	"38413-forbidden-flame"	4	[]	2	5	21	4	"Hideaki Takamura"	0	"금단의 불꽃"	"마나를 모두 소모합니다. 소모한만큼 하수인에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76cd6a2d449f87bb1ba4883d3dc42a496aefb1e842c936739a9e67e21e9ca15c.png"	""	"경고: 고대 신학 박사 학위가 없는 자는 사용할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/44b9a0ed3e4a731d78983398177027492676b2487f6946ef3489f1aa152ba67c.png"	{"relevant":true,"constructed":true}
38434	1	"38434-forbidden-shaping"	6	[]	6	5	21	4	"A. J. Nazzaro"	0	"금단의 창조술"	"마나를 모두 소모합니다. 소모한만큼의 비용을 가진 무작위 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d62f236157245e1dc8c5978c47ad269e42cc0f338666944c4dc9434568227a3b.png"	""	"설명이 덜 적혀있네요. \"소환된 하수인은 한동안 끈적거립니다.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/59bb795eff03adc36685fc60c016010671b00716530cbb8c7c5f38151bf4f6bd.png"	{"relevant":true,"constructed":true}
38666	1	"38666-forbidden-healing"	5	[]	5	5	21	4	"Mike Franchina"	0	"금단의 치유술"	"마나를 모두 소모합니다. 소모한 마나의 두 배만큼 생명력을 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b0e447eb6cc63316ecb04d9ee3801c34a0ef1782e150adf272cd22cff98283b.png"	""	"치유하는 주문이 왜 금지되었는지는 아무도 모릅니다. 그래서 더더욱 불안하군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/570d4ed47158a5dba499643eba63c22d2e0265e592052c90ddf10fbd09419b2d.png"	{"relevant":true,"constructed":true}
