id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels
64033	1	"64033-si-extortion"	7	[]	5	1578	3	"Cheng Hao"	1	"SI:7 갈취"	"<b>교환성</b> 피해를 받지 않은 캐릭터에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d88c1dfb347a7126ace11aea975d319ad88809bf2cd99c6f74356d2664867cb1.png"	""	"\"세상이 그렇게 호락호락한 줄 알아? 만에 하나 사고라도 당하면 감당할 수 있겠어?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5f54828508e6b884db4f1f5eb11a1c528f77cb9bb284195403f043dd0f2dfcb.png"	[97]	{"relevant":true,"constructed":true}
41864	1	"41864-spikeridged-steed"	5	[]	5	27	3	"Jim Nelson"	6	"가시가 돋친 탈것"	"하수인에게 +2/+6과 <b>도발</b>을 부여합니다. 그 하수인이 죽으면, 스테고돈을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c15b9c0b291815877879907b70eb6e6339edaf7c04624e994f3d67e1c0de9b3.png"	""	"기병보다 강한 게 뭐냐고요? 공룡기병이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/86aa7d3725d227a324bbf0675e7d2b6ace10d9ec3a5860e7172cd04d15d5c0fc.png"	[1]	{"relevant":true,"constructed":true}
61306	1	"61306-snack-run"	5	[]	5	1466	3	"Arthur Bozonnet"	2	"간식 탐방"	"주문을 <b>발견</b>합니다. 그 카드의 비용만큼 내 영웅의 생명력을 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7da5bad95162ce8c8797e0155fcd4bddfee420076f2b50cd43dd640344c21a8d.png"	""	"괴물 츄러스 두 개, 요그사론 콤보 하나, 그리고 은빛 성기사 칼을 잡아먹은 칠면조의 다리 하나 주세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0956553d0054292fee2f1fdcaf8d136edf882f829b2e5230518544b781bcff74.png"	[21]	{"relevant":true,"constructed":true}
45529	1	"45529-sudden-betrayal"	7	[]	5	1004	1	"Matt Dixon"	2	"갑작스러운 배신"	"<b>비밀:</b> 내 영웅을 공격하는 하수인이 자신의 양옆에 있는 하수인 중 하나를 공격하게 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8806e0574d71cb0d9c3d5d3b9e3214ef17c536ed79049bac0c93e7252e79de95.png"	""	"믿는 도끼에 발등 찍힌다는 게 뭔지 확실히 보여줄 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccaf9f1db605c94a4d438ccf7a642ca68b4f764439429c59ed804ad941934237.jpg"	[5]	{"relevant":true,"constructed":true}
59402	1	"59402-coerce"	12	[7,10]	5	1443	3	"Vladimir Kafanov"	3	"강압"	"피해를 받은 하수인을 처치합니다. <b>연계:</b> 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba250601c8cce3ec319b99b077dcb76186cbde3b674109f9301c04d0ee5836f4.png"	""	"\"점심 사먹을 돈을 내놓지 않는다면 이 샌드위치에게 무슨 일이 생길지 알고 있겠지!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/473fa370099b1eba1fb3b0651239d58d7b4b6b329638d3362b0de45eddb6da0f.png"	[13]	{"relevant":true,"constructed":true}
404	1	"404-ancestral-spirit"	8	[]	5	3	3	"Zoltan & Gabor"	2	"고대의 영혼"	"하수인에게 \"<b>죽음의 메아리:</b> 이 하수인을 다시 소환함\" 능력을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/35a6bd2f511530c1d6bcaccf3557781fc2404f1e88d660c63dd0a9ac21dbb5a3.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8ac7fac05bb5ff69909e49fec98373635eb34f7263bf059b47280ff7b087761c.png"	"네가 죽은 건 추진력을 얻기 위해서였다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2c70191cd835c8e427ba0f297efe8473b6a82099c493bdfa90b957a8ca085e1d.png"	[12]	{"relevant":true,"constructed":true}
45520	1	"45520-cheat-death"	7	[]	5	1004	1	"Alex Horley Orlandelli"	2	"구사일생"	"<b>비밀:</b> 아군 하수인이 죽으면, 그 하수인을 내 손으로 다시 가져오고 비용을 (2) 감소시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/536454babc65511299a80844f2ae05f66e2a0663807c51866c339d1c302c99c0.png"	""	"목숨이 두 개라니! 이거 완전 사기 아닌가요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/14f482e821da4897aa0a4b686656fe0a2306695c07bbbb2cd0ea19d6516dcc54.jpg"	[5]	{"relevant":true,"constructed":true}
43384	1	"43384-call-to-arms"	5	[]	5	1004	4	"Konstantin Turovec"	4	"긴급 소집"	"비용이 (2) 이하인 하수인을 셋 <b>소집</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5fb827b8c3ad653f80abee31e8af9ad46493993b6fd199844f1e3400bd942c4d.png"	""	"급하다는 말에 하수인이 셋이나 달려왔습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7c89d88fa13055a89e701005e0c2d09fc83abaa0a065c81abb58e9da147a23d8.png"	[39]	{"relevant":true,"constructed":true}
72588	1	"72588-from-the-depths"	10	[]	5	1658	3	"L. Lullabi & K. Turovec"	3	"깊은 바다 속 존재"	"내 덱 맨 아래에 있는 카드 5장의 비용이 (2) 감소합니다. 그 후에 <b>인양</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/191a40d69cadd411725d63e9adf9b220705a9698d089fd40d63e166005f7c42c.png"	""	"\"이래서 발이 안 닿는 물은 너무 무서워.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d8b4f86cd2c2ae223dc77fbe879f91140e6a45fb9ef0b19d2a04fcec2f46df9.png"	[232]	{"relevant":true,"constructed":true}
13335	1	"13335-raven-idol"	2	[]	5	20	1	"A. J. Nazzaro"	1	"까마귀 우상"	"<b>선택 -</b> 하수인을 <b>발견</b>합니다. 또는 주문을 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b9306c3d818ce725c5913484db7bb0d52cf42242ddded45bfa97c34b486473dd.png"	""	"'아제로스를 빛낸 우상들'에 포함되지 못하여 매우 서운해하더군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/11e83ab816a13a7360ee26b4fe8ff730ebd0fe62baf8918e5d8a68862956f123.jpg"	[21]	{"relevant":true,"constructed":true}
61125	1	"61125-relentless-pursuit"	14	[]	5	1466	1	"Slawomir Maniak"	3	"끊임없는 추적"	"이번 턴에 내 영웅에게 공격력 +4와 <b>면역</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/72bf0122b8b5ccf7e351fb4cc6606a78178b65b995e397b7fc0e741e59886ca5.png"	""	"악마사냥꾼의 핫도그를 훔쳤다면 지구 끝까지 도망칠 준비를 해야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d0fb7f79b81f894697d1e5e7ab415718ddd62766f8373472c275150e2f408c8.png"	[17]	{"relevant":true,"constructed":true}
72119	1	"72119-gone-fishin"	7	[]	5	1658	3	"Steven Prescott"	1	"낚시의 맛"	"<b>인양</b> <b>연계:</b> 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cda42d2d8cf806a12e0ef39417effe283bda14fa17f58d47e9533777fe810f36.png"	""	"도적은 선망하고, 물고기는 원망하는 카드입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c543f0417cc4dc0c62739dfc4b82eaf0ce86ec7acfa5342e41e3b390a37ebc3.png"	[13,232]	{"relevant":true,"constructed":true}
71237	1	"71237-keen-reflex"	14	[]	5	1626	1	"Zoltan Boros"	2	"날 선 반사신경"	"<b>모든</b> 하수인에게 피해를 1 줍니다. <b>명예로운 일격:</b> 이번 턴에 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/04ae105d7172cb4803df64c75340e2156372e0ea3da8986690649eaa59be7b61.png"	""	"오닉시아의 새끼용으로는 공중제비를 도는 쿨트러스를 막을 수 없었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/835f1c1e27f62f0506be31fdedb66b31977fec98a45d65631ba4f76ca4db3379.png"	[100]	{"relevant":true,"constructed":true}
268	1	"268-cold-blood"	7	[]	5	3	1	"Alex Horley Orlandelli"	1	"냉혈"	"하수인에게 공격력을 +2 부여합니다. <b>연계:</b> 대신 공격력을 +4 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7a62af3b410b748202ef5c5b040f14209c689891880d557f11d342b5a07b157a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/933d7920318238281cfa06f731891e43ead42cb0599140a8cbc1ca13748b7e2f.png"	"나는야 차가운 도적 남자."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6654ad1235970f7c9d83dac5140e3c02a86616583a5ba151290eb011f634c46.png"	[13]	{"relevant":true,"constructed":true}
71289	1	"71289-tooth-of-nefarian"	7	[]	5	1626	1	"Ware Lee"	2	"네파리안의 이빨"	"피해를 3 줍니다. <b>명예로운 일격:</b> 다른 직업의 주문을 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f7ff89ceb9d6fede57d4cb6ca22fe12d8ec55fbf32e282786833a6544af3e87.png"	""	"검은바위의 군주이자 오색용군단의 창시자인 네파리안의 발치된 이빨입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e70ad9bb3e53941e32defecc7089b6384fbfd9e24233ee90eca7847bf830fc4.png"	[21,100]	{"relevant":true,"constructed":true}
70396	1	"70396-snowfall-graveyard"	7	[]	5	1626	3	"J. Paick & K. Turovec"	3	"눈사태 무덤"	"내 <b>죽음의 메아리</b> 능력이 2번 발동합니다. 3턴 동안 지속됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24c814fdb5be1a7f04f9b7bbf81e7f3735a3543aae7e657f76c33e5f874f6cba.png"	""	"빠르게 부활하고 빠르게 다시 죽을 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a90acbbb433f0a21901b910b75426414f3d6f1ff284b2cb499cdf83a357ff671.png"	[12]	{"relevant":true,"constructed":true}
1091	1	"1091-misdirection"	3	[]	5	3	3	"Daren Bader"	2	"눈속임"	"<b>비밀:</b> 내 영웅을 공격하는 적이 다른 무작위 캐릭터를 공격하게 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/03b1c92d032eb19317dbb0102ebfbedc7fd64094725afe59b430b0f85ecb5004.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/421c4ed04af63d9ddbdd51c3e82982792218c3b13e667e3af45c7b1f4de45b3c.png"	"가짜 수염을 달고 옆 사람을 가리키는 것만으로도 잘 속아줄 때가 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca816bf689351c43905801f3010203d86fbf7941a6637f8143d66b9bd4ce3e24.png"	[5]	{"relevant":true,"constructed":true}
61690	1	"61690-jewel-of-nzoth"	3	[]	5	1466	4	"Ware Lee"	8	"느조스의 보석"	"이번 게임에서 죽은 아군 <b>죽음의 메아리</b> 하수인 셋을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52b96b75c2deb8831dc4c10f49f6111fc234c6774348d3c47a48b00490529056.png"	""	"보석은 보석이지만, 손에 끼울 수도, 빨아먹을 수도 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39f5aedbca23fa84cdc08628d88ca75fcb8e09a7ff0be8608650ddd9371cfb40.png"	[12]	{"relevant":true,"constructed":true}
