id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId	duels
69728	1	"69728-humongous-razorleaf"	12	[]	4	1637	3	"Tooth"	8	4	3	"거대한 칼날잎새"	"공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61a1db40a2237e10afe3e512486015e0355d30626d9a2dd7c8cd57e87c95bc80.png"	""	"고블린들을 좋아합니다. 크림 소스에 찍어 먹을 때에 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94fe8850951b341b359238d5a6bb101f8e1d0553b16c9c65708f7548fbf42b39.png"	41925	{"relevant":true,"constructed":true}
69645	1	"69645-frothing-berserker"	10	[]	4	1637	3	"Simon Bisley"	4	2	3	"거품 무는 광전사"	"하수인이 피해를 받을 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3427754f81492ba5936edaf032afacf6faf06401ff17ff61ec5c2ed3180e3d9.png"	""	"거품 물기 전까지는 회계사였답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f66b46d0680c3a8e3bfb96eaf822e33ceebcb9e477839650721c1713f55232b0.png"	654	{"relevant":true,"constructed":true}
1659	1	"1659-acolyte-of-pain"	12	[]	4	3	1	"Dave Kendall"	4	1	3	"고통의 수행사제"	"이 하수인이 피해를 받을 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b890c7174d4a26f739e8408031562a2c3b17bb4fcdb46af9f41e24c9d8d916ac.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f6ff493f564bcd1268c93fda6438403e7e48937bba5ab737fe3eef8b45e637b.png"	"사실은 기쁨의 수행사제가 되고 싶었던 사람입니다. 이것으로 우리는 고통과 기쁨이 종이 한 장 차이라는 걸 알 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83ceae1ae6bf463ad0baf1d9a2d4e05db364470500c607e943e217d24ea9096c.png"	106559	{"relevant":true,"constructed":true}
76316	1	"76316-acolyte-of-pain"	12	[]	4	1637	1	"Dave Kendall"	4	1	3	"고통의 수행사제"	"이 하수인이 피해를 받을 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b890c7174d4a26f739e8408031562a2c3b17bb4fcdb46af9f41e24c9d8d916ac.png"	""	"사실은 기쁨의 수행사제가 되고 싶었던 사람입니다. 이것으로 우리는 고통과 기쁨이 종이 한 장 차이라는 걸 알 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83ceae1ae6bf463ad0baf1d9a2d4e05db364470500c607e943e217d24ea9096c.png"	106559	{"relevant":true,"constructed":true}
69537	1	"69537-raid-leader"	12	[]	4	1637	1	"Phill Gonzales"	3	2	3	"공격대장"	"내 다른 하수인들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8c3eb110016bf98269eca24186b15e2d551bb3bf56e434edc7c6f5586a6198b4.png"	""	"\"바닥! 바닥! 바닥 좀 피하라고!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19fb4f770de1a09e1c67f200be664c1db429c563e0da87a2adcc3c9bdab3fb04.png"	1401	{"relevant":true,"constructed":true}
76322	1	"76322-sea-giant"	12	[]	4	1637	4	"Svetlin Velinov"	8	8	10	"바다 거인"	"전장의 다른 하수인 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/05ca173c7b1e5269adfe3212be492b97d26a2b7aa409baacad429201dfa28c63.png"	""	"거인과 바다"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bfdc66899839f2ce3cdf7e1abc8bbfcf6b0228af22e55eb8ca41fc0a9c571c00.png"	211	{"relevant":true,"constructed":true}
102195	1	"102195-stargazer-luna"	4	[]	4	1637	5	"L. Lullabi & K. Turovec"	4	2	3	"별관찰자 루나"	"내가 내 손에서 가장 오른쪽에 있는 카드를 낸 후에, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0542bcc468dec7106293d7459c63f2f560b6aa9322ffa53772b810d73b430aa9.png"	""	"박사 붐의 오른팔이라 할 수 있는 마법사입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b910501391d248b1698c77e595bad79a6104ba5301d45de2847737c96b95eba.png"	47982	{"relevant":true,"constructed":true}
69543	1	"69543-chillwind-yeti"	12	[]	4	1637	1	"Mauro Cascioli"	5	4	4	"서리바람 설인"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/56b0314fb26dec067489bf65c60fb7e7592aeb8cb72885d3a95fbd2be5e9af57.png"	""	"사실 산에서 내려와 국수 가게를 여는 게 꿈이지만, 차마 그럴 용기가 없다네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/63a96f1424b07f74a6d76072a9971bb6a658fd127ee26f6b05c57eca9059a53d.png"	90	{"relevant":true,"constructed":true}
69544	1	"69544-stormwind-champion"	12	[]	4	1637	1	"Doug Alexander"	7	7	7	"스톰윈드 용사"	"내 다른 하수인들이 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/569b689c5fa90f42b76e45acbb628773279e8ef724238e00141d517b20698c17.png"	""	"데스윙이 스톰윈드를 쑥대밭으로 만들었을 때, 분대에서 유일하게 살아남은 병사입니다. 그는 지금 답답함에 속이 부글부글 끓습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1cba71d2febe5022935fe69fba600be9aab49d7c85444219fafa5a5f9be7dfc4.png"	753	{"relevant":true,"constructed":true}
76291	1	"76291-ancient-of-lore"	2	[]	4	1637	4	"Patrik Hjelm"	7	7	7	"지식의 고대정령"	"<b>선택 -</b> 카드를 2장 뽑습니다. 또는 생명력을 7 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5f3e5df70a01821f5684e7d527d78a61e7efc9b3a21376daf6205328a6e6835.png"	""	"기념으로 이름 새기셔야죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d9fbdf7f82803708d1eec63851c77a704e756262b2ee0c5826ab181277a0878.png"	920	{"relevant":true,"constructed":true}
