id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels
64031	1	"64031-si-informant"	7	[]	4	1578	1	"Dave Allsop"	3	3	4	"SI:7 감시자"	"<b>전투의 함성:</b> 이번 게임에서 내가 낸 다른 SI:7 카드 1장당 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/85512c3c09ce7d24cf75725929074a51f7dcfe933125e1d7d68f26675afc43ab.png"	""	"하루종일 선술집에 앉아서 험상궂은 표정으로 사람들을 바라보는 건 꽤 지치는 일이지요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d1c3ad235094ffacecfefdc97e8806bdb57efa4613b1e27f92177a251f1a271.png"	[8]	{"relevant":true,"constructed":true}
71294	1	"71294-si-smuggler"	7	[]	4	1626	1	"Anzka Nguyen"	3	1	3	"SI:7 밀수업자"	"<b>전투의 함성:</b> 비용이 인 무작위 하수인을 소환합니다. <i>(이번 게임에서 내가 낸 다른 SI:7 카드 수만큼 강화됩니다!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bccfab1ed8e621713e68dd874ddd4248a1cb2d4af0c3718576f9ae122ad0ba84.png"	""	"시간이 지나니 오닉시아가 구해 온 쥐도 먹을 만하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f5d2490585bb192dc47715d6823920fd03692d99eb05b963492f0c1cd1955f2.png"	[8]	{"relevant":true,"constructed":true}
64163	1	"64163-si-assassin"	7	[]	4	1578	3	"Mauricio Herrera"	4	4	7	"SI:7 암살요원"	"이번 게임에서 내가 낸 SI:7 카드 하나당 비용이 (1)씩 감소합니다. <b>연계:</b> 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5dba55a48c7fc4655a48d2e357c7525ac316d4d43abd514a314e9fb95c9aceb.png"	""	"손을 더럽히지 않고 길거리를 청소할 방법은 없죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4b490cba85d4ff99a0f5611bbfdb4da581fd549750384ef9a34c2564d89d4331.png"	[13]	{"relevant":true,"constructed":true}
1117	1	"1117-si-agent"	7	[]	4	3	3	"Chris Moeller"	3	3	3	"SI:7 요원"	"<b>연계:</b> 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b83b957572376153c2d2dd1289d7962e98fe88f850df9aaf0a87226b9bccc2cd.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ecb7a0163e8e87b598e08c6f55a0c32e5fccd8f337867c343491364e99be5e7e.png"	"SI: 7의 요원들은 스톰윈드의 비밀 임무를 수행합니다. 첩보, 암살, 왕가의 깜짝 생일 파티 등등..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0091088e0d6eda25b021929eb62a2af4ded546dd9440629548df2de22925f827.png"	[13]	{"relevant":true,"constructed":true}
64166	1	"64166-si-skulker"	12	[]	4	1578	1	"Mauricio Herrera"	2	2	2	"SI:7 잠복요원"	"<b>은신</b>, <b>전투의 함성:</b> 다음에 내가 뽑는 카드의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/352db1f65a4083ed33d85f9a82f15e4743021862ac63dfe58c681a38f9457bba.png"	""	"누가 뼈다귀를 가져가는지 알아내기 위해 잠복했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b8bc6a03cf835d6b338e34783b4367b55455df6d0841ff3cdc4704c1f4d6cc61.png"	[6,8]	{"relevant":true,"constructed":true}
64034	1	"64034-si-operative"	7	[]	4	1578	1	"Ivan Fomin"	4	2	3	"SI:7 첩보원"	"<b>속공</b>, 이 하수인은 다른 하수인을 공격한 후에, <b>은신</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d9d5df7d496a7e80346906b023c73b91d05217e5b4c52cd0e53700999c2a5c0.png"	""	"조랑말이 더 없다니 그게 무슨 소리예요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3e3d769a73b708834642f3e9d5022d33dc3e7d72ebfb9f975b62b092dbfc826.png"	[6,53]	{"relevant":true,"constructed":true}
54836	1	"54836-si-infiltrator"	12	[]	4	1635	3	"Gonzalo Ordonez"	4	5	4	"SI:7 침투요원"	"<b>전투의 함성:</b> 무작위 적 <b>비밀</b>을 없앱니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d5e2e62e93cd20f1dec60e0210a43def7794817e49d64804010ae7999c31d77.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc872fb9abebad448871e50b9ce6b9f4e3d44e405b5e8590240225ad119deda7.png"	"어느 비밀을 파괴할까요? 비밀입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69fe486d4f8a9872d0040c39495a12fd82c36463bc46e83130ee7b10a13580b6.png"	[5,8]	{"relevant":true,"constructed":true}
79563	1	"79563-masked-reveler"	12	[]	4	1691	1	"Angelina Chernyak"	4	4	6	"가면 쓴 구경꾼"	"<b>속공</b>, <b>죽음의 메아리:</b> 내 덱에서 다른 하수인을 2/2 하수인으로 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0b2fb72eaaf8722b857045e54e55de327c95d8526a4056374dff62700038a4c.png"	""	"쟌쟌 아 치키치키 밤밤 아 치키치키 밤밤 아 치키치키 밤밤 아 치키치키치키"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aaa90627f7c3488fb581d45d074518aaeac89dc47c71752800b73a7533a345e5.png"	[12,53]	{"relevant":true,"constructed":true}
242	1	"242-abusive-sergeant"	12	[]	4	3	1	"Luca Zontini"	1	1	1	"가혹한 하사관"	"<b>전투의 함성:</b> 이번 턴에 하수인에게 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ef065d062782933fdf7882ecead110c676d333a0d734bec575bdbd0e9041ae37.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b98caadcd1161a61391c1e4b0a7af965d33d752753e17e8e943d99a9eb97d393.png"	"날 덱에 추가해라, 이 고문관 녀석아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c10df6994599819f7a22e8ffc9a3779ecfc0f76d5c499e4c299aae5c7fa9bcc8.png"	[8]	{"relevant":true,"constructed":true}
79782	1	"79782-the-jailer"	12	[]	4	1691	5	"Alex Horley Orlandelli"	10	10	10	"간수"	"<b>전투의 함성:</b> 내 덱을 파괴합니다. 이번 게임 동안 내 하수인들은 <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb05bb630f47e4c95b4c30f165e53344d3b9923a9bea5ea323b588ce5c99a256.png"	""	"한때 간수는 어둠땅의 영혼을 다스리는 심판관이었습니다. 그는 공정하고 정의로운 판단을 내렸었습니다. 그랬던 때가 있었죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cecd0c5bea0e2714a0dd7a89e4791524908833107404a00d44fa1dfe556f8a9d.png"	[8,17]	{"relevant":true,"constructed":true}
