id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	copyOfCardId	duels
69621	1	"69621-si-agent"	7	[]	4	1637	3	"Chris Moeller"	3	3	3	"SI:7 요원"	"<b>연계:</b> 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/97345a61ddeadf05f8dc5b4f7e00b8215c37da08ae6231fb422584e2b1cf9329.png"	""	"SI: 7의 요원들은 스톰윈드의 비밀 임무를 수행합니다. 첩보, 암살, 왕가의 깜짝 생일 파티 등등..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/518f3e83e150bdfe900fc445ddd676dd7b6bedfd1b4b066eae04a09f7586a105.png"	[13]	1117	{"relevant":true,"constructed":true}
69649	1	"69649-abusive-sergeant"	12	[]	4	1637	1	"Luca Zontini"	1	1	1	"가혹한 하사관"	"<b>전투의 함성:</b> 이번 턴에 하수인에게 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cc740bccf3d291d1ff307215260e77952340b698cd3f4501a35750f7b35275c8.png"	""	"날 덱에 추가해라, 이 고문관 녀석아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a524a02593ac5e880645a6bec7e3e70dfea4ba40644d422bb1d2591460d9a74d.png"	[8]	242	{"relevant":true,"constructed":true}
102719	1	"102719-frightened-flunky"	10	[]	4	1637	1	"Matt Dixon"	3	2	2	"겁에 질린 조합원"	"<b>도발</b>, <b>전투의 함성:</b> <b>도발</b> 하수인을 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d983ecd8e3f2fd8d36eb2b338796fd406b343214c8d3ea282c30510f908b488b.png"	""	"선천적으로 대악당이 되지 못하는 사람들도 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3fc430fba41d5ecab28af8a63165081869a74e382aa9d275b4bdabb66d54fc3a.png"	[1,8,21]	54274	{"relevant":true,"constructed":true}
102743	1	"102743-tour-guide"	12	[]	4	1637	1	"Matt Dixon"	1	1	1	"견학 안내자"	"<b>전투의 함성:</b> 내 다음 영웅 능력의 비용이 (0)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d91f93e4551cd3251484bcfd6956b8217182be10fb7667c07abc514f86e37b9b.png"	""	"\"이것은 학원의 설계 도면입니다! 어두운 방이라 표시된 곳은 신경 쓰지 마세요... 가장 마지막에 들를 테니까요.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/206df04cd7e05216d118bed8397f678522fefca538f7703f27b3b789c71014da.png"	[8]	59035	{"relevant":true,"constructed":true}
102224	1	"102224-cult-neophyte"	12	[]	4	1637	3	"Matt Dixon"	2	3	2	"교단 수련사"	"<b>전투의 함성:</b> 다음 턴에 상대편이 시전하는 주문의 비용이 (1) 증가합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb431f093a9e0a2bf9ac4fbab3576c1adc3fd49d52c8f9e0eaa75a815db0da28.png"	""	"새로운 신자의 부족함을 효율적으로 이용합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eab0ac49339a921ee0fd2fbd5f338bb29ad3f97dde5d93c25e2ae5e80fd91244.png"	[8]	60043	{"relevant":true,"constructed":true}
69643	1	"69643-grommash-hellscream"	10	[]	4	1637	5	"Glenn Rane"	9	4	8	"그롬마쉬 헬스크림"	"<b>돌진</b> 피해를 받은 상태면 공격력을 +6 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2c1885c67ddccc0e4818b38fd9ff1bbc877da8c3210e0b79cb415eb6bd0b2b26.png"	""	"그롬마쉬는 만노로스의 오염된 피를 마시고, 오크들에게 영원히 사라지지 않는 초록색 피부와 붉은 눈을 남겼습니다! 썩 좋은 생각은 아니었던 것 같네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/097beabe6b708283c29683939a4f4b0193b1194039abd8e69428926a3b7688d0.png"	[4]	338	{"relevant":true,"constructed":true}
102206	1	"102206-shadowjeweler-hanar"	7	[]	4	1637	5	"Zoltan Boros"	4	1	2	"그림자보석공 하나르"	"내가 <b>비밀</b>을 낸 후에, 다른 직업의 <b>비밀</b>을 <b>발견</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffe1ec89d15b2de577275a8d31141687446bbec5192d6776135981d4dc0196de.png"	""	"정말 화가 나면 아예 입도 뻥긋 못하게 도륙을 내버릴 수도 있다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/96f781d0c801c56115855e94b7838696e8505d116e0e04c5d4db74deac06510f.png"	[5,21]	57979	{"relevant":true,"constructed":true}
69652	1	"69652-big-game-hunter"	12	[]	4	1637	4	"Chris Seaman"	2	4	4	"나 이런 사냥꾼이야"	"<b>전투의 함성:</b> 공격력이 7 이상인 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea9b2b7d4efc418edee9edfe9765f5d39eaa1532e6fc5838f02cc1d38b36bf89.png"	""	"그에게 데빌사우루스 따윈 코웃음만 나옵니다. 조만간 크롤 칼 하나 들고 오닉시아를 잡으러 간다더군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/47d67114a47c9c3953921e1469ceb60b0dc24f1787e62765847acbadbb2a872e.png"	[8]	1657	{"relevant":true,"constructed":true}
69700	1	"69700-babbling-book"	4	[]	4	1637	3	"A. J. Nazzaro"	2	1	1	"나불대는 책"	"<b>전투의 함성:</b> 무작위 마법사 주문을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6fae7a53ccff31bdffeb2a2626a9e773a42a2ed94005bf568fa7bea0b0c3be7e.png"	""	"가장 좋아하는 책은 가시덤불 골짜기의 푸른 언덕입니다. 하루 종일 그 책에 대해 떠들더라고요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea0e216c08ed2fb57a0e4f566896b1783b869ab717a7b29c4e60b33384cea74e.png"	[8]	39169	{"relevant":true,"constructed":true}
69654	1	"69654-worgen-infiltrator"	12	[]	4	1637	1	"Raymond Swanland"	1	2	1	"늑대인간 침투요원"	"<b>은신</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c64522f1b3edb1a243ed978a312f2d555233ffb67cddeb24f2b25a9e6e2ea947.png"	""	"늑대인간이 침투하지 못하게 만드는 방법은 간단합니다. 함정 위에 개껌을 던져두세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ce66b5564d12a2d775f38cb9879dbbbaeaa16e335a3c74a0b6a3654467ec068.png"	[6]	994	{"relevant":true,"constructed":true}
