id	collectible	slug	classId	multiClassIds	minionTypeId	multiTypeIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	duels
67778	1	"67778-bearon-glashear"	8	[]	18	[20]	4	1626	5	"James Ryman"	6	6	7	"곰 남작 글라시어"	"<b>전투의 함성:</b> 이번 게임에서 내가 시전한 냉기 주문 하나당 적을 <b>빙결</b> 상태로 만드는 3/4 정령을 소환합니다. <i>( )</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/75c3263e75497aab035c9145b6895f65619faf7503fc3607443b4cf5a196b230.png"	""	"곰곰히 생각해낸 실패한 농담 앞에선, 곰처럼 웃는 척하며 버티는 게 최선입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24a878169a470fb3d8c6eaf95d2b8ebd99093343526486356b0a6bbdaf7f1025.png"	[72818]	[8,10]	{"relevant":true,"constructed":true}
61581	1	"61581-carousel-gryphon"	5	[]	17	[20]	4	1466	1	"Vladimir Kafanov"	5	5	5	"그리핀 회전목마"	"<b>천상의 보호막</b> <b>타락:</b> +3/+3과 <b>도발</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dbf15c355510404af35129981a46dc94ab26ce41465615bf88afbc5b67efd96d.png"	""	"스톰윈드에 가야하는 새가 살았다. 이 새는 빙빙 도는 것 외에는 알지 못하였다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df4b7ade636c249793a741f4d62753d756fa78276c110f39d46b6806e3bb8595.png"	[62076]	[1,3,91]	{"relevant":true,"constructed":true}
2002	1	"2002-mech-bear-cat"	2	[]	17	[20]	4	13	3	"Trent Kaniuga"	6	7	6	"기계표범곰"	"이 하수인이 피해를 받을 때마다 <b>예비 부품</b>을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/872a4c3ae661ae1210c49d6bd1e6889295be38d09e307e468f09def20034b6ed.png"	""	"딜도 되고 탱도 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd866520e03f3f10fa7d9d9355864019328d767bda39800d61e03b1c0e533ab4.png"	[2150,2151,2156,2153,2155,2154,2152]	[19]	{"relevant":true,"constructed":true}
78155	1	"78155-murlocula"	12	[]	14	[11]	4	1691	1	"Matt Dixon"	4	3	4	"멀로큘라"	"<b>생명력 흡수</b>, <b>주입 ( ):</b> 비용이 (0)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3019b1f474c8c3498a2d824f7f13f203be7430236c1d950b8c648da1b09da8be.png"	""	"멀로큘라 최고의 장면은 \"아옳옳옳!\" 하면서 그 녀석들을 아옳해버리는 장면이지요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/12c091fa7722813a0a848a8b0b68a33d992eb29716de72eee13245e7bf5b6fe2.png"	[79542,79552,79593,79536,79545,537,850,764,62320,79554,79595]	[38,238]	{"relevant":true,"constructed":true}
45366	1	"45366-arfus"	12	[]	20	[11]	4	1001	5	"Zoltan Boros"	2	2	4	"멍서스"	"<b>죽음의 메아리:</b> 무작위 <b>리치 왕</b> 카드를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/907fe6400ce800c3d963b2342e7c51319dc96072dd72fd19fe112cc6ef704d37.png"	""	"리치 개는 언제나 있어야만 한다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d63555006d8e9f48b55965215fddec64cb6eeb34fce206ca183595bc661db330.png"	[45384,42590,43120,46194,45387,42587,42586,43012]	[12]	{"relevant":true,"constructed":true}
2891	1	"2891-unearthed-raptor"	7	[]	11	[20]	4	20	3	"Trent Kaniuga"	4	3	3	"발굴된 랩터"	"<b>전투의 함성:</b> 아군 하수인의 <b>죽음의 메아리</b>를 복사합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba77c9f9548298130a5d617e8fe1e1a5c50d269871d5d60a78d7fb649ecff457.png"	""	"자신을 발굴한 자를 아직도 쫓고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7255d55304dc65a471be731a1ad0220be2b914ac6507ee1394888f6ca1705d7.png"	[2992,2993]	[8,12]	{"relevant":true,"constructed":true}
41162	1	"41162-pyros"	4	[]	18	[20]	4	27	5	"Mike Sass"	2	2	2	"불사조 파이로스"	"<b>죽음의 메아리:</b> 이 하수인을 비용이 (6)인 6/6 하수인으로 내 손에 다시 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c2f2ec23830190aab2615fe6168dab6f2b0dc1f2c19ef1a4923bab1fcd4e08d.png"	""	"그녀를 쓰러뜨리면 그녀는 당신이 상상할 수도 없을 만큼 강해집니다... 뭐, 최소한 6/6은 되니까요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/97754edaa85b93c5f58507b0a335680207bbc6c5cf519b8877ed7ba80f1ee8d2.png"	[41164,41166]	[12]	{"relevant":true,"constructed":true}
86502	1	"86502-frostfin-chomper"	8	[]	18	[14]	4	1776	3	"Hideaki Takamura"	3	2	3	"서리지느러미 덥석이"	"<b>전투의 함성:</b> 내가 이전 턴에 정령을 냈다면, 1/1 멀록을 셋 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/968b632377e75b61e9154517de02320938ebbfd359af1c0cafe75985ca6a93f2.png"	""	"잘 얼려둔 멀록이 맛 좋은 초밥의 비결이지요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ebba7d0a7de1b0723294ae265dee15c9ff4252a42312e93a3b5d51b85a0770cb.png"	[86503]	[8]	{"relevant":true,"constructed":true}
43506	1	"43506-sindragosa"	4	[]	24	[11]	4	1001	5	"Alex Horley Orlandelli"	8	8	8	"신드라고사"	"<b>전투의 함성:</b> 0/1 얼어붙은 용사를 2명 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/21f583491c09f8b7f84ce14ab11966114c93838b521ea2a75c299a08cc2670e8.png"	""	"\"당신의 노력은 분명 괄목할만 하지만 그 마법은 아직 개선의 여지가 있을 것 같아요.\" - 건설적 피드백에 대한 강의를 들은 후의 신드라고사"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8aa1eef1499394dfd0e67e07b24353c0aade9d6fe59aabf31cd6adc3331279fc.png"	[46019]	[8]	{"relevant":true,"constructed":true}
65700	1	"65700-cookie-the-cook"	8	[]	14	[23]	4	1578	5	"Ivan Fomin"	3	2	3	"요리사 쿠키"	"<b>생명력 흡수</b> <b>죽음의 메아리:</b> <b>생명력 흡수</b> 능력이 있는 2/3 거품기를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d435dd4c3abc706aa3764993781e18900e93bc6d6136ddb12ec76895608d809.png"	""	"그 누구도 '해물잡탕'은 좋아하지 않았습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1408971c8c06485c3b030e97820b791873871eae87458ca7a692cf2627c70afb.png"	[66679]	[12,38]	{"relevant":true,"constructed":true}
64215	1	"64215-spirit-alpha"	8	[]	11	[20]	4	1578	1	"Ware Lee"	5	2	4	"우두머리 정령"	"내가 <b>과부하</b> 카드를 낸 후에, <b>도발</b> 능력이 있는 2/3 늑대 정령을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba1f0811cb5a719a3c59f07d22aac80b1d3634080da1bfd2a82493bbaeea62ff.png"	""	"자연에서도 밝은 보라색이 높은 등급이군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/631678eb508826d75cfe8324e6ec4da719683c961422d9742fdfd90fedc2759d.png"	[533]	[1,14]	{"relevant":true,"constructed":true}
93881	1	"93881-thoribelore"	10	[]	18	[20]	4	1776	5	"BOSi Studio"	4	4	4	"토리벨로레"	"<b>속공</b>, <b>죽음의 메아리:</b> <b>휴면</b> 상태가 됩니다. 화염 주문을 시전하면 토리벨로레가 부활합니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/691d4e533b562b55949dfd03838bab2325786a05f5b33b295c4714088cc5b23f.png"	""	"쿠엘탈라스 치킨집의 마스코트입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ebfacd0184416f7a6d700aed249f0a7535013c57f04853986204a70efffe141c.png"	[84295,93882,93883,93886]	[12,53]	{"relevant":true,"constructed":true}
41120	1	"41120-volcanosaur"	12	[]	20	[18]	4	27	3	"Daren Bader"	6	5	7	"화산사우루스"	"<b>전투의 함성:</b> <b>적응</b>한 후, 다시 <b>적응</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/df663b6db27019dd13ed7167bbfc207eea51a98d5702211431d4dec406a64bf1.png"	""	"뼈다귀사우루스가 살아 있을 때 이랬을까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5e85c575f75f727b98b93e4666e0700f6f4da0c545d849f683127d2989e1105.png"	[41058,41059,41691,41061,41063,41062,41211,41060,41054,41057,41067]	[8,34]	{"relevant":true,"constructed":true}
