id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId
102548	1	"102548-dreadscale"	3	[]	20	4	1898	5	"Zoltan Boros"	2	4	3	"공포비늘"	"내 턴이 끝날 때, 모든 적에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/afddc0ebe7308e633d53e8270c4d3b4aa3cc545ec5c84ff5a8307c94d8756b13.png"	""	"이거 하나는 확실하게 하죠. <i>산성아귀</i>가 공포비늘의 졸개입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d1597ed6167140996916084c4dd7f683149993fcf13620507a6b165a2971db69.png"	2634
69870	1	"69870-dire-wolf-alpha"	12	[]	20	4	1646	1	"John Dickenson"	2	2	2	"광포한 늑대 우두머리"	"양옆의 하수인들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/085d06227e767abc196c72ef488cf787ad02c6e7e87e47dfb0cf5238d49c3b91.png"	""	"정작 광포해지는 건 양옆이지만, 어쨌든 먼저 처치해야 할 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d588e7b336dc13c9ce468a0dd118d1b01261189b4ad2b046f9b396d4d48f756.png"	985
68416	1	"68416-starving-buzzard"	3	[]	20	4	1646	2	"Bernie Kang"	1	2	2	"굶주린 대머리수리"	"내가 야수를 소환할 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d46094cb69658107e31f350615c6ef47ac14501bb6e7903803ef757b59888a6.png"	""	"먹을 걸 주면 <i>정체성</i>에 혼란을 겪습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5301851b42d27c9ac14bef6a81c7ec7fa0484c99731045dddc5f0f07aa2e5fe0.png"	1241
106568	1	"106568-street-trickster"	12	[]	15	4	1898	1	"Daria Tuzova"	7	0	3	"길거리 요술쟁이"	"<b>주문 공격력 +2</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ab4643b30e7bb58ea763e267fe8220f81f76c68e97fcf33b188d68bf5a2e8556.png"	""	"첫 번째 요술은 당신의 지갑을 사라지게 하는 겁니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9a1a6cbbfb0a4da0f51db8ef1182cc3ef6d92acf85c2d0e1cda163ca952ea0ef.png"	40213
70091	1	"70091-southsea-captain"	12	[]	23	4	1646	4	"Ken Steacy"	3	3	3	"남쪽바다 선장"	"내 다른 해적들이 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8970f7e81ef0b3aea0cd6b3511d6be34b1d46b5c2588d8a887f68c6900bd8781.png"	""	"그의 꿈은 해적 왕... 아니 어마어마하게 큰 해적 모자를 사는 겁니다. 좀 모자에 많이 집착하는 친구거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07b317e744b0f83e8591bd0305346e6ed4caedb07dc47cec377945c049ba3af9.png"	680
69808	1	"69808-alarm-o-bot"	12	[]	17	4	1646	3	"Sean O’Daniels"	3	0	3	"노움 자동경보기"	"내 턴이 시작될 때, 이 하수인이 내 손에 있는 무작위 하수인과 교체됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/37bab4360bc6eb43a4428089485559278a2d4dcdc7898f1c69c7478af08f1106.png"	""	"삐뽀. 삐뽀. 삐뽀."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58e70a147792e487d606a720f466648da7342d5f805a02037671e68ad9a045ac.png"	1658
69976	1	"69976-nozdormu"	12	[]	24	4	1646	5	"James Ryman"	8	8	9	"노즈도르무"	"플레이어들의 턴 제한 시간이 15초로 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/78eda712a40ee60bdb03ba46b93b44745d2b1b92845ce4fb5794d598c09ff6ba.png"	""	"여기 뭔가 써야 하는데 시간이 모자라네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b9dc4dd2820e92208be9e7e6ec2203e2ec742c7eb3ee1dff24a9f850821290c.png"	411
70032	1	"70032-mana-tide-totem"	8	[]	21	4	1646	3	"Scott Altmann"	3	0	3	"마나 해일 토템"	"내 턴이 끝날 때, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e5a1da1f45eacbacb9b9f96d8498cfe133faf5af17e1935eb5ffe6de1b966493.png"	""	"주술사들의 여름철 필수품입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dfa0c952ab14efb4ba367fe7a68eb56f6074de523141695055af497bb4a2a9ce.png"	513
68395	1	"68395-murloc-raider"	12	[]	14	4	1646	2	"Dan Scott"	1	2	1	"멀록 약탈꾼"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db356f1cb0c22a2a7a0e90ad87a190aa5462c9a9f22bc02620cd345924b93d3d.png"	""	"아옳옳옳옳옳옳옳, 아옳옳옳 옳옳옳옳옳, 옳옳옳옳옳, 아옳옳옳옳옳옳옳! 아옳옳옳, 아옳옳옳옳!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dba5a2ea168b9015f0df386fbd2f6795db448a86abf70d84d0c80166bdf51350.png"	191
69959	1	"69959-murloc-warleader"	12	[]	14	4	1646	4	"Tim McBurnie"	3	3	3	"멀록 전투대장"	"다른 모든 멀록에게 +2/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5eb6dade3dbba0e76628f6cc56571e20adbb53a8b6e4d775bda03a9f4720ee9a.png"	""	"멀록들은 매일 똑같은 소리만 내는 게 지겹지 않을까요? 아니요! 므라아옳옳옳옳옳옳!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87b6a23a575381d463e8ec1a26265f1dc11790e9d899527842d60fa4444b89a5.png"	1063
