id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds
57181	1	"57181-blistering-rot"	12	[]	4	1414	3	"Jakub Kasper"	2	1	3	"기포나는 부패물"	"내 턴이 끝날 때, 이 하수인과 능력치가 같은 부패물을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba7e14824c1bdff87269d20c20d17ebb70147f168cabf4c18340cb1656562219.png"	""	"따가운 햇볕으로부터 피부를 보호하고 싶으신가요? 지금 바로 '지옥 젤'을 만나보세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/160f910cfffa205f6c2731c58929141c921ed8583555d8e77cf544c25c1455ae.png"	[59650]
48609	1	"48609-tending-tauren"	2	[]	4	1127	3	"Zoltan Boros"	4	3	6	"나무를 가꾸는 타우렌"	"<b>선택 -</b> 내 다른 하수인들에게 +1/+1을 부여합니다. 또는 2/2 나무정령을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/454890f1aba329922a18025e9b4c6d4534570d52a5cab6a4a2a8fe8071b6a80f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e475f7839c5933a9982d5e8038f10aa577bd8c18eb31965b8a26a9c9fca1d542.png"	"종족 특성인 약초채집을 마침내 활용할 수 있게 되었군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/abd95a8378a61137dc2c892cd205333fb062217a09ab90b92f7d9d02969281f7.png"	[600]
55470	1	"55470-shuma"	12	[]	4	1347	5	"Hideaki Takamura"	7	1	7	"슈마"	"내 턴이 끝날 때, 내 전장을 1/1 촉수로 가득 채웁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de6a72d88f1e39df848305136c8e3adf33199f5adfee33d4e4b9b71d8d08fc8e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/357fddd3d4c7777d3fe04c33ec9c46c6933487f39c25c0d4d0675d3b4af26a1b.png"	"오닉시아를 무한으로 즐겨요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1982d19289514b2f77c3930af4013638602e0c720dc1a61bd6d1f258b90c1549.png"	[55471]
97053	1	"97053-victorious-vrykul"	12	[]	4	1858	1	"Valeria Styajkina"	2	1	1	"승리의 브리쿨"	"이 하수인이 공격한 후에, 비용이 (1)인 2/3 발키르를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1b320adb7b25ab3fde8c5d1037ec871edcb4f5e3184737c6bd99743d9397e7a7.png"	""	"브리쿨이 열받으면 브리핫?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/681ba26c38c272ae43da9197c044fe9dc35ee28ff41879c7939c323e39515673.png"	[97054]
98058	1	"98058-disciple-of-amitus"	5	[]	4	1858	4	"Rafael Zanchetin"	5	4	5	"아미투스의 사도"	"내 턴이 끝날 때, 이번 게임에서 소환한 다른 토석인 하나당 +2/+2를 얻는 2/2 토석인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eb1ce4424850afe0da20da53894f08833cc2c460431e45377f0775bbc6967558.png"	""	"\"오, 위대한 아미투스 님, 판초는 조언대로 입었습니다. 그럼 금장갑은 한 짝이 좋을까요, 두 짝이 좋을까요?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d26261b5dffb4a7e8b679c7673861e5d7ddcbc773434454fd34776d680396c7.png"	[101547]
2278	1	"2278-dragon-egg"	12	[]	4	14	3	"Jaemin Kim"	2	0	1	"용의 알"	"이 하수인은 피해를 받을 때마다 2/1 새끼용을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/665b037b683b0046ed6c9b27ac1eb246f3cbaa9c654e184c16c39a354b46d27c.png"	""	"이래서 리로이처럼 알을 건드리면 안 되는 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c85f81914c4c6a25eec520d36f06218b605ef4eb2007a3cc53cbb6dc1cda6b7f.png"	[2436]
95454	1	"95454-remixed-totemcarver"	8	[]	4	1809	3	"Zoltan Boros"	2	3	3	"재편 토템술사"	"내 손에 있을 때 매 턴마다 바뀌는 추가 효과를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e4c839f93a9625e0fc4404b26f4c10b6594648f1462757473a5ef28c21195c6c.png"	""	"음악은 낡은 목제 스피커로 들어야 제맛이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6fa205e5eab73a5960a8da5bad66e7992574e15509ebd10615b07a39a26fafa5.png"	[95455,95826,95827,95828,92246,513,76294,95345,1652]
43310	1	"43310-wardruid-loti"	2	[]	4	1129	5	"Zoltan Boros"	2	1	3	"전쟁드루이드 로티"	"<b>선택 - </b>네 가지 공룡 중 하나로 변신합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1ff29c84046863645db519de9c1dd6c98a54d4825581ed9329a9aa67ef5de61.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe18c79c0e6fa43a73e03e65f505b4b64014ca55cefe964e5ebfa6dc10dafbf7.png"	"\"라바사우루스!\" \"무섭겠네.\" \"...블라모닥스!\" \"그런 공룡이 있어?\" \"스맥소돈!\" \"...이제 그냥 막 만들어내네.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/609f798940e258d0ac6e35fa0947e331645b6a89a71f1559c5740d30b907083e.png"	[43306,43311,43314,43307,43315,54599,54600,54601,54602]
101045	1	"101045-tentacle-tender"	9	[]	4	1858	1	"Tanamaes Leejierasaes"	5	2	3	"촉수 돌보미"	"내 턴이 끝날 때, 1/1 혼돈의 촉수를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d56c35370f57756e827e3f0402daf3c4caa8f4ad4b0cf06f99265f9ed1463b2.png"	""	"더러운 일이지만, 누군가는 해야 하죠. 사실 누구도 해서는 안되는 일이지만요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/078bdf332832ae820dba3efd7503ab6161d51c751129fd29730f3062785db51e.png"	[101021]
56107	1	"56107-bomb-wrangler"	10	[]	4	1403	3	"Adam Byrne"	3	2	3	"폭탄 사육사"	"이 하수인은 피해를 받을 때마다 1/1 폭탄로봇을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d64dfce55e0d046e22863f74e5412cbf25af8f36b32f56237ce41f2392e690ed.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3f95c52a1d763f8c3bd176634ff8c2480451da7532dc3f817fdf37f39b5b0023.png"	"폭탄 사육사는 대체로 말이 짧고 그보다 더 짧은 명줄을 갖고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d896208421ba5aa2da415b28f82c82db68d7a3329274b446cca2db4960baac47.png"	[2235]
