id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
96910	1	"96910-x-1-repairbot"	5	[]	17	4	1858	3	"Daniil Kudriavtsev"	3	1	1	"X-21 수리로봇"	"<b>죽음의 메아리:</b> 이 하수인에 <b>합체</b>한 기계들을 내 손으로 다시 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b377e04e8eefa1c692693f45a28c8c35651d7adc4e7e94c001785803800ba86.png"	""	"원형 볼트는 사각 구멍에 들어갑니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0099432e242ad6793855ddbcb258c551b603fd6ea17f494dea86fd843beca474.png"	[12,66]
91494	1	"91494-thornmantle-musician"	3	[]	43	4	1809	1	"Adam Byrne"	3	1	1	"가시목도리 음악가"	"<b>피날레:</b> 다음에 내가 소환하는 야수에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/00ba697be3304c75d067bb4dbab84db5404a75a258eb930df6b8bbbc8afb550c.png"	""	"어깨 위의 하이에나가 '본체'라면 믿으시겠어요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d0c7427cdda7f22e987fdb82d9542c9654cc74059135d58b9b5cac929b4c6ec9.png"	[255]
40613	1	"40613-leatherclad-hogleader"	12	[]	43	4	25	4	"Mike Sass"	6	6	6	"가죽옷의 멧돼지단 두목"	"<b>전투의 함성:</b> 상대편의 손에 카드가 6장 이상 있으면, <b>돌진</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/85eee96c5720f6333cbbfd60cb5bd870790fbfd5e9096cc206ad475d79261d12.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a5dd4fbfa82e41dc568e47c9988a0c85dd72666b52d0c7250e956a69003819c.png"	"타나리스의 공포인 멧돼지단은 진짜 모험들을 실제로 즐기면서, 가젯잔의 선술집에서 목을 축입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b87c09ddf7b31058556c0a9a43bdc98fbca590ac5f47ba75f222cddd29dc39c.png"	[4,8]
56262	1	"56262-steel-beetle"	2	[]	20	4	1403	3	"Anton Zemskov"	3	2	2	"강철 딱정벌레"	"<b>전투의 함성:</b> 내 손에 비용이 (5) 이상인 주문이 있으면, 방어도를 +5 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0793fea8832dbff4d53e689710404645e648af247532edac2f8e00d369061174.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/daf7cb613fde67b769a683b30c264d7cce31d69e52097962a44e721410d6aeda.png"	"딱정벌레의 갑피로 만들어진 믿을 수 있는 강철입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ccf6e4d2b011c5974c35b3af096acacf9e2595ec1e5fa1f2f8bd95843a95e8a.png"	[8]
97593	1	"97593-flame-behemoth"	12	[]	17	4	1858	5	"Kevin Sidharta"	5	4	6	"강화 화염전차"	"<b>전투의 함성:</b> 무작위 <b>합체</b> 기계를 둘 얻습니다. 그 기계들의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b167a30fe1342dd0d0811d7cde69c0c61fec24326518fbb19992732328cda251.png"	""	"전투대형 훈련장을 건널 때에는 항상 좌우를 살피세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e1c90e9e5d5aaea76bc858e78df9113512689c1dfba4a8b1f63acfb4476505a3.png"	[8,66]
50369	1	"50369-kragwa-the-frog"	8	[]	20	4	1129	5	"Konstantin Turovec"	6	4	6	"개구리 크라그와"	"<b>전투의 함성:</b> 내가 이전 턴에 낸 모든 주문을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dddc32f9fd35596ae3f8831909ab9e430fed4356e6664890996efb177f1218aa.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9c89b0f2450a142195b574412ced5b32476f87f4c84c02023a4588b8e77e50e.png"	"크라그와에게는 친구에게 경의를 표하는 의식과 적을 집어삼키는 의식이 있습니다. 둘이 어떻게 다른지는 아무도 모릅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/430e95bc9a1cfcd9dcf04b6ab7e217103797ab5e584b707608a3bcc9a8451a0a.png"	[8]
92254	1	"92254-annoying-fan"	12	[]	17	4	1809	1	"Matt Dixon"	2	1	1	"거슬리는 팬"	"<b>전투의 함성:</b> 하수인을 선택합니다. 이 하수인이 살아있으면, 그 하수인은 공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e3fc23aa46836bffc4ef43ada46e30675f05b18bf049b2b25be1954c6af39f2.png"	""	"안녕로봇, 에어 혼은 악기가 아니란다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f425fd8edd1bb9a783a9684c95c0d0005281ab0bd81a892258c695bcbb8bafbb.png"	[8]
51722	1	"51722-walking-fountain"	8	[]	18	4	1130	1	"James Ryman"	8	4	8	"걸어 다니는 샘"	"<b>생명력 흡수</b> <b>속공</b> <b>질풍</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9533062425995198218442aa2036d5673b47d3e4c924e5dfa36638bf7ad1378a.png"	""	"가장 이상한 건 걸어 다니면서 다리가 없다는 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8229e1baf67bf7e09a7f0c6217977fe8df3e230e5fa9ca592732c10dcf0baa5e.png"	[11,38,53]
48445	1	"48445-black-cat"	4	[]	20	4	1125	1	"Jakub Kasper"	3	3	3	"검은 고양이"	"<b>주문 공격력 +1</b> <b>전투의 함성:</b> 내 덱에 비용이 홀수인 카드만 있으면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/71a91ea9deb25aeb14ef192cd08ca6c9292b4facedb3d1bac4066f7c4abbe9ea.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c44b70212c0ed65c38705ebe848b938244a23eb26c030f02c8bbed532c68e8eb.png"	"이랬다 저랬다 장난꾸러기!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3416c479c6f0480e1ff36d367a5e38bdeab63c8d2c3fd913ee4d8a550af93413.png"	[2,8]
97569	1	"97569-containment-unit"	12	[]	17	4	1858	1	"Brian Despain"	6	6	7	"격리 골렘"	"<b>합체</b>, <b>죽음의 메아리:</b> 비용이 8인 무작위 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3b8dd111a7ad97ceb51c0d43ef362d26512f6d1a8c7ed2aba756390c2ff248db.png"	""	"놀라울 정도로 간지럼을 잘 탑니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/895ac1ddacbaba3e1c8d9abe008ae21342e190f193f2e01b4a7efe982d75fcd3.png"	[12,66]
102632	1	"102632-pebbly-page"	8	[]	18	4	1898	3	"Adam Byrne"	1	2	2	"견습 조약돌"	"<b>전투의 함성:</b> <b>과부하</b> 카드를 뽑습니다. 이번 턴에는 <b>과부하</b> 상태가 되지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c78899d5a938f5917e74b784c330112fa81f53004d15ee98517fb34290a382b1.png"	""	"내가 과부하되지 않도록 도와주는 좋은 친구죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23bad6ee9fba4367dad1af9040d5849dc0517aebcafcebe93cb2edce62f9d250.png"	[8,14]
101009	1	"101009-alarmed-securitybot"	5	[]	17	4	1858	3	"Matt Dixon"	3	4	4	"경고하는 경비로봇"	"<b>죽음의 메아리:</b> 다른 하수인을 뽑습니다. 그 하수인의 공격력, 생명력, 비용을 5로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a59e68d43676d7c35163c6906d05b6577e584a6e1612cbe90de48050a90af1fd.png"	""	"경보 단계: 5! 높아야 위험한가요, 낮아야 위험한가요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/63ff0e23ae30b42baf2feb1374ddf72444ff600a40686d155ee65c5938f81233.png"	[12]
41118	1	"41118-sergeant-sally"	12	[]	11	4	25	5	"Matt Dixon"	1	1	3	"경관 샐리"	"<b>죽음의 메아리:</b> 이 하수인의 공격력만큼 모든 적 하수인에게 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34f1a35ffc098d20a539c944c7f2ff0d386e6536c628d68f859227621b709934.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e1dd0fd6199819318b87a0d5d35a37bf8a157e5e6f32a81f778e9d819d936c0.png"	"\"샐리? 그게 누구야? 어디서 왔어? 가젯잔에는 경찰서도 없는데 도대체 누구란 말이야?!\" - 시장 노겐포저"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b75e648da6f9db637418cfa4bf716314c87da3434c3c41de55851c1e104e098a.png"	[12]
48156	1	"48156-lord-godfrey"	9	[]	11	4	1125	5	"Alex Horley Orlandelli"	4	4	7	"고드프리 경"	"<b>전투의 함성:</b> 다른 <b>모든</b> 하수인에게 피해를 2 줍니다. 하나라도 죽으면, 이 <b>전투의 함성</b>을 반복합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ebfd76d537d83445f490021747ae4dc5de4e06f51ead24ca0306d8b7bac82e52.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51e32fd2234742856023b3c3e82c2859dc7020662738e9b238a7e20f001e3087.png"	"업적 점수 200점을 위해 얼라이언스를 배신하고 호드를 배신했습니다. 아, 형상변환용으로 최고인 모자도 얻었군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/98f0c5077e9513c168269ae5645415b5282ffebc47f3de5d43e6382ef94f2bf6.png"	[8]
46988	1	"46988-wyrmguard"	12	[]	11	4	1125	1	"Tyler West Studio"	11	3	7	"고룡수호병"	"<b>전투의 함성:</b> 내 손에 용족이 있으면, 공격력 +1과 <b>도발</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2c8a70d23e676266b4420f887e1108ff830eb662fae402856d663cb7c5928f79.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/849f64ef95dfacb97ef5ddabfefed8d83013b381f66ff5dc7570b27b8af396e5.png"	"스스로를 고룡들의 총애를 받는 수호병이라 생각합니다. 고룡들은 그들을 비상용 식량이라 생각합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0790e916c6de634861f108ed62f4325159e42c18ccca299db2e74d28a46e05f.png"	[1,8]
47837	1	"47837-goblin-bomb"	12	[]	17	4	1127	1	"Matt Dixon"	2	0	1	"고블린 폭탄"	"<b>죽음의 메아리:</b> 적 영웅에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/121e9b573ef3f10cdf5d9e49d6dc11fb163f5129e117a335b672261801d73998.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8e3e7ecfc1a0896a262372c77cf61e67950f39f2fbf39a93ae2cf0f8928f3a7b.png"	"박사 붐의 자식들이라고 할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ba9ba4206871ce11808958f727b441cebee7af1c74b0a58c481c081ee2639af9.png"	[12]
57165	1	"57165-scrap-golem"	10	[]	17	4	1414	3	"Zoltan Boros"	5	4	5	"고철 골렘"	"<b>도발</b>, <b>죽음의 메아리</b>: 이 하수인의 공격력만큼 방어도를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6dc29adb3db475777edb01e2f47efd12b5b7a2e4825c2b8cd63256f491978cf.png"	""	"고철, 먹지 마세요. 골렘에 양보하세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/250b6d24db4b2fb5086b315b581d74045d5b6c3eebde8c5d674276d1e206baf7.png"	[1,12]
91659	1	"91659-concert-promo-drake"	12	[]	24	4	1809	1	"L. Lullabi & K. Turovec"	8	8	8	"공연 고취비룡"	"<b>교환성</b> <b>피날레:</b> 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e89ffede0321048978740dab7abf55a38b14ea467e8dd397ebd2b60992b2153c.png"	""	"노래자랑에 참가하지 않고 홍보만 하는 이유가 다 있습니다. 죽여주는 라임은커녕 죽고 싶은 라임 실력을 갖춘 원시비룡이거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a7542154aca805d892ca76df3a9fc72965409078b7c66126077360704b0a044.png"	[97,255]
2822	1	"2822-dreadsteed"	9	[]	15	4	15	4	"Alex Horley Orlandelli"	1	1	4	"공포마"	"<b>죽음의 메아리:</b> 턴이 끝날 때, 공포마를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f917622fdcd4d574c2e1dd7c707bf3a068d8a89651e678a942e79149b0be1395.png"	""	"전설적인 용사 크레센도는 대 마상시합에 출전할 때 이 탈것을 소환했습니다. 그가 경기장을 누빌 때마다 수많은 기수들이 그의 뒤를 따랐습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/20f62f4324402a183e10304ecf2745ec7cfb306e312bbeac0771fbe7537a2e58.jpg"	[12]
90854	1	"90854-void-virtuoso"	9	[]	15	4	1809	1	"Mauricio Herrera"	3	1	1	"공허 거장"	"내 턴 동안 내 영웅이 <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2254c33da54737673c1056f9ac836c19963e2fa2e6b60125c3f32c22b8c6cab2.png"	""	"참 흥미로운 복식이군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cba98f9e2cb75903a7ebf9f9cca3333434853fbf6d1403e1dba26352bc1fd128.png"	[17]
48835	1	"48835-void-analyst"	9	[]	15	4	1127	3	"Arthur Bozonnet"	2	2	2	"공허 분석가"	"<b>죽음의 메아리:</b> 내 손에 있는 모든 악마에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/084b3d9f821eca21a2b8baaed3f46c697d2010b3a8cff88e50ef2acaaccdd302.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de30c40b458176dd5d69f5ab07ce8688a339459a8c85a17f87d63f1f7ca11bb1.png"	"결론: 아무 것도 없음."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/812fc3d22e8e6aee59c713bcbf3c9bba65140ea13f07921038956e8bd5d50a67.png"	[12]
2537	1	"2537-void-crusher"	9	[]	15	4	15	3	"Skan Srisuwan"	4	5	6	"공허파괴자"	"<b>격려:</b> 각 플레이어의 전장에서 무작위 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/983e9f8f2300a9414185a76d229f8b4f707a79d1f58ba59a5dab088b8032b940.png"	""	"왜 이름이 공허파괴자냐고요? 가끔은 자신도 파괴하거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6286df793e17969700dd5d8720db8c32ac119bbb060b31992e45a40b17b0d881.jpg"	[20]
