id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels
68	1	"68-stranglethorn-tiger"	12	[]	20	4	3	1	"Alex Horley Orlandelli"	5	5	5	"가시덤불 호랑이"	"<b>은신</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e0ef1b7d227d769bb4f44684c700010c44ddc311c47481d6f0e656769fdccad.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eb0039c76c7c7ea602bbe36bda87c6ac12a84ab8ff375f918cfe190d48f88e92.png"	"호랑이에 대한 멋진 사실은 호랑이가 멋지다는 사실입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52e4d713b09e95d8b2510e735efd167c9d8cf3a719411c558b818d2348a72337.png"	[6]	{"relevant":true,"constructed":true}
63164	1	"63164-razorfen-beastmaster"	14	[]	43	4	1525	3	"Akkapoj T."	3	3	3	"가시덩굴 야수조련사"	"<b>죽음의 메아리:</b> 내 손에 있는 비용이 (4) 이하인 <b>죽음의 메아리</b> 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/90ea46e74f32b79a430411cd2070b0b16f3a714595eb564f7e8fe6cbb16cbacb.png"	""	"제가 정말 좋아하는 게임에서 나온 종족인데, 제 취향 몇 가지를 추가했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ab75fb8134b22989ef1bdf77366419bc43ff6ef404fb570587ec7e758301ce21.png"	[12]	{"relevant":true,"constructed":true}
1753	1	"1753-zombie-chow"	12	[]	11	4	12	1	"E. M. Gist"	3	2	1	"간식용 좀비"	"<b>죽음의 메아리:</b> 적 영웅의 생명력을 5 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/791a6b47b3f399a08e21e1d824c17beffe8d7231bed825c520f3dbb4af0b1e36.png"	""	"오늘은 내가 좀비 요리사!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dc3b4a472fd8b8b63dac0b955253f23d7b62899f0e77439c079d074904754fd5.png"	[12]	{"relevant":true,"constructed":true}
64465	1	"64465-ganarg-glaivesmith"	14	[]	15	4	1637	1	"Forrest Imel"	3	3	3	"간아그 전투검장인"	"<b>추방자:</b> 이번 턴에 내 영웅에게 공격력을 +3 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39af1a3d31bd2cd35c2d94cb8680938e61fd5e12f3eb12bb53fe3862877b2bea.png"	""	"혼자 있으면 의욕이 더 난다고 하네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/17292a17298e20765b2d02b13289e0b7b1c617ff8af38d8835bf0735018ad8af.png"	[86]	{"relevant":true,"constructed":true}
43133	1	"43133-hooked-reaver"	9	[]	15	4	1004	3	"A. J. Nazzaro"	4	4	4	"갈고리 약탈자"	"<b>전투의 함성:</b> 내 생명력이 15 이하면, +3/+3과 <b>도발</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57dbeb69fe08577096eb67f269d38cbdecfc16a2a23d8a837aa09fa7e5fc0ce4.png"	""	"갈고리는 장식용입니다. 약탈할 때 기분만 좀 내려고 가지고 다니는 거죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8e82821df0dd508f1a36013a3295f2de46d4a319b34fcf172584a348c8adc582.jpg"	[1,8]	{"relevant":true,"constructed":true}
71921	1	"71921-coilskar-commander"	14	[]	92	4	1658	4	"Trent Kaniuga"	6	2	6	"갈퀴흉터 지휘관"	"<b>도발</b>, <b>전투의 함성:</b> 내 손에 있을 때 주문을 셋 시전했으면, 이 하수인을 둘 복사하여 소환합니다. <i>( 남음!)</i> <i>(달성!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1bf887d0c0dd86a1405fad2219535b43e4c558164451bc12f3ce96f669fb07ea.png"	""	"총원 3명, 열외 0명, 현재원 3명, 번호! 하나, 둘, 셋, 야!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/78b654fbc62259f82b4a8e537f1e769ad89b77f292136ac96ac0f83715d064d7.png"	[1,8]	{"relevant":true,"constructed":true}
2075	1	"2075-enhance-o-mechano"	12	[]	17	4	13	4	"Zoltan Boros"	2	3	4	"강화로봇"	"<b>전투의 함성:</b> 내 다른 하수인들에게 무작위로 <b>질풍</b>, <b>도발</b>, <b>천상의 보호막</b> 중 하나를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffa4787cbad5765aaafbde0c2aff4da258e3fe260b6f2407ff2e6fcc184ab793.png"	""	"전 왜 질풍만 걸리는 걸까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de2c57cbfab2d10ec050c89fcf40a9ea466597e5b7d88bd4646f14a77c989d59.jpg"	[1,3,8,11]	{"relevant":true,"constructed":true}
1939	1	"1939-flame-leviathan"	4	[]	17	4	13	5	"Aleksi Briclot"	7	7	7	"거대 화염전차"	"<b>속공:</b> 이 카드를 뽑을 때, 기계가 아닌 <b>모든</b> 캐릭터에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b86fc69fcbb5cb25705f5b3f678d453d930a84e6898b4781107a4a1e29c17287.png"	""	"미미론은 가끔씩 거대 화염전차에 올라 폭주 드라이빙을 즐기곤 한답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2a22753a7a1dc9cda3905aeab0f94d2de6fea161deffeacd3c8911542896169b.png"	[53]	{"relevant":true,"constructed":true}
41242	1	"41242-giant-mastodon"	12	[]	20	4	27	1	"Chanchai Luechaiwattanasopon"	10	6	9	"거대한 마스토돈"	"<b>도발</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf27b72cc0cdb1b2bdf90917fe7726597c2922f61e4a4a6258bb91270ab08821.png"	""	"'마스토돈의 해'가 아니라서 심기가 불편합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4356c6155f5b5dea33c3eb2a6d5fda6dd4a2a526527663a1ad57ec4795b54dcc.jpg"	[1]	{"relevant":true,"constructed":true}
41262	1	"41262-giant-anaconda"	2	[]	20	4	27	4	"Alex Horley Orlandelli"	3	5	7	"거대한 아나콘다"	"<b>죽음의 메아리:</b> 내 손에 있는 공격력이 5 이상인 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8ff4999f05eafdf8ee2e33e943fbf449c5abeef81471ac1f4cd0187b576369ea.png"	""	"먹방 한 편 거하게 찍으셨나보군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/078dc93aa055e73c7b26a1f7b8c59fad766e959f69bfa5a7b72f6282f9b01091.jpg"	[12]	{"relevant":true,"constructed":true}
73428	1	"73428-bubblebot"	5	[]	17	4	1658	1	"Daniil Kudriavtsev"	4	4	4	"거품로봇"	"<b>전투의 함성:</b> 내 다른 기계들에게 <b>천상의 보호막</b>과 <b>도발</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6899faee82f610f4ec48e3647ef72da87e7c5e3000e0c56a01a7d83ef25f8c25.png"	""	"쏙 쏙쏙 거품 빙글빙글 거품 여기저기 내 거품"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6af949bbb6cbba593fd01376cdecf28d558a83f56e27b253f78b611e4013f538.png"	[1,3,8]	{"relevant":true,"constructed":true}
71695	1	"71695-gangplank-diver"	12	[]	23	4	1658	1	"Konstantin Porubov"	4	6	5	"건널판 잠수부"	"1턴 동안 <b>휴면</b> 상태가 됩니다. <b>속공</b>, 공격할 때 <b>면역</b> 상태가 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f74b3a9430d6104e23c79efdef224da5bebcdd93a2d1216877bfe402d568f31d.png"	""	"10점... 10점이요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b382668544e49c32a2a36c1a408753853ea871c0673a5f4177aeeca02c58c120.png"	[17,53]	{"relevant":true,"constructed":true}
63072	1	"63072-arid-stormer"	8	[]	18	4	1525	1	"Jakub Kasper"	5	2	3	"건조성 폭풍"	"<b>전투의 함성:</b> 내가 이전 턴에 정령을 냈다면, <b>속공</b>과 <b>질풍</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7305b878b08182b5f9c2f8b8adbce63e57d9bcb1ed122d06626cde437b0132c9.png"	""	"폭풍을 쫓는 사람들이 있듯, 정령을 쫓는 폭풍도 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0659012b38267dc216a217c5e3492737b10f65a25d76ed3932d02f8b89b16cc1.png"	[8,11,53]	{"relevant":true,"constructed":true}
