id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	copyOfCardId
69820	1	"69820-stranglethorn-tiger"	12	[]	20	4	1646	1	"Alex Horley Orlandelli"	5	5	5	"가시덤불 호랑이"	"<b>은신</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f0b6493cfd41df0693b94049796e83b36e51b9f08720ee9df4a0960f7890d1e9.png"	""	"호랑이에 대한 멋진 사실은 호랑이가 멋지다는 사실입니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/52e4d713b09e95d8b2510e735efd167c9d8cf3a719411c558b818d2348a72337.png"	[6]	68
102563	1	"102563-flame-leviathan"	4	[]	17	4	1898	5	"Aleksi Briclot"	7	7	7	"거대 화염전차"	"<b>속공</b>, 이 카드를 뽑을 때, 기계가 아닌 <b>모든</b> 캐릭터에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7fbdf7aefdec982b6c80cbd2a21da6dc66accc50f95c39d3471f1800eb2d7ce4.png"	""	"미미론은 가끔씩 거대 화염전차에 올라 폭주 드라이빙을 즐기곤 한답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cec241d0979894d2eb8e92af723a2ecfe6ba213b159494181003ac68878eb7d.png"	[53]	1939
68346	1	"68346-dread-infernal"	9	[]	15	4	1646	2	"Zoltan & Gabor"	6	6	6	"공포의 지옥불악마"	"<b>전투의 함성:</b> 다른 <b>모든</b> 캐릭터에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/afde7ddc0a6f94379d2998eff5d2560bad6c9b502b3b3aa401b83dbef0fedb3c.png"	""	"\"지옥풀을 받아라!\" - 불타는 군단의 에레다르 군주, 자락서스"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10729498eaa34d6f623fcda0a4d7bd9ec06a78080c3681c881f6f456283ea3d8.png"	[8]	1019
70086	1	"70086-dread-corsair"	12	[]	23	4	1646	1	"Trent Kaniuga"	3	3	4	"공포의 해적"	"<b>도발</b> 내 무기의 공격력만큼 비용이 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/96b84688c83dd9e074220eb16f436afec88c72fe269584a073104e4e9a39acaf.png"	""	"\"야아아르\"는 해적 말로 \"안녕하십니까\"라는 뜻입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7d555b43ade54991a942b5b6ff73e41cec11533410c934f5d3d32dcae65b10e3.png"	[1]	878
68347	1	"68347-voidwalker"	9	[]	15	4	1646	2	"Alex Horley Orlandelli"	3	1	1	"공허방랑자"	"<b>도발</b>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7318a524291ec71ddb03a99832d05d8b7c61fd8455b7a243abc1830911dd8fa2.png"	""	"내 이름은 보이드. 별명은... 몸빵."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ea7aa02da033e55cc8a7ac70e8336369702bc5990b9967c004ce4e8661e94f3.png"	[1]	48
69915	1	"69915-void-terror"	9	[]	15	4	1646	3	"Alex Alexandrov"	3	3	3	"공허의 괴물"	"<b>전투의 함성:</b> 이 하수인 양옆에 있는 하수인들을 처치하고 그들의 공격력과 생명력을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cdda3da01fb02b69c89f4b7007345ff8250e58384bd07b6953a6449f7e30e9a.png"	""	"이 카드를 덱에 넣으면 다른 하수인들의 신뢰를 잃습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bdcfdbb7fe24d4b490a54e4bac9cbbe66682a09a4e9d67bfe86f0ae91ed40f62.png"	[8]	1221
70081	1	"70081-hungry-crab"	12	[]	20	4	1646	4	"Jaemin Kim"	2	1	1	"굶주린 게"	"<b>전투의 함성:</b> 멀록을 처치하고 +2/+2를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e41b5dfb464e87d8ff091302d8d196df251fc8e799ecea01126fa03729c61f1e.png"	""	"멀록은 저녁 거리입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1ee3ba34d6d63918fff41dc5961b9cf03ecd05ebfaa3e085b82c2591ab93f8bb.png"	[8]	443
102558	1	"102558-soot-spewer"	4	[]	17	4	1898	3	"Phil Saunders"	4	3	3	"그을음 생성로봇"	"<b>주문 공격력 +1</b> <b>전투의 함성:</b> 내 전장에 다른 기계가 있으면, 무작위 화염 주문을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34d9fffd17a788c50f00bfeda8fa1bf005e02ca41dc31d3e6cb816c1c1236d2d.png"	""	"그을음 생성로봇의 창시자와 고블린 벌목기의 창시자는 개와 고양이처럼 사이가 안 좋다고 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea52ebcf90dcc7759d3d88f8d192828eb0e536898b28c4ee0a6039787c45a908.png"	[2,8]	2249
70098	1	"70098-stampeding-kodo"	12	[]	20	4	1646	3	"Daren Bader"	5	3	5	"날뛰는 코도"	"<b>전투의 함성:</b> 공격력이 2 이하인 무작위 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c71a9489fcc353597a1fd99bb7cec91ce5d5a4202722bacc0f45815429f80995.png"	""	"이 코도가 미쳐 날뛰고 있습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8bf2246b35ecd7b41e7c27d4056d780b9884b35eee57ae665d0a75b917719833.png"	[8]	1371
69755	1	"69755-southsea-deckhand"	12	[]	23	4	1646	1	"Dan Brereton"	1	2	1	"남쪽바다 갑판원"	"내 영웅이 무기를 장착하고 있으면 <b>돌진</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24b5147e9a9a76b9b99249fda4c38a64536f3b96fde46767da7c5b5c7e09ca7b.png"	""	"요즘 해적들 사이에서 \"시체 놀이\"가 유행이랍니다. 누가 시체냐고요? 글쎄요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a4f69371dc198cd3f7ee558cc7dcd2751bd407a3139f003cdab344b0f077b07.png"	[4]	724
70075	1	"70075-kidnapper"	7	[]	11	4	1646	4	"Dave Allsop"	3	5	6	"납치범"	"<b>연계:</b> 하수인을 주인의 손으로 돌려보냅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/998c368b43f52fd5274aa20bd7d1be1ebba1f887090537ec83b3fbdb99bd0dbd.png"	""	"하수인을 돌려보낸 죄밖에 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/807d4481fb34c6165d0750b8f0d400e0eb1bfffcfb8e63f4a63da2ad0bb2806b.png"	[13]	287
