id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	copyOfCardId
68404	1	"68404-razorfen-hunter"	12	[]	4	1646	2	"Clint Langley"	3	2	3	"가시덩굴 사냥꾼"	"<b>전투의 함성:</b> 1/1 멧돼지를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/65af09ee3da9874ff241d276af6d67fa83c55d7c023894f627b8d6c900b03869.png"	""	"뿔엄니에게 정말 까분 사람이 한 명 있었습니다. 딱 한 명요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c8702fbb92ead4d419cfda878af0e5cc83e3f422e434d663f317a3c1e1cafb07.png"	[298]	[8]	257
102609	1	"102609-dark-iron-skulker"	7	[]	4	1898	3	"Eric Braddock"	3	4	4	"검은무쇠 잠복자"	"<b>전투의 함성:</b> 피해를 받지 않은 모든 적 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c331973113554651a14bbe66c5bedd8cbc277b81aedcb9c099d785d48ba11e84.png"	""	"잠복하는 걸 아주 좋아합니다. 몇 시간이고 가만히 잠복해 있곤 합니다. 그래서 친구가 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7135898404b977f0a0847b93b1f1e7c1b473b49200fb0c16795078e5918f4677.png"	[573,180]	[8]	2291
68539	1	"68539-gelbin-mekkatorque"	12	[]	4	1646	5	"Ludo Lullabi"	6	6	6	"겔빈 멕카토크"	"<b>전투의 함성:</b> 끝내주는 발명품을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8740a22303366d3ebb4a0c9536f94a955452a758e1fbab7b593a663905ddbe44.png"	""	"노움의 지도자이자 엄청난 발명가입니다. 게다가 실력도 조금씩 나아지고 있죠. 뭐든 닭으로 만들어버리는 빈도가 <b>많이</b> 줄었으니까요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b1048ebde5d791088af9c549ce7e48afbb5cd12f4ac765a4bb031d87e60d118b.png"	[52,227,329,146,262]	[8]	858
68439	1	"68439-dragonling-mechanic"	12	[]	4	1646	2	"Warren Mahy"	4	2	4	"기계용 정비사"	"<b>전투의 함성:</b> 2/1 소형 기계용을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d070a7676284be59cc9d38686e7217bee23169e20d669eb3f485dbc240253695.png"	""	"앙앙이에게 로켓 발사기를 장착하려고 요즘 고민 중입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d11e6a17914b66cb8490b7b383c2ae178db6a5f1d4331189858d492b47d954e4.png"	[59]	[8]	523
69857	1	"69857-defias-ringleader"	7	[]	4	1646	1	"Dany Orizio"	2	2	2	"데피아즈단 두목"	"<b>연계:</b> 2/1 데피아즈단 무법자를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6b911130c10ce4cc5c9b4f6c31bc40444b7747c7137e0ab7c9d1fbf36ebb195e.png"	""	"두목은 묵직해야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ad654b13ab2ddeb69798f6c332dc2e09fd36840d565f63b9f806bd6214aeaa0.png"	[488]	[13]	201
70097	1	"70097-hogger"	12	[]	4	1646	5	"Laurel Austin"	4	4	6	"들창코"	"내 턴이 끝날 때, <b>도발</b> 능력이 있는 2/2 놀을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ac2a697a5c082d95779aa4784d19cd7efb51b2d7e54672ce93e84ab1c9b5fe93.png"	""	"들창코는 정말 강력합니다. 만약 처치했다면, 그가 <i>봐줬기</i> 때문입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6cf0693bc017c7fd369705d8a7e88241218325df45df331f03a511e7b0dbc29.png"	[460]	[1]	640
69852	1	"69852-leeroy-jenkins"	12	[]	4	1646	5	"Gabe from Penny Arcade"	2	6	4	"리로이 젠킨스"	"<b>돌진</b>, <b>전투의 함성:</b> 상대편에게 1/1 새끼용을 2마리 소환해 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e1dc070cea33ab20ce364da046857696312d1362d9ea1db4916cc0e237eed87c.png"	""	"\"때가 왔다! 가자! 리로이이이이이이이이 젠킨스으으으으으으!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/17f7efd0a408273341fe82cbe8dfb2b187cff5cf931a0ad45ffafd59f580120c.png"	[1912]	[4,8]	559
69872	1	"69872-druid-of-the-claw"	2	[]	4	1646	1	"Luca Zontini"	4	4	5	"발톱의 드루이드"	"<b>선택 -</b> <b>돌진</b> 또는 생명력 +2와 <b>도발</b>을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ce423cc6d105b77249876834ac15e629015d7fd09cfaa4dbf1e177c8bfd5a886.png"	""	"표범이냐, 곰이냐, 그것이 문제로다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d8b87dd691b0183901693435d20ca55bec9df5fb4723777b009e5956ae09cab.png"	[70463,70465,70464,70466]	[1,4]	692
70031	1	"70031-cenarius"	2	[]	4	1646	5	"Alex Horley Orlandelli"	8	5	9	"세나리우스"	"<b>선택 -</b> 내 다른 하수인들에게 +2/+2를 부여합니다. 또는 <b>도발</b> 능력이 있는 2/2 나무정령을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/60eea2ee37fd1264db0c50a33cbba8c3ba35f9b3d5b629a36d9a1dd25143e4b2.png"	""	"반신반의하시나요? 네, 이 친구 반신반인 맞습니다. 그래서인지 반신욕을 싫어한다더군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/75bfd42165394b1635edd50957bc3d25a4c1e01e02be039f63664529c88f7bae.png"	[678]	[1]	36
69839	1	"69839-tinkmaster-overspark"	12	[]	4	1646	5	"Tom Baxa"	3	3	3	"수석땜장이 오버스파크"	"<b>전투의 함성:</b> 다른 무작위 하수인을 5/5 데빌사우루스 또는 1/1 다람쥐로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51b9011ae54c7ad50b30e35e44dcad4284ec5b96bb59812b3a7bf5bff4fd32ae.png"	""	"데빌사우루스 대신 리치 왕으로 변신시킬 가능성이 조오오오오금 있습니다. 아주 조오오오오오금."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57fdd0a7225c07d8b9bf9b4b31aa4133addce33ff242e6840aba2b996f28b262.png"	[70067,1190]	[8]	570
