id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds
55166	1	"55166-shield-of-galakrond"	12	[]	4	1347	1	"Vladimir Kafanov"	5	4	5	"갈라크론드의 방패"	"<b>도발</b>, <b>전투의 함성:</b> 갈라크론드의 강림을 <b>기원</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e06417afeacd8af3d5c5b8ae05f64826e2298fa77c93f2d7be00495ec14514d.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e821b55034170ad6adfad71a5e96be54c8f68deb6e88ff0b88df493a0c19cb34.png"	"사실 저 방패면 갈라크론드의 발가락 정도만 보호할 수 있겠군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c1a886c38186c925ed533328c9610632e2bc50e65b40973784a4594782b14293.png"	[57416,57419,57427,57329,57413,55810,57417,57418,55819,55806,57421,57420,55808,57432,57433,55809,57434,57435,57436,55807,57330,57331,55366,55805,57414,57415]	[1,8,79]
54874	1	"54874-disciple-of-galakrond"	6	[]	4	1347	1	"Eva Widermann"	2	1	1	"갈라크론드의 사도"	"<b>전투의 함성:</b> 갈라크론드의 강림을 <b>기원</b>합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6cbb0de8cff0dad18bf5ee7b5600a1fbb9bc58e3b412cfe4c3f52b0d5aa7fb17.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/782b90b9d4883b1173f53762051bcc2bc9ae845209aa452a7da725192b03fe60.png"	"부활 의식이 왜 언제나 성공하는지 아세요? 부활할 때까지 의식을 진행해서 그렇습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c6373f78043f25b8411f90edaba31bc77f04b48a6bb18c575db7012e42003d2.png"	[55810,57416,57417,57418,55819]	[8,79]
101099	1	"101099-infested-watcher"	8	[]	4	1858	1	"Matt Dixon"	4	4	4	"감염된 감시자"	"<b>도발</b>, <b>죽음의 메아리:</b> 1/1 혼돈의 촉수를 둘 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8012ebe1434b0a7598718eab50624b0f83c173bd85226e6f0fc0ceee039382ba.png"	""	"이래서 수박 씨를 먹으면 안되는 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8bd73243bfb0a2d14d386abdf73fa53ceef156d998b6b5ee63f06fb8bd203ecc.png"	[101021]	[1,12]
52114	1	"52114-heistbaron-togwaggle"	7	[]	4	1130	5	"L. Lullabi & K. Turovec"	5	5	6	"강도왕 토그왜글"	"<b>전투의 함성:</b> 내 전장에 <b>졸개</b>가 있으면, 멋진 보물을 선택합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19d87a2645d8aad50a8010dc179996e48a265c0ebd895ac1829f7e90e175dc00.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a353279ff04b49c3fbd64311e3fbdc5f341f8e26ebbf1d25f68e11b002e8d78b.png"	"라팜의 든든한 아군입니다. 반짝이만 계속 준다면."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c177c88ba78d55fcc8280234bf8a56b609607193e3ee8fce0061abd4e9e8d3ac.png"	[43178,43180,45726,45727,52897,52900,53160,53161,53162,53163,55378,60588]	[8,71]
2291	1	"2291-dark-iron-skulker"	7	[]	4	14	3	"Eric Braddock"	3	4	4	"검은무쇠 잠복자"	"<b>전투의 함성:</b> 피해를 받지 않은 모든 적 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e8a3019895df258e76f2fe2ca2510a4431f25775aa910a926d2015aaa6b81b9c.png"	""	"잠복하는 걸 아주 좋아합니다. 몇 시간이고 가만히 잠복해 있곤 합니다. 그래서 친구가 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a724d015a63194ffbd2922ecd3542314b05c6c39628a1b171e26fb04baea2623.png"	[573,180]	[8]
97473	1	"97473-disciple-of-golganneth"	8	[]	4	1858	1	"Ursula Dorada"	3	2	2	"골가네스의 사도"	"내 턴이 끝날 때, 내 손에 있는 무작위 <b>과부하</b> 카드의 비용이 (1) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ef89e17c74064f252b93bc99f0310170ddfb490cb15890e4c38fa9399999d56a.png"	""	"경고: 당신이 바위로 만들어지지 않았다면, 따라하지 마시오."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8b00aa17b277c6d3d88db10d405dc8f39cd4f3d42af71caf4c89deeb47d630dd.png"	[97673]	[14]
101685	1	"101685-aerosoilizer"	2	[]	4	1858	1	"Patrik Bjorkstrom"	2	2	3	"공중급수체"	"<b>전투의 함성과 죽음의 메아리:</b> 2/2 나무정령을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d2cff52d8b81d94e6fa56876def786e5aa078cc070c64e63357083ac95d5b959.png"	""	"오존층에 구멍을 뚫으므로 야생에서 금지되었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/71fe215e4bf6fa2e4acd99ca7983b1a1783fec6291c62a1941bec778dc747b25.png"	[99806]	[8,12]
98087	1	"98087-conservator-nymph"	2	[]	4	1858	3	"Angelica Alieva"	4	3	3	"관리자 요정"	"<b>전투의 함성:</b> 아군 나무정령을 <b>도발</b> 능력이 있는 5/5 고대정령으로 변신시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e38b065c498889845a18a434f2b4d911bcce36e9db051c3802d88f38782a1dff.png"	""	"무슨 일이 있어도 자정 이후에는 나무정령에게 물을 주지 마세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0132377c58e67565dccdb2e02b69b15299d45f4e89559b32b126c3d4167756ae.png"	[99806,97457]	[1,8]
97617	1	"97617-algalon-the-observer"	12	[]	4	1858	5	"Mooncolony "	4	4	4	"관찰자 알갈론"	"<b>전투의 함성:</b> 내 영웅 능력을 알갈론의 시야로 교체합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f4bb28d0a4a040a96f70b8f5f2ca14219f33376cec0d8bcd3a9ff870f625bf0.png"	""	"역시 알갈론. 미래를 볼 수 있다니요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/40884958323c8267fc71c44e45d6f43c2ed6fe1182a09351efe45c881b50a20e.png"	[100045,105643,105644,100046]	[8]
90461	1	"90461-crazed-conductor"	9	[]	4	1809	4	"Konstantin Turovec"	4	3	4	"광기의 지휘자"	"<b>전투의 함성:</b> 내게 탈진 피해를 줍니다. 그만큼 3/3 임프를 소환합니다. <b>전투의 함성:</b> 내게 탈진 피해를 줍니다. 그만큼 3/3 임프를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/025b8fa77dc66d3d6cb3d48d008fd1b7b6045f97a2ced51cc335737a7b25a9ca.png"	""	"뒤틀린 황천이 내게 노래하고 있어! 이 선율은 뭐야?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dfd430d0b8f096977608eae8e9ad6207b6ccf8b83f10fb5bf0e3fe86669819e9.png"	[90988]	[8]
