id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds
96992	1	"96992-dj-manastorm"	4	[]	4	1809	5	"Konstantin Porubov"	8	8	10	"DJ 마나스톰"	"<b>전투의 함성:</b> 내 손에 있는 주문들의 비용을 (0)으로 만듭니다. 내가 주문을 시전하면, 내 다른 주문들의 비용이 (1) 증가합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8d73a09db9b9ff28398eee0f28136f64c3c3aaa5920d64cc1c729474cc3b3b76.png"	""	"땜장이 마을 딥하우스 모음집은 꼭 들어보세요. 진짜 역대급이에요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7eaf312c37a5eee29ee89b7350a15dcf2b0866f9cb7e8ed8e28702fadea51d79.png"	[8]
49172	1	"49172-emp-operative"	12	[]	4	1127	4	"Mauricio Herrera"	3	3	5	"E.M.P. 비밀요원"	"<b>전투의 함성:</b> 기계를 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dcb4dc4190a0def9a5b4239fd093e7264f57900dd1c291691dde92ec609edcdb.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cefc3e6470a0e6e9d9edfa40a6f5fcdcd2086f634c5d8ba93f09850b2a5ecc7b.png"	"¿Quién es Sombra?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8bb8455d1be572a08a0d10fc5d4d1049fbcc35047e385ea9bbc651cef287c148.png"	[8]
50059	1	"50059-smolderthorn-lancer"	10	[]	4	1129	4	"Dave Allsop"	2	3	3	"가시불꽃 창병"	"<b>전투의 함성:</b> 내 손에 용족이 있으면, 피해를 받은 적 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a222abdc8054d6393152312181ec17ebaaab7a92486a3358cc9502ea8cd98ee0.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c8aea22fb4aa339460e7e58130cd1aeb1212154ee16500e3f1edb94bf1686e85.png"	"이쯤 되면 별명이 무엇이 될지 짐작이 가는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e031f4f1eb7590e9d3f649f39f2924ac4bb4399e8f0f57ae787d065fb386a0f.png"	[8]
97397	1	"97397-thornveil-tentacle"	9	[]	4	1858	1	"Todd Harris"	2	2	2	"가시장막 촉수"	"<b>생명력 흡수</b> <b>전투의 함성:</b> 무작위 적 하수인에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/51a1eec2bbf2f4ead1477e01b2de04e37102f27b58d0c5741c947acfd5f82591.png"	""	"촉수도 가지치기가 필요할 것 같은데요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/49faae9f7a7ed2f55ca9982f985c8fcbaf702f9c4c3d09b503ee5300eaa4d309.png"	[8,38]
40949	1	"40949-gadgetzan-socialite"	12	[]	4	25	1	"Eva Widermann"	2	2	2	"가젯잔 귀부인"	"<b>전투의 함성:</b> 생명력을 2 회복시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e4d683a0030bc7f18b1d77bbf386f15f2a544138743ebd12402480d2c4ad2832.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d828a0c9b14e7e7c284a59316ae04837645ad0a04988fd2d0568a47acabcd736.png"	"키에 대해 이야기하면 웃는 얼굴로 당신의 무릎에 총알을 박아 넣을 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9f080b5a99e5e81e27faada4a781f4722df2ba1b1fc2185dfb7ec3c7d757741.png"	[8]
40696	1	"40696-gadgetzan-ferryman"	7	[]	4	25	3	"Zoltan Boros"	3	2	2	"가젯잔 뱃사공"	"<b>연계:</b> 아군 하수인을 내 손으로 다시 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d1a74fbed1e9604289a0b66394fa4144cbc9ded821856dc8141b04dcfdbdbb61.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8cf6263023e0a9dd40b30d91691ada07a9a4e9ceb53233a6a2834454e9290c93.png"	"저 뱃사공, 뭔가 수상하지 않나요? 네, 물고기 인간이라서 수상하다는 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6df44b57b3736af4173090fb172fe048f185907183b10abfd2f7f37a382bc2b.png"	[13]
2818	1	"2818-gadgetzan-jouster"	12	[]	4	15	1	"Skan Srisuwan"	2	1	1	"가젯잔 창기사"	"<b>전투의 함성:</b> 각 덱의 하수인을 공개해 내 것의 비용이 더 높으면, +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe7bbcc13b2a0ed8dfcaacc7b890f690119fafe40401833e98d989d3ba9b8f61.png"	""	"탈것에 회전 톱날을 달지 말라는 규칙은 어디에도 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fbc0deed32189104a336238c738f7b41cf8fa25b3beddc72c3166ae3b1aaa0a1.jpg"	[8]
101698	1	"101698-prison-breaker"	12	[]	4	1858	3	"Luca Zontini"	4	4	4	"감옥 파괴범"	"<b>전투의 함성:</b> 이번 게임에서 주문을 5회 이상 시전했으면, 모든 적에게 피해를 3 줍니다. <i>( 회 남음!)</i> <i>(달성!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0394d9fa7b909d6aaaf60371ffeef2326ea8a40ac3bf78a51c40e95a4bda077c.png"	""	"\"형, 우릴 구하러 와 줬구나!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/405c8db94dc4cbe5cbf44ac82d4c3da2f3af73fcf21531ca3e73bee6c0fab9ac.png"	[8]
47856	1	"47856-necromechanic"	3	[]	4	1127	4	"Dany Orizio"	6	3	4	"강령기계공"	"내 <b>죽음의 메아리</b> 능력이 2번 발동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/244ffdf20af056f112eea73b0477e107c707a8f01f4fde64013a53bc55d33fc6.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aecafd887668ad98d82ff9d2f09cfe64701e9f8fb6833d24dedd01d0e998bf0c.png"	"연구소에 끌려가는 어린 기계로다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/08d898a34aefa395eabd2f00666fdd9bdff84b192f1be9e863c057398b89547d.png"	[12]
55031	1	"55031-goru-the-mightree"	2	[]	4	1347	5	"Steve Prescott"	10	5	7	"거목 고루"	"<b>도발</b>, <b>전투의 함성:</b> 이번 게임 동안 내 나무정령들이 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b8d06b4bcabadf290006b3979dade59325325ab9ae5a83f2582e08d8e376e84.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa668f8a937b95e664905b9cbcd15e53e7cfe1ab748e92211a673a675fe55912.png"	"나무정령들에게 고루고루 은혜를 베푸는 나무 한 그루입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3a721a35d46e75b4975073347786afa125119825564a00c677efc1cf56f0e7b4.png"	[1,8]
98560	1	"98560-hodir-father-of-giants"	3	[]	4	1858	5	"Alex Horley Orlandelli"	8	8	8	"거인의 아버지 호디르"	"<b>전투의 함성:</b> 내가 내는 다음 하수인 셋의 능력치를 8/8로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/954daab4542bb8f23da2c0773a99c22c5cfd28d7dfdc51c91c3e3ca29a7004f3.png"	""	"거인 숙녀분들, 수호자를 놓치면 후회할 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f297e9e6bc56970b37d0c90b59044162fce7b48680c0b0a18f5c9ba9595c7148.png"	[8]
2581	1	"2581-fencing-coach"	12	[]	4	15	3	"Howard Lyon"	2	2	3	"검술 지도자"	"<b>전투의 함성:</b> 다음에 내가 사용하는 영웅 능력의 비용이 (2) 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0afd9b7e05683cd4ad69bf9caee8ec5afd1e6f6a5da215f90576d9d2b36fb59c.png"	""	"머나먼 어느 땅에선 무용 선생님이라고도 불립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b01f439cf4e486aa213d26c06931c132e4642951b6d8e0e7fb2848848a494e92.jpg"	[8]
2408	1	"2408-blackwing-technician"	12	[]	4	14	1	"Matt Dixon"	4	2	3	"검은날개 기술병"	"<b>전투의 함성:</b> 내 손에 용족이 있으면, +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a8effe8af4c9e250ad264c15c6a4f825ad7b85b9c585e9c365b5a07969eede48.png"	""	"튜닝하고 싶으시다고요? 검은날개 할인 튜닝샵에 가지 마시고 이 친구를 찾으세요. 얼굴까지 다 튜닝해드립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/524e06f93270953b7fd332c9bfff30af0316d9a71eac68a9896f98d4dcabeb79.jpg"	[8]
