id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage
97614	1	"97614-imprisoned-horror"	9	[]	4	1858	4	"James Ryman"	5	5	9	"감금된 공포"	"이번 게임에서 내 턴에 내가 받은 피해 1당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d72c6a4ba710d145a058539beb47c436a8a99e541c0dda6ed77c61407ef8d942.png"	""	"옥살이로 인해 변하고 말았습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e8fa9c10893b1a0c06f1dc9ed2c3f134e85cdb95b0ff7a1e3992d9e1749cc199.png"
50491	1	"50491-untamed-beastmaster"	12	[]	4	1129	4	"E. Kenji & M. Azevedo"	4	3	3	"거친 야수조련사"	"내가 야수를 뽑을 때마다 그 야수에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad2e2d878bdd39ac09b78c618035c2b700edeb7a60303958797738524f008865.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8febc6ff22a31a35710d9f346fe147b6754d12f639e50d486e02679d6e42f7e5.png"	"비법은 배를 부드럽게 문지르는 것입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9695e9ce1cc64e9b203a8b7f41c2d0678e3fcc5a46c09629c8d4ebb93655bc87.png"
46721	1	"46721-blackhowl-gunspire"	10	[]	4	1125	5	"Jason Kang"	8	3	7	"검은울음 포탑"	"공격할 수 없습니다. 이 하수인은 피해를 받을 때마다 무작위 적에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f745b8cef87598660e90a479af6fbf731c8d859999314ad53332623558c5691e.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a4cb97eb54d1127d003028cd96107cc9c366f22af4d56a365f57def1af450d95.png"	"남는 공간마다 대포를 배치하다보니 정작 스스로 공격할 수는 없게 되었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e1919b5dfbce2223a7d260ed204b3e86bff754f5435abfd0b160187b240665af.png"
40605	1	"40605-auctionmaster-beardo"	12	[]	4	25	5	"Matt Dixon"	4	3	3	"경매장 지배인 비어도"	"내가 주문을 시전한 후에, 내 영웅 능력을 다시 사용할 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa6116d25c2f1748fb3da1d1b2d3eedbca8f7178622a4959e690f35d0301e482.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/547ca96b26ad660199c630065d1bbeb00301cd1a3b53b40acb0779a8041add1c.png"	"가젯잔에는 언제나 불법 경매장이 성행했습니다. 그리고 인구가 폭발적으로 증가한 후에 비어도의 사업도 엄청난 호황을 누리게 됩니다. 물론, 도시의 다른 경매장들을 폭발시킨 후에 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2373f2054b7ba4511e552149a52abdad71548bfba101e18e34d962f7e3ffbf86.png"
98019	1	"98019-careless-mechanist"	12	[]	4	1858	1	"Ramzy Kamen"	5	4	3	"경솔한 기술자"	"내가 한 턴에 두 번째 카드를 뽑은 후에, 이 카드를 파괴합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e3e87b4286535aa91f6e301ebb51d2facb7962eba5a0392e8a7571de47bd60e6.png"	""	"높이 날면 안 돼, 이 바보들아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bfa7fa9ba928510e0536812e5eb592769dce263f865b9c1e4c86f258a514764c.png"
106559	1	"106559-acolyte-of-pain"	12	[]	4	1898	1	"Dave Kendall"	4	1	3	"고통의 수행사제"	"이 하수인이 피해를 받을 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/62005401fac8e6acebb2d673c9e12a0d9b29e76aa7a2cce48fa75782ba2c399d.png"	""	"사실은 기쁨의 수행사제가 되고 싶었던 사람입니다. 이것으로 우리는 고통과 기쁨이 종이 한 장 차이라는 걸 알 수 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83ceae1ae6bf463ad0baf1d9a2d4e05db364470500c607e943e217d24ea9096c.png"
47429	1	"47429-curio-collector"	4	[]	4	1125	3	"Alex Konstad"	4	4	5	"골동품 수집가"	"내가 카드를 뽑을 때마다 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a77593532823b8914988c386ea39efa8dc1646a48dc3adc74758e8c4be698531.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8759ca37df8859e3058b089c9695dc4f738f151226e593f9dba28e7207174631.png"	"가젯잔 경매인과 동업을 하는 친구라는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7614d2c36101a069bfefbfe704309b0b982ccae894b85b0ed24f9f86fd94b40d.png"
2521	1	"2521-pit-fighter"	12	[]	4	15	1	"Alex Horley Orlandelli"	6	5	5	"구덩이 투사"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b07b09917150b6cbbad23ef2d094cb3a2be2c17b048935aa4f9f9b5dc992246c.png"	""	"역시 오크 여자는 양갈래 머리죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7bfcfb7a14814f9b8f3f374da79b0a42b72b4853b63e46eeca7c023730da54d.jpg"
50396	1	"50396-gurubashi-offering"	12	[]	4	1129	4	"Izzy Hoover"	2	0	1	"구루바시 공물"	"내 턴이 시작될 때, 이 하수인을 파괴하고 방어도를 +8 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89e5980e80c84442af7fd6418c987448df2c1e4a7e254b1d322340d79b55aacd.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/40eae7af53924e0f98417693b737c33b74ddee43dd795cfde24ad445e72cef52.png"	"한정된 기간 동안 로아의 축복 1+1 행사를 하고 있습니다. (제물에 따라 유효하지 않을 수 있습니다.)"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d394cbb495bbb0509cd80b15a47c2aa964ea7b32518cc99ff73df25d7f18b48d.png"
50493	1	"50493-dozing-marksman"	12	[]	4	1129	1	"Sean McNally"	4	0	2	"꾸벅거리는 저격수"	"피해를 받은 상태면 공격력을 +4 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e9ffe8d0d8f3df7f76f5bf4ab6253fd5b5a9c14d04118948d8f09cae7fb96428.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7444d126b019b60d16ae14fd2e8214ce4239f90b0946c6ff2eba1e7e01300ce8.png"	"하품이 절로 나오는 카드군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9bbe24284f0c48bf243433f85a062fb1f7c995ad918bcd2011d56d027fd49823.png"
