id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	keywordIds	copyOfCardId
102658	1	"102658-iron-juggernaut"	10	[]	17	4	1898	5	"Raymond Swanland"	5	6	6	"강철의 거대괴수"	"<b>전투의 함성과 죽음의 메아리:</b> 상대편의 덱에 지뢰를 섞어 넣습니다. 지뢰를 뽑으면, 폭발하며 피해를 10 줍니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a85a33686454229e51de89913fb7835cc7d62039598e815dce458f82da8180cf.png"	""	"강철의 거대괴수는 오그리마를 지킵니다. \"이달의 직원\" 상도 받았다네요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6532cd25e6fd4cda63c4fcb9facec50e1b3d13fc4f02a18fc024b7a20935ebcc.png"	[2221]	[8,12]	2024
70033	1	"70033-the-beast"	12	[]	20	4	1646	5	"Glenn Rane"	7	9	6	"괴수"	"<b>죽음의 메아리:</b> 상대편에게 3/3 핍 퀵위트를 소환해 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7c9b4944912f1ec2dde3335be7f6d4862ebf5ef6c71663ca5a76c270077e9962.png"	""	"검은바위 산에 살고, 노움을 먹습니다. 더 할 말이 없네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2055cd46792f15571683f37224e6425a57ccce06d74ed70a40043532c51c47be.png"	[1006]	[12]	962
69925	1	"69925-lord-jaraxxus"	9	[]	15	4	1646	5	"Alex Horley Orlandelli"	15	3	9	"군주 자락서스"	"<b>전투의 함성:</b> 내 영웅을 군주 자락서스로 교체합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/92133af7b51e04c280aad5d1369d49b74387754ea6a683acd5101992d682a543.png"	""	"\"벼에서 쌀을!!!!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e459d64ac6ac9a56437c7dd654d5a5bb7ad10ac14bdd57e906642ec0dbb5054c.png"	[70069,1660,70070,1178,1143]	[8]	777
68468	1	"68468-murloc-tidehunter"	12	[]	14	4	1646	2	"Dan Scott"	1	2	2	"멀록 바다사냥꾼"	"<b>전투의 함성:</b> 1/1 멀록 정찰병을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/be4b7329ca282b0e129e8c3667fe285c7c60a09411e087feb89c205488f8cfc5.png"	""	"\"파도를 헤치고 죽음이 나타나리니!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2a3e2145e552b11d9470e1a7be50662b9fcd75a0287b33d3adbe21271c642c3.png"	[68469]	[8]	976
69814	1	"69814-king-mukla"	12	[]	20	4	1646	5	"Sunny Gho"	5	5	3	"밀림의 왕 무클라"	"<b>전투의 함성:</b> 상대편에게 바나나를 2개 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a22eb2792bac21ecb8a4803f2fb57476f7666891c7ac9d97d319d2905a017bc8.png"	""	"밀림의 왕 무클라는 오늘도 자구에로 섬을 떠돕니다. 진정한 사랑을 찾기 위해..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5687bb72c37aba9eb6f60c0fbd9f386361ff0d4f45dd5260687acf2d924f94bf.png"	[1694]	[8]	1693
69964	1	"69964-savannah-highmane"	3	[]	20	4	1646	3	"Milivoj Ceran"	5	6	6	"사바나 사자"	"<b>죽음의 메아리:</b> 2/2 하이에나를 2마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/06b276d46131242989c1cd93b018e2d718c9e52322830d492b16cc53a95ace21.png"	""	"밀림에 사자가 없으면 하이에나가 왕이지요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0017469bba66e102f25a7ecff140f175c0058b81524cf618e35fd75df0f9f7c7.png"	[1624]	[12]	1261
102672	1	"102672-sludge-belcher"	12	[]	11	4	1898	3	"Nate Bowden"	6	3	5	"썩은위액 누더기골렘"	"<b>도발</b>, <b>죽음의 메아리:</b> <b>도발</b> 능력이 있는 1/2 수액괴물을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3befcc008000e5a4bb852e8e3184ca23a12f244bc59c6d8a264ba2000c1f585a.png"	""	"주의: 맥주를 주지 마시오."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5741f5961f311298dc599de2af9b4e5e29cd36f10c1bfbeb0fa718e2af8effb.png"	[1795,102716]	[1,12]	1793
102612	1	"102612-anubarak"	7	[]	11	4	1898	5	"Eric Braddock"	4	8	8	"아눕아락"	"<b>죽음의 메아리:</b> \"<b>죽음의 메아리:</b> 아눕아락을 소환함\" 능력이 있는 4/4 네루비안을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad130dfabbfe5e079c5a57f3b32fb3e7225cd990d28880f9e687a732448b40a4.png"	""	"아움 날락크, 쉬! 일어나라, 부하들아. 먹어치워라!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fdf8b08c64d45abc1af60311c3951bc50533ba2c321aefd0299372ca0baf7edb.png"	[102751]	[12]	2586
69978	1	"69978-onyxia"	12	[]	24	4	1646	5	"Dany Orizio"	8	8	9	"오닉시아"	"<b>전투의 함성:</b> 내 전장을 1/1 새끼용으로 가득 채웁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d31fed0f2330349dc3a1b5ad413fc9e4f8f71cfe508d94b3d2cbb26c2793ec3.png"	""	"오닉시아는 여군주 카트라나 프레스톨로 변신한 채 오랫동안 스톰윈드 의회를 조종했습니다. 저 커다란 날개와 비늘을 보면 누구라도 알아챘을 거라고 생각하시겠죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/515a0408f5e8a240ae94984b38e8a974a8415064376fc9cacaf5821e8750bcaf.png"	[54]	[8]	363
69972	1	"69972-harvest-golem"	12	[]	17	4	1646	1	"Brian Despain"	3	2	3	"허수아비골렘"	"<b>죽음의 메아리:</b> 2/1 손상된 골렘을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/994727b363aaeb3a4007ad7482f888731681a0fbccfd05c401dd70c8ebcf920c.png"	""	"\"내부 온도 과열됨. 정상 작동 불가. 2번 배출구에 보리 걸림. 가동 중단.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ebb0677f6766890392c9703ab404afeaac4148e9bfc2814cec942288b30b3bd1.png"	[471]	[12]	778
