id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	copyOfCardId	duels
102210	1	"102210-grand-totem-eysor"	8	[]	21	4	1637	5	"Jakub Kasper"	4	0	3	"거대한 토템 아이스오르"	"내 턴이 끝날 때, 내 손, 덱, 전장에 있는 다른 모든 토템에게 +1/+1을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89c8ce2f4c08cedfab29e5e6f11a2069c4f934e02cb85befa38808c50638219a.png"	""	"이 토템은 플레이버 텍스트를 읽으러 찾아오는 자들의 영혼을 꿰뚫어보는 힘을 가졌습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5411e59325e89fc91a7ec0fdc58de31a8faccfaa66168afd7147f920baa3522d.png"	61663	{"relevant":true,"constructed":true}
76321	1	"76321-wild-pyromancer"	12	[]	11	4	1637	3	"Alex Horley Orlandelli"	2	3	2	"광기의 화염술사"	"내가 주문을 시전한 후에, <b>모든</b> 하수인에게 피해를 1 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d4236f061350ae7b0fbb98cf9b84bd081a8b187e429290831ec47c004f7b67e6.png"	""	"한여름엔 왕따, 한겨울엔 인기 폭발인 친구입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d9ae786510c4d3381d60f90164b8b0a366647171bb186f05002a894cfff35ad2.png"	1014	{"relevant":true,"constructed":true}
69668	1	"69668-dire-wolf-alpha"	12	[]	20	4	1637	1	"John Dickenson"	2	2	2	"광포한 늑대 우두머리"	"양옆의 하수인들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e545bfe9d212ea6bc091c1656622b5dac5c8f92da9e560b0eed461945927e71.png"	""	"정작 광포해지는 건 양옆이지만, 어쨌든 먼저 처치해야 할 것 같습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d588e7b336dc13c9ce468a0dd118d1b01261189b4ad2b046f9b396d4d48f756.png"	985	{"relevant":true,"constructed":true}
69674	1	"69674-baron-geddon"	12	[]	18	4	1637	5	"Ian Ameling"	7	7	7	"남작 게돈"	"내 턴이 끝날 때, 다른 <b>모든</b> 캐릭터에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7bfee01665bc4702381434c0fbd366cc9a2abc7b7b8a0f86a37bf9ba9490300a.png"	""	"한때 라그나로스의 충직한 부관이었지만, 지금은 실직자입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/94a59f0dda79c84946d15842b4cc05e39c30488e3659f164f60c56a9f2c25193.png"	336	{"relevant":true,"constructed":true}
69679	1	"69679-southsea-captain"	12	[]	23	4	1637	4	"Ken Steacy"	3	3	3	"남쪽바다 선장"	"내 다른 해적들이 +1/+1을 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6b79cfdd3581603f336e0b83f0275318a437e6b0dd74eaafd6d32e794f38339.png"	""	"그의 꿈은 해적 왕... 아니 어마어마하게 큰 해적 모자를 사는 겁니다. 좀 모자에 많이 집착하는 친구거든요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/07b317e744b0f83e8591bd0305346e6ed4caedb07dc47cec377945c049ba3af9.png"	680	{"relevant":true,"constructed":true}
95755	1	"95755-snowflipper-penguin"	12	[]	20	4	1637	1	"Matt Dixon"	1	1	0	"눈발바닥 펭귄"	""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ca80caeed54041762d1e43a22ce08b8d9feb859ddde0bdd9f1578cbde14ab0b5.png"	""	"육지에선 펭귄 무리를 \"뒤뚱이\"라고 부릅니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eaa117a931a2d585713aa1ede20f5bc03698c1c7763b6c0945db1bed6855ae10.png"	42338	{"relevant":true,"constructed":true}
58487	1	"58487-battlefiend"	14	[]	15	4	1463	1	"Andrew Hou"	2	1	1	"더러운 마귀"	"내 영웅이 공격한 후에, 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb78ac4ae08ba8f9c1092ec73f81af752bdc2be513ef953f4cfd55411c5b823c.png"	""	"머리에 달린 도끼는 우스꽝스럽게 보일지 몰라도 최고의 효율성을 자랑하는 무기랍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/465fca2734fdbc0e5039098359bf8e1cdcf35935754bc4949c4d4b9ff773db6f.png"	69586	{"relevant":true,"constructed":true}
69586	1	"69586-battlefiend"	14	[]	15	4	1637	1	"Andrew Hou"	2	1	1	"더러운 마귀"	"내 영웅이 공격한 후에, 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7710b3a34f6b7d9d9ba376eb60f6e311d30529852465c4aabe58c61a2f5a5332.png"	""	"머리에 달린 도끼는 우스꽝스럽게 보일지 몰라도 최고의 효율성을 자랑하는 무기랍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/921e1e77be3cf8747e3350503fbb01cd84e2c2a00bbb50ae6196b07a9dcf6c1f.png"	58487	{"relevant":true,"constructed":true}
76270	1	"76270-murloc-warleader"	12	[]	14	4	1637	4	"Tim McBurnie"	3	3	3	"멀록 전투대장"	"내 다른 멀록들이 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cf734ee77bad0e03df4f89e684aca8b9b852c6a6d9d9765c7e853a476713747c.png"	""	"멀록들은 매일 똑같은 소리만 내는 게 지겹지 않을까요? 아니요! 므라아옳옳옳옳옳옳!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87b6a23a575381d463e8ec1a26265f1dc11790e9d899527842d60fa4444b89a5.png"	1063	{"relevant":true,"constructed":true}
69675	1	"69675-murloc-tidecaller"	12	[]	14	4	1637	3	"Jaemin Kim"	2	1	1	"멀록 파도술사"	"내가 멀록을 소환할 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2ce61c272de669554152db815534ecb8f297905471964136f981ed327009b206.png"	""	"함께 있으면, 우린 아무 것도 두려울 게 없었다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39483eefdc1b20093f33262163d57652b3e41ce459f2ba3b9c58d1f97d1dc7a7.png"	475	{"relevant":true,"constructed":true}
76294	1	"76294-flametongue-totem"	8	[]	21	4	1637	1	"Jonathan Ryder"	2	0	2	"불꽃의 토템"	"양옆의 하수인들이 공격력을 +2 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/17d4b08e11aa1f3ffb87df7fa55c266aefe055ae84e7b44309116247bc91c7bf.png"	""	"토템 장인들은 본인의 토템에는 가장 희귀한 나무를 사용하곤 합니다. 심지어 무쇠껍질 수호정령으로 만든 토템도 있다는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f68c805d6573290e58919e0fa4fe1825d0f1decb7520d77a460cdeaa8d843cd9.png"	1008	{"relevant":true,"constructed":true}
102272	1	"102272-ragnaros-the-firelord"	12	[]	18	4	1637	5	"Greg Staples"	8	8	8	"불의 군주 라그나로스"	"공격할 수 없습니다. 내 턴이 끝날 때, 무작위 적에게 피해를 8 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9b6ee0c2b61050cecfea51993ba845c251dfd34d109c928b47fc3a8ec1343fee.png"	""	"라그나로스를 소환한 것은 검은무쇠 드워프였지만, 이들은 결국 불의 군주를 섬기는 노예가 되고 말았습니다. 이렇게 라그나로스를 소환하는 일은 원치 않는 결과를 불러오는 일이 많습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e2aa56ece80c098151a23ec125ad015737c50c36f30f45969cecfc78964609ff.png"	374	{"relevant":true,"constructed":true}
