id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	duels	runeCost
81972	1	"81972-harbinger-of-winter"	1	[]	11	4	1637	1	"Angelina Chernyak"	2	2	2	"겨울의 전령"	"<b>죽음의 메아리:</b> 냉기 주문을 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/207581fb97b83bf65a5268aaff06acde05030d3057ff42d89f9ced2387c6cac2.png"	""	"겨울이 오고 있다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b949478e7f46d075fa506077cdb9b2f1274cf250e7b774434634e31c96a99316.png"	[12]	{"relevant":true,"constructed":true}	{"blood":0,"frost":2,"unholy":0}
80822	1	"80822-marrow-manipulator"	1	[]	11	4	1869	3	"Anzka Nguyen"	5	5	6	"골수 조작병"	"<b>전투의 함성:</b> <b>시체</b>를 최대 5개 소모합니다. 소모한 시체의 수만큼 무작위 적에게 피해를 2씩 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5c2ca29d9f3d4eace9b736ab8e8372df9d1071aa1afc106abd243ac7e9f08ddf.png"	""	"추가로 칼슘을 1000mg 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1cb6a1ad87552fc40ff23d77b7431a873c8f58b7299ce5035b21fe2f3f0e4cc4.png"	[8,247]	{"relevant":true,"constructed":true}	{"blood":0,"frost":3,"unholy":0}
82072	1	"82072-stitched-giant"	1	[]	11	4	1637	4	"Grafit "	8	8	9	"기워 붙인 거인"	"이번 게임에서 내가 소모한 <b>시체</b> 하나당 비용이 (1)씩 감소합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4896bff68737bfd3db138e3b569ea28c6d378043886fe719e6e12a60310b99a4.png"	""	"기울 땐 기워야죠!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/79a99be9b929eaccf2cfc834ff6bea95815102820325b67bdd01b423ee6a53c6.png"	[247]	{"relevant":true,"constructed":true}	{"blood":0,"frost":0,"unholy":2}
78354	1	"78354-nerubian-swarmguard"	1	[]	11	4	1869	1	"Mauricio Herrera"	3	1	4	"네루비안 무리수호병"	"<b>도발</b>, <b>전투의 함성:</b> 이 하수인을 둘 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2c06e49ff683409cc8c3e1d4632ca6d4740afe0dfa20905d6835c8219c78fbd4.png"	""	"죽어서도 나는 계속 섬기리라."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f432d43c5350376174ac9e9f686db23107417c5e085ae3eb4c73dcea763a336.png"	[1,8]	{"relevant":true,"constructed":true}	{"blood":0,"frost":0,"unholy":1}
80819	1	"80819-gnome-muncher"	1	[]	11	4	1637	1	"Mauricio Herrera"	6	5	6	"노움 쩝쩝이"	"<b>도발</b>, <b>생명력 흡수</b> 내 턴이 끝날 때, 생명력이 가장 낮은 적을 공격합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1fca8b8961ec581b87a48d852e60bdff9bce34b19cb1516cb94219d4b9a5b9e9.png"	""	"쩝쩝쩝."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/39fbaadfd85409edfc23cb3cdc5a8cc9dc9127d4944aa71a89e0041f0b3ca6b8.png"	[1,38]	{"relevant":true,"constructed":true}	{"blood":1,"frost":0,"unholy":0}
78641	1	"78641-noxious-cadaver"	1	[]	11	4	1637	3	"Vlad Botos"	2	1	1	"맹독 송장"	"<b>전투의 함성:</b> 적과 내 영웅에게 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9759112f1b8e72079b8d4caa51c779dcba90f208ef4f6205c87e884d7990fa60.png"	""	"상한 음식을 먹지 말아야 하는 이유입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb323287970f33bab2254438e6ddae035b9799a336d3aaa1792f6bb8ff126c2f.png"	[8]	{"relevant":true,"constructed":true}	{"blood":1,"frost":0,"unholy":0}
82269	1	"82269-bonedigger-geist"	1	[]	11	4	1637	3	"Tiffany Chiu"	2	2	2	"뼈도굴 외눈깨비"	"<b>전투의 함성:</b> <b>시체</b>를 소모해 +1/+2를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da1b917cd1a79bfd7ae74097bd03fbe262b5a8df5646e1dbb6aa0f60572a9e13.png"	""	"무덤을 반만 골라 파는 외눈깨비입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3582860015a5ae14281aa0de54b65ff77b308432f78b5036d2c147bba12937cb.png"	[8,247]	{"relevant":true,"constructed":true}	{"blood":0,"frost":0,"unholy":1}
80088	1	"80088-meat-grinder"	1	[]	17	4	1776	4	"David Kang"	4	3	3	"살점 분쇄기"	"<b>전투의 함성:</b> 내 덱에 있는 무작위 하수인을 분쇄하여 <b>시체</b>를 4 개 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/00eea74e8c0473aba6f87b4de4c94c09046d3212739e6e30437e6a71728c28f8.png"	""	"얼음왕관 성채를 함락시킨 이후, 호드와 얼라이언스는 이 물건을 가져가 요리용으로 활용하기 시작했습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e38a1d297c6de74a9792cca428e6d68b495f873d95bbf84fe51903774be10ceb.png"	[8,247]	{"relevant":true,"constructed":true}	{"blood":0,"frost":0,"unholy":1}
80644	1	"80644-alexandros-mograine"	1	[]	11	4	1776	5	"Ivan Fomin"	7	7	7	"알렉산드로스 모그레인"	"<b>전투의 함성:</b> 이번 게임 동안 내 턴이 끝날 때, 적 영웅에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d5ab6a85f669a3d3fab2d7ac18a2467ab53bb03ec24f2f6507ef327c4909a0c8.png"	""	"모그레인 막을래요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4a13bd0f29410799cfaedccfc3a4a40c72deddbc3165cfaf4a144a1654a505ed.png"	[8]	{"relevant":true,"constructed":true}	{"blood":3,"frost":0,"unholy":0}
81849	1	"81849-darkfallen-neophyte"	1	[]	11	4	1869	1	"Angelina Chernyak"	5	2	3	"암흑사도 수련사"	"<b>전투의 함성:</b> <b>시체</b>를 2개 소모해 내 손에 있는 모든 하수인에게 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9e42a8e6f0055f6833611d6022545178bca5fac2bce016a01452da48df62ccd5.png"	""	"머리카락 뭉치처럼 보이지 않나요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/200c7dc62e1eb61ea16e35611a267c3d916f747ce235c286c2c942e8c4ea5004.png"	[8,247]	{"relevant":true,"constructed":true}	{"blood":1,"frost":0,"unholy":0}
