id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds	duels
38567	1	"38567-blood-of-the-ancient-one"	12	[]	4	21	4	"A. J. Nazzaro"	9	9	9	"고대의 존재의 피"	"내 턴이 끝날 때 내 전장에 이 하수인이 둘 있으면, 고대의 존재로 융합시킵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/af135b2505da73af28c8470bda8a3987ad063de87b9c8958f1e3b519b2b62fc7.png"	""	"고대의 존재의 피 두 컵이랑 레몬 쥬스 한 컵, 그리고 설탕을 약간 넣어서 저어주면 세계의 종말이 도래합니다. 참 쉽죠?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3e273bd850256a183ca2909195de9fb4bf639958fee0c360ab02ee46e243aded.jpg"	[38566]	{"relevant":true,"constructed":true}
63432	1	"63432-archdruid-naralex"	12	[]	4	1525	5	"Arthur Bozonnet"	3	3	3	"대드루이드 나랄렉스"	"2턴 동안 <b>휴면</b> 상태가 됩니다. 이 하수인이 <b>휴면</b> 상태라면 내 턴이 끝날 때 <b>꿈 카드</b>를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e97719735f873a3ba35dbbcf48721c44862b28bf424c49da0e98b6c583045739.png"	""	"\"휴면이라고? 숙면 시간이겠지.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/caa83260682587d64c43f92914bdb55c2938f2ef4ec5bb895bb19219fb0ad5f3.png"	[217,808,340,301,489]	{"relevant":true,"constructed":true}
1080	1	"1080-archmage-antonidas"	4	[]	4	3	5	"Wayne Reynolds"	7	5	7	"대마법사 안토니다스"	"내가 주문을 시전할 때마다 '화염구' 주문을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b758c48c03728c20d7adb0fc16049dc6346c61bf70e9da8824f3aa66163a9ef1.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30a73ff94d4f1a223f5e20a5fd953f4ae95a97c6828ba092293c4ca71a16e09e.png"	"안토니다스는 키린 토의 대학자이자 제이나의 스승이었습니다. 젤리 도넛의 대학자였던 그로선 장족의 발전이라 할 수 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e79bd25936653ee473dea10c02d5ad054af1500f7e254314038db33bb82fb43.png"	[315]	{"relevant":true,"constructed":true}
2086	1	"2086-troggzor-the-earthinator"	12	[]	4	13	5	"Mike Sass"	6	6	7	"대지종결자 트로그조르"	"상대편이 주문을 시전할 때마다 힘센 바위턱트로그를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2621489156d3e31a843795e32ff47fd8c075d78e462870a3f95d01b3f867ac80.png"	""	"어떻게 대지를 종결하냐고요? 글쎄요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34eb3bded99efe59db42e6d6505dac19b062be75cf0bd4e5d08b765ea34a53d3.jpg"	[2036]	{"relevant":true,"constructed":true}
63396	1	"63396-meeting-stone"	12	[]	4	1525	1	"Evgeniy Dlinnov"	2	0	1	"만남의 돌"	"내 턴이 끝날 때, 무작위 추가 효과를 얻은 2/2 모험가를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4e5b2b7aec3c675be2dcaf3f24abf6aba1534deec80e0c2920eb4f768caf3c8e.png"	""	"\"왜 여기 근처에는 아무도 없는 걸까?\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8e2746cbfa95ee8bf7e8776f33074d83ad1f61e7591a946c4704bcdee1473b1a.png"	[63103,63104,63105,63106,63107,63108,63109,63110]	{"relevant":true,"constructed":true}
62585	1	"62585-morshan-watch-post"	12	[]	4	1525	3	"Forrest Imel"	5	3	3	"몰샨 경비초소"	"공격할 수 없습니다. 상대편이 하수인을 낸 후에, 2/2 그런트를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bc3719d407f2ec68d540ca218554e0228ecea6507accf0d0b7ce12abba4fc146.png"	""	"잿빛골짜기로 진격하니 이 경비초소에 평화가 찾아왔습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b92a4ceb5a06dcd4c2352b69341e9c802dc6491ee84ca26cbf7664e0b1016536.png"	[63256]	{"relevant":true,"constructed":true}
1993	1	"1993-trade-prince-gallywix"	7	[]	4	13	5	"Wei Wang"	8	5	6	"무역왕 갤리윅스"	"상대편이 주문을 시전할 때마다 동일한 주문을 내 손으로 가져오고 상대편에게 동전을 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bf53f1b2fa02e9ad6c74d20d46fbac97100de8803118b840f3adde4049863f02.png"	""	"\"내 사례는 넉넉히 하지!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e5393e77ae7c4febc7a6e628b256a7fd7a6bc5311515f78083b6d9e54dcae9b.jpg"	[2277]	{"relevant":true,"constructed":true}
59175	1	"59175-troublemaker"	10	[]	4	1443	3	"Matt Dixon"	8	6	8	"문제아"	"내 턴이 끝날 때, 무작위 적을 공격하는 3/3 불량배를 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/971ba21a12f3512fb952f8cafe488f3cacb1bdf494239fbd6433a91976f79d7f.png"	""	"\"이 학교의 파괴를 막기 위해!\" \"이 학교의 평화를 지키기 위해!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c4857a73717e3d57c03da21a3fca1c66f02e31f325682a3dd7efba02b3c3987.png"	[59949]	{"relevant":true,"constructed":true}
63690	1	"63690-soldiers-caravan"	5	[]	4	1525	3	"Ivan Fomin"	3	1	2	"병사의 짐마차"	"내 턴이 시작될 때, 1/1 은빛 성기사단 신병을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b86de2b90fbf95854d5f87a7996a30ec688d5e225527222f7c088c74f0baca45.png"	""	"짐마차에 정의가 가득해요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0972a751787270a07641288fdfc37e1fa0a83b080f5fa8f383673e8858ea700f.png"	[1652]	{"relevant":true,"constructed":true}
1029	1	"1029-violet-teacher"	12	[]	4	3	3	"James Ryman"	5	3	4	"보랏빛 여교사"	"내가 주문을 시전할 때마다 1/1 보랏빛 수습생을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/82fc3384dfdcd892326bfca42795e01c559c8665e5437a3bfb91878e2c8d4b87.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/710715ab4eb01c9a9658d8af21cbd9af9bed14cab813977650d9cc8a70cb4b81.png"	"수업에 집중하지 않으면 당신을 돼지로 만들어 버릴지도 모릅니다. 그리고 당신의 이름이 칠판에 적히겠죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d13e5c2ab27fce06d208c6953583bb9331b3e3570155abe5b9bfd0a8831533a8.png"	[378]	{"relevant":true,"constructed":true}
