id	collectible	slug	classId	multiClassIds	minionTypeId	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds
54897	1	"54897-zzeraku-the-warped"	9	[]	24	4	1347	5	"Slawomir Maniak"	12	4	8	"뒤틀린 제라쿠"	"내 영웅이 피해를 받을 때마다 6/6 황천의 비룡을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/abc40e4ffe5b0f597726b57dd9a68c68ea8a50e9dde9b090e71630a02f50c297.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7abe2f0abfe429eb8a9c7eddf35cd3dabd758a9e7ef67fa8ae809b3e9197b88b.png"	"뒤틀린 곳에서 있다 보니 자신까지 뒤틀려버렸네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8eacf765a13854463b418e28e4f86b1995c25e7c946071fa7ecc154df01b0041.png"	[56228]
46862	1	"46862-nightscale-matriarch"	6	[]	24	4	1125	3	"Slawomir Maniak"	9	4	7	"밤비늘 어미"	"아군 하수인이 치유될 때마다 3/3 새끼용을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d32e0e59b31b5abe215f4129841795b6671eb1b6a23d99ea5fd1f79ed725aa8f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fe337c63752584c8cfff40251676130dc76909239520bf633551900f1e5eac45.png"	"아가들아, 다들 모이렴!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da52c3f11abf0b470d2cc08a268146b1cc52163def02444e956696906f1ddecc.png"	[48663]
97078	1	"97078-mimiron-the-mastermind"	7	[]	17	4	1858	5	"Matt Dixon"	5	2	3	"비상한 두뇌 미미론"	"내가 기계를 낸 후에, 무작위 미미론의 도구를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e24d959a44b903e86790b5cfa83fb0db5f61949c2abbaf488a0405e11e190694.png"	""	"카드 설명 입력 절차 가동."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/550fcc74001dc9a9829ad7cb767283ee6cc8ce453f16d16a2492b8ebf950fbba.png"	[97695,97691,97694,97690,97693,97692]
56508	1	"56508-imprisoned-ganarg"	10	[]	15	4	1414	1	"Ivan Fomin"	2	2	1	"사로잡힌 간아그"	"2턴 동안 <b>휴면</b> 상태입니다. 깨어나면, 3/2 도끼를 장착합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fa638a1b5dff3a6932807dba01abbb09467f3edae15d75b9f54fc277e2dacac4.png"	""	"이글거리는 전쟁 도끼를 공장 직판가에 만나보세요! 배송에는 2턴이 소요되니 조금만 기다려 주세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee9d45430f9eae76add2e7b81ff6146156899aa1b0d291232d58d5a9dcc4bd28.png"	[401]
56392	1	"56392-imprisoned-sungill"	5	[]	14	4	1414	3	"Sam Nielson"	1	2	1	"사로잡힌 태양비늘"	"2턴 동안 <b>휴면</b> 상태입니다. 깨어나면, 1/1 멀록을 둘 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d46c4c1ea02f79dd04d12fecd394eb06bf7ab6b291efd9e27c2e2180e52ec59.png"	""	"\"나를 따르라옳!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/fea8c65338432ac164e8901a456c0c1dbd237a65f5aa8a1f225ec0ccac4cf05f.png"	[57920]
2633	1	"2633-acidmaw"	3	[]	20	4	15	5	"Andrew Hou"	2	4	3	"산성아귀"	"적 하수인이 피해를 받을 때마다 그 하수인을 처치합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea6c5466e808ee7aa6e497222ba9ccca17422e7590217df63c38355e9ea4b9b0.png"	""	"자신의 졸개인 공포비늘과 함께라면 이 거대한 요르문가르는 그 어떤 기사도 상대할 준비가 되어있습니다!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23eec5da78fcfe901b5c66c10e162ab49ccea114b4201377f14d4005b32d914b.png"	[2634]
50383	1	"50383-sharkfin-fan"	12	[]	23	4	1129	1	"Peter Stapleton"	2	2	2	"상어팀 구경꾼"	"내 영웅이 공격한 후에 1/1 해적을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/18f4ba1b39ebdc5a190a1345f8936dfa5acf1b3651705edae0ee075eb9a349e7.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f56563fc5d74c63671ebaa6add1ac11d4b01f92ed1e8bd47184d845386c3e953.png"	"뚜루루 뚜루!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16341995d425953ffc1fc5b3876416ef26f6fd6e5df800500dc194c0ea0fd6ee.png"	[50833]
2288	1	"2288-imp-gang-boss"	9	[]	15	4	14	1	"Steve Prescott"	4	2	3	"임프 두목"	"이 하수인은 피해를 받을 때마다 1/1 임프를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ba7c791b94241182eae3ea29f54b691cbaae9855e047a1d1c7ccfe559c93569.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58aaade20e1e894a9244390d3b3e4298c39d23f25a2608e0ddeecd3d37a6eeaf.png"	"불량한 임프들은 종종 스톰윈드에 몰래 숨어들어, 마법사 탑에 \"라그나로스 님이 최고시다!\"라고 낙서를 하곤 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/379d5f48e0c788e8e58686b3cb8388a4beb8dcff4faae73792d3d043b3497a5b.png"	[2779]
94727	1	"94727-remixed-dispense-o-bot"	4	[]	17	4	1809	3	"Mooncolony"	3	3	3	"재편 자판로봇"	"내 손에 있을 때 매 턴마다 바뀌는 추가 효과를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7ea1e8750c098ac72544e225c950823ef07eca761e7bb2f490c9674baa80e37.png"	""	"\"내 건 공돈을 줬어!\" \"나는 공짜 아이스크림!\" \"... 난 폭발하는 양 두 마리라고. 이런 건 줘도 안 가져.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0941cb566a557c0fef682b2d0ed09dd79d789dbb8a4d171814237f6e2fabdd9.png"	[94728,94729,94732,94730]
54904	1	"54904-chenvaala"	4	[]	18	4	1347	5	"James Ryman"	5	2	3	"첸바라"	"한 턴에 내 주문을 3번 시전한 후에, 5/5 정령을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f57330b88c08a4caf03bfc93c6a14b45878b3fbb8cfe54956d8a178389d876f1.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/67bb8a57b6386507660dcf6159396672a7c045f6dcbc5e33b52c812bf2f981de.png"	"용의 영혼이랑 비슷합니다. 용들이 얼음으로 된 영혼을 가지고 있다면요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d4adae87f1aad4acd700ecd9e5482263ed55c8ce4c70377995c90a73e4f4063.png"	[55314]
