id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	keywordIds	copyOfCardId
69860	1	"69860-si-agent"	7	[]	4	1646	3	"Chris Moeller"	3	3	3	"SI:7 요원"	"<b>연계:</b> 피해를 2 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7058400304fdd503e1b38f36d851eada4c3474b1e0bceca1ee3852f7e9544c9.png"	""	"SI: 7의 요원들은 스톰윈드의 비밀 임무를 수행합니다. 첩보, 암살, 왕가의 깜짝 생일 파티 등등..."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0091088e0d6eda25b021929eb62a2af4ded546dd9440629548df2de22925f827.png"	[13]	1117
69761	1	"69761-abusive-sergeant"	12	[]	4	1646	1	"Luca Zontini"	1	2	1	"가혹한 하사관"	"<b>전투의 함성:</b> 이번 턴에 하수인에게 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ad2161dfa87686b7a65d1c0f751a3cd882977f88807b0bbefe139d5d2c13801.png"	""	"날 덱에 추가해라, 이 고문관 녀석아!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c10df6994599819f7a22e8ffc9a3779ecfc0f76d5c499e4c299aae5c7fa9bcc8.png"	[8]	242
103232	1	"103232-blackwing-corruptor"	12	[]	4	1898	1	"Greg Staples"	4	5	5	"검은날개 타락자"	"<b>전투의 함성:</b> 내 손에 용족이 있으면, 피해를 5 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a02cc968190f768db6bd943c1050ae61fdf532f1871f630ea58a0514057bb7f7.png"	""	"검은날개 내부에 선정적인 만화와 과격한 록큰롤 음악을 공급하여 붙여진 이름입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f8bdba703a68104fac9b27138234b70ce9205d974f0fe6b9fbab47097e8e8cc.png"	[8]	2409
69827	1	"69827-dark-iron-dwarf"	12	[]	4	1646	1	"Scott Hampton"	4	4	4	"검은무쇠 드워프"	"<b>전투의 함성:</b> 이번 턴에 하수인에게 공격력을 +2 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/610f81de48f346ba12740f129b3eb150c8a6376c234037de183c89c4666fb3e9.png"	""	"검은무쇠 주괴의 수호자들입니다. 이 주괴가 필요한 자들에게는 참으로 귀찮은 존재가 아닐 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/839c2a83cef0b06ccb2b04562d0f93c7451d31595f978a74042a515c7ccd053b.png"	[8]	348
103197	1	"103197-shaky-zipgunner"	3	[]	4	1898	1	"Andrew Hou"	3	4	3	"겁먹은 조직원"	"<b>죽음의 메아리:</b> 내 손에 있는 무작위 하수인에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e1b704d61325a67e8a831a836155f38f586e45bd03ad97a5004dd76f2a2ef45.png"	""	"험악한 떡대들은 그 어떤 무기라도 당신에게 쥐어줄 수 있습니다. 하지만 그 무기가 폭발하지 않길 바란다면 추가로 돈을 내야 할 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7bcba85075a5b2ae5fdc1af5662268c19577fa6fa4066d290211562274f91240.png"	[12]	40681
70036	1	"70036-ancient-mage"	12	[]	4	1646	3	"Howard Lyon"	5	2	4	"고대의 마법사"	"<b>전투의 함성:</b> 양옆의 하수인들에게 <b>주문 공격력 +1</b>을 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/234e5d2a4386d6124e8965e724b576ba85b45c9d0d5d98934ea110a0b4a47bc5.png"	""	"깜빡하고 다른 사람의 게임에 등장하기도 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/65e154299cdc7fed7d42706ef2f278b509f7dcde98afe116f244feaf3d4411f0.png"	[2,8]	915
102655	1	"102655-ancient-shieldbearer"	10	[]	4	1898	3	"Alex Konstad"	6	6	6	"고대의 방패병"	"<b>전투의 함성:</b> 내 크툰의 공격력이 10 이상이면, 방어도를 +10 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cb1c9ba8110100e6bd1ff9e493ab5d53bed5bda702aa0f3b7b90c5936a2b2540.png"	""	"고대에는 지금보다 훨씬 무거운 방패를 양손에 네 개씩 들었다고 하는군요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ea2fbdee4762218bc642da20458b96011f0a34b2b5f1b7c0dc4116dc09c17cb.png"	[8]	38897
69832	1	"69832-ancient-brewmaster"	12	[]	4	1646	1	"Bernie Kang"	4	5	4	"고대의 양조사"	"<b>전투의 함성:</b> 아군 하수인을 내 손으로 다시 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a42f601b179aebc4ecb2c864e52231a9b1256d30e5b33641aa7de923badc809c.png"	""	"대부분의 판다렌은 그의 맥주에서 야크 맛이 난다고 평합니다... 네, 칭찬입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f4fd1841995db5af1fabf193e38d3fc9825dc67164627a3cd21601a8928bf8a.png"	[8]	186
102560	1	"102560-goblin-blastmage"	4	[]	4	1898	3	"Glenn Rane"	4	5	4	"고블린 폭발법사"	"<b>전투의 함성:</b> 내 전장에 기계가 있으면, 모든 적에게 6의 피해를 무작위로 나누어 입힙니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87a0b1667230121e21ed889cf688cf971d23892e103c9319917110f4dd38de99.png"	""	"만약 주위에 폭탄이 없다면, 아무 고블린 발명품이나 집어서 던지세요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/43b01bbbe3708c8ddc91286b42fa200b94515d2edd64fce5ac8926285fcf3991.png"	[8]	1934
102597	1	"102597-confessor-paletress"	6	[]	4	1898	5	"Chris Rahn"	4	5	7	"고해사제 페일트레스"	"<b>전투의 함성과 격려:</b> 무작위 <b>전설</b> 하수인을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0be4d54396fa2537eb68e931859d40fd26fddf36bfd6a041add88ca4d03185fc.png"	""	"당신의 과거에서 가장 끔찍한 두려움을 불러냅니다. 그중 하나는 스니드의 낡은 벌목기에서 청지기 이그젝큐투스가 나오는 거죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d202f9448ea80139916e7c86f02f54003d81869e0165cf5897e08dad027aa34f.png"	[8,20]	2556
