id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	health	attack	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
2035	1	"2035-stonesplinter-trogg"	12	[]	4	13	1	"Peet Cooper"	3	2	2	"가루바위 트로그"	"상대편이 주문을 시전할 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f5c94ff12f7076fc068a1e43a96c2a85c6d146ed60107a1c2460172bd5d77dc2.png"	""	"트로그 냄새가 그렇게 고약하다지만 트로그 시 낭송 듣기보다는 낫답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b33ac45ea26775536ecc932d236156f6f00c9f6629d9987aac568af35a49582e.jpg"	{"relevant":true,"constructed":true}
932	1	"932-gadgetzan-auctioneer"	12	[]	4	3	3	"Matt Dixon"	4	4	7	"가젯잔 경매인"	"내가 주문을 시전할 때마다 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bc7abd8f4e98d24d685d5e8bcb0bffa63ba2cf192d399818ddd1dc21c7c34b12.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a0ec12654f132e3b040da9bfe42d3bd14859e6076a385268dec32976a4180f99.png"	"암시장 경매장을 운영하던 때도 있었지만, 너무 폭력이 난무하는 바람에 옮길 수 밖에 없었답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34b17639ab2f644696726b0d80c1e4e8e93e09b62578a00550123229116de9d3.png"	{"relevant":true,"constructed":true}
2085	1	"2085-gazlowe"	12	[]	4	13	5	"Luke Mancini"	6	3	6	"가즈로"	"비용이 1인 주문을 시전할 때마다 무작위 기계를 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/705c40af1a32ec20b201c8ac2b5ddc33b02d57e678e458e7b5c557d17b5bc293.png"	""	"가즈로는 고등학교 때 \"뭐든 가장 잘 폭발시키는 친구\" 1위로 선정되었습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/88f89660a13962a50e27811e2037688323bc393e5202325fa202417664217f30.jpg"	{"relevant":true,"constructed":true}
41925	1	"41925-humongous-razorleaf"	12	[]	4	27	3	"Tooth"	8	4	3	"거대한 칼날잎새"	"공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/77bc26edab19619b85d3a01ad179e2bd9015536cb040978f5f2c5f8923ee0719.png"	""	"고블린들을 좋아합니다. 크림 소스에 찍어 먹을 때에 말이죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/538832396ebcac36163359674fd046f902b1da94e2b8fe5735715af413ba4565.png"	{"relevant":true,"constructed":true}
654	1	"654-frothing-berserker"	10	[]	4	3	3	"Simon Bisley"	4	2	3	"거품 무는 광전사"	"하수인이 피해를 받을 때마다 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c7a362c04ec1a4d8c6c13e19ad39a56c79806937433284af5ff635006cbfb30.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6c17a87d2100c49d99a120fce5703ff4d487e723ee89a149d0c69184700386f7.png"	"거품 물기 전까지는 회계사였답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/598fd3fa71666bc04f921b9ba7f048cb45d6a9f15dab594eeb5b6fde51aabf8d.png"	{"relevant":true,"constructed":true}
63227	1	"63227-guff-runetotem"	2	[]	4	1525	5	"Paul Mafayon"	4	2	3	"거프 룬토템"	"내가 자연 주문을 시전한 후에, 다른 무작위 아군 하수인에게 +2/+2를 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2eb45f01de2c204425663506a7bf069726ec10584a30c8132bd937d68c454f59.png"	""	"“하늘의 짝과 자연의 짝으로 동료들은 헤쳐나갈 겁니다.” — 거프 룬토템"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e6ffa5ac8524379239ab16e6a77dfdf4ca6029459afea5c8355bda65cd89be25.png"	{"relevant":true,"constructed":true}
351	1	"351-master-swordsmith"	12	[]	4	3	3	"E. M. Gist"	3	1	2	"검 제작의 대가"	"내 턴이 끝날 때, 다른 무작위 아군 하수인에게 공격력을 +1 부여합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/35aa7f4a3bf2cd4dcd9e2e64d28753f0636509a70c4680d24ed7b1bb0ee615f0.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/736361a91fe197ab2a8c681f643faa06089a9c919ea34cd50fd20dfe19e97091.png"	"현재는 다른 모든 대장장이들의 만류에도 불구하고, \"도리깨 도끼\"라는 무기를 제작하고 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c593b13b45a5a5d1a6ef4ea2b2feb1e60e726ec89df68bb15550db8a4c94f50.png"	{"relevant":true,"constructed":true}
605	1	"605-ancient-watcher"	12	[]	4	3	3	"Richard Wright"	5	4	2	"고대의 감시자"	"공격할 수 없습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/29ab35a81b134ba0357c4f04e84906364c69550e3902dd119f06c7e6aec11401.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7cea4e352c230c4d6d41b0434a6d290b46faadece718fac44a6fb2d9a61ca43.png"	"왜 지날 때마다 눈이 날 따라 움직이는 것 같을까요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e80cb2d535e98acf3645023a661f1a7bba360c825eae7c7b1b3300305348a9ef.png"	{"relevant":true,"constructed":true}
38873	1	"38873-ancient-harbinger"	12	[]	4	21	4	"Zoltan Boros"	6	4	6	"고대의 선구자"	"내 턴이 시작될 때, 내 덱에서 비용이 10인 하수인을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d776f33876df89b0792a4f721ba39871a8a15898343df9c8cf32eda7cb31b55e.png"	""	"\"여보, 잠깐 상점에 가서 비용이 10인 하수인 하나만 구해다줄래? 고마워.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/263d79e63a472529f039941b4ee1397e316cb91172a8881977bd78d6f4f79ddd.jpg"	{"relevant":true,"constructed":true}
2063	1	"2063-goblin-sapper"	12	[]	4	13	3	"Jesper Ejsing"	4	2	3	"고블린 공병"	"상대편의 손에 카드가 6장 이상 있으면 공격력을 +4 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/34017b4f6e5efc4f5a5483a95141c0c2532ef953d3d8af94da4010837fb8fd3f.png"	""	"전직하기 전에는 정신 나간 폭격수였답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a11726b4a839d76181689da101953873d8e57f52f6a728d1172d966adc4ad368.png"	{"relevant":true,"constructed":true}
46032	1	"46032-grand-archivist"	12	[]	4	1004	4	"Ursula Dorada"	7	4	8	"고위 기록관"	"내 턴이 끝날 때, 내 덱에 있는 주문을 시전합니다. <i>(대상은 무작위로 선택)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c7e026277badec299a622797435668374095be2889ab4570aff349c6760d0b0c.png"	""	"필수 소양: 뾰족한 모자를 찾아야 합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9e17e1fc022087c04f81fb1ede76dd7daa7a20ac8113011695a5f717889e373a.png"	{"relevant":true,"constructed":true}
45859	1	"45859-ixlid-fungal-lord"	2	[]	4	1004	5	"James Ryman"	4	2	5	"곰팡이 군주 익슬리드"	"내가 하수인을 낸 후에, 그 하수인을 복사하여 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a69610925a7ddebfbcd853a7ea0fb117acd833ef72a49e42e2421bb4da5926e4.png"	""	"익슬리드를 직접 만들어 보십시오. 곰팡이가 나인지 내가 곰팡이인지 모를 곰팡지몽의 경지에 이를 것입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f675cb9fd18e524c7db4c1502c3b1059da3102835b89f2531b90eb6eb85a1834.png"	{"relevant":true,"constructed":true}
1401	1	"1401-raid-leader"	12	[]	4	1635	2	"Phill Gonzales"	3	2	3	"공격대장"	"내 다른 하수인들이 공격력을 +1 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c2ac767be3ab0e716fac95857499576291a7365eb8b7a0f21597db8e473f57e7.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2ad73ee476f35301a0b296cc89ca2fc74abab88da8dbfcee49bbbb61a345a61a.png"	"\"바닥! 바닥! 바닥 좀 피하라고!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/19fb4f770de1a09e1c67f200be664c1db429c563e0da87a2adcc3c9bdab3fb04.png"	{"relevant":true,"constructed":true}
