id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	childIds
40401	1	"40401-pilfered-power"	2	[]	5	25	4	"Zoltan Boros"	3	"가로챈 힘"	"아군 하수인 하나당 빈 마나 수정을 1개 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eabb8a3133d25d843df2c97c43a6d9f4212f90a388a0a5f112c6cc0eba61eb25.png"	""	"호젠들에게는 보수가 많이 돌아가지 않지만, 남는 마나는 가질 수 있다는 점이 매력적입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/76567c9b4a5cfb3f886f1effa156e05c3a7a4c28ac36098b81cccd95ef24280c.png"	[1725]
97096	1	"97096-awakening-tremors"	3	[]	5	1858	1	"Mauricio Herrera"	1	"기상의 전율"	"4/1 벌레 셋을 얻습니다. 그 벌레들의 비용이 (1)이 됩니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5ac4d30cfd2dfe5d378496fab50c38a1149f6ce08d0217bae78d5a0fb833f2db.png"	""	"졸린 전율 정령에 대한 무례한 후속 조치입니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2bae26f40a94dab6bc65f905aa46fdd30773576a1a54345125f87f95feb7501a.png"	[97097]
56827	1	"56827-nagrand-slam"	3	[]	5	1414	4	"MAR Studio"	10	"나그란드 질주"	"무작위 적을 공격하는 3/5 갈래발굽을 4마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3ed981fa7a58fe0d4ba404b4135ae1f5855421e16c8b6ea387496c120b8f21a5.png"	""	"나그란드의 환영식은 혹독하답니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1f54d6770168e7ba7779919581af43231d7534a24f782562eb9569720952a659.png"	[57965]
2587	1	"2587-beneath-the-grounds"	7	[]	5	15	4	"Daren Bader"	3	"땅속의 위협"	"상대편의 덱에 잠복을 셋 섞어 넣습니다. 상대편이 잠복을 뽑으면, 내가 4/4 네루비안을 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f53370642c6a1e7018e13f7595590c855a7921f825c7cc8acda520d078fed2e.png"	""	"이 알 좀 들어주실래요? 절대로 언데드 거미가 들어있거나 하는 일은 없을 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68853eff8dcd5f5bbe6b7883537e3a1e7deaaf3cf3fa66245d297d30250757e4.jpg"	[2847,1787,3010,2586,102751,102612]
40419	1	"40419-call-in-the-finishers"	8	[]	5	25	1	"Mike Sass"	3	"멀록단 출동"	"1/1 멀록을 4마리 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dad892e2e1f970c79a55da94aa4b6961c4e13e0c00d963a3da712364b0a251a2.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/093cc4e1d172096054a4c2b51599723629659f803238f9c718a7a1ca064942f7.png"	"일을 끝내야 하지만 어떻게 끝내든 상관 없을 때 출동합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c6726f92231fe5b5b8ab52f3723242673cd0c8c2eb43a94f5d1dfaa31672ae89.png"	[42223]
47860	1	"47860-weapons-project"	10	[]	5	1127	1	"J. Paick & K. Turovec"	2	"무기 프로젝트"	"각 플레이어가 2/3 무기를 장착하고 방어도를 +6씩 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4d8d291cbd1fe685f25078d63cd951ea96a88692e67aae1dba7b957404d58961.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5d3816a902ec06fb73c082146a6c0636fceb335d7945b6b612f4ea3f2c98d62a.png"	"해리슨 존스가 이 프로젝트를 좋아합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/49dfb64b38f4e8e7d831ab566d300f99acaa676bd152da83473c3ddde746bfe2.png"	[49473]
96996	1	"96996-bunch-of-bananas"	3	[]	5	1809	1	"Jim Nelson"	1	"바나나 뭉치"	"하수인에게 +1/+1을 부여합니다. <i>(바나나 3개 남음!)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e14dab3ac624025408e804602272c90cc172db60aca2e2ed8729e581072f7627.png"	""	"이 카드에 바나나 안 바나나?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5a81f02ab37d9973c23db38e6862ce25822c805ab96cc015e58fc5fc96a4e42b.png"	[97434,97435]
56687	1	"56687-glowfly-swarm"	2	[]	5	1414	4	"Max Grecke"	5	"반딧불이 무리"	"내 손에 있는 주문 하나당 2/2 반딧불이를 소환합니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/37fb6d0b85d55ec2320d4eb06935021ed1ba7a2a18558bf9950df41b7359099a.png"	""	"평범한 전장을 특별하게 만드는, 주문에는 힘이 있습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bdc56c59c3d673481f28eb6aa63a7c351ebfa4bf2fefc0eb593542f0d110e260.png"	[56688]
97584	1	"97584-forest-seedlings"	2	[]	5	1858	1	"Mooncolony "	1	"숲 묘목"	"1/1 묘목을 둘 소환합니다. <i>( 턴 후에 만개합니다.)</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4ed59afe7408b81f64520d3539a48e1e41ea338d27c4409f20b7dc99e51b4a32.png"	""	"승리를 꽃피울 때도, 못다 필 때도 있죠."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e64a5bf67978e3852fad8bb3f85dfe4d759c160f710b16d91a1d55d7c28aa4e6.png"	[100985,97585,99806]
48101	1	"48101-extra-arms"	6	[]	5	1127	3	"Nicola Saviori"	3	"여분 팔"	"하수인에게 +2/+2를 부여합니다. +2/+2를 부여하는 '더 많은 팔!'을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/511c5e7edcf0e27918667ad3c3ce3127595b2add99c39ba3396c095d49fe445f.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1aad5de1850b214506d68e786270a0c1b56cd5f6a4e0c6de2c5637a6052d69c3.png"	"안아 줄 팔이 더 생겼군요!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b18436aa0895184425d1b8a6fa6b31c25466ef235d1df6ad99325e0980409bec.png"	[50657]
95856	1	"95856-remixed-rhapsody"	14	[]	5	1809	3	"Anton Zemskov"	5	"재편 광시곡"	"<b>모든</b> 하수인에게 피해를 3 줍니다. 내 손에 있을 때 매 턴마다 바뀌는 추가 효과를 얻습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7af10ff54e9584f85007e3deed4e89876a151c07fa299fc1109988253ecfb8b.png"	""	"\"이게 현실인가요?\" \"아뇨, 카드 게임입니다만.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a3be6f9fbd3a4ca4a41b99207ef2930589818819ba6a5118344620f6fb2bf94.png"	[95857,95860,95861,95862,95863]
98212	1	"98212-elemental-inspiration"	4	[]	5	1858	4	"Edgar Hidalgo"	7	"정령 감화"	"이번 게임에서 내가 시전한 주문의 속성 종류만큼 무작위 <b>추가 효과</b>를 얻은 4/5 소용돌이를 소환합니다. <i>( )</i>"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a2554253f3efd64487b888660c1e92b54d029a4789105952f11e76cf36edd40c.png"	""	"영웅 능력은 필요하지 않습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2383d9ab68296fcbe8c8a8a6274c72bdae6d114aafcf2b09d908084c4b24c741.png"	[98357,102140,102141,102137,102138,102139,102142,102143]
