id	collectible	slug	classId	multiClassIds	cardTypeId	cardSetId	rarityId	artistName	manaCost	name	text	image	imageGold	flavorText	cropImage	duels
86481	1	"86481-ransack"	7	[]	5	1776	1	"L. Lullabi & K. Turovec"	0	"갈취"	"하수인에게 피해를 1 줍니다. 이번 턴에 다른 직업의 카드를 냈다면, 대신 피해를 4 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9eadfabf34132a7e8968ab867da6410825884d9b373be3b933936fd6d50d5e4f.png"	""	"\"네 카드 쩔더라.\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/16cfb1d3e99a42fb696e7d2cb23bcd070db2129dcbeb77be5ca5368972c5c330.png"	{"relevant":true,"constructed":true}
86510	1	"86510-rake"	2	[]	5	1776	3	"Todd Harris"	1	"갈퀴 발톱"	"이번 턴에 내 영웅이 공격력을 +2 얻습니다. 하수인에게 내 영웅의 공격력만큼 피해를 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/175956dd015b5d517683f6ab39c2c465629acb2ceb16027f67216ae19a70dc82.png"	""	"적을 긁은 다음에는 머리를 긁으려나요?"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2bf0d5841ae2bd6b8e8bc6fc9d59b0f9b5f5844baa26764ae6ab0a21d1074367.png"	{"relevant":true,"constructed":true}
54317	1	"54317-clever-disguise"	7	[]	5	1158	1	"Ekaterina Shapovalova"	2	"감쪽같은 변장"	"다른 직업의 무작위 주문 둘을 내 손으로 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/006efae5300f44557993b8a138b49a3c5e8664c535d7d9ea5bf1507cbd03bb7a.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/786b529a59fb64b668fcc40edd2fcc9fb4d6fdd77a7147ba1a826689937d74eb.png"	"\"나는 토그왜글로 변장했다!\""	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0ef86cabe44e7759ec2427a5ecdb20a3d9372199da2af325667b1b3e3bed208.png"	{"relevant":true,"constructed":true}
65044	1	"65044-devouring-swarm"	3	[]	5	1578	3	"Dave Allsop"	0	"게걸스러운 무리"	"적 하수인을 선택합니다. 내 하수인들이 그 하수인을 공격하고, 죽은 아군 하수인들을 내 손으로 다시 가져옵니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6a56afc2c6899f68519d045e44251bb7cda68f125b4439e7339163b4a1e8f9bf.png"	""	"쥐 떼를 상대할 횃불은 꼭 챙기세요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/54c806a29a71d0b7043d817edebdbd7b9809e089443df142b13b9eb692d00552.png"	{"relevant":true,"constructed":true}
1074	1	"1074-slam"	10	[]	5	3	1	"E. M. Gist"	1	"격돌"	"하수인에게 피해를 2 줍니다. 그 하수인이 생존하면, 카드를 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6c808f595366252809bc9fd2bd77b5b60304cc671d6c5ade9bdf70e7ef1148ef.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3f1348c2b04b3c52c8856ab9aefcfc0edc251a0d687651fea9be38eabd48256f.png"	"난 딱 죽지 않을 만큼만 패지."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/36cb9e0596acd2f12b91efb9a3b0c3306b12e7dd3903373c99a84774f18e4428.png"	{"relevant":true,"constructed":true}
854	1	"854-humility"	5	[]	5	1635	2	"Daren Bader"	1	"겸손"	"하수인의 공격력을 1로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae4345ee762482c4bef643c2ebc5be14a2ff885ed6b99894fb62e5c1e8d45f73.png"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9ef12f2cfa493ef281a750a40f2e6411604f690a88e2ecbb32f330ff5d92b8b8.png"	"이래서 겸손이 힘든 겁니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30254b38fbf1766ba5f71de2ae62a62f1b47b76901562e85d037e9b4cf48b596.png"	{"relevant":true,"constructed":true}
84230	1	"84230-mark-of-scorn"	14	[]	5	1776	1	"L. Lullabi & K. Turovec"	2	"경멸의 징표"	"카드를 뽑습니다. 그 카드가 하수인이 아니면, 생명력이 가장 낮은 적에게 피해를 3 줍니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ce5c89dc79ca2aeaf60c20f285d9d7560448769ddcd81ad8f1ca531793c4c8b.png"	""	"누가 어그로라고? 경멸의 징표!"	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/310d77511d51bedaa9a36564bb5cbf7ae28f8bb855c9d7499df5708e9f1a8ea5.png"	{"relevant":true,"constructed":true}
76921	1	"76921-tome-tampering"	9	[]	5	1691	4	"Rafael Zanchetin"	3	"고서 훼손"	"내 손에 있는 카드들을 비용이 1인 상태로 복사하여 내 덱에 섞어 넣습니다. 내 손에 있는 카드를 모두 버립니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a51dd507251bcf9b51185fe90b0dca54c2747a7783f6401e0f5b9e2cad3c40c2.png"	""	"연체료를 낼 바엔 책을 찢어버리고 만다네요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae8e7223526bacc0d5021f853dd1cd1af5bf6638bde0f8f3b80b61cd4e71ebcc.png"	{"relevant":true,"constructed":true}
61273	1	"61273-acrobatics"	14	[]	5	1466	1	"James Ryman"	3	"곡예"	"카드를 2장 뽑습니다. 내가 이번 턴에 그 카드들을 내면, 2장 더 뽑습니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b5505f05b505f3d9ca5d2ba4e26443992803a204b3bc1550ecb6c1f0475b7da3.png"	""	"난 항상 두 장을 보여주지만, 한 번쯤은 두 장 더 보여주고 싶었어요."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69f4a3c44e797c10712140a34942b52cbb70246ce7f8d39e59f1481f409bd025.png"	{"relevant":true,"constructed":true}
41130	1	"41130-dinosize"	5	[]	5	27	4	"Andrew Hou"	8	"공룡의 몸집"	"하수인의 공격력과 생명력을 10으로 만듭니다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/14b0b074cf256b37d5ba6d8278b76c1996814c7fb315148de4812acb03afaac2.png"	""	"\"크아아아아!\" 공룡 중에서도 최강의 투명공룡이 울부짓었다."	"https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3d98a13429c715fa46869f85332b9dfcda668eb20bad872a57b865b4ca05269b.jpg"	{"relevant":true,"constructed":true}
